date,DAY,TIME,STADIUM,event,location,region,impact,festival_name,wedding_season,election_type
01-03-2025,Saturday,,,,,,1.0,,,Lok Sabha
02-03-2025,Sunday,,,,,,1.0,,,Lok Sabha
03-03-2025,Monday,,,,,,1.0,,,Lok Sabha
04-03-2025,Tuesday,,,,,,1.0,,,Lok Sabha
05-03-2025,Wednesday,,,,,,1.0,,,Lok Sabha
06-03-2025,Thursday,,,,,,1.0,,,Lok Sabha
07-03-2025,Friday,,,,,,1.0,,,Lok Sabha
08-03-2025,Saturday,,,,,,1.0,,,Lok Sabha
09-03-2025,Sunday,,,,,,1.0,,,Lok Sabha
10-03-2025,Monday,,,,,,1.0,,,Lok Sabha
11-03-2025,Tuesday,,,,,,1.0,,,Lok Sabha
12-03-2025,Wednesday,,,,,,1.0,,,Lok Sabha
13-03-2025,Thursday,,,,,,1.0,,,Lok Sabha
14-03-2025,Friday,,,,,,1.0,holi,,Lok Sabha
15-03-2025,Saturday,,,,,,1.0,,,Lok Sabha
16-03-2025,Sunday,,,,,,1.0,,,Lok Sabha
17-03-2025,Monday,,,,,,1.0,,,Lok Sabha
18-03-2025,Tuesday,,,,,,1.0,,,Lok Sabha
19-03-2025,Wednesday,,,,,,1.0,,,Lok Sabha
20-03-2025,Thursday,,,,,,1.0,,,Lok Sabha
21-03-2025,Friday,,,,,,1.0,,,Lok Sabha
22-03-2025,Saturday,7:30 PM,Kolkata,,,,1.0,,,Lok Sabha
23-03-2025,Sunday,3:30 PM,Hyderabad,,,,1.0,,,Lok Sabha
23-03-2025,Sunday,7:30 PM,Chennai,,,,1.0,,,Lok Sabha
24-03-2025,Monday,7:30 PM,Visakhapatnam,,,,1.0,,,Lok Sabha
25-03-2025,Tuesday,7:30 PM,Ahmedabad,,,,1.0,,,Lok Sabha
26-03-2025,Wednesday,7:30 PM,Guwahati,,,,1.0,,,Lok Sabha
27-03-2025,Thursday,7:30 PM,Hyderabad,,,,1.0,,,Lok Sabha
28-03-2025,Friday,7:30 PM,Chennai,,,,1.0,,,Lok Sabha
29-03-2025,Saturday,7:30 PM,Ahmedabad,,,,1.0,,,Lok Sabha
30-03-2025,Sunday,3:30 PM,Visakhapatnam,,,,1.0,ugadi,,Lok Sabha
30-03-2025,Sunday,7:30 PM,Guwahati,,,,1.0,ugadi,,Lok Sabha
31-03-2025,Monday,7:30 PM,Mumbai,,,,1.0,eid_ul_fitr,,Lok Sabha
