Datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-28 00:00:00,14249.8,6011.9,5778.8,5778.8,7239.65
2025-03-28 00:00:00,14249.8,6011.9,5778.8,5778.8,7239.65
2025-03-28 00:15:00,14511.1,6176.0,5807.5,5807.5,6099.59
2025-03-28 00:15:00,14511.1,6176.0,5807.5,5807.5,6099.59
2025-03-28 00:30:00,14445.1,6608.9,6109.6,6109.6,5375.63
2025-03-28 00:30:00,14445.1,6608.9,6109.6,6109.6,5375.63
2025-03-28 00:45:00,14805.8,6792.6,6340.2,6340.2,5500.22
2025-03-28 00:45:00,14805.8,6792.6,6340.2,6340.2,5500.22
2025-03-28 01:00:00,14254.7,7101.4,6289.39,6289.39,4999.84
2025-03-28 01:00:00,14254.7,7101.4,6289.39,6289.39,4999.84
2025-03-28 01:15:00,14154.7,7280.2,6190.3,6190.3,4999.34
2025-03-28 01:15:00,14154.7,7280.2,6190.3,6190.3,4999.34
2025-03-28 01:30:00,14424.3,7363.3,6413.0,6413.0,4999.79
2025-03-28 01:30:00,14424.3,7363.3,6413.0,6413.0,4999.79
2025-03-28 01:45:00,13926.6,7902.1,6186.9,6186.9,4349.67
2025-03-28 01:45:00,13926.6,7902.1,6186.9,6186.9,4349.67
2025-03-28 02:00:00,13508.8,7940.2,6273.0,6273.0,4500.07
2025-03-28 02:00:00,13508.8,7940.2,6273.0,6273.0,4500.07
2025-03-28 02:15:00,13578.3,8185.1,6339.4,6339.4,4349.61
2025-03-28 02:15:00,13578.3,8185.1,6339.4,6339.4,4349.61
2025-03-28 02:30:00,13364.0,8448.5,6106.2,6106.2,4190.82
2025-03-28 02:30:00,13364.0,8448.5,6106.2,6106.2,4190.82
2025-03-28 02:45:00,13250.9,8753.6,5986.2,5986.2,4139.75
2025-03-28 02:45:00,13250.9,8753.6,5986.2,5986.2,4139.75
2025-03-28 03:00:00,13107.5,8966.7,5867.9,5867.9,4139.14
2025-03-28 03:00:00,13107.5,8966.7,5867.9,5867.9,4139.14
2025-03-28 03:15:00,13005.8,9036.3,5786.7,5786.7,4012.51
2025-03-28 03:15:00,13005.8,9036.3,5786.7,5786.7,4012.51
2025-03-28 03:30:00,12879.7,9089.6,5748.7,5748.7,4000.28
2025-03-28 03:30:00,12879.7,9089.6,5748.7,5748.7,4000.28
2025-03-28 03:45:00,12824.2,9157.8,5724.3,5724.3,3999.01
2025-03-28 03:45:00,12824.2,9157.8,5724.3,5724.3,3999.01
2025-03-28 04:00:00,13180.2,8760.8,5803.8,5803.8,4139.28
2025-03-28 04:00:00,13180.2,8760.8,5803.8,5803.8,4139.28
2025-03-28 04:15:00,13063.3,8315.3,5644.8,5644.8,4139.76
2025-03-28 04:15:00,13063.3,8315.3,5644.8,5644.8,4139.76
2025-03-28 04:30:00,13314.4,8038.3,5914.0,5914.0,4349.57
2025-03-28 04:30:00,13314.4,8038.3,5914.0,5914.0,4349.57
2025-03-28 04:45:00,12836.8,7730.0,5429.7,5429.7,4200.74
2025-03-28 04:45:00,12836.8,7730.0,5429.7,5429.7,4200.74
2025-03-28 05:00:00,12895.6,6434.6,5112.8,5112.8,4780.08
2025-03-28 05:00:00,12895.6,6434.6,5112.8,5112.8,4780.08
2025-03-28 05:15:00,12465.2,6298.6,4633.9,4633.9,4780.25
2025-03-28 05:15:00,12465.2,6298.6,4633.9,4633.9,4780.25
2025-03-28 05:30:00,12406.0,5879.5,4465.2,4465.2,4780.6
2025-03-28 05:30:00,12406.0,5879.5,4465.2,4465.2,4780.6
2025-03-28 05:45:00,12158.4,5860.9,4385.8,4385.8,4750.87
2025-03-28 05:45:00,12158.4,5860.9,4385.8,4385.8,4750.87
2025-03-28 06:00:00,12957.7,7054.0,5509.8,5509.8,5090.58
2025-03-28 06:00:00,12957.7,7054.0,5509.8,5509.8,5090.58
2025-03-28 06:15:00,13567.6,7005.1,6027.8,6027.8,5270.16
2025-03-28 06:15:00,13567.6,7005.1,6027.8,6027.8,5270.16
2025-03-28 06:30:00,13764.4,7934.0,6759.4,6759.4,4999.08
2025-03-28 06:30:00,13764.4,7934.0,6759.4,6759.4,4999.08
2025-03-28 06:45:00,13513.8,7887.3,6656.7,6656.7,4800.55
2025-03-28 06:45:00,13513.8,7887.3,6656.7,6656.7,4800.55
2025-03-28 07:00:00,12928.4,8843.1,6688.1,6688.1,4109.55
2025-03-28 07:00:00,12928.4,8843.1,6688.1,6688.1,4109.55
2025-03-28 07:15:00,12784.9,9860.2,6872.6,6872.6,3799.81
2025-03-28 07:15:00,12784.9,9860.2,6872.6,6872.6,3799.81
2025-03-28 07:30:00,13148.1,10394.2,7340.0,7340.0,3799.99
2025-03-28 07:30:00,13148.1,10394.2,7340.0,7340.0,3799.99
2025-03-28 07:45:00,13187.4,10967.2,7415.1,7415.1,3799.25
2025-03-28 07:45:00,13187.4,10967.2,7415.1,7415.1,3799.25
2025-03-28 08:00:00,12749.9,14779.6,7718.1,7718.1,3209.53
2025-03-28 08:00:00,12749.9,14779.6,7718.1,7718.1,3209.53
2025-03-28 08:15:00,12432.4,15790.0,7349.7,7349.7,3018.89
2025-03-28 08:15:00,12432.4,15790.0,7349.7,7349.7,3018.89
2025-03-28 08:30:00,12985.4,17336.2,8188.7,8188.7,2949.0
2025-03-28 08:30:00,12985.4,17336.2,8188.7,8188.7,2949.0
2025-03-28 08:45:00,12212.7,17999.0,7622.0,7622.0,2930.66
2025-03-28 08:45:00,12212.7,17999.0,7622.0,7622.0,2930.66
2025-03-28 09:00:00,13417.4,19265.4,8744.2,8744.2,2930.67
2025-03-28 09:00:00,13417.4,19265.4,8744.2,8744.2,2930.67
2025-03-28 09:15:00,13080.4,19025.5,8664.2,8664.2,2930.98
2025-03-28 09:15:00,13080.4,19025.5,8664.2,8664.2,2930.98
2025-03-28 09:30:00,12890.9,19952.7,8474.7,8474.7,2930.21
2025-03-28 09:30:00,12890.9,19952.7,8474.7,8474.7,2930.21
2025-03-28 09:45:00,12638.9,20761.6,8222.7,8222.7,2918.25
2025-03-28 09:45:00,12638.9,20761.6,8222.7,8222.7,2918.25
2025-03-28 10:00:00,12093.7,21961.7,7621.28,7621.28,2760.09
2025-03-28 10:00:00,12093.7,21961.7,7621.28,7621.28,2760.09
2025-03-28 10:15:00,11873.2,22558.5,7520.3,7520.3,2660.86
2025-03-28 10:15:00,11873.2,22558.5,7520.3,7520.3,2660.86
2025-03-28 10:30:00,12146.1,23311.5,7829.48,7829.48,2660.76
2025-03-28 10:30:00,12146.1,23311.5,7829.48,7829.48,2660.76
2025-03-28 10:45:00,12278.5,24175.7,8675.78,8675.78,2600.33
2025-03-28 10:45:00,12278.5,24175.7,8675.78,8675.78,2600.33
2025-03-28 11:00:00,12409.9,25331.9,9155.15,9155.15,2570.24
2025-03-28 11:00:00,12409.9,25331.9,9155.15,9155.15,2570.24
2025-03-28 11:15:00,12416.1,25923.7,9257.03,9257.03,2570.08
2025-03-28 11:15:00,12416.1,25923.7,9257.03,9257.03,2570.08
2025-03-28 11:30:00,12370.6,26106.5,9203.53,9203.53,2570.09
2025-03-28 11:30:00,12370.6,26106.5,9203.53,9203.53,2570.09
2025-03-28 11:45:00,12351.1,26359.1,9361.87,9361.87,2560.7
2025-03-28 11:45:00,12351.1,26359.1,9361.87,9361.87,2560.7
2025-03-28 12:00:00,11910.3,27234.3,10023.35,10023.35,2470.22
2025-03-28 12:00:00,11910.3,27234.3,10023.35,10023.35,2470.22
2025-03-28 12:15:00,12221.1,28069.9,10408.1,10408.1,2304.17
2025-03-28 12:15:00,12221.1,28069.9,10408.1,10408.1,2304.17
2025-03-28 12:30:00,12370.7,29072.2,10582.54,10582.54,2240.87
2025-03-28 12:30:00,12370.7,29072.2,10582.54,10582.54,2240.87
2025-03-28 12:45:00,12929.2,30106.4,11095.2,11095.2,2399.34
2025-03-28 12:45:00,12929.2,30106.4,11095.2,11095.2,2399.34
2025-03-28 13:00:00,12807.7,31615.4,11400.6,11400.6,2267.58
2025-03-28 13:00:00,12807.7,31615.4,11400.6,11400.6,2267.58
2025-03-28 13:15:00,13018.3,32147.6,11611.0,11611.0,2221.34
2025-03-28 13:15:00,13018.3,32147.6,11611.0,11611.0,2221.34
2025-03-28 13:30:00,13199.2,31435.6,11491.9,11491.9,2229.15
2025-03-28 13:30:00,13199.2,31435.6,11491.9,11491.9,2229.15
2025-03-28 13:45:00,13399.6,31392.9,11668.4,11668.4,2313.52
2025-03-28 13:45:00,13399.6,31392.9,11668.4,11668.4,2313.52
2025-03-28 14:00:00,14252.1,29533.0,10869.48,10869.48,2760.16
2025-03-28 14:00:00,14252.1,29533.0,10869.48,10869.48,2760.16
2025-03-28 14:15:00,14371.2,27463.9,10667.8,10667.8,2799.21
2025-03-28 14:15:00,14371.2,27463.9,10667.8,10667.8,2799.21
2025-03-28 14:30:00,14905.0,26309.5,10810.8,10810.8,2810.19
