date,financial_year,region,fuel_type,installed_capacity_mw,monitored_capacity_mw,annual_target_mu,today_program_mu,today_actual_mu,apr1_till_date_program_mu,apr1_till_date_actual_mu,deviation_mu,deviation_pct,source_pdf,parse_ok,error
2025-03-01,2024-25,Northern,Thermal,55159.96,55159.96,322361.0,818.28,760.92,296178.28,272631.1,-23547.18,-7.95,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Northern,Nuclear,1620.0,1620.0,10793.0,35.12,20.71,9739.12,10362.1,622.98,6.4,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Northern,Hydro,19774.27,19774.27,80886.0,141.34,137.18,76645.34,72726.74,-3918.6,-5.11,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Northern,Total,76554.23,76554.23,414040.0,994.74,918.81,382562.74,355719.94,-26842.8,-7.02,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Western,Thermal,97252.5,97252.5,544560.0,1494.98,1570.66,498265.98,495586.33,-2679.65,-0.54,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Western,Nuclear,3240.0,3240.0,22576.0,69.79,64.59,20481.79,19126.95,-1354.84,-6.61,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Western,Hydro,7392.0,7392.0,16573.0,38.55,49.46,15416.55,18259.28,2842.73,18.44,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Western,Total,107884.5,107884.5,583709.0,1603.32,1684.71,534164.32,532972.56,-1191.76,-0.22,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Southern,Thermal,53807.29,53797.3,286830.0,863.08,736.33,260943.08,225312.85,-35630.23,-13.65,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Southern,Nuclear,3320.0,3320.0,21979.0,67.24,71.02,19961.24,22604.5,2643.26,13.24,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Southern,Hydro,11787.15,11787.15,30878.0,96.17,88.55,27991.17,31500.86,3509.69,12.54,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Southern,Total,68914.44,68904.45,339687.0,1026.49,895.9,308895.49,279418.21,-29477.28,-9.54,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Eastern,Thermal,37889.71,37889.71,275250.0,786.45,736.61,251070.45,238828.96,-12241.49,-4.88,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Eastern,Hydro,5987.75,5987.75,12220.0,20.67,23.6,11599.67,10592.19,-1007.48,-8.69,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,Eastern,Total,43877.46,43877.46,287470.0,807.12,760.21,262670.12,249421.15,-13248.97,-5.04,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,North Eastern,Thermal,2450.95,2450.95,15942.0,45.21,32.71,14721.21,12271.0,-2450.21,-16.64,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,North Eastern,Hydro,2027.0,2027.0,7152.0,8.81,7.93,6887.81,6984.58,96.77,1.4,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,North Eastern,Total,4477.95,4477.95,23094.0,54.02,40.64,21609.02,19255.58,-2353.44,-10.89,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,Thermal,246560.42,246550.42,1444943.0,4008.0,3837.23,1321179.0,1244630.24,-76548.76,-5.79,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,Nuclear,8180.0,8180.0,55348.0,172.15,156.32,50182.15,52093.55,1911.4,3.81,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,Hydro,46968.17,46968.17,147709.0,305.54,306.72,138540.54,140063.65,1523.11,1.1,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,Bhutan Imp,,,8000.0,12.34,1.15,7629.34,5364.37,-2264.97,-29.69,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,R.E.S,165202.2,,,,,,,,,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-01,2024-25,ALL INDIA,Total,466910.79,301698.59,1656000.0,4498.03,4301.42,1517531.03,1442151.81,-75379.22,-4.97,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-01.pdf,True,
2025-03-02,2024-25,Northern,Thermal,55159.96,55159.96,322361.0,826.15,760.05,297004.43,273391.15,-23613.28,-7.95,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Northern,Nuclear,1620.0,1620.0,10793.0,35.12,20.77,9774.24,10382.87,608.63,6.23,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Northern,Hydro,19774.27,19774.27,80886.0,141.34,114.33,76786.68,72841.07,-3945.61,-5.14,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Northern,Total,76554.23,76554.23,414040.0,1002.61,895.15,383565.35,356615.09,-26950.26,-7.03,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Western,Thermal,97252.5,97252.5,544560.0,1506.21,1501.13,499772.19,497087.46,-2684.73,-0.54,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Western,Nuclear,3240.0,3240.0,22576.0,69.79,64.71,20551.58,19191.66,-1359.92,-6.62,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Western,Hydro,7392.0,7392.0,16573.0,38.55,41.04,15455.1,18300.32,2845.22,18.41,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Western,Total,107884.5,107884.5,583709.0,1614.55,1606.88,535778.87,534579.44,-1199.43,-0.22,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Southern,Thermal,53807.29,53797.3,286830.0,863.08,736.61,261806.16,226049.46,-35756.7,-13.66,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Southern,Nuclear,3320.0,3320.0,21979.0,67.24,70.86,20028.48,22675.36,2646.88,13.22,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Southern,Hydro,11787.15,11787.15,30878.0,96.17,72.08,28087.34,31572.94,3485.6,12.41,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Southern,Total,68914.44,68904.45,339687.0,1026.49,879.55,309921.98,280297.76,-29624.22,-9.56,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Eastern,Thermal,37889.71,37889.71,275250.0,786.45,734.52,251856.9,239563.48,-12293.42,-4.88,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Eastern,Hydro,5987.75,5987.75,12220.0,20.67,18.93,11620.34,10611.12,-1009.22,-8.68,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,Eastern,Total,43877.46,43877.46,287470.0,807.12,753.45,263477.24,250174.6,-13302.64,-5.05,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,North Eastern,Thermal,2450.95,2450.95,15942.0,45.21,32.69,14766.42,12303.69,-2462.73,-16.68,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,North Eastern,Hydro,2027.0,2027.0,7152.0,8.81,6.95,6896.62,6991.53,94.91,1.38,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,North Eastern,Total,4477.95,4477.95,23094.0,54.02,39.64,21663.04,19295.22,-2367.82,-10.93,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,Thermal,246560.42,246550.42,1444943.0,4027.1,3765.0,1325206.1,1248395.24,-76810.86,-5.8,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,Nuclear,8180.0,8180.0,55348.0,172.15,156.34,50354.3,52249.89,1895.59,3.76,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,Hydro,46968.17,46968.17,147709.0,305.54,253.33,138846.08,140316.98,1470.9,1.06,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,Bhutan Imp,,,8000.0,12.34,1.7,7641.68,5366.07,-2275.61,-29.78,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,R.E.S,165202.2,,,,,,,,,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-02,2024-25,ALL INDIA,Total,466910.79,301698.59,1656000.0,4517.13,4176.37,1522048.16,1446328.18,-75719.98,-4.97,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-02.pdf,True,
2025-03-03,2024-25,Northern,Thermal,55159.96,55159.96,322361.0,828.22,813.68,297832.65,274204.83,-23627.82,-7.93,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Northern,Nuclear,1620.0,1620.0,10793.0,35.12,20.68,9809.36,10403.55,594.19,6.06,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Northern,Hydro,19774.27,19774.27,80886.0,141.34,112.34,76928.02,72953.41,-3974.61,-5.17,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Northern,Total,76554.23,76554.23,414040.0,1004.68,946.7,384570.03,357561.79,-27008.24,-7.02,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Western,Thermal,97252.5,97252.5,544560.0,1506.21,1493.81,501278.4,498580.02,-2698.38,-0.54,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Western,Nuclear,3240.0,3240.0,22576.0,69.79,64.68,20621.37,19256.34,-1365.03,-6.62,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Western,Hydro,7392.0,7392.0,16573.0,38.55,69.88,15493.65,18370.2,2876.55,18.57,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Western,Total,107884.5,107884.5,583709.0,1614.55,1628.37,537393.42,536206.56,-1186.86,-0.22,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
2025-03-03,2024-25,Southern,Thermal,53807.29,53797.3,286830.0,863.08,786.79,262669.24,226836.25,-35832.99,-13.64,C:\Users\DHANVISHLP\my-mlops-project\data\raw\generation\raw\2024\2025-03-03.pdf,True,
