Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-07 00:00:00,1.0,4752.6,7707.7,3444.8,3444.8,3157.03
2025-03-07 00:15:00,1.0,4995.6,7190.2,3095.08,3095.08,3470.82
2025-03-07 00:30:00,2.0,4668.0,7450.1,2921.31,2921.31,3470.3
2025-03-07 00:45:00,2.0,4414.7,7458.2,2732.92,2732.92,3470.33
2025-03-07 01:00:00,3.0,4243.8,7009.1,2679.26,2679.26,3435.18
2025-03-07 01:15:00,3.0,4228.4,7225.3,2715.5,2715.5,3401.15
2025-03-07 01:30:00,4.0,3952.0,6994.5,2544.92,2544.92,3360.39
2025-03-07 01:45:00,4.0,3997.5,7468.6,2668.71,2668.71,3230.12
2025-03-07 02:00:00,5.0,4416.9,7791.7,3007.6,3007.6,3249.04
2025-03-07 02:15:00,5.0,4444.9,7854.7,3047.23,3047.23,3230.66
2025-03-07 02:30:00,6.0,4227.1,7785.2,2959.33,2959.33,3130.5
2025-03-07 02:45:00,6.0,4357.0,8313.3,3127.51,3127.51,3050.18
2025-03-07 03:00:00,7.0,4409.2,8695.0,3365.3,3365.3,2979.12
2025-03-07 03:15:00,7.0,4522.9,8686.9,3446.4,3446.4,3000.22
2025-03-07 03:30:00,8.0,4687.6,8424.8,3301.0,3301.0,3195.3
2025-03-07 03:45:00,8.0,4612.4,8147.3,3234.7,3234.7,3195.25
2025-03-07 04:00:00,9.0,4654.1,8137.2,3283.74,3283.74,3234.71
2025-03-07 04:15:00,9.0,4531.4,7281.8,3153.45,3153.45,3234.99
2025-03-07 04:30:00,10.0,4811.1,6957.6,3284.6,3284.6,3441.16
2025-03-07 04:45:00,10.0,5174.8,6854.1,3447.3,3447.3,3573.38
2025-03-07 05:00:00,11.0,5545.2,7232.7,4418.74,4418.74,3582.72
2025-03-07 05:15:00,11.0,6070.3,6627.2,4721.91,4721.91,3720.1
2025-03-07 05:30:00,12.0,6443.7,5690.9,4541.86,4541.86,4010.97
2025-03-07 05:45:00,12.0,7375.0,6755.1,5654.01,5654.01,4010.27
2025-03-07 06:00:00,13.0,7053.8,6115.0,5617.8,5617.8,4540.41
2025-03-07 06:15:00,13.0,7670.4,4637.8,4472.8,4472.8,5800.36
2025-03-07 06:30:00,14.0,7436.9,4208.0,4116.34,4116.34,7500.21
2025-03-07 06:45:00,14.0,8612.2,4263.6,4263.6,4263.6,10000.0
2025-03-07 07:00:00,15.0,8483.6,4103.6,4103.6,4103.6,10000.0
2025-03-07 07:15:00,15.0,8313.9,3858.7,3858.7,3858.7,10000.0
2025-03-07 07:30:00,16.0,7649.6,3880.6,3859.1,3859.1,10000.0
2025-03-07 07:45:00,16.0,6609.7,4916.2,4366.03,4366.03,4999.29
2025-03-07 08:00:00,17.0,7840.0,4763.8,4360.34,4360.34,6005.09
2025-03-07 08:15:00,17.0,7400.1,5790.8,4754.2,4754.2,5200.22
2025-03-07 08:30:00,18.0,6415.5,7021.1,5228.8,5228.8,4092.3
2025-03-07 08:45:00,18.0,6239.1,8506.7,5454.66,5454.66,3950.36
2025-03-07 09:00:00,19.0,6069.2,7743.4,4930.46,4930.46,4020.3
2025-03-07 09:15:00,19.0,5847.6,8287.0,4794.84,4794.84,3950.91
2025-03-07 09:30:00,20.0,6328.1,8632.7,5167.6,5167.6,3979.32
2025-03-07 09:45:00,20.0,6141.7,9600.8,5385.1,5385.1,3573.53
2025-03-07 10:00:00,21.0,6377.3,9800.5,5340.1,5340.1,3195.51
2025-03-07 10:15:00,21.0,6786.4,9924.2,5589.66,5589.66,3470.63
2025-03-07 10:30:00,22.0,6478.8,9772.9,5328.7,5328.7,3441.89
2025-03-07 10:45:00,22.0,6550.2,9791.3,5280.1,5280.1,3510.39
2025-03-07 11:00:00,23.0,6900.3,10445.5,5615.52,5615.52,3450.32
2025-03-07 11:15:00,23.0,6992.9,10980.8,5681.4,5681.4,3436.0
2025-03-07 11:30:00,24.0,6670.2,10629.6,5355.74,5355.74,3470.73
2025-03-07 11:45:00,24.0,6810.0,11663.6,5682.64,5682.64,3200.8
2025-03-07 12:00:00,25.0,7298.1,7741.7,5559.5,5559.5,4199.6
2025-03-07 12:15:00,25.0,7256.5,7951.7,5662.38,5662.38,4193.3
2025-03-07 12:30:00,26.0,6855.0,13609.8,6057.69,6057.69,2979.05
2025-03-07 12:45:00,26.0,6788.4,13725.0,6067.54,6067.54,2896.81
2025-03-07 13:00:00,27.0,5977.8,13796.7,5670.3,5670.3,2385.87
2025-03-07 13:15:00,27.0,6056.5,13636.7,5417.6,5417.6,2610.04
2025-03-07 13:30:00,28.0,6538.8,13570.1,5696.4,5696.4,2944.43
2025-03-07 13:45:00,28.0,6474.8,13541.1,5631.1,5631.1,2944.48
2025-03-07 14:00:00,29.0,6544.8,13454.3,5687.6,5687.6,2979.15
2025-03-07 14:15:00,29.0,7454.4,13740.5,6388.51,6388.51,3111.84
2025-03-07 14:30:00,30.0,7518.7,13351.7,6439.04,6439.04,3138.18
2025-03-07 14:45:00,30.0,7393.2,13200.7,6355.41,6355.41,3130.22
2025-03-07 15:00:00,31.0,7456.3,12273.5,6334.81,6334.81,3310.37
2025-03-07 15:15:00,31.0,7435.6,11290.7,6148.51,6148.51,3473.75
2025-03-07 15:30:00,32.0,7932.1,9902.3,6266.34,6266.34,3979.93
2025-03-07 15:45:00,32.0,8017.2,9173.3,5925.78,5925.78,4102.65
2025-03-07 16:00:00,33.0,7082.4,8054.2,5117.33,5117.33,3979.92
2025-03-07 16:15:00,33.0,7153.5,7524.4,4817.31,4817.31,3999.85
2025-03-07 16:30:00,34.0,7040.6,6537.9,4706.8,4706.8,4499.17
2025-03-07 16:45:00,34.0,7223.9,6048.0,4802.3,4802.3,4577.55
2025-03-07 17:00:00,35.0,7266.8,6672.3,4980.28,4980.28,4499.46
2025-03-07 17:15:00,35.0,7749.6,6348.4,5326.01,5326.01,4640.28
