time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,21.3,81,6.9,0,0.0
2025-03-01 01:00:00,20.8,84,4.8,0,0.0
2025-03-01 02:00:00,20.1,87,1.2,0,0.0
2025-03-01 03:00:00,19.2,92,6.6,0,0.0
2025-03-01 04:00:00,18.8,94,9.1,0,0.0
2025-03-01 05:00:00,18.7,94,11.3,0,0.0
2025-03-01 06:00:00,20.3,90,10.6,0,0.0
2025-03-01 07:00:00,23.2,77,11.8,0,0.0
2025-03-01 08:00:00,26.2,65,8.2,0,0.0
2025-03-01 09:00:00,28.4,57,9.2,0,0.0
2025-03-01 10:00:00,29.9,50,12.3,0,0.0
2025-03-01 11:00:00,31.0,43,15.0,1,0.0
2025-03-01 12:00:00,31.7,39,16.7,2,0.0
2025-03-01 13:00:00,32.0,39,17.3,3,0.0
2025-03-01 14:00:00,31.6,41,20.0,7,0.0
2025-03-01 15:00:00,31.6,40,21.0,5,0.0
2025-03-01 16:00:00,31.1,39,21.8,37,0.0
2025-03-01 17:00:00,29.0,48,24.3,8,0.0
2025-03-01 18:00:00,27.7,52,28.0,29,0.2
2025-03-01 19:00:00,24.4,75,28.7,0,0.6
2025-03-01 20:00:00,23.7,77,18.7,0,0.0
2025-03-01 21:00:00,22.9,82,23.0,0,0.0
2025-03-01 22:00:00,22.9,81,25.1,0,0.0
2025-03-01 23:00:00,22.8,84,26.3,0,0.0
2025-03-02 00:00:00,22.4,87,24.2,0,0.0
2025-03-02 01:00:00,22.0,91,23.9,0,0.0
2025-03-02 02:00:00,21.7,92,20.5,2,0.0
2025-03-02 03:00:00,21.4,94,17.6,5,0.0
2025-03-02 04:00:00,21.1,94,21.4,1,0.0
2025-03-02 05:00:00,20.6,95,14.1,19,0.0
2025-03-02 06:00:00,22.1,91,14.9,32,0.0
2025-03-02 07:00:00,24.0,82,16.0,2,0.0
2025-03-02 08:00:00,26.2,73,15.0,7,0.0
2025-03-02 09:00:00,28.1,65,14.9,8,0.0
2025-03-02 10:00:00,29.9,59,14.1,17,0.0
2025-03-02 11:00:00,31.2,54,13.6,16,0.0
2025-03-02 12:00:00,31.9,50,13.9,27,0.0
2025-03-02 13:00:00,31.9,47,18.9,18,0.0
2025-03-02 14:00:00,32.3,43,19.1,20,0.0
2025-03-02 15:00:00,32.0,40,19.4,51,0.0
2025-03-02 16:00:00,32.0,33,12.0,0,0.0
2025-03-02 17:00:00,28.4,45,10.2,12,0.0
2025-03-02 18:00:00,26.0,67,20.8,8,0.0
2025-03-02 19:00:00,24.8,72,20.4,10,0.0
2025-03-02 20:00:00,23.9,76,21.2,1,0.0
2025-03-02 21:00:00,23.5,82,21.7,2,0.0
2025-03-02 22:00:00,22.9,86,21.9,3,0.0
2025-03-02 23:00:00,22.5,87,21.7,3,0.0
2025-03-03 00:00:00,22.2,90,22.9,20,0.0
2025-03-03 01:00:00,22.0,94,21.6,19,0.0
2025-03-03 02:00:00,21.6,97,20.2,23,0.0
2025-03-03 03:00:00,21.8,98,16.3,85,0.0
2025-03-03 04:00:00,21.9,98,5.8,100,0.0
2025-03-03 05:00:00,22.4,96,5.2,100,0.0
2025-03-03 06:00:00,22.8,96,14.3,82,0.0
2025-03-03 07:00:00,24.1,85,7.7,23,0.0
2025-03-03 08:00:00,27.0,70,9.3,4,0.0
2025-03-03 09:00:00,29.3,54,6.9,67,0.0
2025-03-03 10:00:00,30.1,45,8.6,94,0.0
2025-03-03 11:00:00,31.2,35,9.8,67,0.0
