time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,26.8,41,16.5,67,0.0
2025-03-01 01:00:00,26.0,45,15.3,77,0.0
2025-03-01 02:00:00,25.1,49,16.0,88,0.0
2025-03-01 03:00:00,24.4,55,16.7,100,0.0
2025-03-01 04:00:00,23.8,61,18.2,62,0.0
2025-03-01 05:00:00,23.3,65,18.5,71,0.0
2025-03-01 06:00:00,23.0,69,17.4,21,0.0
2025-03-01 07:00:00,22.6,69,16.7,45,0.0
2025-03-01 08:00:00,23.5,64,13.8,13,0.0
2025-03-01 09:00:00,25.6,53,11.7,0,0.0
2025-03-01 10:00:00,28.0,42,13.5,0,0.0
2025-03-01 11:00:00,30.1,33,13.9,0,0.0
2025-03-01 12:00:00,31.8,26,14.5,0,0.0
2025-03-01 13:00:00,32.8,24,14.8,0,0.0
2025-03-01 14:00:00,33.5,22,14.6,65,0.0
2025-03-01 15:00:00,33.9,20,13.9,59,0.0
2025-03-01 16:00:00,34.0,20,12.6,61,0.0
2025-03-01 17:00:00,33.7,19,12.0,26,0.0
2025-03-01 18:00:00,32.5,22,15.3,0,0.0
2025-03-01 19:00:00,31.5,25,14.5,0,0.0
2025-03-01 20:00:00,30.5,27,13.1,0,0.0
2025-03-01 21:00:00,29.1,31,15.3,0,0.0
2025-03-01 22:00:00,28.2,33,18.7,0,0.0
2025-03-01 23:00:00,27.2,34,18.2,0,0.0
2025-03-02 00:00:00,26.3,35,17.0,0,0.0
2025-03-02 01:00:00,25.5,37,16.9,0,0.0
2025-03-02 02:00:00,24.9,39,18.0,0,0.0
2025-03-02 03:00:00,24.2,42,16.4,0,0.0
2025-03-02 04:00:00,23.4,45,15.3,0,0.0
2025-03-02 05:00:00,22.9,47,13.8,0,0.0
2025-03-02 06:00:00,23.1,52,14.6,0,0.0
2025-03-02 07:00:00,22.8,53,14.4,0,0.0
2025-03-02 08:00:00,23.7,50,16.9,0,0.0
2025-03-02 09:00:00,25.8,43,11.1,0,0.0
2025-03-02 10:00:00,28.3,37,8.3,0,0.0
2025-03-02 11:00:00,30.5,30,8.4,0,0.0
2025-03-02 12:00:00,31.7,25,6.9,0,0.0
2025-03-02 13:00:00,32.5,23,7.8,0,0.0
2025-03-02 14:00:00,33.0,22,7.5,0,0.0
2025-03-02 15:00:00,33.3,22,7.6,0,0.0
2025-03-02 16:00:00,33.2,22,9.4,0,0.0
2025-03-02 17:00:00,32.8,22,10.9,0,0.0
2025-03-02 18:00:00,32.0,23,9.1,0,0.0
2025-03-02 19:00:00,30.8,26,10.7,0,0.0
2025-03-02 20:00:00,30.0,27,13.5,0,0.0
2025-03-02 21:00:00,29.0,29,14.2,0,0.0
2025-03-02 22:00:00,27.9,33,14.5,0,0.0
2025-03-02 23:00:00,27.0,36,15.5,0,0.0
2025-03-03 00:00:00,26.4,40,19.9,0,0.0
2025-03-03 01:00:00,25.8,41,20.8,0,0.0
2025-03-03 02:00:00,25.0,42,20.5,2,0.0
2025-03-03 03:00:00,24.2,43,20.7,46,0.0
2025-03-03 04:00:00,23.6,45,22.7,43,0.0
2025-03-03 05:00:00,23.1,48,22.6,69,0.0
2025-03-03 06:00:00,22.9,51,18.2,7,0.0
2025-03-03 07:00:00,22.6,52,14.6,7,0.0
