time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,12.4,84,6.5,10,0.0
2025-03-01 01:00:00,11.8,86,7.1,6,0.0
2025-03-01 02:00:00,11.6,86,9.9,14,0.0
2025-03-01 03:00:00,11.2,87,11.2,5,0.0
2025-03-01 04:00:00,10.6,90,11.2,0,0.0
2025-03-01 05:00:00,10.3,92,11.1,0,0.0
2025-03-01 06:00:00,12.0,88,10.5,0,0.0
2025-03-01 07:00:00,16.7,67,9.6,0,0.0
2025-03-01 08:00:00,20.5,55,8.3,0,0.0
2025-03-01 09:00:00,22.8,44,6.3,15,0.0
2025-03-01 10:00:00,24.6,37,10.4,17,0.0
2025-03-01 11:00:00,25.7,32,17.1,21,0.0
2025-03-01 12:00:00,25.7,33,19.0,18,0.0
2025-03-01 13:00:00,25.5,33,17.6,6,0.0
2025-03-01 14:00:00,25.2,35,19.5,33,0.0
2025-03-01 15:00:00,23.8,40,18.0,18,0.0
2025-03-01 16:00:00,22.6,47,16.4,11,0.0
2025-03-01 17:00:00,20.3,55,16.5,15,0.0
2025-03-01 18:00:00,19.1,59,16.1,23,0.0
2025-03-01 19:00:00,18.2,63,19.4,1,0.0
2025-03-01 20:00:00,17.3,68,16.8,0,0.0
2025-03-01 21:00:00,16.0,75,14.1,0,0.0
2025-03-01 22:00:00,14.8,81,10.8,0,0.0
2025-03-01 23:00:00,14.2,83,14.2,0,0.0
2025-03-02 00:00:00,13.5,85,15.7,0,0.0
2025-03-02 01:00:00,13.1,87,16.0,0,0.0
2025-03-02 02:00:00,12.7,89,15.7,0,0.0
2025-03-02 03:00:00,12.6,88,18.0,0,0.0
2025-03-02 04:00:00,13.2,84,20.5,1,0.0
2025-03-02 05:00:00,14.1,78,23.5,1,0.0
2025-03-02 06:00:00,15.7,76,21.2,40,0.0
2025-03-02 07:00:00,18.6,63,23.3,2,0.0
2025-03-02 08:00:00,21.5,45,17.9,10,0.0
2025-03-02 09:00:00,23.3,37,22.0,13,0.0
2025-03-02 10:00:00,24.8,38,23.4,30,0.0
2025-03-02 11:00:00,25.8,37,22.8,40,0.0
2025-03-02 12:00:00,24.3,46,19.0,18,0.1
2025-03-02 13:00:00,24.2,49,21.2,49,0.2
2025-03-02 14:00:00,23.3,56,17.4,76,0.5
2025-03-02 15:00:00,20.2,67,21.2,99,0.4
2025-03-02 16:00:00,18.0,78,5.6,30,0.1
2025-03-02 17:00:00,16.1,84,6.5,34,3.4
2025-03-02 18:00:00,16.0,81,14.8,2,0.0
2025-03-02 19:00:00,14.8,86,8.7,22,0.0
2025-03-02 20:00:00,14.7,88,10.5,10,0.0
2025-03-02 21:00:00,14.2,90,11.6,2,0.0
2025-03-02 22:00:00,13.4,93,8.9,2,0.0
2025-03-02 23:00:00,12.8,95,9.7,4,0.0
2025-03-03 00:00:00,12.3,97,10.3,21,0.0
2025-03-03 01:00:00,11.9,98,9.3,43,0.0
2025-03-03 02:00:00,11.3,99,8.5,55,0.0
2025-03-03 03:00:00,10.9,99,6.7,65,0.0
2025-03-03 04:00:00,10.7,100,6.6,98,0.0
2025-03-03 05:00:00,10.3,100,5.9,99,0.0
2025-03-03 06:00:00,13.9,94,7.6,87,0.2
2025-03-03 07:00:00,15.0,93,14.7,24,0.0
2025-03-03 08:00:00,18.7,71,7.7,18,0.0
2025-03-03 09:00:00,22.6,46,6.5,26,0.0
2025-03-03 10:00:00,24.2,39,10.7,54,0.0
2025-03-03 11:00:00,25.0,35,15.6,37,0.0
2025-03-03 12:00:00,25.5,33,18.8,24,0.2
2025-03-03 13:00:00,25.4,34,20.9,25,0.3
2025-03-03 14:00:00,24.7,36,20.5,80,0.4
2025-03-03 15:00:00,24.1,39,14.3,28,0.2
2025-03-03 16:00:00,23.1,42,12.2,12,0.0
2025-03-03 17:00:00,19.9,53,14.6,7,0.0
2025-03-03 18:00:00,17.7,68,9.6,0,0.0
2025-03-03 19:00:00,16.5,74,8.8,10,0.0
2025-03-03 20:00:00,15.8,78,7.6,7,0.0
2025-03-03 21:00:00,15.2,80,7.7,7,0.0
2025-03-03 22:00:00,14.6,83,6.4,7,0.0
2025-03-03 23:00:00,13.8,87,4.6,0,0.0
2025-03-04 00:00:00,12.9,90,4.2,1,0.0
2025-03-04 01:00:00,12.2,92,5.5,4,0.0
2025-03-04 02:00:00,11.6,94,6.0,7,0.0
2025-03-04 03:00:00,11.3,95,8.0,3,0.0
2025-03-04 04:00:00,10.6,97,7.4,5,0.0
2025-03-04 05:00:00,10.1,98,6.1,2,0.0
