time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,13.8,97,18.8,2,0.0
2025-03-01 01:00:00,13.5,97,19.9,0,0.0
2025-03-01 02:00:00,13.3,97,17.9,2,0.0
2025-03-01 03:00:00,12.9,97,16.4,3,0.0
2025-03-01 04:00:00,12.6,98,14.9,2,0.0
2025-03-01 05:00:00,12.1,98,12.3,0,0.0
2025-03-01 06:00:00,12.1,98,13.1,25,0.0
2025-03-01 07:00:00,11.9,99,8.4,96,0.0
2025-03-01 08:00:00,13.4,97,10.1,62,0.0
2025-03-01 09:00:00,15.7,90,8.0,32,0.0
2025-03-01 10:00:00,17.8,83,5.6,0,0.0
2025-03-01 11:00:00,19.5,79,4.6,0,0.0
2025-03-01 12:00:00,20.7,73,3.3,21,0.0
2025-03-01 13:00:00,21.5,66,1.0,30,0.1
2025-03-01 14:00:00,22.0,62,3.0,34,0.0
2025-03-01 15:00:00,22.0,61,6.9,8,0.0
2025-03-01 16:00:00,21.5,62,10.6,5,0.0
2025-03-01 17:00:00,20.6,70,11.2,1,0.0
2025-03-01 18:00:00,18.9,72,17.7,7,0.0
2025-03-01 19:00:00,17.5,75,18.5,3,0.0
2025-03-01 20:00:00,16.1,80,16.3,2,0.0
2025-03-01 21:00:00,14.8,86,15.3,1,0.0
2025-03-01 22:00:00,14.1,86,15.7,0,0.0
2025-03-01 23:00:00,13.7,86,16.2,0,0.0
2025-03-02 00:00:00,13.2,85,17.6,0,0.0
2025-03-02 01:00:00,12.6,84,19.9,0,0.0
2025-03-02 02:00:00,11.8,84,18.6,0,0.0
2025-03-02 03:00:00,11.1,84,19.8,0,0.0
2025-03-02 04:00:00,10.6,82,20.3,0,0.0
2025-03-02 05:00:00,10.1,80,20.2,0,0.0
2025-03-02 06:00:00,11.1,81,20.4,0,0.0
2025-03-02 07:00:00,11.1,81,20.5,0,0.0
2025-03-02 08:00:00,12.9,81,20.0,0,0.0
2025-03-02 09:00:00,15.4,76,18.4,0,0.0
2025-03-02 10:00:00,17.7,70,9.4,0,0.0
2025-03-02 11:00:00,19.6,65,9.1,0,0.0
2025-03-02 12:00:00,21.0,57,10.9,0,0.0
2025-03-02 13:00:00,21.8,50,11.9,0,0.0
2025-03-02 14:00:00,22.0,46,11.5,0,0.0
2025-03-02 15:00:00,21.9,45,11.5,0,0.0
2025-03-02 16:00:00,21.4,48,11.0,0,0.0
2025-03-02 17:00:00,19.7,65,10.6,2,0.0
2025-03-02 18:00:00,17.2,74,14.9,0,0.0
2025-03-02 19:00:00,16.6,72,19.4,0,0.0
2025-03-02 20:00:00,16.0,71,18.3,0,0.0
2025-03-02 21:00:00,14.6,76,16.6,0,0.0
2025-03-02 22:00:00,13.2,79,14.1,0,0.0
2025-03-02 23:00:00,12.7,78,10.6,0,0.0
2025-03-03 00:00:00,12.9,75,5.3,0,0.0
2025-03-03 01:00:00,11.4,83,4.1,0,0.0
2025-03-03 02:00:00,11.0,87,7.8,0,0.0
2025-03-03 03:00:00,10.6,88,18.1,6,0.0
2025-03-03 04:00:00,10.3,88,19.5,100,0.0
2025-03-03 05:00:00,11.0,86,22.0,100,0.0
2025-03-03 06:00:00,12.5,86,13.7,100,0.0
2025-03-03 07:00:00,13.2,83,22.7,100,0.0
2025-03-03 08:00:00,14.2,80,11.2,65,0.5
2025-03-03 09:00:00,16.1,76,16.8,100,0.0
2025-03-03 10:00:00,16.5,74,12.2,96,0.0
2025-03-03 11:00:00,16.0,75,18.5,54,0.2
2025-03-03 12:00:00,18.2,65,13.5,19,0.0
2025-03-03 13:00:00,19.9,59,15.5,11,0.0
2025-03-03 14:00:00,20.5,55,15.8,6,0.0
2025-03-03 15:00:00,20.6,54,18.6,1,0.0
2025-03-03 16:00:00,20.4,57,17.5,19,0.0
2025-03-03 17:00:00,19.4,69,14.9,20,0.0
2025-03-03 18:00:00,17.5,77,3.4,34,0.0
2025-03-03 19:00:00,15.8,89,8.3,12,0.0
2025-03-03 20:00:00,15.1,92,10.5,6,0.0
2025-03-03 21:00:00,14.5,92,19.9,1,0.0
2025-03-03 22:00:00,13.9,90,27.5,0,0.0
2025-03-03 23:00:00,13.4,85,21.9,0,0.0
2025-03-04 00:00:00,12.9,84,24.7,0,0.0
2025-03-04 01:00:00,11.9,86,21.3,1,0.0
2025-03-04 02:00:00,11.2,88,20.1,9,0.0
2025-03-04 03:00:00,10.8,90,17.4,89,0.0
2025-03-04 04:00:00,10.4,93,25.5,14,0.0
2025-03-04 05:00:00,10.4,93,23.6,25,0.0
2025-03-04 06:00:00,10.6,94,23.0,2,0.0
2025-03-04 07:00:00,10.6,91,21.6,10,0.0
2025-03-04 08:00:00,12.2,84,19.1,0,0.0
2025-03-04 09:00:00,14.4,77,6.6,0,0.0
2025-03-04 10:00:00,16.2,74,13.1,0,0.0
2025-03-04 11:00:00,17.6,69,11.6,0,0.0
2025-03-04 12:00:00,19.0,61,15.2,25,0.0
2025-03-04 13:00:00,19.5,57,18.5,25,0.0
2025-03-04 14:00:00,19.5,52,20.5,18,0.0
2025-03-04 15:00:00,19.2,54,20.7,1,0.0
2025-03-04 16:00:00,18.8,54,19.0,0,0.0
2025-03-04 17:00:00,17.7,61,18.6,0,0.0
2025-03-04 18:00:00,16.2,64,26.4,0,0.0
2025-03-04 19:00:00,14.8,69,25.5,0,0.0
2025-03-04 20:00:00,13.7,73,25.8,0,0.0
2025-03-04 21:00:00,13.0,74,27.2,0,0.0
2025-03-04 22:00:00,12.7,71,28.1,0,0.0
2025-03-04 23:00:00,12.2,67,28.4,0,0.0
2025-03-05 00:00:00,12.0,66,28.8,0,0.0
2025-03-05 01:00:00,11.7,67,28.9,0,0.0
2025-03-05 02:00:00,11.4,69,28.1,0,0.0
2025-03-05 03:00:00,10.7,72,26.9,0,0.0
2025-03-05 04:00:00,9.9,75,26.9,0,0.0
2025-03-05 05:00:00,9.7,75,28.1,0,0.0
2025-03-05 06:00:00,10.1,77,28.6,0,0.0
2025-03-05 07:00:00,10.4,75,28.7,0,0.0
2025-03-05 08:00:00,12.1,72,29.3,0,0.0
2025-03-05 09:00:00,14.4,67,22.6,0,0.0
2025-03-05 10:00:00,16.6,61,21.8,0,0.0
2025-03-05 11:00:00,18.4,53,24.8,0,0.0
2025-03-05 12:00:00,19.5,49,25.7,0,0.0
2025-03-05 13:00:00,20.4,46,26.9,0,0.0
2025-03-05 14:00:00,20.8,46,27.5,0,0.0
2025-03-05 15:00:00,20.6,48,27.8,0,0.0
2025-03-05 16:00:00,20.0,51,27.1,0,0.0
2025-03-05 17:00:00,18.8,57,26.7,0,0.0
