time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.2,33,15.4,15,0.0
2025-03-01 01:00:00,23.6,39,20.7,22,0.0
2025-03-01 02:00:00,23.8,39,17.2,0,0.0
2025-03-01 03:00:00,22.4,43,5.4,0,0.0
2025-03-01 04:00:00,21.4,47,6.5,0,0.0
2025-03-01 05:00:00,22.0,45,8.8,0,0.0
2025-03-01 06:00:00,22.5,46,15.4,0,0.0
2025-03-01 07:00:00,23.2,41,12.8,0,0.0
2025-03-01 08:00:00,25.4,37,10.4,0,0.0
2025-03-01 09:00:00,27.9,34,12.0,0,0.0
2025-03-01 10:00:00,29.0,36,17.3,0,0.0
2025-03-01 11:00:00,30.6,33,18.0,0,0.0
2025-03-01 12:00:00,31.9,30,17.3,0,0.0
2025-03-01 13:00:00,33.0,26,13.7,27,0.0
2025-03-01 14:00:00,33.5,23,10.8,87,0.0
2025-03-01 15:00:00,33.5,22,10.0,97,0.0
2025-03-01 16:00:00,33.1,23,9.0,100,0.0
2025-03-01 17:00:00,32.3,24,7.4,38,0.0
2025-03-01 18:00:00,31.0,26,13.5,8,0.0
2025-03-01 19:00:00,30.0,27,14.0,20,0.0
2025-03-01 20:00:00,28.5,29,9.1,13,0.0
2025-03-01 21:00:00,27.3,34,7.7,15,0.0
2025-03-01 22:00:00,26.4,38,22.4,1,0.0
2025-03-01 23:00:00,26.4,37,27.4,0,0.0
2025-03-02 00:00:00,25.6,40,30.3,29,0.0
2025-03-02 01:00:00,25.0,41,34.2,72,0.0
2025-03-02 02:00:00,24.5,42,33.7,41,0.0
2025-03-02 03:00:00,24.1,42,29.7,94,0.0
2025-03-02 04:00:00,23.8,42,25.6,95,0.0
2025-03-02 05:00:00,22.7,47,13.0,93,0.0
2025-03-02 06:00:00,22.6,48,13.0,97,0.0
2025-03-02 07:00:00,23.2,46,14.1,94,0.0
2025-03-02 08:00:00,25.5,41,12.8,99,0.0
2025-03-02 09:00:00,28.2,33,8.3,95,0.0
2025-03-02 10:00:00,30.4,29,8.5,100,0.0
2025-03-02 11:00:00,31.8,26,4.2,98,0.0
2025-03-02 12:00:00,32.8,24,2.0,100,0.0
2025-03-02 13:00:00,33.6,22,7.5,98,0.0
2025-03-02 14:00:00,33.9,21,12.4,99,0.0
2025-03-02 15:00:00,33.7,22,16.4,100,0.0
2025-03-02 16:00:00,32.7,23,20.6,95,0.0
2025-03-02 17:00:00,31.8,23,19.8,17,0.0
2025-03-02 18:00:00,30.3,25,16.0,15,0.0
2025-03-02 19:00:00,29.0,29,9.9,12,0.0
2025-03-02 20:00:00,28.2,30,3.9,2,0.0
2025-03-02 21:00:00,26.6,33,13.4,17,0.0
2025-03-02 22:00:00,27.5,28,20.4,23,0.0
2025-03-02 23:00:00,25.9,29,26.6,7,0.0
2025-03-03 00:00:00,24.5,31,27.1,6,0.0
2025-03-03 01:00:00,23.9,33,26.4,6,0.0
2025-03-03 02:00:00,23.1,37,25.1,11,0.0
2025-03-03 03:00:00,22.5,40,26.1,93,0.0
2025-03-03 04:00:00,22.1,42,26.1,92,0.0
2025-03-03 05:00:00,22.0,42,26.0,99,0.0
2025-03-03 06:00:00,22.1,45,22.0,87,0.0
2025-03-03 07:00:00,22.7,43,21.4,83,0.0
2025-03-03 08:00:00,25.0,38,20.5,92,0.0
