time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,21.1,74,24.1,61,0.0
2025-03-01 01:00:00,20.2,81,21.4,99,0.0
2025-03-01 02:00:00,19.5,89,22.0,99,0.0
2025-03-01 03:00:00,18.8,95,21.4,100,0.0
2025-03-01 04:00:00,18.6,97,17.9,100,0.0
2025-03-01 05:00:00,18.8,93,17.3,72,0.0
2025-03-01 06:00:00,18.9,94,20.8,100,0.0
2025-03-01 07:00:00,19.5,88,18.2,76,0.0
2025-03-01 08:00:00,21.5,76,14.4,55,0.0
2025-03-01 09:00:00,24.2,63,14.9,54,0.0
2025-03-01 10:00:00,26.7,53,14.6,77,0.0
2025-03-01 11:00:00,28.4,45,18.3,78,0.0
2025-03-01 12:00:00,29.8,40,18.6,18,0.0
2025-03-01 13:00:00,30.9,36,17.3,33,0.0
2025-03-01 14:00:00,31.4,35,16.2,74,0.0
2025-03-01 15:00:00,31.4,34,15.7,100,0.0
2025-03-01 16:00:00,31.0,35,17.3,95,0.0
2025-03-01 17:00:00,30.0,37,19.3,99,0.0
2025-03-01 18:00:00,27.5,45,21.8,90,0.0
2025-03-01 19:00:00,26.6,49,22.5,99,0.0
2025-03-01 20:00:00,25.7,55,22.1,6,0.0
2025-03-01 21:00:00,24.6,60,21.7,30,0.0
2025-03-01 22:00:00,23.8,64,22.1,2,0.0
2025-03-01 23:00:00,22.8,70,24.1,0,0.0
2025-03-02 00:00:00,21.9,77,25.2,0,0.0
2025-03-02 01:00:00,21.2,82,24.2,0,0.0
2025-03-02 02:00:00,20.5,88,22.8,36,0.0
2025-03-02 03:00:00,19.7,93,20.1,100,0.0
2025-03-02 04:00:00,19.6,95,18.9,100,0.0
2025-03-02 05:00:00,19.8,92,19.9,60,0.0
2025-03-02 06:00:00,19.6,93,19.8,19,0.0
2025-03-02 07:00:00,20.0,90,17.7,76,0.0
2025-03-02 08:00:00,22.0,76,13.5,100,0.0
2025-03-02 09:00:00,24.8,58,11.8,100,0.0
2025-03-02 10:00:00,27.7,40,12.3,99,0.0
2025-03-02 11:00:00,29.7,31,12.2,88,0.0
2025-03-02 12:00:00,31.0,27,12.1,98,0.0
2025-03-02 13:00:00,31.8,25,12.8,97,0.0
2025-03-02 14:00:00,32.2,25,13.1,37,0.0
2025-03-02 15:00:00,31.9,27,13.1,25,0.0
2025-03-02 16:00:00,31.5,29,13.4,57,0.0
2025-03-02 17:00:00,30.9,29,13.2,100,0.0
2025-03-02 18:00:00,29.5,33,13.6,100,0.0
2025-03-02 19:00:00,28.7,33,17.5,99,0.0
2025-03-02 20:00:00,27.5,36,17.0,96,0.0
2025-03-02 21:00:00,26.6,39,17.4,72,0.0
2025-03-02 22:00:00,25.8,43,19.3,55,0.0
2025-03-02 23:00:00,24.7,48,20.0,99,0.0
2025-03-03 00:00:00,23.5,57,19.6,93,0.0
2025-03-03 01:00:00,22.2,72,21.4,63,0.0
2025-03-03 02:00:00,21.0,86,16.6,42,0.0
2025-03-03 03:00:00,20.4,91,12.5,49,0.0
2025-03-03 04:00:00,20.2,91,13.2,10,0.0
2025-03-03 05:00:00,20.2,86,14.8,2,0.0
2025-03-03 06:00:00,20.6,89,15.4,0,0.0
2025-03-03 07:00:00,21.5,81,14.3,76,0.0
2025-03-03 08:00:00,24.1,65,7.7,94,0.0
2025-03-03 09:00:00,26.9,50,6.2,94,0.0
2025-03-03 10:00:00,29.2,37,8.9,98,0.0
2025-03-03 11:00:00,31.1,27,15.8,100,0.0
2025-03-03 12:00:00,32.3,21,18.8,100,0.0
2025-03-03 13:00:00,33.0,19,21.0,95,0.0
2025-03-03 14:00:00,33.1,18,22.2,100,0.0
2025-03-03 15:00:00,32.8,18,21.4,73,0.0
2025-03-03 16:00:00,32.3,18,22.2,100,0.0
2025-03-03 17:00:00,31.2,19,21.3,100,0.0
2025-03-03 18:00:00,30.1,22,18.1,100,0.0
2025-03-03 19:00:00,29.2,23,13.6,100,0.0
2025-03-03 20:00:00,27.9,26,12.1,100,0.0
2025-03-03 21:00:00,26.9,32,14.2,100,0.0
2025-03-03 22:00:00,26.0,39,23.1,100,0.0
2025-03-03 23:00:00,25.5,37,24.7,100,0.0
2025-03-04 00:00:00,24.1,44,21.5,100,0.0
2025-03-04 01:00:00,23.1,50,19.8,100,0.0
2025-03-04 02:00:00,22.6,54,19.5,100,0.0
2025-03-04 03:00:00,22.2,57,18.8,100,0.0
2025-03-04 04:00:00,21.9,59,18.0,100,0.0
2025-03-04 05:00:00,21.6,60,17.2,100,0.0
2025-03-04 06:00:00,21.5,66,16.4,100,0.0
2025-03-04 07:00:00,22.6,61,16.3,100,0.0
2025-03-04 08:00:00,25.2,48,11.4,100,0.0
2025-03-04 09:00:00,28.5,29,13.8,100,0.0
2025-03-04 10:00:00,30.1,25,23.0,87,0.0
2025-03-04 11:00:00,31.7,20,24.6,46,0.0
2025-03-04 12:00:00,32.2,21,25.2,26,0.0
2025-03-04 13:00:00,33.0,20,23.3,23,0.0
2025-03-04 14:00:00,33.1,19,24.5,55,0.0
2025-03-04 15:00:00,32.7,20,23.5,100,0.0
2025-03-04 16:00:00,31.9,22,23.2,100,0.0
2025-03-04 17:00:00,31.0,23,21.2,97,0.0
2025-03-04 18:00:00,29.6,23,20.3,100,0.0
2025-03-04 19:00:00,29.0,25,19.3,100,0.0
2025-03-04 20:00:00,27.9,29,24.2,98,0.0
2025-03-04 21:00:00,26.7,30,22.7,100,0.0
2025-03-04 22:00:00,25.6,31,20.6,100,0.0
2025-03-04 23:00:00,24.8,32,20.3,100,0.0
2025-03-05 00:00:00,24.0,34,22.3,100,0.0
2025-03-05 01:00:00,23.5,36,22.2,100,0.0
2025-03-05 02:00:00,23.0,39,18.9,100,0.0
2025-03-05 03:00:00,22.6,41,17.6,100,0.0
2025-03-05 04:00:00,22.5,41,18.7,99,0.0
2025-03-05 05:00:00,22.0,43,16.9,100,0.0
2025-03-05 06:00:00,21.6,50,16.8,100,0.0
2025-03-05 07:00:00,23.0,45,16.4,100,0.0
2025-03-05 08:00:00,26.2,36,12.0,99,0.0
2025-03-05 09:00:00,28.9,26,13.0,100,0.0
2025-03-05 10:00:00,30.7,21,15.7,100,0.0
2025-03-05 11:00:00,31.5,21,18.2,100,0.0
2025-03-05 12:00:00,33.2,17,17.0,100,0.0
2025-03-05 13:00:00,33.1,19,22.7,100,0.0
2025-03-05 14:00:00,33.0,20,16.3,53,0.0
2025-03-05 15:00:00,33.1,21,14.7,96,0.0
2025-03-05 16:00:00,32.5,21,15.7,88,0.0
2025-03-05 17:00:00,31.8,23,16.3,100,0.0
2025-03-05 18:00:00,30.5,23,15.2,47,0.0
2025-03-05 19:00:00,29.1,26,13.9,45,0.0
