time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.7,40,30.2,4,0.0
2025-03-01 01:00:00,24.5,46,26.0,1,0.0
2025-03-01 02:00:00,23.4,53,23.2,0,0.0
2025-03-01 03:00:00,22.4,61,22.4,0,0.0
2025-03-01 04:00:00,21.5,68,21.2,0,0.0
2025-03-01 05:00:00,20.8,74,19.1,0,0.0
2025-03-01 06:00:00,20.5,84,22.8,0,0.0
2025-03-01 07:00:00,21.1,83,19.4,0,0.0
2025-03-01 08:00:00,23.5,73,12.0,0,0.0
2025-03-01 09:00:00,26.6,56,13.8,0,0.0
2025-03-01 10:00:00,29.5,40,15.1,0,0.0
2025-03-01 11:00:00,31.8,29,16.0,70,0.0
2025-03-01 12:00:00,33.3,24,15.7,79,0.0
2025-03-01 13:00:00,34.3,21,15.2,82,0.0
2025-03-01 14:00:00,35.0,19,13.9,67,0.0
2025-03-01 15:00:00,35.0,19,12.5,68,0.0
2025-03-01 16:00:00,34.5,20,13.4,88,0.0
2025-03-01 17:00:00,33.3,22,15.9,49,0.0
2025-03-01 18:00:00,31.2,26,18.8,10,0.0
2025-03-01 19:00:00,29.6,30,21.4,0,0.0
2025-03-01 20:00:00,28.5,34,23.1,2,0.0
2025-03-01 21:00:00,27.7,36,20.4,97,0.0
2025-03-01 22:00:00,26.9,38,18.7,96,0.0
2025-03-01 23:00:00,26.1,40,17.5,96,0.0
2025-03-02 00:00:00,25.0,43,16.6,94,0.0
2025-03-02 01:00:00,25.1,46,29.0,85,0.0
2025-03-02 02:00:00,24.5,54,24.9,100,0.0
2025-03-02 03:00:00,23.6,60,20.1,100,0.0
2025-03-02 04:00:00,23.0,64,17.4,78,0.0
2025-03-02 05:00:00,22.4,68,17.3,4,0.0
2025-03-02 06:00:00,22.8,79,19.0,18,0.0
2025-03-02 07:00:00,23.6,77,19.0,79,0.0
2025-03-02 08:00:00,25.8,69,15.0,97,0.0
2025-03-02 09:00:00,28.5,53,14.7,100,0.0
2025-03-02 10:00:00,31.3,38,12.7,100,0.0
2025-03-02 11:00:00,33.7,27,11.2,100,0.0
2025-03-02 12:00:00,35.3,19,14.4,97,0.0
2025-03-02 13:00:00,36.2,17,17.0,93,0.0
2025-03-02 14:00:00,36.5,16,16.6,93,0.0
2025-03-02 15:00:00,36.5,16,14.1,97,0.0
2025-03-02 16:00:00,36.2,16,12.5,97,0.0
2025-03-02 17:00:00,35.2,16,13.8,27,0.0
2025-03-02 18:00:00,32.5,20,21.1,78,0.0
2025-03-02 19:00:00,31.0,22,20.8,90,0.0
2025-03-02 20:00:00,29.0,25,15.0,98,0.0
2025-03-02 21:00:00,27.9,27,11.9,81,0.0
2025-03-02 22:00:00,27.1,28,10.4,0,0.0
2025-03-02 23:00:00,25.5,31,3.0,4,0.0
2025-03-03 00:00:00,24.9,34,5.2,7,0.0
2025-03-03 01:00:00,23.3,38,11.0,1,0.0
2025-03-03 02:00:00,24.1,35,19.7,8,0.0
2025-03-03 03:00:00,23.9,39,20.3,1,0.0
2025-03-03 04:00:00,23.2,47,20.5,33,0.0
2025-03-03 05:00:00,22.5,55,22.6,75,0.0
2025-03-03 06:00:00,23.1,65,20.3,91,0.0
2025-03-03 07:00:00,24.0,63,24.5,100,0.0
2025-03-03 08:00:00,26.5,53,16.3,92,0.0
2025-03-03 09:00:00,30.4,39,16.2,30,0.0
2025-03-03 10:00:00,32.8,31,14.0,21,0.0
2025-03-03 11:00:00,34.9,24,7.4,67,0.0
2025-03-03 12:00:00,36.5,19,10.5,47,0.0
2025-03-03 13:00:00,37.2,17,17.3,51,0.0
2025-03-03 14:00:00,37.2,17,17.7,29,0.0
2025-03-03 15:00:00,37.3,17,12.6,15,0.0
2025-03-03 16:00:00,37.2,17,14.0,19,0.0
2025-03-03 17:00:00,36.0,18,22.0,40,0.0
2025-03-03 18:00:00,33.8,19,24.3,97,0.0
2025-03-03 19:00:00,32.4,21,25.2,68,0.0
2025-03-03 20:00:00,30.6,23,18.5,38,0.0
2025-03-03 21:00:00,29.8,23,23.9,100,0.0
2025-03-03 22:00:00,29.4,23,21.7,100,0.0
2025-03-03 23:00:00,28.5,25,18.3,100,0.0
2025-03-04 00:00:00,27.1,28,21.0,100,0.0
2025-03-04 01:00:00,26.3,31,16.8,100,0.0
2025-03-04 02:00:00,26.0,33,15.9,100,0.0
2025-03-04 03:00:00,25.4,35,16.7,99,0.0
2025-03-04 04:00:00,24.6,37,16.7,100,0.0
2025-03-04 05:00:00,24.3,38,16.1,100,0.0
2025-03-04 06:00:00,24.4,44,14.6,100,0.0
2025-03-04 07:00:00,25.5,42,14.6,91,0.0
2025-03-04 08:00:00,28.4,36,12.9,81,0.0
2025-03-04 09:00:00,31.5,29,11.1,65,0.0
2025-03-04 10:00:00,34.0,23,11.2,100,0.0
2025-03-04 11:00:00,35.6,19,16.0,100,0.0
2025-03-04 12:00:00,36.6,16,20.9,100,0.0
2025-03-04 13:00:00,37.0,16,20.7,100,0.0
2025-03-04 14:00:00,37.0,15,17.3,100,0.0
2025-03-04 15:00:00,37.5,14,21.0,99,0.0
2025-03-04 16:00:00,36.8,14,28.3,97,0.0
2025-03-04 17:00:00,35.8,15,25.0,93,0.0
2025-03-04 18:00:00,33.5,17,21.9,96,0.0
2025-03-04 19:00:00,31.2,20,18.4,100,0.0
2025-03-04 20:00:00,30.1,22,12.0,94,0.0
2025-03-04 21:00:00,29.2,24,6.7,44,0.0
2025-03-04 22:00:00,28.8,25,5.8,100,0.0
2025-03-04 23:00:00,28.3,26,12.6,98,0.0
2025-03-05 00:00:00,27.0,29,11.0,89,0.0
2025-03-05 01:00:00,26.0,33,17.6,94,0.0
2025-03-05 02:00:00,25.8,35,19.4,100,0.0
2025-03-05 03:00:00,24.9,36,20.4,98,0.0
2025-03-05 04:00:00,24.2,37,20.7,100,0.0
2025-03-05 05:00:00,24.0,38,23.5,68,0.0
2025-03-05 06:00:00,24.2,41,21.5,99,0.0
2025-03-05 07:00:00,25.5,37,18.3,100,0.0
2025-03-05 08:00:00,29.1,29,12.3,100,0.0
2025-03-05 09:00:00,32.1,24,5.4,85,0.0
2025-03-05 10:00:00,34.2,21,3.3,25,0.0
2025-03-05 11:00:00,35.7,18,11.8,99,0.0
2025-03-05 12:00:00,36.5,17,15.5,100,0.0
2025-03-05 13:00:00,37.0,17,15.6,96,0.0
2025-03-05 14:00:00,37.3,16,13.5,97,0.0
2025-03-05 15:00:00,37.2,16,13.4,100,0.0
2025-03-05 16:00:00,36.7,16,16.1,100,0.0
2025-03-05 17:00:00,35.7,17,20.8,90,0.0
2025-03-05 18:00:00,33.3,20,19.7,100,0.0
