time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,19.5,71,13.3,81,0.0
2025-03-01 01:00:00,19.3,73,12.0,97,0.0
2025-03-01 02:00:00,18.5,78,18.6,100,0.0
2025-03-01 03:00:00,18.5,77,26.5,98,0.0
2025-03-01 04:00:00,18.0,77,23.8,97,0.0
2025-03-01 05:00:00,17.4,79,19.1,85,0.0
2025-03-01 06:00:00,18.0,77,25.4,65,0.0
2025-03-01 07:00:00,17.6,76,22.4,66,0.0
2025-03-01 08:00:00,19.0,70,22.9,58,0.0
2025-03-01 09:00:00,21.7,57,16.1,98,0.0
2025-03-01 10:00:00,24.4,44,17.4,95,0.0
2025-03-01 11:00:00,26.3,38,14.5,79,0.0
2025-03-01 12:00:00,27.4,36,12.2,96,0.0
2025-03-01 13:00:00,28.0,35,10.0,98,0.0
2025-03-01 14:00:00,28.4,34,11.0,98,0.0
2025-03-01 15:00:00,28.4,33,12.9,66,0.0
2025-03-01 16:00:00,28.2,32,12.4,29,0.0
2025-03-01 17:00:00,27.4,34,15.0,15,0.0
2025-03-01 18:00:00,25.5,40,22.0,9,0.0
2025-03-01 19:00:00,23.7,45,24.1,2,0.0
2025-03-01 20:00:00,22.3,48,23.7,1,0.0
2025-03-01 21:00:00,21.4,46,25.8,1,0.0
2025-03-01 22:00:00,20.2,44,27.5,0,0.0
2025-03-01 23:00:00,19.4,43,29.6,0,0.0
2025-03-02 00:00:00,18.6,46,29.0,0,0.0
2025-03-02 01:00:00,17.9,50,28.3,0,0.0
2025-03-02 02:00:00,17.3,54,27.7,0,0.0
2025-03-02 03:00:00,16.6,59,25.7,0,0.0
2025-03-02 04:00:00,16.0,65,25.3,0,0.0
2025-03-02 05:00:00,15.7,71,25.1,0,0.0
2025-03-02 06:00:00,16.5,81,25.1,0,0.0
2025-03-02 07:00:00,16.2,84,23.8,0,0.0
2025-03-02 08:00:00,17.8,78,23.6,0,0.0
2025-03-02 09:00:00,20.0,68,16.7,0,0.0
2025-03-02 10:00:00,22.6,58,13.7,0,0.0
2025-03-02 11:00:00,25.3,45,12.6,0,0.0
2025-03-02 12:00:00,27.2,34,10.8,0,0.0
2025-03-02 13:00:00,28.4,28,8.4,0,0.0
2025-03-02 14:00:00,28.9,24,6.0,0,0.0
2025-03-02 15:00:00,29.2,23,4.5,0,0.0
2025-03-02 16:00:00,29.0,23,3.9,0,0.0
2025-03-02 17:00:00,28.6,23,3.7,0,0.0
2025-03-02 18:00:00,25.5,30,12.4,1,0.0
2025-03-02 19:00:00,23.4,34,15.8,1,0.0
2025-03-02 20:00:00,22.0,37,17.4,0,0.0
2025-03-02 21:00:00,20.8,40,17.8,0,0.0
2025-03-02 22:00:00,20.1,39,21.4,0,0.0
2025-03-02 23:00:00,20.1,35,25.1,0,0.0
2025-03-03 00:00:00,19.9,34,26.5,2,0.0
2025-03-03 01:00:00,19.2,37,25.0,0,0.0
2025-03-03 02:00:00,18.4,39,25.3,5,0.0
2025-03-03 03:00:00,18.6,40,28.0,16,0.0
2025-03-03 04:00:00,19.1,40,26.6,9,0.0
2025-03-03 05:00:00,19.0,43,27.1,15,0.0
2025-03-03 06:00:00,19.4,48,28.0,0,0.0
2025-03-03 07:00:00,19.8,49,27.8,0,0.0
2025-03-03 08:00:00,21.7,47,27.5,0,0.0
2025-03-03 09:00:00,24.4,40,23.4,0,0.0
2025-03-03 10:00:00,26.8,31,24.5,0,0.0
2025-03-03 11:00:00,28.1,28,28.1,0,0.0
2025-03-03 12:00:00,29.1,28,27.4,0,0.0
2025-03-03 13:00:00,29.6,28,28.2,0,0.0
2025-03-03 14:00:00,29.8,27,27.0,0,0.0
2025-03-03 15:00:00,29.9,26,26.3,0,0.0
2025-03-03 16:00:00,29.5,25,27.1,2,0.0
2025-03-03 17:00:00,28.5,26,28.5,4,0.0
2025-03-03 18:00:00,27.5,28,27.9,2,0.0
2025-03-03 19:00:00,25.9,30,33.8,0,0.0
2025-03-03 20:00:00,24.8,26,35.5,0,0.0
2025-03-03 21:00:00,23.4,22,35.3,0,0.0
2025-03-03 22:00:00,21.9,20,32.1,0,0.0
2025-03-03 23:00:00,20.6,23,31.3,0,0.0
2025-03-04 00:00:00,20.0,23,37.7,0,0.0
2025-03-04 01:00:00,19.8,20,40.1,0,0.0
2025-03-04 02:00:00,18.9,19,40.5,0,0.0
2025-03-04 03:00:00,18.2,18,39.7,0,0.0
2025-03-04 04:00:00,17.0,18,33.5,0,0.0
2025-03-04 05:00:00,15.7,18,30.2,0,0.0
2025-03-04 06:00:00,14.5,22,25.4,0,0.0
2025-03-04 07:00:00,13.8,25,26.0,0,0.0
2025-03-04 08:00:00,15.3,24,25.9,0,0.0
2025-03-04 09:00:00,17.5,19,18.2,0,0.0
2025-03-04 10:00:00,19.5,14,18.7,0,0.0
2025-03-04 11:00:00,21.4,12,16.4,0,0.0
2025-03-04 12:00:00,23.0,11,14.8,0,0.0
2025-03-04 13:00:00,24.0,10,16.0,0,0.0
2025-03-04 14:00:00,24.5,10,15.9,0,0.0
2025-03-04 15:00:00,24.8,11,14.8,0,0.0
2025-03-04 16:00:00,24.6,11,14.6,0,0.0
2025-03-04 17:00:00,23.9,11,14.6,0,0.0
2025-03-04 18:00:00,22.0,16,13.7,0,0.0
2025-03-04 19:00:00,20.0,20,15.5,0,0.0
2025-03-04 20:00:00,18.7,23,14.6,0,0.0
2025-03-04 21:00:00,18.1,26,11.0,0,0.0
2025-03-04 22:00:00,17.8,27,9.7,0,0.0
2025-03-04 23:00:00,17.0,28,9.8,0,0.0
2025-03-05 00:00:00,14.6,34,15.9,0,0.0
2025-03-05 01:00:00,13.6,40,10.7,0,0.0
2025-03-05 02:00:00,12.6,45,9.8,0,0.0
2025-03-05 03:00:00,11.9,49,8.0,0,0.0
2025-03-05 04:00:00,11.2,51,7.7,0,0.0
2025-03-05 05:00:00,10.6,53,6.5,0,0.0
2025-03-05 06:00:00,9.2,58,9.3,0,0.0
2025-03-05 07:00:00,9.1,60,11.3,0,0.0
2025-03-05 08:00:00,12.7,48,13.7,0,0.0
2025-03-05 09:00:00,17.2,36,12.1,0,0.0
2025-03-05 10:00:00,20.7,25,6.1,0,0.0
2025-03-05 11:00:00,23.2,14,4.0,0,0.0
2025-03-05 12:00:00,25.0,10,3.1,2,0.0
2025-03-05 13:00:00,26.4,9,4.1,0,0.0
2025-03-05 14:00:00,27.3,8,6.0,0,0.0
2025-03-05 15:00:00,27.9,8,9.5,0,0.0
2025-03-05 16:00:00,27.9,7,11.7,0,0.0
2025-03-05 17:00:00,27.2,8,11.1,0,0.0
2025-03-05 18:00:00,24.5,10,13.3,0,0.0
2025-03-05 19:00:00,21.9,13,14.9,0,0.0
2025-03-05 20:00:00,20.9,14,16.5,0,0.0
2025-03-05 21:00:00,19.8,13,18.0,0,0.0
2025-03-05 22:00:00,18.6,14,20.2,0,0.0
2025-03-05 23:00:00,17.3,16,17.1,0,0.0
2025-03-06 00:00:00,16.5,17,16.4,0,0.0
2025-03-06 01:00:00,16.0,17,20.9,0,0.0
2025-03-06 02:00:00,15.4,18,20.9,0,0.0
2025-03-06 03:00:00,14.6,20,20.5,0,0.0
2025-03-06 04:00:00,14.7,21,24.1,0,0.0
2025-03-06 05:00:00,14.6,22,25.1,0,0.0
2025-03-06 06:00:00,14.4,23,26.4,0,0.0
2025-03-06 07:00:00,14.7,22,27.9,0,0.0
2025-03-06 08:00:00,17.5,19,26.7,0,0.0
2025-03-06 09:00:00,21.1,16,26.3,0,0.0
2025-03-06 10:00:00,24.6,13,19.3,0,0.0
2025-03-06 11:00:00,27.5,11,22.0,0,0.0
2025-03-06 12:00:00,29.4,10,22.5,0,0.0
2025-03-06 13:00:00,31.0,11,21.7,0,0.0
2025-03-06 14:00:00,31.6,11,21.2,0,0.0
2025-03-06 15:00:00,31.9,12,21.8,0,0.0
2025-03-06 16:00:00,31.7,12,21.6,0,0.0
2025-03-06 17:00:00,31.0,13,18.3,0,0.0
2025-03-06 18:00:00,28.6,16,15.7,0,0.0
2025-03-06 19:00:00,26.0,19,16.5,0,0.0
2025-03-06 20:00:00,24.7,21,19.4,0,0.0
2025-03-06 21:00:00,24.5,22,26.7,0,0.0
2025-03-06 22:00:00,23.2,27,23.2,0,0.0
2025-03-06 23:00:00,21.6,30,21.6,0,0.0
2025-03-07 00:00:00,20.8,31,22.2,0,0.0
2025-03-07 01:00:00,19.8,32,17.7,0,0.0
2025-03-07 02:00:00,18.7,34,14.1,0,0.0
2025-03-07 03:00:00,17.4,37,13.9,0,0.0
2025-03-07 04:00:00,16.4,40,18.1,0,0.0
2025-03-07 05:00:00,16.3,42,20.1,0,0.0
2025-03-07 06:00:00,15.4,47,18.1,0,0.0
2025-03-07 07:00:00,15.9,45,18.0,0,0.0
2025-03-07 08:00:00,19.2,37,19.8,0,0.0
2025-03-07 09:00:00,23.4,29,19.2,0,0.0
2025-03-07 10:00:00,26.9,23,13.0,7,0.0
2025-03-07 11:00:00,29.8,19,16.6,0,0.0
2025-03-07 12:00:00,31.8,16,19.7,0,0.0
2025-03-07 13:00:00,32.8,14,21.0,0,0.0
2025-03-07 14:00:00,33.5,13,19.9,0,0.0
2025-03-07 15:00:00,33.7,13,22.6,0,0.0
2025-03-07 16:00:00,33.2,13,23.1,0,0.0
2025-03-07 17:00:00,32.6,13,22.1,0,0.0
2025-03-07 18:00:00,31.0,15,21.1,0,0.0
2025-03-07 19:00:00,27.7,19,17.9,0,0.0
2025-03-07 20:00:00,26.5,22,14.4,0,0.0
2025-03-07 21:00:00,25.5,24,19.0,11,0.0
2025-03-07 22:00:00,24.2,27,18.2,49,0.0
2025-03-07 23:00:00,23.1,29,19.9,90,0.0
2025-03-08 00:00:00,22.0,31,18.0,46,0.0
2025-03-08 01:00:00,21.3,33,15.0,7,0.0
2025-03-08 02:00:00,20.4,36,12.8,0,0.0
2025-03-08 03:00:00,19.7,39,12.2,0,0.0
2025-03-08 04:00:00,19.2,41,14.6,0,0.0
2025-03-08 05:00:00,18.4,44,14.8,0,0.0
2025-03-08 06:00:00,17.7,46,16.5,0,0.0
2025-03-08 07:00:00,17.7,46,17.8,0,0.0
2025-03-08 08:00:00,20.8,38,17.9,0,0.0
2025-03-08 09:00:00,24.9,31,13.4,0,0.0
2025-03-08 10:00:00,28.4,26,6.8,0,0.0
2025-03-08 11:00:00,31.0,22,8.3,0,0.0
2025-03-08 12:00:00,32.9,18,12.3,0,0.0
2025-03-08 13:00:00,34.0,16,14.9,0,0.0
2025-03-08 14:00:00,34.5,14,17.0,29,0.0
2025-03-08 15:00:00,34.5,13,18.4,7,0.0
2025-03-08 16:00:00,34.2,12,18.0,0,0.0
2025-03-08 17:00:00,33.4,13,16.9,0,0.0
2025-03-08 18:00:00,31.0,17,15.5,0,0.0
2025-03-08 19:00:00,28.2,21,12.6,0,0.0
2025-03-08 20:00:00,26.5,24,12.2,0,0.0
2025-03-08 21:00:00,25.1,28,15.4,0,0.0
2025-03-08 22:00:00,24.0,31,13.1,0,0.0
2025-03-08 23:00:00,22.9,34,12.7,0,0.0
2025-03-09 00:00:00,21.9,36,13.6,0,0.0
