time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,12.2,93,19.2,39,0.0
2025-03-01 01:00:00,12.0,91,18.2,5,0.0
2025-03-01 02:00:00,11.4,92,15.1,8,0.0
2025-03-01 03:00:00,11.1,94,12.0,1,0.0
2025-03-01 04:00:00,10.8,94,11.5,0,0.0
2025-03-01 05:00:00,10.0,98,9.7,0,0.0
2025-03-01 06:00:00,11.0,97,11.8,1,0.0
2025-03-01 07:00:00,11.1,99,10.1,15,0.0
2025-03-01 08:00:00,14.0,90,10.8,36,0.0
2025-03-01 09:00:00,17.4,65,8.4,38,0.0
2025-03-01 10:00:00,19.6,51,8.5,20,0.0
2025-03-01 11:00:00,20.0,57,9.7,2,0.0
2025-03-01 12:00:00,20.8,55,10.2,31,0.0
2025-03-01 13:00:00,21.0,55,10.2,32,0.0
2025-03-01 14:00:00,21.1,53,8.0,26,0.0
2025-03-01 15:00:00,21.1,52,7.1,11,0.0
2025-03-01 16:00:00,21.0,49,6.3,15,0.0
2025-03-01 17:00:00,19.8,56,9.7,21,0.0
2025-03-01 18:00:00,15.9,75,8.4,37,0.0
2025-03-01 19:00:00,15.1,78,9.8,14,0.0
2025-03-01 20:00:00,13.9,86,9.7,7,0.0
2025-03-01 21:00:00,13.0,90,8.3,0,0.0
2025-03-01 22:00:00,12.9,90,7.8,0,0.0
2025-03-01 23:00:00,12.5,90,10.0,0,0.0
2025-03-02 00:00:00,12.2,91,11.3,0,0.0
2025-03-02 01:00:00,11.9,91,12.0,0,0.0
2025-03-02 02:00:00,11.6,92,12.4,0,0.0
2025-03-02 03:00:00,11.4,93,10.4,0,0.0
2025-03-02 04:00:00,11.2,93,10.9,0,0.0
2025-03-02 05:00:00,10.9,95,10.6,0,0.0
2025-03-02 06:00:00,11.8,93,10.1,0,0.0
2025-03-02 07:00:00,12.1,91,8.1,0,0.0
2025-03-02 08:00:00,15.1,76,8.9,0,0.0
2025-03-02 09:00:00,18.1,59,5.4,0,0.0
2025-03-02 10:00:00,20.1,51,6.5,0,0.0
2025-03-02 11:00:00,21.4,47,11.2,0,0.0
2025-03-02 12:00:00,22.1,45,14.0,0,0.0
2025-03-02 13:00:00,22.5,45,16.3,0,0.0
2025-03-02 14:00:00,22.4,45,17.2,0,0.0
2025-03-02 15:00:00,22.0,45,17.7,0,0.0
2025-03-02 16:00:00,21.1,46,17.2,0,0.0
2025-03-02 17:00:00,19.2,54,18.1,0,0.0
2025-03-02 18:00:00,16.5,64,20.7,0,0.0
2025-03-02 19:00:00,15.2,71,16.6,0,0.0
2025-03-02 20:00:00,14.1,78,13.8,0,0.0
2025-03-02 21:00:00,13.4,82,10.3,0,0.0
2025-03-02 22:00:00,12.8,85,7.7,0,0.0
2025-03-02 23:00:00,11.9,90,6.4,0,0.0
2025-03-03 00:00:00,11.5,94,6.3,0,0.0
2025-03-03 01:00:00,11.1,95,7.2,0,0.0
2025-03-03 02:00:00,10.9,96,8.2,0,0.0
2025-03-03 03:00:00,10.8,96,8.9,0,0.0
2025-03-03 04:00:00,10.6,95,10.1,22,0.0
2025-03-03 05:00:00,10.7,94,12.5,77,0.0
2025-03-03 06:00:00,11.2,93,8.0,100,0.0
2025-03-03 07:00:00,12.3,91,10.8,100,0.0
2025-03-03 08:00:00,13.3,80,15.4,100,0.0
2025-03-03 09:00:00,15.1,72,12.3,99,0.0
2025-03-03 10:00:00,16.8,66,15.7,100,0.0
2025-03-03 11:00:00,14.9,95,13.4,100,1.6
2025-03-03 12:00:00,15.2,84,16.6,100,0.1
2025-03-03 13:00:00,18.5,57,18.4,79,0.0
2025-03-03 14:00:00,18.6,43,29.8,10,0.0
2025-03-03 15:00:00,20.9,39,23.2,12,0.0
2025-03-03 16:00:00,21.2,40,18.5,73,0.0
2025-03-03 17:00:00,19.5,47,21.2,0,0.0
2025-03-03 18:00:00,16.9,59,9.3,32,0.0
2025-03-03 19:00:00,16.8,62,9.9,46,0.0
2025-03-03 20:00:00,15.5,68,10.2,47,0.0
2025-03-03 21:00:00,14.9,70,10.1,36,0.0
2025-03-03 22:00:00,13.4,77,13.2,44,0.0
2025-03-03 23:00:00,11.8,95,35.4,84,5.9
