time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.5,43,24.2,27,0.0
2025-03-01 01:00:00,23.2,48,20.3,60,0.0
2025-03-01 02:00:00,22.2,51,17.0,81,0.0
2025-03-01 03:00:00,21.2,54,17.1,46,0.0
2025-03-01 04:00:00,21.1,51,22.7,20,0.0
2025-03-01 05:00:00,21.2,48,24.5,3,0.0
2025-03-01 06:00:00,20.6,53,21.2,43,0.0
2025-03-01 07:00:00,21.0,51,21.5,9,0.0
2025-03-01 08:00:00,23.2,47,21.6,10,0.0
2025-03-01 09:00:00,26.1,39,9.7,3,0.0
2025-03-01 10:00:00,28.6,33,10.0,8,0.0
2025-03-01 11:00:00,30.5,27,11.2,0,0.0
2025-03-01 12:00:00,31.6,24,12.5,0,0.0
2025-03-01 13:00:00,32.2,23,17.0,41,0.0
2025-03-01 14:00:00,31.9,24,15.5,22,0.0
2025-03-01 15:00:00,32.3,23,21.0,25,0.0
2025-03-01 16:00:00,31.5,24,22.9,36,0.0
2025-03-01 17:00:00,30.5,26,19.0,16,0.0
2025-03-01 18:00:00,28.8,30,22.7,4,0.0
2025-03-01 19:00:00,28.0,31,21.2,0,0.0
2025-03-01 20:00:00,26.4,39,17.5,0,0.0
2025-03-01 21:00:00,24.6,42,16.2,0,0.0
2025-03-01 22:00:00,23.6,46,18.3,2,0.0
2025-03-01 23:00:00,23.6,45,21.3,0,0.0
2025-03-02 00:00:00,23.8,42,23.6,0,0.0
2025-03-02 01:00:00,23.4,41,26.0,0,0.0
2025-03-02 02:00:00,22.1,41,27.7,0,0.0
2025-03-02 03:00:00,22.0,41,28.0,0,0.0
2025-03-02 04:00:00,21.5,41,27.5,0,0.0
2025-03-02 05:00:00,20.9,42,28.6,0,0.0
2025-03-02 06:00:00,20.9,46,26.7,0,0.0
2025-03-02 07:00:00,20.9,46,25.5,0,0.0
2025-03-02 08:00:00,23.0,43,25.5,0,0.0
2025-03-02 09:00:00,26.0,36,15.1,0,0.0
2025-03-02 10:00:00,28.5,30,14.7,0,0.0
2025-03-02 11:00:00,30.0,26,11.8,0,0.0
2025-03-02 12:00:00,31.0,23,11.7,0,0.0
2025-03-02 13:00:00,31.6,22,14.8,16,0.0
2025-03-02 14:00:00,32.0,21,16.8,11,0.0
2025-03-02 15:00:00,32.2,20,16.6,45,0.0
2025-03-02 16:00:00,31.7,20,19.6,8,0.0
2025-03-02 17:00:00,30.4,24,18.8,0,0.0
2025-03-02 18:00:00,27.9,28,20.1,28,0.0
