time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.1,96,23.8,100,0.0
2025-03-01 01:00:00,23.1,97,25.3,100,0.0
2025-03-01 02:00:00,23.1,97,24.5,16,0.0
2025-03-01 03:00:00,23.0,98,21.5,8,0.0
2025-03-01 04:00:00,22.8,98,21.2,4,0.0
2025-03-01 05:00:00,22.6,98,20.8,1,0.0
2025-03-01 06:00:00,22.9,96,21.0,0,0.0
2025-03-01 07:00:00,24.4,87,20.1,0,0.0
2025-03-01 08:00:00,27.0,71,13.1,0,0.0
2025-03-01 09:00:00,29.6,53,12.0,0,0.0
2025-03-01 10:00:00,31.9,40,12.9,0,0.0
2025-03-01 11:00:00,33.3,35,12.1,0,0.0
2025-03-01 12:00:00,34.5,31,12.0,0,0.0
2025-03-01 13:00:00,35.0,28,14.1,0,0.0
2025-03-01 14:00:00,34.7,29,16.9,0,0.0
2025-03-01 15:00:00,33.5,33,21.3,0,0.0
2025-03-01 16:00:00,31.9,39,22.1,2,0.0
2025-03-01 17:00:00,29.6,46,21.9,26,0.0
2025-03-01 18:00:00,27.5,50,22.8,2,0.0
2025-03-01 19:00:00,25.8,63,24.8,0,0.0
2025-03-01 20:00:00,24.9,70,24.8,0,0.0
2025-03-01 21:00:00,24.0,77,23.7,0,0.0
2025-03-01 22:00:00,23.4,84,24.5,0,0.0
2025-03-01 23:00:00,23.0,90,23.3,0,0.0
2025-03-02 00:00:00,22.9,92,23.3,0,0.0
2025-03-02 01:00:00,22.5,94,20.6,0,0.0
2025-03-02 02:00:00,22.4,95,23.3,0,0.0
2025-03-02 03:00:00,22.2,96,23.5,0,0.0
2025-03-02 04:00:00,22.2,96,23.1,0,0.0
2025-03-02 05:00:00,22.3,97,20.6,0,0.0
2025-03-02 06:00:00,23.0,95,23.4,0,0.0
2025-03-02 07:00:00,24.7,85,24.5,0,0.0
2025-03-02 08:00:00,27.5,71,15.6,0,0.0
2025-03-02 09:00:00,30.5,55,9.7,0,0.0
2025-03-02 10:00:00,32.9,42,8.5,96,0.0
2025-03-02 11:00:00,34.8,32,9.3,99,0.0
2025-03-02 12:00:00,36.1,26,10.4,96,0.0
2025-03-02 13:00:00,36.7,23,10.5,100,0.0
2025-03-02 14:00:00,37.0,21,12.1,100,0.0
2025-03-02 15:00:00,36.7,21,13.2,45,0.0
2025-03-02 16:00:00,35.8,22,5.0,87,0.0
2025-03-02 17:00:00,30.5,53,26.2,61,0.0
2025-03-02 18:00:00,28.1,65,21.1,87,0.0
2025-03-02 19:00:00,26.7,75,24.0,67,0.0
2025-03-02 20:00:00,25.9,79,26.3,54,0.0
2025-03-02 21:00:00,25.3,84,27.1,15,0.0
2025-03-02 22:00:00,24.8,88,23.2,3,0.0
2025-03-02 23:00:00,24.4,90,22.0,22,0.0
2025-03-03 00:00:00,24.0,90,19.8,7,0.0
2025-03-03 01:00:00,23.6,89,21.7,9,0.0
2025-03-03 02:00:00,23.4,91,23.2,72,0.0
2025-03-03 03:00:00,23.2,93,24.6,15,0.0
2025-03-03 04:00:00,23.0,93,21.4,2,0.0
2025-03-03 05:00:00,22.7,93,18.2,30,0.0
2025-03-03 06:00:00,23.0,91,12.2,14,0.0
2025-03-03 07:00:00,25.1,80,5.1,20,0.0
2025-03-03 08:00:00,27.7,64,10.5,62,0.0
2025-03-03 09:00:00,30.6,51,7.7,79,0.0
2025-03-03 10:00:00,33.3,40,6.1,63,0.0
2025-03-03 11:00:00,35.0,33,7.0,65,0.0
2025-03-03 12:00:00,36.0,29,7.0,20,0.0
2025-03-03 13:00:00,36.3,27,7.3,84,0.0
2025-03-03 14:00:00,36.1,27,11.0,78,0.0
2025-03-03 15:00:00,35.7,28,10.2,48,0.0
2025-03-03 16:00:00,35.3,29,10.3,66,0.0
2025-03-03 17:00:00,33.7,34,18.2,91,0.0
2025-03-03 18:00:00,28.8,74,21.6,1,0.0
2025-03-03 19:00:00,27.4,79,20.0,1,0.0
2025-03-03 20:00:00,26.4,90,17.3,7,0.0
2025-03-03 21:00:00,26.0,94,15.3,19,0.0
2025-03-03 22:00:00,25.6,97,11.6,54,0.0
2025-03-03 23:00:00,25.2,99,8.2,100,0.0
2025-03-04 00:00:00,25.0,100,8.9,100,0.0
2025-03-04 01:00:00,25.0,99,10.8,65,0.0
2025-03-04 02:00:00,25.0,99,10.7,100,0.0
2025-03-04 03:00:00,24.9,98,12.1,94,0.0
2025-03-04 04:00:00,24.6,97,8.6,92,0.0
2025-03-04 05:00:00,24.4,98,6.1,100,0.0
2025-03-04 06:00:00,24.4,98,10.0,100,0.0
2025-03-04 07:00:00,25.0,93,12.6,63,0.0
2025-03-04 08:00:00,26.6,81,11.6,5,0.0
2025-03-04 09:00:00,29.4,66,11.6,1,0.0
2025-03-04 10:00:00,32.0,51,13.2,0,0.0
2025-03-04 11:00:00,33.8,34,16.1,0,0.0
2025-03-04 12:00:00,35.0,25,18.0,0,0.0
2025-03-04 13:00:00,35.1,25,19.8,0,0.0
2025-03-04 14:00:00,35.5,20,17.2,0,0.0
2025-03-04 15:00:00,35.8,17,13.2,0,0.0
2025-03-04 16:00:00,35.0,18,12.2,0,0.0
2025-03-04 17:00:00,32.8,23,16.2,0,0.0
2025-03-04 18:00:00,30.5,28,5.7,0,0.0
2025-03-04 19:00:00,26.6,63,24.0,0,0.0
2025-03-04 20:00:00,26.1,70,15.9,2,0.0
2025-03-04 21:00:00,25.2,75,17.8,9,0.0
2025-03-04 22:00:00,24.6,81,23.2,0,0.0
2025-03-04 23:00:00,24.4,87,21.9,0,0.0
2025-03-05 00:00:00,24.0,92,21.4,0,0.0
2025-03-05 01:00:00,23.8,97,18.1,0,0.0
2025-03-05 02:00:00,23.8,99,17.8,13,0.0
2025-03-05 03:00:00,23.9,99,18.7,14,0.0
2025-03-05 04:00:00,23.8,99,16.6,17,0.0
2025-03-05 05:00:00,23.7,99,13.6,93,0.0
2025-03-05 06:00:00,25.0,95,14.3,100,0.0
2025-03-05 07:00:00,25.9,87,6.4,98,0.0
2025-03-05 08:00:00,27.6,76,5.1,98,0.0
2025-03-05 09:00:00,29.5,63,6.4,100,0.0
2025-03-05 10:00:00,31.1,55,8.1,32,0.0
2025-03-05 11:00:00,32.5,47,10.1,45,0.0
2025-03-05 12:00:00,33.8,39,11.9,34,0.0
2025-03-05 13:00:00,34.7,32,13.0,6,0.0
2025-03-05 14:00:00,34.7,30,13.4,18,0.0
2025-03-05 15:00:00,34.3,31,10.7,4,0.0
2025-03-05 16:00:00,33.8,29,9.4,7,0.0
2025-03-05 17:00:00,32.5,29,12.9,2,0.0
2025-03-05 18:00:00,30.1,36,6.6,7,0.0
2025-03-05 19:00:00,30.5,31,22.1,38,0.0
2025-03-05 20:00:00,28.9,29,22.5,87,0.0
2025-03-05 21:00:00,26.8,32,20.5,54,0.0
2025-03-05 22:00:00,26.1,26,21.0,0,0.0
2025-03-05 23:00:00,24.8,27,19.1,0,0.0
2025-03-06 00:00:00,23.2,29,18.2,0,0.0
2025-03-06 01:00:00,22.1,31,18.3,0,0.0
2025-03-06 02:00:00,21.9,32,20.4,0,0.0
2025-03-06 03:00:00,21.9,32,23.4,0,0.0
2025-03-06 04:00:00,21.8,32,26.1,0,0.0
2025-03-06 05:00:00,21.0,33,25.7,0,0.0
2025-03-06 06:00:00,21.4,37,26.6,0,0.0
2025-03-06 07:00:00,22.8,37,27.4,0,0.0
2025-03-06 08:00:00,25.4,33,16.5,0,0.0
2025-03-06 09:00:00,27.5,28,13.0,0,0.0
2025-03-06 10:00:00,29.1,24,9.9,0,0.0
2025-03-06 11:00:00,30.5,22,6.2,0,0.0
2025-03-06 12:00:00,31.5,19,5.0,0,0.0
2025-03-06 13:00:00,32.2,17,8.3,0,0.0
2025-03-06 14:00:00,32.5,14,13.3,0,0.0
2025-03-06 15:00:00,32.2,14,12.7,0,0.0
2025-03-06 16:00:00,31.4,15,8.5,0,0.0
2025-03-06 17:00:00,29.6,27,4.1,0,0.0
2025-03-06 18:00:00,27.6,22,10.9,0,0.0
2025-03-06 19:00:00,24.6,57,23.2,0,0.0
2025-03-06 20:00:00,23.7,61,16.8,0,0.0
2025-03-06 21:00:00,22.9,66,13.9,0,0.0
2025-03-06 22:00:00,22.3,69,9.6,0,0.0
2025-03-06 23:00:00,21.5,72,12.3,0,0.0
2025-03-07 00:00:00,21.2,75,12.9,0,0.0
2025-03-07 01:00:00,20.5,79,12.6,0,0.0
2025-03-07 02:00:00,19.8,84,10.8,0,0.0
2025-03-07 03:00:00,19.6,86,10.9,0,0.0
2025-03-07 04:00:00,19.4,88,12.2,0,0.0
2025-03-07 05:00:00,18.8,90,12.1,0,0.0
2025-03-07 06:00:00,18.8,90,9.4,0,0.0
2025-03-07 07:00:00,21.5,76,7.7,0,0.0
2025-03-07 08:00:00,24.5,57,4.8,0,0.0
2025-03-07 09:00:00,27.1,43,4.1,0,0.0
2025-03-07 10:00:00,29.3,32,4.5,0,0.0
2025-03-07 11:00:00,31.0,24,4.3,0,0.0
2025-03-07 12:00:00,32.4,19,6.2,0,0.0
2025-03-07 13:00:00,33.2,16,8.0,0,0.0
2025-03-07 14:00:00,33.4,15,8.9,0,0.0
2025-03-07 15:00:00,33.0,16,7.4,0,0.0
2025-03-07 16:00:00,32.3,16,7.7,0,0.0
2025-03-07 17:00:00,30.4,22,10.7,0,0.0
2025-03-07 18:00:00,27.0,60,25.1,0,0.0
2025-03-07 19:00:00,25.5,70,21.1,0,0.0
2025-03-07 20:00:00,24.8,71,19.1,0,0.0
2025-03-07 21:00:00,23.9,76,22.6,0,0.0
2025-03-07 22:00:00,23.6,81,24.2,0,0.0
2025-03-07 23:00:00,23.3,86,23.5,0,0.0
2025-03-08 00:00:00,22.9,92,23.9,0,0.0
2025-03-08 01:00:00,22.6,94,23.6,0,0.0
2025-03-08 02:00:00,22.4,96,22.8,1,0.0
2025-03-08 03:00:00,22.0,97,21.3,2,0.0
2025-03-08 04:00:00,21.8,98,19.9,1,0.0
2025-03-08 05:00:00,21.6,98,19.6,0,0.0
2025-03-08 06:00:00,21.2,95,18.5,0,0.0
2025-03-08 07:00:00,23.5,85,18.4,0,0.0
2025-03-08 08:00:00,26.4,73,11.1,0,0.0
2025-03-08 09:00:00,29.0,54,11.7,0,0.0
2025-03-08 10:00:00,31.4,39,10.4,0,0.0
2025-03-08 11:00:00,33.3,27,7.4,0,0.0
2025-03-08 12:00:00,34.5,21,4.2,0,0.0
2025-03-08 13:00:00,35.0,18,3.1,0,0.0
2025-03-08 14:00:00,35.2,17,3.0,0,0.0
2025-03-08 15:00:00,35.2,16,1.7,0,0.0
2025-03-08 16:00:00,32.1,39,15.9,0,0.0
2025-03-08 17:00:00,28.5,64,24.1,0,0.0
2025-03-08 18:00:00,27.3,70,21.8,0,0.0
2025-03-08 19:00:00,26.0,80,24.0,0,0.0
2025-03-08 20:00:00,25.4,86,26.8,0,0.0
2025-03-08 21:00:00,25.0,88,24.9,6,0.0
2025-03-08 22:00:00,24.6,89,22.9,3,0.0
2025-03-08 23:00:00,24.3,91,18.8,7,0.0
2025-03-09 00:00:00,24.0,92,17.9,12,0.0
2025-03-09 01:00:00,23.6,94,18.7,6,0.0
2025-03-09 02:00:00,23.3,96,16.5,8,0.0
2025-03-09 03:00:00,22.8,97,12.5,9,0.0
2025-03-09 04:00:00,22.3,97,9.5,25,0.0
2025-03-09 05:00:00,22.2,97,6.8,32,0.0
2025-03-09 06:00:00,23.3,99,6.1,85,0.0
2025-03-09 07:00:00,25.0,91,4.9,31,0.0
2025-03-09 08:00:00,27.5,75,12.4,19,0.0
2025-03-09 09:00:00,29.4,63,9.4,8,0.0
2025-03-09 10:00:00,31.2,52,7.4,0,0.0
2025-03-09 11:00:00,32.8,41,9.6,3,0.0
2025-03-09 12:00:00,33.9,34,11.3,23,0.0
2025-03-09 13:00:00,34.5,31,13.0,12,0.0
2025-03-09 14:00:00,34.5,30,15.3,56,0.0
2025-03-09 15:00:00,33.2,36,20.5,95,0.0
2025-03-09 16:00:00,30.9,44,28.0,4,0.0
2025-03-09 17:00:00,28.9,55,25.3,0,0.0
2025-03-09 18:00:00,27.0,74,22.4,14,0.0
2025-03-09 19:00:00,26.0,79,21.6,1,0.0
2025-03-09 20:00:00,25.3,83,22.2,2,0.0
2025-03-09 21:00:00,24.6,86,21.2,1,0.0
2025-03-09 22:00:00,24.0,89,19.6,0,0.0
2025-03-09 23:00:00,23.4,92,17.3,0,0.0
2025-03-10 00:00:00,22.9,94,13.9,0,0.0
2025-03-10 01:00:00,22.2,96,8.5,0,0.0
2025-03-10 02:00:00,22.2,97,4.9,3,0.0
