time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.5,38,8.2,26,0.0
2025-03-01 01:00:00,23.0,39,9.1,6,0.0
2025-03-01 02:00:00,21.7,43,9.3,11,0.0
2025-03-01 03:00:00,21.1,44,9.9,1,0.0
2025-03-01 04:00:00,20.5,46,6.2,21,0.0
2025-03-01 05:00:00,20.0,46,10.4,0,0.0
2025-03-01 06:00:00,19.9,53,9.1,0,0.0
2025-03-01 07:00:00,22.0,47,10.7,0,0.0
2025-03-01 08:00:00,25.1,40,3.2,0,0.0
2025-03-01 09:00:00,28.5,33,3.0,0,0.0
2025-03-01 10:00:00,31.2,27,6.9,0,0.0
2025-03-01 11:00:00,33.5,24,13.4,0,0.0
2025-03-01 12:00:00,35.0,20,18.4,5,0.0
2025-03-01 13:00:00,35.6,18,18.8,15,0.0
2025-03-01 14:00:00,35.8,18,17.7,25,0.0
2025-03-01 15:00:00,35.5,18,16.0,21,0.0
2025-03-01 16:00:00,35.0,19,14.0,22,0.0
2025-03-01 17:00:00,33.3,26,9.1,11,0.0
2025-03-01 18:00:00,30.4,26,12.9,12,0.0
2025-03-01 19:00:00,29.4,28,19.8,1,0.0
2025-03-01 20:00:00,28.5,30,24.3,1,0.0
2025-03-01 21:00:00,28.0,31,27.5,1,0.0
2025-03-01 22:00:00,26.5,35,19.1,0,0.0
2025-03-01 23:00:00,24.8,40,15.7,0,0.0
2025-03-02 00:00:00,24.0,39,16.9,1,0.0
2025-03-02 01:00:00,24.0,36,29.9,1,0.0
2025-03-02 02:00:00,23.8,38,27.5,0,0.0
2025-03-02 03:00:00,22.8,41,25.1,0,0.0
2025-03-02 04:00:00,22.0,44,21.8,0,0.0
2025-03-02 05:00:00,21.1,47,20.4,0,0.0
2025-03-02 06:00:00,21.5,53,17.9,0,0.0
2025-03-02 07:00:00,23.0,51,15.9,0,0.0
2025-03-02 08:00:00,26.4,44,7.0,0,0.0
2025-03-02 09:00:00,29.9,36,1.7,0,0.0
2025-03-02 10:00:00,32.5,30,2.1,0,0.0
2025-03-02 11:00:00,34.2,25,7.5,20,0.0
2025-03-02 12:00:00,35.2,22,18.3,23,0.0
2025-03-02 13:00:00,35.4,21,21.9,41,0.0
2025-03-02 14:00:00,35.4,21,21.2,100,0.0
2025-03-02 15:00:00,36.1,19,17.3,100,0.0
2025-03-02 16:00:00,35.8,18,15.8,100,0.0
2025-03-02 17:00:00,34.0,22,20.6,98,0.0
