time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.0,42,17.5,4,0.0
2025-03-01 01:00:00,23.2,45,16.0,0,0.0
2025-03-01 02:00:00,23.3,46,10.2,0,0.0
2025-03-01 03:00:00,22.2,49,5.9,0,0.0
2025-03-01 04:00:00,21.8,50,16.3,0,0.0
2025-03-01 05:00:00,22.4,53,28.5,0,0.0
2025-03-01 06:00:00,22.4,64,30.9,0,0.0
2025-03-01 07:00:00,23.6,63,27.7,0,0.0
2025-03-01 08:00:00,26.1,59,18.6,0,0.0
2025-03-01 09:00:00,28.6,52,13.9,0,0.0
2025-03-01 10:00:00,31.2,42,12.8,0,0.0
2025-03-01 11:00:00,33.4,34,11.8,0,0.0
2025-03-01 12:00:00,34.8,29,9.9,0,0.0
2025-03-01 13:00:00,35.8,25,7.3,3,0.0
2025-03-01 14:00:00,36.2,22,6.0,5,0.0
2025-03-01 15:00:00,36.2,21,4.8,20,0.0
2025-03-01 16:00:00,35.8,22,3.2,9,0.0
2025-03-01 17:00:00,34.5,44,1.0,18,0.0
2025-03-01 18:00:00,31.2,27,18.4,6,0.0
2025-03-01 19:00:00,30.1,25,18.1,2,0.0
2025-03-01 20:00:00,28.6,31,10.5,0,0.0
2025-03-01 21:00:00,26.5,32,16.1,0,0.0
2025-03-01 22:00:00,25.5,40,16.2,0,0.0
2025-03-01 23:00:00,25.3,46,17.5,0,0.0
2025-03-02 00:00:00,25.1,48,14.9,0,0.0
2025-03-02 01:00:00,24.8,50,14.7,0,0.0
2025-03-02 02:00:00,24.4,51,13.4,0,0.0
2025-03-02 03:00:00,23.2,56,7.1,0,0.0
2025-03-02 04:00:00,22.2,59,16.4,0,0.0
2025-03-02 05:00:00,21.4,61,13.4,3,0.0
2025-03-02 06:00:00,21.7,65,11.6,7,0.0
2025-03-02 07:00:00,23.5,60,6.8,58,0.0
2025-03-02 08:00:00,26.8,49,1.9,100,0.0
2025-03-02 09:00:00,29.6,41,0.7,100,0.0
2025-03-02 10:00:00,31.9,35,3.6,100,0.0
2025-03-02 11:00:00,33.8,29,6.2,100,0.0
2025-03-02 12:00:00,35.2,24,9.2,97,0.0
2025-03-02 13:00:00,36.1,22,9.7,86,0.0
2025-03-02 14:00:00,36.7,21,10.2,95,0.0
2025-03-02 15:00:00,36.8,20,10.9,100,0.0
2025-03-02 16:00:00,36.0,20,13.2,100,0.0
2025-03-02 17:00:00,34.3,25,15.5,52,0.0
