time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.1,54,25.8,3,0.0
2025-03-01 01:00:00,23.0,54,24.5,15,0.0
2025-03-01 02:00:00,22.4,56,24.6,60,0.0
2025-03-01 03:00:00,21.6,62,25.7,87,0.0
2025-03-01 04:00:00,21.0,67,24.8,73,0.0
2025-03-01 05:00:00,20.5,71,24.8,42,0.0
2025-03-01 06:00:00,20.5,77,24.8,7,0.0
2025-03-01 07:00:00,20.4,78,23.5,1,0.0
2025-03-01 08:00:00,22.1,71,21.3,0,0.0
2025-03-01 09:00:00,24.6,62,13.4,0,0.0
2025-03-01 10:00:00,26.9,53,12.4,0,0.0
2025-03-01 11:00:00,29.0,43,11.7,0,0.0
2025-03-01 12:00:00,30.9,34,12.3,0,0.0
2025-03-01 13:00:00,32.5,26,15.5,0,0.0
2025-03-01 14:00:00,33.4,21,19.3,0,0.0
2025-03-01 15:00:00,33.5,20,22.0,0,0.0
2025-03-01 16:00:00,33.0,22,21.2,0,0.0
2025-03-01 17:00:00,31.9,25,20.3,0,0.0
2025-03-01 18:00:00,29.8,33,19.8,1,0.0
2025-03-01 19:00:00,27.6,38,16.1,0,0.0
2025-03-01 20:00:00,26.0,43,13.5,0,0.0
2025-03-01 21:00:00,24.9,46,15.5,0,0.0
2025-03-01 22:00:00,24.8,45,18.5,22,0.0
2025-03-01 23:00:00,23.2,48,13.2,8,0.0
2025-03-02 00:00:00,22.5,49,22.5,0,0.0
2025-03-02 01:00:00,22.4,48,24.3,0,0.0
2025-03-02 02:00:00,21.4,52,24.0,0,0.0
2025-03-02 03:00:00,20.7,60,23.6,0,0.0
2025-03-02 04:00:00,20.1,68,23.1,0,0.0
2025-03-02 05:00:00,19.6,73,25.5,0,0.0
2025-03-02 06:00:00,19.9,72,21.3,0,0.0
2025-03-02 07:00:00,19.4,70,20.3,0,0.0
2025-03-02 08:00:00,21.1,61,18.4,0,0.0
2025-03-02 09:00:00,23.9,51,11.5,0,0.0
2025-03-02 10:00:00,26.5,44,9.2,0,0.0
2025-03-02 11:00:00,29.2,37,8.0,0,0.0
2025-03-02 12:00:00,31.0,27,8.3,0,0.0
2025-03-02 13:00:00,31.8,24,9.5,0,0.0
2025-03-02 14:00:00,32.2,22,8.0,0,0.0
2025-03-02 15:00:00,32.4,21,8.4,0,0.0
2025-03-02 16:00:00,32.2,20,8.6,0,0.0
2025-03-02 17:00:00,31.6,20,9.9,0,0.0
