time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,27.2,76,18.0,96,0.0
2025-03-01 01:00:00,27.0,77,18.8,65,0.0
2025-03-01 02:00:00,26.9,78,19.5,15,0.0
2025-03-01 03:00:00,26.8,78,18.6,13,0.0
2025-03-01 04:00:00,26.6,78,17.5,15,0.0
2025-03-01 05:00:00,26.5,79,16.4,100,0.0
2025-03-01 06:00:00,25.8,87,11.2,41,0.1
2025-03-01 07:00:00,27.0,80,11.7,16,0.1
2025-03-01 08:00:00,28.5,71,15.4,28,0.0
2025-03-01 09:00:00,29.3,67,17.6,11,0.1
2025-03-01 10:00:00,30.0,64,17.9,9,0.0
2025-03-01 11:00:00,30.5,62,17.3,13,0.1
2025-03-01 12:00:00,30.6,63,18.5,14,0.0
2025-03-01 13:00:00,30.8,62,21.8,19,0.0
2025-03-01 14:00:00,30.4,62,22.3,9,0.0
2025-03-01 15:00:00,30.0,63,21.3,3,0.0
2025-03-01 16:00:00,29.4,66,18.8,7,0.0
2025-03-01 17:00:00,28.5,71,17.2,3,0.0
2025-03-01 18:00:00,27.9,78,15.5,12,0.0
2025-03-01 19:00:00,27.7,79,17.4,14,0.0
2025-03-01 20:00:00,27.5,80,17.7,23,0.0
2025-03-01 21:00:00,27.5,80,18.1,23,0.0
2025-03-01 22:00:00,27.2,82,17.6,41,0.0
2025-03-01 23:00:00,27.0,82,15.9,33,0.0
2025-03-02 00:00:00,26.9,83,14.6,17,0.0
2025-03-02 01:00:00,26.6,84,12.8,12,0.0
2025-03-02 02:00:00,26.3,85,10.5,13,0.0
2025-03-02 03:00:00,26.0,87,9.9,21,0.0
2025-03-02 04:00:00,25.8,88,10.8,17,0.0
2025-03-02 05:00:00,25.6,88,10.7,95,0.0
2025-03-02 06:00:00,26.4,85,11.9,83,0.0
2025-03-02 07:00:00,27.5,78,10.6,94,0.0
2025-03-02 08:00:00,28.8,70,9.2,100,0.0
2025-03-02 09:00:00,30.0,63,8.9,96,0.0
2025-03-02 10:00:00,31.1,58,10.2,100,0.0
2025-03-02 11:00:00,31.7,54,12.6,83,0.0
2025-03-02 12:00:00,32.2,52,14.4,43,0.0
2025-03-02 13:00:00,32.1,52,16.0,31,0.0
2025-03-02 14:00:00,31.6,54,17.2,34,0.0
2025-03-02 15:00:00,30.9,58,16.6,30,0.0
2025-03-02 16:00:00,29.9,64,15.9,99,0.0
2025-03-02 17:00:00,28.8,70,14.2,100,0.0
2025-03-02 18:00:00,28.0,78,12.1,100,0.0
2025-03-02 19:00:00,27.8,80,10.4,100,0.0
2025-03-02 20:00:00,27.5,82,12.5,100,0.0
2025-03-02 21:00:00,27.3,84,12.7,7,0.0
2025-03-02 22:00:00,27.0,86,14.3,0,0.0
