time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.8,81,20.9,99,0.1
2025-03-01 01:00:00,23.9,86,19.2,100,0.1
2025-03-01 02:00:00,23.0,90,16.8,100,0.2
2025-03-01 03:00:00,23.1,88,14.3,96,0.3
2025-03-01 04:00:00,22.6,91,19.0,100,0.4
2025-03-01 05:00:00,22.5,92,19.0,100,0.2
2025-03-01 06:00:00,22.8,89,19.2,100,0.1
2025-03-01 07:00:00,23.5,82,22.1,100,0.1
2025-03-01 08:00:00,24.6,77,20.9,100,0.1
2025-03-01 09:00:00,26.6,66,24.9,100,0.2
2025-03-01 10:00:00,28.0,60,20.9,99,0.3
2025-03-01 11:00:00,29.8,53,19.5,50,0.3
2025-03-01 12:00:00,31.0,49,20.2,100,0.0
2025-03-01 13:00:00,31.4,47,19.8,95,0.0
2025-03-01 14:00:00,32.6,44,21.1,67,0.0
2025-03-01 15:00:00,32.8,42,21.7,13,0.0
2025-03-01 16:00:00,32.0,46,22.7,17,0.0
2025-03-01 17:00:00,31.1,48,24.3,96,0.0
2025-03-01 18:00:00,31.0,46,22.9,29,0.1
2025-03-01 19:00:00,29.6,54,25.1,38,0.0
2025-03-01 20:00:00,28.4,62,17.7,25,0.0
2025-03-01 21:00:00,26.9,68,15.2,50,0.0
2025-03-01 22:00:00,25.6,76,10.7,13,0.4
2025-03-01 23:00:00,24.0,86,23.5,100,0.6
2025-03-02 00:00:00,22.0,88,27.2,100,1.0
2025-03-02 01:00:00,21.9,87,23.2,100,0.4
2025-03-02 02:00:00,22.1,88,24.7,95,0.1
2025-03-02 03:00:00,22.5,89,22.2,65,0.0
2025-03-02 04:00:00,22.7,91,17.7,77,0.1
2025-03-02 05:00:00,22.6,92,15.3,99,0.1
2025-03-02 06:00:00,22.8,96,17.0,99,0.0
2025-03-02 07:00:00,23.5,90,14.1,100,0.1
2025-03-02 08:00:00,24.6,83,13.6,100,0.1
2025-03-02 09:00:00,25.7,76,14.4,100,0.1
2025-03-02 10:00:00,27.0,70,16.4,100,0.2
2025-03-02 11:00:00,28.8,61,17.2,100,0.1
2025-03-02 12:00:00,30.0,55,17.7,100,0.0
2025-03-02 13:00:00,30.8,51,15.9,97,0.0
2025-03-02 14:00:00,31.4,50,14.8,87,0.0
2025-03-02 15:00:00,31.5,48,17.7,91,0.0
2025-03-02 16:00:00,31.4,47,15.2,91,0.0
2025-03-02 17:00:00,30.4,51,12.9,100,0.0
2025-03-02 18:00:00,29.2,62,11.2,100,0.0
2025-03-02 19:00:00,28.4,61,16.7,98,0.0
2025-03-02 20:00:00,27.6,62,16.4,70,0.0
2025-03-02 21:00:00,26.0,76,15.4,78,0.0
2025-03-02 22:00:00,25.5,78,6.3,70,0.1
2025-03-02 23:00:00,25.0,84,1.5,83,0.0
2025-03-03 00:00:00,22.6,91,19.5,97,1.4
2025-03-03 01:00:00,22.1,93,17.4,46,0.4
2025-03-03 02:00:00,22.0,93,16.8,35,0.1
2025-03-03 03:00:00,22.2,91,7.9,51,0.3
2025-03-03 04:00:00,22.3,91,14.0,32,0.1
2025-03-03 05:00:00,22.0,89,17.7,26,0.1
2025-03-03 06:00:00,22.4,83,20.4,100,0.0
2025-03-03 07:00:00,23.2,84,18.2,100,0.0
2025-03-03 08:00:00,24.8,79,14.5,100,0.0
2025-03-03 09:00:00,26.5,72,15.5,100,0.0
2025-03-03 10:00:00,27.7,65,14.5,100,0.0
2025-03-03 11:00:00,28.9,59,14.3,100,0.0
2025-03-03 12:00:00,31.0,50,14.5,83,0.0
2025-03-03 13:00:00,32.3,43,15.6,92,0.0
2025-03-03 14:00:00,32.8,38,16.9,80,0.0
2025-03-03 15:00:00,33.2,36,17.4,94,0.0
2025-03-03 16:00:00,33.0,34,15.3,3,0.0
2025-03-03 17:00:00,32.9,33,15.1,7,0.0
2025-03-03 18:00:00,29.6,51,13.3,100,0.0
2025-03-03 19:00:00,28.5,60,11.8,99,0.0
2025-03-03 20:00:00,28.0,61,13.5,100,0.0
2025-03-03 21:00:00,27.6,61,9.6,100,0.0
2025-03-03 22:00:00,27.5,59,6.4,100,0.0
2025-03-03 23:00:00,27.0,60,1.4,76,0.0
2025-03-04 00:00:00,26.0,62,9.3,59,0.0
2025-03-04 01:00:00,25.2,64,14.5,100,0.0
2025-03-04 02:00:00,24.6,65,15.7,100,0.0
2025-03-04 03:00:00,24.1,67,16.9,100,0.0
2025-03-04 04:00:00,23.4,73,16.7,100,0.0
2025-03-04 05:00:00,22.6,85,16.4,100,0.0
2025-03-04 06:00:00,23.6,90,14.4,99,0.0
2025-03-04 07:00:00,24.2,88,14.6,100,0.0
