time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,12.1,96,7.4,71,0.2
2025-03-01 01:00:00,11.7,95,4.5,20,0.0
2025-03-01 02:00:00,10.8,95,0.9,26,0.0
2025-03-01 03:00:00,9.8,97,2.3,17,0.0
2025-03-01 04:00:00,8.7,100,5.0,97,0.0
2025-03-01 05:00:00,8.0,100,5.4,95,0.0
2025-03-01 06:00:00,10.5,94,4.7,49,0.0
2025-03-01 07:00:00,11.0,94,1.5,30,0.0
2025-03-01 08:00:00,14.4,93,4.9,67,0.0
2025-03-01 09:00:00,16.8,74,7.9,25,0.0
2025-03-01 10:00:00,18.5,60,4.7,85,0.0
2025-03-01 11:00:00,19.3,54,2.6,57,0.0
2025-03-01 12:00:00,20.9,48,5.2,100,0.0
2025-03-01 13:00:00,20.1,50,6.6,87,0.0
2025-03-01 14:00:00,20.3,49,2.1,28,0.0
2025-03-01 15:00:00,20.6,48,4.1,10,0.0
2025-03-01 16:00:00,20.4,49,8.0,15,0.0
2025-03-01 17:00:00,18.6,66,10.3,13,0.0
2025-03-01 18:00:00,15.2,78,8.1,10,0.0
2025-03-01 19:00:00,13.6,82,5.1,6,0.0
2025-03-01 20:00:00,12.6,82,5.5,1,0.0
2025-03-01 21:00:00,11.0,85,5.4,0,0.0
2025-03-01 22:00:00,9.8,89,3.5,0,0.0
2025-03-01 23:00:00,9.1,90,3.8,0,0.0
2025-03-02 00:00:00,8.4,91,4.7,0,0.0
2025-03-02 01:00:00,8.0,91,4.8,1,0.0
2025-03-02 02:00:00,7.7,90,6.3,0,0.0
2025-03-02 03:00:00,7.6,88,6.7,0,0.0
2025-03-02 04:00:00,7.2,87,6.3,1,0.0
2025-03-02 05:00:00,6.9,86,6.2,3,0.0
2025-03-02 06:00:00,7.7,84,5.4,9,0.0
2025-03-02 07:00:00,8.5,82,5.6,16,0.0
2025-03-02 08:00:00,13.9,72,4.9,6,0.0
2025-03-02 09:00:00,18.0,51,1.1,0,0.0
2025-03-02 10:00:00,20.2,43,3.9,0,0.0
2025-03-02 11:00:00,21.4,39,6.1,0,0.0
2025-03-02 12:00:00,22.3,35,7.4,4,0.0
2025-03-02 13:00:00,22.8,34,9.8,0,0.0
2025-03-02 14:00:00,22.7,35,12.2,0,0.0
2025-03-02 15:00:00,22.1,37,14.6,0,0.0
2025-03-02 16:00:00,21.0,43,16.5,0,0.0
2025-03-02 17:00:00,18.7,59,17.0,0,0.0
2025-03-02 18:00:00,15.4,68,15.1,0,0.0
2025-03-02 19:00:00,13.5,78,10.6,0,0.0
2025-03-02 20:00:00,12.4,82,8.0,0,0.0
2025-03-02 21:00:00,12.1,81,5.6,0,0.0
2025-03-02 22:00:00,12.1,78,2.3,0,0.0
2025-03-02 23:00:00,11.8,76,1.7,0,0.0
2025-03-03 00:00:00,11.4,76,3.1,0,0.0
2025-03-03 01:00:00,11.1,75,3.6,0,0.0
2025-03-03 02:00:00,10.9,75,1.8,0,0.0
2025-03-03 03:00:00,10.8,74,3.2,0,0.0
2025-03-03 04:00:00,10.5,74,5.2,0,0.0
2025-03-03 05:00:00,9.7,77,9.5,0,0.0
2025-03-03 06:00:00,8.7,83,4.5,0,0.0
2025-03-03 07:00:00,10.3,74,7.0,1,0.0
2025-03-03 08:00:00,14.8,69,10.1,67,0.0
2025-03-03 09:00:00,18.1,54,9.1,1,0.0
2025-03-03 10:00:00,20.9,44,6.5,10,0.0
2025-03-03 11:00:00,22.7,30,4.2,11,0.0
2025-03-03 12:00:00,23.5,25,8.1,57,0.0
2025-03-03 13:00:00,24.0,22,7.2,16,0.0
2025-03-03 14:00:00,24.9,23,5.0,32,0.0
2025-03-03 15:00:00,23.8,30,15.7,49,0.0
2025-03-03 16:00:00,21.9,43,13.3,56,0.1
2025-03-03 17:00:00,19.9,53,15.2,7,0.0
2025-03-03 18:00:00,18.1,60,9.1,4,0.0
2025-03-03 19:00:00,16.5,65,2.6,20,0.0
2025-03-03 20:00:00,14.9,66,4.9,19,0.0
2025-03-03 21:00:00,13.9,70,8.8,18,0.0
2025-03-03 22:00:00,12.4,80,7.8,69,0.4
2025-03-03 23:00:00,12.6,81,7.9,24,0.0
2025-03-04 00:00:00,11.7,86,12.6,91,0.5
2025-03-04 01:00:00,12.4,87,3.1,100,0.9
2025-03-04 02:00:00,12.1,93,14.5,92,3.4
2025-03-04 03:00:00,11.4,99,11.5,78,0.1
2025-03-04 04:00:00,11.6,97,7.2,68,0.0
2025-03-04 05:00:00,11.2,96,7.0,39,0.0
2025-03-04 06:00:00,11.2,94,12.4,46,0.0
2025-03-04 07:00:00,11.7,91,9.1,95,0.0
2025-03-04 08:00:00,12.6,90,21.9,54,0.8
2025-03-04 09:00:00,14.9,81,6.9,97,0.0
2025-03-04 10:00:00,17.5,64,5.6,60,0.0
2025-03-04 11:00:00,18.1,59,7.3,94,0.0
2025-03-04 12:00:00,19.9,51,5.5,28,0.0
2025-03-04 13:00:00,20.4,47,5.0,25,0.0
2025-03-04 14:00:00,20.2,44,9.8,29,0.0
2025-03-04 15:00:00,19.9,40,15.1,27,0.0
2025-03-04 16:00:00,19.2,42,18.7,4,0.0
2025-03-04 17:00:00,17.8,52,15.8,3,0.0
2025-03-04 18:00:00,14.9,67,15.6,10,0.0
2025-03-04 19:00:00,13.8,70,14.3,2,0.0
2025-03-04 20:00:00,13.4,68,10.1,0,0.0
2025-03-04 21:00:00,12.3,72,6.7,0,0.0
2025-03-04 22:00:00,11.2,77,3.1,0,0.0
2025-03-04 23:00:00,10.2,82,1.5,0,0.0
2025-03-05 00:00:00,9.7,82,3.3,0,0.0
2025-03-05 01:00:00,9.5,80,1.5,0,0.0
2025-03-05 02:00:00,8.9,80,2.8,0,0.0
2025-03-05 03:00:00,8.6,79,6.2,0,0.0
2025-03-05 04:00:00,8.2,81,5.8,0,0.0
2025-03-05 05:00:00,7.6,83,5.7,0,0.0
2025-03-05 06:00:00,7.8,87,2.2,4,0.0
2025-03-05 07:00:00,8.7,84,2.7,10,0.0
2025-03-05 08:00:00,13.4,74,2.9,2,0.0
2025-03-05 09:00:00,15.7,68,5.3,0,0.0
2025-03-05 10:00:00,17.4,60,6.6,0,0.0
2025-03-05 11:00:00,18.5,57,10.3,0,0.0
2025-03-05 12:00:00,19.6,51,13.2,0,0.0
2025-03-05 13:00:00,20.4,47,15.7,0,0.0
2025-03-05 14:00:00,20.3,47,18.4,0,0.0
2025-03-05 15:00:00,19.9,46,17.4,0,0.0
2025-03-05 16:00:00,18.6,48,17.3,0,0.0
2025-03-05 17:00:00,16.5,58,13.9,0,0.0
2025-03-05 18:00:00,13.7,68,10.5,0,0.0
2025-03-05 19:00:00,12.1,74,7.7,0,0.0
2025-03-05 20:00:00,11.6,77,12.4,0,0.0
2025-03-05 21:00:00,11.2,78,12.9,0,0.0
2025-03-05 22:00:00,10.2,83,10.6,0,0.0
2025-03-05 23:00:00,10.3,81,6.9,0,0.0
2025-03-06 00:00:00,10.3,79,2.7,0,0.0
2025-03-06 01:00:00,9.7,79,5.0,0,0.0
2025-03-06 02:00:00,9.1,80,8.8,0,0.0
2025-03-06 03:00:00,8.7,79,9.7,8,0.0
2025-03-06 04:00:00,8.4,80,6.7,3,0.0
2025-03-06 05:00:00,8.3,78,4.2,10,0.0
2025-03-06 06:00:00,8.0,78,2.6,6,0.0
2025-03-06 07:00:00,9.6,71,3.3,2,0.0
2025-03-06 08:00:00,13.8,64,6.6,0,0.0
2025-03-06 09:00:00,16.8,56,2.5,0,0.0
2025-03-06 10:00:00,18.7,53,4.2,0,0.0
2025-03-06 11:00:00,20.5,49,6.8,0,0.0
2025-03-06 12:00:00,21.7,48,6.9,0,0.0
2025-03-06 13:00:00,22.2,46,11.4,0,0.0
2025-03-06 14:00:00,22.2,45,12.3,0,0.0
2025-03-06 15:00:00,22.2,44,12.6,0,0.0
2025-03-06 16:00:00,21.6,40,13.1,0,0.0
2025-03-06 17:00:00,19.4,56,12.1,0,0.0
2025-03-06 18:00:00,16.3,57,10.8,0,0.0
2025-03-06 19:00:00,14.9,60,13.7,0,0.0
2025-03-06 20:00:00,13.4,65,14.3,0,0.0
2025-03-06 21:00:00,13.0,66,14.3,0,0.0
2025-03-06 22:00:00,12.5,68,12.9,0,0.0
2025-03-06 23:00:00,13.0,64,10.0,0,0.0
2025-03-07 00:00:00,12.0,67,7.4,0,0.0
2025-03-07 01:00:00,10.6,72,5.1,1,0.0
2025-03-07 02:00:00,10.0,75,5.3,0,0.0
2025-03-07 03:00:00,10.1,75,7.4,0,0.0
