time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.8,50,6.4,0,0.0
2025-03-01 01:00:00,23.5,53,8.6,0,0.0
2025-03-01 02:00:00,22.6,56,10.4,0,0.0
2025-03-01 03:00:00,22.0,59,11.4,0,0.0
2025-03-01 04:00:00,21.1,63,12.2,0,0.0
2025-03-01 05:00:00,20.2,68,11.5,10,0.0
2025-03-01 06:00:00,20.8,65,11.5,1,0.0
2025-03-01 07:00:00,23.0,57,16.0,8,0.0
2025-03-01 08:00:00,26.1,45,14.5,17,0.0
2025-03-01 09:00:00,29.2,36,15.1,20,0.0
2025-03-01 10:00:00,31.9,31,14.8,30,0.0
2025-03-01 11:00:00,34.0,25,16.8,26,0.0
2025-03-01 12:00:00,34.9,20,16.9,20,0.0
2025-03-01 13:00:00,36.2,18,18.9,22,0.0
2025-03-01 14:00:00,36.3,17,24.3,14,0.0
2025-03-01 15:00:00,36.1,16,21.9,54,0.0
2025-03-01 16:00:00,34.5,18,21.4,78,0.0
2025-03-01 17:00:00,30.8,29,16.4,72,0.0
2025-03-01 18:00:00,29.2,32,11.8,5,0.0
2025-03-01 19:00:00,28.2,34,19.2,5,0.0
2025-03-01 20:00:00,27.9,34,20.5,6,0.0
2025-03-01 21:00:00,26.6,37,15.1,2,0.0
2025-03-01 22:00:00,25.5,41,15.2,3,0.0
2025-03-01 23:00:00,24.3,46,13.6,1,0.0
2025-03-02 00:00:00,23.2,50,12.4,0,0.0
2025-03-02 01:00:00,22.4,55,14.1,0,0.0
2025-03-02 02:00:00,21.9,58,15.5,0,0.0
2025-03-02 03:00:00,21.3,64,16.7,0,0.0
2025-03-02 04:00:00,21.0,68,16.1,0,0.0
2025-03-02 05:00:00,20.5,72,16.5,0,0.0
2025-03-02 06:00:00,21.5,77,18.4,0,0.0
2025-03-02 07:00:00,23.6,68,17.8,0,0.0
2025-03-02 08:00:00,26.8,55,11.2,0,0.0
2025-03-02 09:00:00,29.5,42,15.2,0,0.0
2025-03-02 10:00:00,31.6,31,17.9,0,0.0
2025-03-02 11:00:00,33.3,25,20.3,1,0.0
2025-03-02 12:00:00,34.2,21,23.0,0,0.0
2025-03-02 13:00:00,34.8,21,24.6,1,0.0
