time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.2,42,20.5,4,0.0
2025-03-01 01:00:00,23.1,40,14.5,0,0.0
2025-03-01 02:00:00,22.2,43,17.8,0,0.0
2025-03-01 03:00:00,21.8,44,19.1,0,0.0
2025-03-01 04:00:00,21.4,44,20.0,0,0.0
2025-03-01 05:00:00,21.0,45,16.2,0,0.0
2025-03-01 06:00:00,20.7,49,14.3,0,0.0
2025-03-01 07:00:00,21.7,47,15.0,0,0.0
2025-03-01 08:00:00,24.9,40,16.2,0,0.0
2025-03-01 09:00:00,28.1,35,15.4,0,0.0
2025-03-01 10:00:00,31.0,36,16.1,0,0.0
2025-03-01 11:00:00,33.2,30,17.4,0,0.0
2025-03-01 12:00:00,34.7,25,16.5,0,0.0
2025-03-01 13:00:00,35.4,21,15.9,5,0.0
2025-03-01 14:00:00,35.5,20,14.9,42,0.0
2025-03-01 15:00:00,35.5,19,14.3,20,0.0
2025-03-01 16:00:00,34.8,20,14.9,3,0.0
2025-03-01 17:00:00,33.5,23,16.7,3,0.0
2025-03-01 18:00:00,32.0,25,12.3,1,0.0
2025-03-01 19:00:00,31.4,26,21.4,0,0.0
2025-03-01 20:00:00,29.9,28,22.7,0,0.0
2025-03-01 21:00:00,28.0,33,16.3,0,0.0
2025-03-01 22:00:00,26.1,39,14.8,0,0.0
2025-03-01 23:00:00,25.5,39,17.7,0,0.0
2025-03-02 00:00:00,25.9,36,14.2,0,0.0
2025-03-02 01:00:00,25.0,38,13.0,0,0.0
2025-03-02 02:00:00,23.9,41,12.3,0,0.0
2025-03-02 03:00:00,22.5,46,12.1,0,0.0
2025-03-02 04:00:00,21.7,50,10.3,0,0.0
2025-03-02 05:00:00,21.0,52,2.4,0,0.0
2025-03-02 06:00:00,21.5,58,7.0,3,0.0
2025-03-02 07:00:00,22.6,55,5.7,1,0.0
2025-03-02 08:00:00,26.0,43,3.3,0,0.0
2025-03-02 09:00:00,29.4,35,5.7,32,0.0
2025-03-02 10:00:00,32.0,30,8.7,100,0.0
2025-03-02 11:00:00,33.8,25,12.8,99,0.0
2025-03-02 12:00:00,35.0,23,16.5,100,0.0
2025-03-02 13:00:00,35.6,21,18.1,100,0.0
2025-03-02 14:00:00,35.9,21,18.7,100,0.0
2025-03-02 15:00:00,35.6,20,19.2,100,0.0
2025-03-02 16:00:00,35.0,20,19.4,100,0.0
2025-03-02 17:00:00,33.9,23,14.7,97,0.0
2025-03-02 18:00:00,31.9,26,26.0,85,0.0
2025-03-02 19:00:00,30.3,28,26.7,93,0.0
2025-03-02 20:00:00,28.9,31,25.2,25,0.0
2025-03-02 21:00:00,28.2,31,24.9,4,0.0
2025-03-02 22:00:00,28.4,31,25.0,2,0.0
2025-03-02 23:00:00,27.5,34,23.5,22,0.0
2025-03-03 00:00:00,26.9,35,20.5,100,0.0
2025-03-03 01:00:00,24.9,41,22.9,47,0.0
2025-03-03 02:00:00,24.6,40,22.1,43,0.0
2025-03-03 03:00:00,24.5,38,22.4,1,0.0
2025-03-03 04:00:00,24.1,38,18.3,58,0.0
2025-03-03 05:00:00,22.8,41,4.3,44,0.0
2025-03-03 06:00:00,22.6,45,4.8,22,0.0
2025-03-03 07:00:00,23.4,46,4.2,12,0.0
2025-03-03 08:00:00,27.0,35,8.4,4,0.0
2025-03-03 09:00:00,29.5,30,9.5,24,0.0
2025-03-03 10:00:00,31.5,29,10.0,20,0.0
2025-03-03 11:00:00,33.1,25,8.4,31,0.0
2025-03-03 12:00:00,34.1,22,6.3,83,0.0
2025-03-03 13:00:00,34.8,21,5.0,94,0.0
2025-03-03 14:00:00,35.0,22,7.7,97,0.0
2025-03-03 15:00:00,34.6,22,6.2,96,0.0
2025-03-03 16:00:00,35.0,20,9.0,99,0.0
2025-03-03 17:00:00,34.2,19,10.7,86,0.0
2025-03-03 18:00:00,31.5,26,12.9,67,0.0
2025-03-03 19:00:00,29.4,32,13.1,97,0.0
2025-03-03 20:00:00,28.0,31,12.1,37,0.0
2025-03-03 21:00:00,27.0,31,15.5,23,0.0
2025-03-03 22:00:00,26.4,31,24.7,2,0.0
2025-03-03 23:00:00,25.7,29,26.1,1,0.0
2025-03-04 00:00:00,24.5,33,20.7,5,0.0
2025-03-04 01:00:00,23.5,40,17.3,1,0.0
2025-03-04 02:00:00,23.0,44,17.6,2,0.0
2025-03-04 03:00:00,22.7,45,17.6,12,0.0
2025-03-04 04:00:00,22.3,45,14.8,46,0.0
2025-03-04 05:00:00,21.5,49,9.5,59,0.0
2025-03-04 06:00:00,21.4,53,11.3,0,0.0
2025-03-04 07:00:00,22.7,49,8.1,0,0.0
2025-03-04 08:00:00,25.6,38,4.9,5,0.0
2025-03-04 09:00:00,28.5,31,4.2,29,0.0
2025-03-04 10:00:00,31.2,26,3.8,0,0.0
2025-03-04 11:00:00,33.3,23,1.8,41,0.0
2025-03-04 12:00:00,34.5,20,2.3,79,0.0
2025-03-04 13:00:00,35.2,18,5.6,53,0.0
2025-03-04 14:00:00,35.3,19,9.7,66,0.0
2025-03-04 15:00:00,34.8,20,12.6,65,0.0
2025-03-04 16:00:00,34.9,19,12.4,77,0.0
2025-03-04 17:00:00,34.7,18,8.7,1,0.0
2025-03-04 18:00:00,31.5,22,24.9,5,0.0
2025-03-04 19:00:00,30.5,23,25.1,1,0.0
2025-03-04 20:00:00,30.1,23,16.4,7,0.0
2025-03-04 21:00:00,28.6,27,16.3,0,0.0
2025-03-04 22:00:00,26.6,32,23.4,0,0.0
2025-03-04 23:00:00,26.6,31,24.2,0,0.0
2025-03-05 00:00:00,26.0,31,27.0,0,0.0
2025-03-05 01:00:00,24.7,34,23.4,0,0.0
2025-03-05 02:00:00,23.9,38,20.1,0,0.0
2025-03-05 03:00:00,22.8,42,13.6,0,0.0
2025-03-05 04:00:00,22.5,42,16.7,0,0.0
2025-03-05 05:00:00,21.9,44,18.4,0,0.0
2025-03-05 06:00:00,21.4,49,18.1,0,0.0
2025-03-05 07:00:00,22.0,47,18.1,0,0.0
2025-03-05 08:00:00,24.2,39,15.1,0,0.0
2025-03-05 09:00:00,26.0,29,16.7,0,0.0
2025-03-05 10:00:00,27.7,23,14.7,0,0.0
2025-03-05 11:00:00,29.4,18,11.5,0,0.0
2025-03-05 12:00:00,30.5,15,10.5,0,0.0
2025-03-05 13:00:00,31.3,13,11.2,0,0.0
2025-03-05 14:00:00,31.9,12,13.2,0,0.0
2025-03-05 15:00:00,32.0,11,14.9,0,0.0
2025-03-05 16:00:00,32.0,9,16.5,0,0.0
2025-03-05 17:00:00,30.6,11,20.3,0,0.0
2025-03-05 18:00:00,28.8,15,19.6,0,0.0
2025-03-05 19:00:00,27.0,15,27.4,0,0.0
2025-03-05 20:00:00,25.6,16,29.3,0,0.0
2025-03-05 21:00:00,24.7,17,30.3,0,0.0
2025-03-05 22:00:00,23.6,18,28.7,0,0.0
2025-03-05 23:00:00,22.9,17,27.5,0,0.0
2025-03-06 00:00:00,21.5,18,25.6,0,0.0
2025-03-06 01:00:00,20.6,19,24.0,0,0.0
2025-03-06 02:00:00,19.8,20,24.1,0,0.0
2025-03-06 03:00:00,19.1,20,23.1,0,0.0
2025-03-06 04:00:00,18.5,21,22.7,0,0.0
2025-03-06 05:00:00,18.0,23,21.6,0,0.0
2025-03-06 06:00:00,17.5,28,19.4,0,0.0
2025-03-06 07:00:00,18.5,28,16.2,0,0.0
2025-03-06 08:00:00,21.6,24,12.8,0,0.0
2025-03-06 09:00:00,24.5,19,12.8,0,0.0
2025-03-06 10:00:00,26.5,17,12.8,0,0.0
2025-03-06 11:00:00,28.2,14,9.9,0,0.0
2025-03-06 12:00:00,29.5,13,5.8,0,0.0
2025-03-06 13:00:00,30.6,12,3.8,0,0.0
2025-03-06 14:00:00,31.1,12,3.0,0,0.0
2025-03-06 15:00:00,31.2,12,2.6,0,0.0
2025-03-06 16:00:00,30.9,13,1.3,0,0.0
2025-03-06 17:00:00,30.0,14,4.8,0,0.0
2025-03-06 18:00:00,28.2,18,16.5,0,0.0
2025-03-06 19:00:00,26.9,20,14.4,0,0.0
2025-03-06 20:00:00,25.2,23,7.4,0,0.0
2025-03-06 21:00:00,23.4,28,5.7,0,0.0
2025-03-06 22:00:00,22.3,31,3.2,0,0.0
2025-03-06 23:00:00,20.8,36,15.3,0,0.0
2025-03-07 00:00:00,20.8,35,14.8,0,0.0
2025-03-07 01:00:00,20.4,30,19.0,0,0.0
2025-03-07 02:00:00,20.3,23,20.2,0,0.0
2025-03-07 03:00:00,19.9,23,20.9,0,0.0
2025-03-07 04:00:00,19.3,23,23.6,0,0.0
2025-03-07 05:00:00,18.8,24,21.2,0,0.0
2025-03-07 06:00:00,17.7,30,17.0,0,0.0
2025-03-07 07:00:00,18.8,29,16.1,0,0.0
2025-03-07 08:00:00,22.0,25,11.3,0,0.0
2025-03-07 09:00:00,25.4,20,5.4,0,0.0
2025-03-07 10:00:00,28.1,16,4.3,0,0.0
2025-03-07 11:00:00,30.2,13,2.9,0,0.0
2025-03-07 12:00:00,31.6,11,1.7,0,0.0
2025-03-07 13:00:00,32.3,11,3.1,0,0.0
2025-03-07 14:00:00,32.7,11,3.6,0,0.0
2025-03-07 15:00:00,32.4,12,9.1,0,0.0
2025-03-07 16:00:00,31.6,14,11.2,0,0.0
2025-03-07 17:00:00,30.9,15,9.7,0,0.0
2025-03-07 18:00:00,29.2,18,12.6,0,0.0
2025-03-07 19:00:00,27.2,21,16.6,0,0.0
2025-03-07 20:00:00,25.7,24,12.7,0,0.0
2025-03-07 21:00:00,24.3,26,15.1,0,0.0
2025-03-07 22:00:00,23.2,27,18.5,0,0.0
2025-03-07 23:00:00,22.1,30,17.3,0,0.0
2025-03-08 00:00:00,20.9,34,17.5,0,0.0
2025-03-08 01:00:00,20.0,37,14.1,0,0.0
2025-03-08 02:00:00,19.9,37,15.6,0,0.0
2025-03-08 03:00:00,19.1,38,13.4,0,0.0
2025-03-08 04:00:00,18.8,37,15.4,0,0.0
2025-03-08 05:00:00,18.3,35,15.8,0,0.0
2025-03-08 06:00:00,18.2,38,13.4,0,0.0
2025-03-08 07:00:00,20.1,35,10.1,0,0.0
2025-03-08 08:00:00,24.0,28,9.3,0,0.0
2025-03-08 09:00:00,28.0,21,3.5,0,0.0
2025-03-08 10:00:00,31.1,16,2.3,0,0.0
2025-03-08 11:00:00,33.0,13,2.4,0,0.0
2025-03-08 12:00:00,34.0,12,3.8,0,0.0
2025-03-08 13:00:00,34.8,12,4.7,0,0.0
2025-03-08 14:00:00,34.8,13,8.7,0,0.0
2025-03-08 15:00:00,34.5,14,11.5,0,0.0
2025-03-08 16:00:00,34.0,14,9.9,0,0.0
2025-03-08 17:00:00,33.0,15,10.2,0,0.0
2025-03-08 18:00:00,30.9,19,16.2,0,0.0
2025-03-08 19:00:00,29.4,22,15.9,0,0.0
2025-03-08 20:00:00,27.4,27,10.3,0,0.0
2025-03-08 21:00:00,26.8,27,12.1,0,0.0
2025-03-08 22:00:00,25.6,29,14.3,0,0.0
2025-03-08 23:00:00,23.6,34,17.3,0,0.0
2025-03-09 00:00:00,22.5,36,8.1,0,0.0
2025-03-09 01:00:00,21.9,39,19.3,0,0.0
2025-03-09 02:00:00,22.6,36,17.3,0,0.0
2025-03-09 03:00:00,22.0,36,21.8,0,0.0
2025-03-09 04:00:00,21.1,37,21.6,0,0.0
2025-03-09 05:00:00,20.6,37,19.3,0,0.0
2025-03-09 06:00:00,20.5,41,15.3,0,0.0
2025-03-09 07:00:00,21.6,38,16.1,0,0.0
2025-03-09 08:00:00,24.5,31,8.7,0,0.0
2025-03-09 09:00:00,27.6,26,5.7,0,0.0
2025-03-09 10:00:00,30.6,22,4.1,0,0.0
2025-03-09 11:00:00,32.8,18,2.2,0,0.0
2025-03-09 12:00:00,34.2,16,1.7,0,0.0
2025-03-09 13:00:00,35.1,15,1.8,0,0.0
2025-03-09 14:00:00,35.5,14,2.3,0,0.0
2025-03-09 15:00:00,35.5,14,4.8,0,0.0
2025-03-09 16:00:00,35.0,15,7.1,0,0.0
2025-03-09 17:00:00,33.8,17,9.7,0,0.0
2025-03-09 18:00:00,31.2,23,9.2,0,0.0
2025-03-09 19:00:00,30.3,24,11.4,0,0.0
2025-03-09 20:00:00,29.6,24,17.3,0,0.0
2025-03-09 21:00:00,29.1,24,10.3,0,0.0
2025-03-09 22:00:00,27.5,27,13.9,0,0.0
2025-03-09 23:00:00,25.8,32,17.4,0,0.0
2025-03-10 00:00:00,24.5,34,14.8,0,0.0
2025-03-10 01:00:00,24.1,35,16.6,0,0.0
2025-03-10 02:00:00,23.9,36,17.6,0,0.0
2025-03-10 03:00:00,23.0,37,22.7,0,0.0
2025-03-10 04:00:00,22.5,36,25.1,0,0.0
2025-03-10 05:00:00,21.9,35,22.8,0,0.0
2025-03-10 06:00:00,21.9,36,21.7,0,0.0
2025-03-10 07:00:00,22.9,35,16.0,0,0.0
2025-03-10 08:00:00,25.1,30,9.4,0,0.0
2025-03-10 09:00:00,27.6,28,6.4,0,0.0
2025-03-10 10:00:00,30.0,27,3.0,0,0.0
2025-03-10 11:00:00,32.0,25,2.5,0,0.0
2025-03-10 12:00:00,33.6,24,3.6,0,0.0
2025-03-10 13:00:00,34.8,21,3.3,0,0.0
2025-03-10 14:00:00,35.5,19,4.7,0,0.0
2025-03-10 15:00:00,35.4,19,7.0,0,0.0
2025-03-10 16:00:00,34.9,19,8.5,0,0.0
2025-03-10 17:00:00,34.0,20,10.6,0,0.0
2025-03-10 18:00:00,31.1,28,5.8,0,0.0
2025-03-10 19:00:00,29.4,32,11.2,0,0.0
2025-03-10 20:00:00,28.5,34,11.9,0,0.0
2025-03-10 21:00:00,27.6,36,6.9,0,0.0
2025-03-10 22:00:00,27.4,36,7.7,0,0.0
2025-03-10 23:00:00,27.9,31,13.3,0,0.0
2025-03-11 00:00:00,25.1,39,25.6,0,0.0
2025-03-11 01:00:00,24.3,42,25.9,0,0.0
2025-03-11 02:00:00,24.0,37,24.1,0,0.0
2025-03-11 03:00:00,23.1,35,20.4,0,0.0
2025-03-11 04:00:00,22.6,34,18.2,0,0.0
2025-03-11 05:00:00,22.5,32,18.0,0,0.0
2025-03-11 06:00:00,22.4,37,17.8,0,0.0
2025-03-11 07:00:00,23.8,32,14.8,0,0.0
2025-03-11 08:00:00,26.2,26,5.2,0,0.0
2025-03-11 09:00:00,28.9,22,2.9,0,0.0
2025-03-11 10:00:00,31.2,19,4.6,0,0.0
2025-03-11 11:00:00,33.3,17,4.8,0,0.0
2025-03-11 12:00:00,34.8,15,3.2,0,0.0
2025-03-11 13:00:00,35.8,14,3.3,0,0.0
2025-03-11 14:00:00,36.2,14,6.2,0,0.0
2025-03-11 15:00:00,36.2,14,9.2,0,0.0
2025-03-11 16:00:00,35.5,16,10.1,0,0.0
2025-03-11 17:00:00,34.2,17,7.7,0,0.0
2025-03-11 18:00:00,31.1,25,11.7,0,0.0
2025-03-11 19:00:00,29.4,29,16.0,0,0.0
2025-03-11 20:00:00,28.8,28,17.7,0,0.0
2025-03-11 21:00:00,27.4,30,13.4,0,0.0
2025-03-11 22:00:00,26.4,32,14.0,0,0.0
2025-03-11 23:00:00,26.4,31,15.1,0,0.0
2025-03-12 00:00:00,24.8,34,12.7,0,0.0
2025-03-12 01:00:00,22.9,40,7.4,0,0.0
2025-03-12 02:00:00,22.2,43,10.3,0,0.0
2025-03-12 03:00:00,21.9,45,12.1,0,0.0
2025-03-12 04:00:00,21.5,47,12.9,0,0.0
2025-03-12 05:00:00,20.7,50,11.5,0,0.0
2025-03-12 06:00:00,21.8,44,17.6,0,0.0
2025-03-12 07:00:00,23.5,38,20.5,0,0.0
2025-03-12 08:00:00,26.8,34,22.6,0,0.0
