time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.4,67,22.4,0,0.0
2025-03-01 01:00:00,23.0,71,17.9,0,0.0
2025-03-01 02:00:00,22.5,75,15.0,0,0.0
2025-03-01 03:00:00,22.0,78,16.0,0,0.0
2025-03-01 04:00:00,21.5,81,14.4,0,0.0
2025-03-01 05:00:00,21.1,85,14.1,0,0.0
2025-03-01 06:00:00,21.1,88,14.5,5,0.0
2025-03-01 07:00:00,23.0,81,17.1,3,0.0
2025-03-01 08:00:00,26.1,66,13.6,5,0.0
2025-03-01 09:00:00,29.5,49,15.8,2,0.0
2025-03-01 10:00:00,32.2,36,18.1,3,0.0
2025-03-01 11:00:00,34.2,30,19.4,14,0.0
2025-03-01 12:00:00,36.0,22,21.1,33,0.0
2025-03-01 13:00:00,36.5,20,20.1,16,0.0
2025-03-01 14:00:00,36.8,19,21.9,20,0.0
2025-03-01 15:00:00,36.3,18,21.7,34,0.0
2025-03-01 16:00:00,35.4,19,27.3,26,0.0
2025-03-01 17:00:00,34.0,20,21.0,69,0.0
2025-03-01 18:00:00,32.0,27,17.1,3,0.0
2025-03-01 19:00:00,29.2,34,23.7,28,0.0
2025-03-01 20:00:00,27.0,50,21.2,2,0.0
2025-03-01 21:00:00,26.1,57,16.2,1,0.0
2025-03-01 22:00:00,25.2,69,13.9,1,0.0
2025-03-01 23:00:00,24.2,76,10.9,1,0.0
2025-03-02 00:00:00,23.5,79,6.0,1,0.0
2025-03-02 01:00:00,23.5,77,10.6,1,0.0
2025-03-02 02:00:00,23.5,71,16.5,0,0.0
2025-03-02 03:00:00,23.3,61,18.8,0,0.0
2025-03-02 04:00:00,23.1,53,19.9,0,0.0
2025-03-02 05:00:00,22.8,52,18.7,1,0.0
2025-03-02 06:00:00,23.3,62,17.8,0,0.0
2025-03-02 07:00:00,25.0,59,17.4,0,0.0
2025-03-02 08:00:00,27.4,54,9.7,0,0.0
2025-03-02 09:00:00,29.5,46,9.7,0,0.0
2025-03-02 10:00:00,31.5,40,11.3,0,0.0
2025-03-02 11:00:00,33.2,31,14.8,0,0.0
2025-03-02 12:00:00,34.6,26,19.3,36,0.0
2025-03-02 13:00:00,34.2,27,24.8,37,0.0
2025-03-02 14:00:00,34.9,24,22.2,4,0.0
2025-03-02 15:00:00,35.4,23,23.7,29,0.0
2025-03-02 16:00:00,35.0,21,20.3,11,0.0
2025-03-02 17:00:00,33.2,25,15.7,2,0.0
2025-03-02 18:00:00,30.1,43,8.0,20,0.0
2025-03-02 19:00:00,29.5,39,15.8,7,0.0
2025-03-02 20:00:00,28.1,38,11.5,10,0.0
2025-03-02 21:00:00,26.4,49,10.8,16,0.0
2025-03-02 22:00:00,25.8,56,10.1,14,0.0
2025-03-02 23:00:00,25.8,53,9.2,17,0.0
2025-03-03 00:00:00,25.4,50,7.9,0,0.0
2025-03-03 01:00:00,25.0,48,10.5,0,0.0
2025-03-03 02:00:00,23.8,54,11.0,0,0.0
2025-03-03 03:00:00,24.0,48,14.8,9,0.0
2025-03-03 04:00:00,23.6,48,15.5,3,0.0
2025-03-03 05:00:00,23.3,50,16.9,34,0.0
2025-03-03 06:00:00,24.8,52,16.9,54,0.0
2025-03-03 07:00:00,26.0,50,16.9,61,0.0
2025-03-03 08:00:00,27.7,41,11.5,7,0.0
2025-03-03 09:00:00,29.7,34,10.3,66,0.0
2025-03-03 10:00:00,31.2,31,10.0,43,0.0
2025-03-03 11:00:00,32.5,29,10.4,75,0.0
2025-03-03 12:00:00,33.5,27,13.3,99,0.0
2025-03-03 13:00:00,34.3,24,17.3,93,0.0
2025-03-03 14:00:00,34.1,24,19.0,76,0.0
2025-03-03 15:00:00,33.9,25,15.2,75,0.0
2025-03-03 16:00:00,33.4,26,13.7,63,0.0
2025-03-03 17:00:00,31.9,30,17.4,32,0.0
2025-03-03 18:00:00,30.4,32,16.8,16,0.0
2025-03-03 19:00:00,29.0,35,11.3,0,0.0
2025-03-03 20:00:00,28.3,31,20.6,0,0.0
2025-03-03 21:00:00,27.0,37,12.4,0,0.0
2025-03-03 22:00:00,25.1,39,0.8,0,0.0
2025-03-03 23:00:00,23.9,52,3.1,0,0.0
2025-03-04 00:00:00,23.6,43,10.5,0,0.0
2025-03-04 01:00:00,22.6,46,8.9,0,0.0
2025-03-04 02:00:00,22.1,50,4.8,0,0.0
2025-03-04 03:00:00,21.5,52,2.2,0,0.0
2025-03-04 04:00:00,20.5,55,2.3,0,0.0
2025-03-04 05:00:00,20.1,55,7.7,0,0.0
2025-03-04 06:00:00,21.5,52,11.0,0,0.0
2025-03-04 07:00:00,24.0,44,12.1,0,0.0
2025-03-04 08:00:00,26.4,36,8.7,0,0.0
2025-03-04 09:00:00,28.5,31,10.8,0,0.0
2025-03-04 10:00:00,30.2,26,11.7,0,0.0
2025-03-04 11:00:00,31.8,22,12.2,0,0.0
2025-03-04 12:00:00,32.9,20,14.6,0,0.0
2025-03-04 13:00:00,33.6,19,15.0,0,0.0
2025-03-04 14:00:00,34.2,17,18.0,0,0.0
2025-03-04 15:00:00,34.0,16,23.5,1,0.0
2025-03-04 16:00:00,33.2,18,22.6,5,0.0
2025-03-04 17:00:00,32.0,19,13.3,4,0.0
2025-03-04 18:00:00,30.2,21,15.6,0,0.0
2025-03-04 19:00:00,29.0,24,14.7,0,0.0
2025-03-04 20:00:00,28.3,27,15.4,0,0.0
2025-03-04 21:00:00,27.4,31,17.7,0,0.0
2025-03-04 22:00:00,26.8,33,14.9,0,0.0
2025-03-04 23:00:00,25.5,40,13.4,0,0.0
2025-03-05 00:00:00,24.3,42,11.3,0,0.0
2025-03-05 01:00:00,23.2,46,13.5,0,0.0
2025-03-05 02:00:00,22.9,49,18.2,0,0.0
2025-03-05 03:00:00,22.6,52,19.5,0,0.0
2025-03-05 04:00:00,22.5,54,20.5,0,0.0
2025-03-05 05:00:00,22.1,55,20.4,0,0.0
2025-03-05 06:00:00,22.9,55,19.8,0,0.0
2025-03-05 07:00:00,24.4,52,16.7,0,0.0
2025-03-05 08:00:00,26.9,36,13.9,0,0.0
2025-03-05 09:00:00,28.1,31,16.9,0,0.0
2025-03-05 10:00:00,29.4,26,20.9,0,0.0
2025-03-05 11:00:00,30.4,22,19.6,0,0.0
2025-03-05 12:00:00,31.5,19,18.4,0,0.0
2025-03-05 13:00:00,32.0,18,22.5,0,0.0
2025-03-05 14:00:00,31.5,20,26.0,0,0.0
2025-03-05 15:00:00,31.1,19,24.3,0,0.0
2025-03-05 16:00:00,30.5,17,25.2,0,0.0
2025-03-05 17:00:00,29.1,19,22.3,0,0.0
2025-03-05 18:00:00,28.0,20,23.3,0,0.0
2025-03-05 19:00:00,27.2,20,25.0,0,0.0
2025-03-05 20:00:00,26.4,22,23.4,0,0.0
2025-03-05 21:00:00,25.4,25,21.3,0,0.0
2025-03-05 22:00:00,24.2,28,19.3,0,0.0
2025-03-05 23:00:00,23.0,32,19.8,0,0.0
2025-03-06 00:00:00,22.0,34,22.6,0,0.0
2025-03-06 01:00:00,21.1,34,18.7,0,0.0
2025-03-06 02:00:00,20.0,39,16.5,0,0.0
2025-03-06 03:00:00,19.6,39,15.9,0,0.0
2025-03-06 04:00:00,19.2,40,14.1,0,0.0
2025-03-06 05:00:00,18.6,42,12.4,0,0.0
2025-03-06 06:00:00,18.5,47,11.0,0,0.0
2025-03-06 07:00:00,20.5,40,8.6,0,0.0
2025-03-06 08:00:00,22.8,33,6.9,0,0.0
2025-03-06 09:00:00,24.9,27,10.4,0,0.0
2025-03-06 10:00:00,26.5,23,8.7,0,0.0
2025-03-06 11:00:00,27.9,21,7.2,0,0.0
2025-03-06 12:00:00,29.0,18,6.8,0,0.0
2025-03-06 13:00:00,29.9,16,6.7,0,0.0
2025-03-06 14:00:00,30.4,15,7.4,0,0.0
2025-03-06 15:00:00,30.2,15,9.0,0,0.0
2025-03-06 16:00:00,29.8,15,12.6,0,0.0
2025-03-06 17:00:00,28.2,17,16.7,0,0.0
2025-03-06 18:00:00,25.9,34,8.0,0,0.0
2025-03-06 19:00:00,23.9,30,9.9,0,0.0
2025-03-06 20:00:00,22.0,42,17.3,0,0.0
2025-03-06 21:00:00,21.0,48,14.1,0,0.0
2025-03-06 22:00:00,20.2,54,5.8,0,0.0
2025-03-06 23:00:00,19.7,53,10.2,0,0.0
2025-03-07 00:00:00,19.0,61,4.7,0,0.0
2025-03-07 01:00:00,18.3,63,6.1,0,0.0
2025-03-07 02:00:00,17.9,59,9.6,0,0.0
2025-03-07 03:00:00,18.0,57,10.8,0,0.0
2025-03-07 04:00:00,17.2,61,8.9,0,0.0
2025-03-07 05:00:00,17.0,61,8.1,0,0.0
2025-03-07 06:00:00,18.2,60,6.8,0,0.0
2025-03-07 07:00:00,20.4,53,8.9,0,0.0
2025-03-07 08:00:00,23.9,42,6.3,0,0.0
2025-03-07 09:00:00,26.5,29,7.6,0,0.0
2025-03-07 10:00:00,28.1,24,10.5,0,0.0
2025-03-07 11:00:00,29.4,21,12.6,0,0.0
2025-03-07 12:00:00,30.3,19,14.8,0,0.0
2025-03-07 13:00:00,30.9,18,16.2,0,0.0
2025-03-07 14:00:00,31.0,18,18.0,0,0.0
2025-03-07 15:00:00,30.8,19,18.0,0,0.0
2025-03-07 16:00:00,30.3,20,17.8,0,0.0
2025-03-07 17:00:00,28.9,22,18.8,0,0.0
2025-03-07 18:00:00,27.5,25,13.6,0,0.0
2025-03-07 19:00:00,26.5,28,15.5,0,0.0
2025-03-07 20:00:00,26.8,27,20.4,0,0.0
2025-03-07 21:00:00,24.9,29,23.9,0,0.0
2025-03-07 22:00:00,23.4,33,23.3,0,0.0
2025-03-07 23:00:00,21.8,39,7.4,0,0.0
2025-03-08 00:00:00,20.6,48,8.9,0,0.0
2025-03-08 01:00:00,20.6,44,1.9,0,0.0
2025-03-08 02:00:00,20.0,46,3.1,0,0.0
2025-03-08 03:00:00,19.4,48,4.3,0,0.0
2025-03-08 04:00:00,19.0,51,4.2,0,0.0
2025-03-08 05:00:00,18.2,57,4.9,0,0.0
2025-03-08 06:00:00,19.1,57,4.4,0,0.0
2025-03-08 07:00:00,21.4,51,2.2,0,0.0
2025-03-08 08:00:00,25.4,40,2.3,0,0.0
2025-03-08 09:00:00,28.4,27,6.2,0,0.0
2025-03-08 10:00:00,30.2,21,8.3,0,0.0
2025-03-08 11:00:00,31.5,19,10.1,0,0.0
2025-03-08 12:00:00,32.7,16,11.5,0,0.0
2025-03-08 13:00:00,33.5,14,14.6,0,0.0
2025-03-08 14:00:00,33.5,15,17.1,0,0.0
2025-03-08 15:00:00,33.2,15,15.9,0,0.0
2025-03-08 16:00:00,32.6,16,12.8,0,0.0
2025-03-08 17:00:00,30.8,19,11.8,0,0.0
2025-03-08 18:00:00,29.0,26,10.3,0,0.0
2025-03-08 19:00:00,26.9,27,2.8,0,0.0
2025-03-08 20:00:00,25.0,44,17.7,0,0.0
2025-03-08 21:00:00,23.6,61,11.3,0,0.0
2025-03-08 22:00:00,22.5,68,9.3,0,0.0
2025-03-08 23:00:00,21.5,75,12.1,0,0.0
2025-03-09 00:00:00,21.0,75,13.8,0,0.0
2025-03-09 01:00:00,20.8,80,15.0,0,0.0
2025-03-09 02:00:00,20.4,86,14.7,0,0.0
2025-03-09 03:00:00,20.1,91,13.9,1,0.0
2025-03-09 04:00:00,20.0,95,12.1,53,0.0
2025-03-09 05:00:00,20.1,96,10.3,100,0.0
2025-03-09 06:00:00,21.8,90,6.9,100,0.0
2025-03-09 07:00:00,23.0,89,5.9,100,0.0
2025-03-09 08:00:00,24.5,80,6.1,100,0.0
2025-03-09 09:00:00,26.8,66,6.0,51,0.0
2025-03-09 10:00:00,29.1,56,6.4,17,0.0
2025-03-09 11:00:00,30.9,49,7.6,13,0.0
2025-03-09 12:00:00,31.9,42,10.7,30,0.1
2025-03-09 13:00:00,32.2,39,10.8,21,0.0
2025-03-09 14:00:00,32.9,33,10.9,14,0.0
2025-03-09 15:00:00,32.8,31,11.2,25,0.0
2025-03-09 16:00:00,32.5,28,10.5,5,0.0
2025-03-09 17:00:00,30.8,34,11.9,12,0.0
2025-03-09 18:00:00,27.8,54,22.1,0,0.0
2025-03-09 19:00:00,26.8,56,21.6,0,0.0
2025-03-09 20:00:00,25.8,59,21.5,0,0.0
2025-03-09 21:00:00,25.1,63,24.3,0,0.0
2025-03-09 22:00:00,24.6,69,23.8,0,0.0
2025-03-09 23:00:00,23.5,76,5.3,0,0.0
2025-03-10 00:00:00,22.6,76,8.2,0,0.0
2025-03-10 01:00:00,21.8,80,6.9,0,0.0
2025-03-10 02:00:00,21.1,83,7.6,0,0.0
2025-03-10 03:00:00,20.7,86,5.9,1,0.0
2025-03-10 04:00:00,20.2,88,7.3,0,0.0
2025-03-10 05:00:00,20.0,91,8.3,0,0.0
2025-03-10 06:00:00,20.5,89,5.2,6,0.0
2025-03-10 07:00:00,23.2,78,5.1,3,0.0
2025-03-10 08:00:00,25.5,73,3.0,1,0.0
2025-03-10 09:00:00,28.2,56,4.3,0,0.0
2025-03-10 10:00:00,30.8,38,7.1,0,0.0
2025-03-10 11:00:00,32.5,28,10.0,1,0.0
