time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,28.9,78,10.4,100,0.0
2025-03-01 01:00:00,28.4,74,9.2,100,0.5
2025-03-01 02:00:00,28.0,78,9.1,100,0.0
2025-03-01 03:00:00,27.4,84,11.7,100,0.0
2025-03-01 04:00:00,27.1,83,10.1,100,0.4
2025-03-01 05:00:00,26.8,85,10.3,100,0.3
2025-03-01 06:00:00,26.2,88,5.9,100,0.2
2025-03-01 07:00:00,26.6,83,6.1,100,0.0
2025-03-01 08:00:00,27.6,77,3.5,100,0.0
2025-03-01 09:00:00,29.8,68,5.5,100,0.0
2025-03-01 10:00:00,31.3,61,8.4,100,0.1
2025-03-01 11:00:00,32.5,57,9.9,95,0.0
2025-03-01 12:00:00,32.7,58,14.1,84,0.0
2025-03-01 13:00:00,32.4,57,19.4,50,1.0
2025-03-01 14:00:00,32.0,59,20.3,41,0.0
2025-03-01 15:00:00,32.0,60,19.7,57,0.1
2025-03-01 16:00:00,30.9,65,18.2,52,0.0
2025-03-01 17:00:00,30.2,69,18.0,53,0.0
2025-03-01 18:00:00,30.0,67,14.7,98,0.0
2025-03-01 19:00:00,30.0,69,10.8,86,0.0
2025-03-01 20:00:00,30.0,71,9.6,61,0.0
2025-03-01 21:00:00,29.8,72,9.2,30,0.0
2025-03-01 22:00:00,29.6,74,8.1,34,0.0
2025-03-01 23:00:00,29.2,73,6.1,89,0.6
2025-03-02 00:00:00,27.5,82,8.5,90,1.9
2025-03-02 01:00:00,27.2,86,9.1,100,0.0
2025-03-02 02:00:00,26.8,88,8.5,65,0.0
2025-03-02 03:00:00,26.7,86,7.0,100,0.0
2025-03-02 04:00:00,26.5,87,7.3,68,0.0
2025-03-02 05:00:00,26.4,88,9.9,99,0.0
2025-03-02 06:00:00,27.6,81,4.9,96,0.0
2025-03-02 07:00:00,28.2,77,6.9,97,0.0
2025-03-02 08:00:00,29.3,69,12.2,72,0.0
2025-03-02 09:00:00,31.9,52,13.1,99,0.0
2025-03-02 10:00:00,33.7,44,11.1,95,0.0
2025-03-02 11:00:00,32.2,54,14.4,69,0.6
2025-03-02 12:00:00,30.1,70,22.0,61,0.7
2025-03-02 13:00:00,32.1,59,12.5,84,0.3
2025-03-02 14:00:00,31.3,65,17.6,95,0.2
2025-03-02 15:00:00,30.5,67,15.5,99,0.1
2025-03-02 16:00:00,29.4,71,10.4,96,1.0
2025-03-02 17:00:00,29.8,71,12.5,100,0.0
2025-03-02 18:00:00,28.5,77,15.5,100,0.0
2025-03-02 19:00:00,28.1,80,17.4,97,0.0
2025-03-02 20:00:00,27.6,82,15.7,61,0.0
2025-03-02 21:00:00,27.0,83,15.8,38,0.1
2025-03-02 22:00:00,26.7,84,14.6,17,0.0
2025-03-02 23:00:00,26.2,88,6.6,71,0.0
2025-03-03 00:00:00,26.1,89,6.1,12,0.0
2025-03-03 01:00:00,26.0,91,3.2,30,0.0
2025-03-03 02:00:00,25.8,91,8.3,83,0.0
2025-03-03 03:00:00,25.6,91,12.7,16,0.0
2025-03-03 04:00:00,25.4,93,13.5,97,0.0
2025-03-03 05:00:00,25.3,93,11.7,99,0.1
2025-03-03 06:00:00,26.0,89,15.4,100,0.0
2025-03-03 07:00:00,26.8,85,17.5,99,0.0
2025-03-03 08:00:00,28.3,76,12.0,97,0.0
2025-03-03 09:00:00,30.7,61,9.4,92,0.0
2025-03-03 10:00:00,32.2,55,7.1,68,0.0
2025-03-03 11:00:00,33.3,51,9.7,94,0.0
2025-03-03 12:00:00,33.5,52,15.0,94,0.0
2025-03-03 13:00:00,33.4,53,17.0,64,0.0
2025-03-03 14:00:00,33.3,53,16.3,82,0.0
2025-03-03 15:00:00,32.8,57,19.8,30,0.0
2025-03-03 16:00:00,31.2,62,21.6,86,0.0
2025-03-03 17:00:00,31.0,61,15.9,100,0.0
2025-03-03 18:00:00,30.5,71,12.8,100,0.0
2025-03-03 19:00:00,30.0,72,13.0,99,0.0
2025-03-03 20:00:00,29.9,74,5.9,100,0.0
2025-03-03 21:00:00,29.3,78,4.4,58,0.0
2025-03-03 22:00:00,28.6,82,3.8,89,0.0
2025-03-03 23:00:00,28.0,88,2.9,100,0.0
2025-03-04 00:00:00,27.8,89,4.3,100,0.2
2025-03-04 01:00:00,27.5,89,2.4,100,0.0
2025-03-04 02:00:00,27.4,88,3.0,100,0.0
2025-03-04 03:00:00,26.7,89,2.6,100,0.2
2025-03-04 04:00:00,26.5,89,3.6,100,0.0
2025-03-04 05:00:00,26.3,89,7.6,100,0.1
2025-03-04 06:00:00,26.8,89,11.8,37,0.0
2025-03-04 07:00:00,27.4,84,9.6,85,0.0
2025-03-04 08:00:00,28.5,78,8.6,93,0.0
2025-03-04 09:00:00,30.1,70,7.2,97,0.0
2025-03-04 10:00:00,31.5,63,12.1,97,0.0
2025-03-04 11:00:00,32.0,61,15.8,87,0.0
2025-03-04 12:00:00,31.9,64,16.9,100,0.1
2025-03-04 13:00:00,31.9,64,20.2,100,0.0
2025-03-04 14:00:00,31.1,68,25.1,95,0.0
2025-03-04 15:00:00,31.0,64,20.0,94,0.0
2025-03-04 16:00:00,30.8,71,21.3,95,0.0
2025-03-04 17:00:00,30.4,69,18.5,34,0.0
2025-03-04 18:00:00,29.5,78,14.5,100,0.0
2025-03-04 19:00:00,29.3,79,11.1,100,0.0
2025-03-04 20:00:00,29.2,80,6.5,100,0.0
2025-03-04 21:00:00,29.0,82,4.0,100,0.0
2025-03-04 22:00:00,28.5,85,1.5,93,0.0
2025-03-04 23:00:00,28.1,87,5.7,100,0.1
2025-03-05 00:00:00,28.0,88,10.7,100,0.1
2025-03-05 01:00:00,27.7,90,9.4,12,0.0
2025-03-05 02:00:00,27.1,94,7.0,6,0.0
2025-03-05 03:00:00,26.6,97,6.1,7,0.0
2025-03-05 04:00:00,26.2,98,5.2,12,0.0
2025-03-05 05:00:00,26.0,97,6.4,11,0.0
2025-03-05 06:00:00,26.6,93,7.6,11,0.0
2025-03-05 07:00:00,26.8,90,12.7,24,0.0
2025-03-05 08:00:00,28.5,77,8.6,8,0.0
2025-03-05 09:00:00,30.5,68,6.9,16,0.0
2025-03-05 10:00:00,31.9,60,9.9,29,0.0
2025-03-05 11:00:00,32.2,59,13.4,34,0.1
2025-03-05 12:00:00,31.8,61,17.1,95,0.0
2025-03-05 13:00:00,31.9,59,19.0,92,0.0
2025-03-05 14:00:00,31.9,60,20.1,94,0.0
2025-03-05 15:00:00,31.5,64,23.3,23,0.0
2025-03-05 16:00:00,31.0,67,25.8,19,0.0
2025-03-05 17:00:00,30.4,70,25.0,8,0.0
2025-03-05 18:00:00,29.6,73,17.6,1,0.0
2025-03-05 19:00:00,29.2,78,14.3,22,0.0
2025-03-05 20:00:00,29.1,76,10.9,16,0.0
2025-03-05 21:00:00,28.0,80,12.5,51,0.5
2025-03-05 22:00:00,27.8,82,5.1,71,0.0
2025-03-05 23:00:00,27.1,84,9.3,45,0.0
2025-03-06 00:00:00,26.7,84,8.9,52,0.0
2025-03-06 01:00:00,26.3,85,5.8,27,0.0
2025-03-06 02:00:00,26.0,88,3.2,25,0.0
2025-03-06 03:00:00,25.7,88,3.4,54,0.0
2025-03-06 04:00:00,25.4,91,4.9,54,0.0
2025-03-06 05:00:00,25.2,92,4.0,61,0.0
2025-03-06 06:00:00,26.5,89,1.2,3,0.0
2025-03-06 07:00:00,27.1,86,0.8,10,0.0
2025-03-06 08:00:00,28.9,76,1.8,8,0.0
2025-03-06 09:00:00,30.6,66,5.8,14,0.0
2025-03-06 10:00:00,31.9,61,11.0,17,0.0
2025-03-06 11:00:00,32.3,59,15.9,19,0.0
2025-03-06 12:00:00,32.0,61,20.2,53,0.0
2025-03-06 13:00:00,31.9,62,21.1,65,0.0
2025-03-06 14:00:00,31.8,61,21.1,83,0.1
2025-03-06 15:00:00,31.5,63,19.6,30,0.1
2025-03-06 16:00:00,31.1,66,20.4,100,0.0
2025-03-06 17:00:00,30.4,70,20.2,68,0.0
2025-03-06 18:00:00,29.6,76,18.2,95,0.0
2025-03-06 19:00:00,29.6,77,10.3,62,0.0
2025-03-06 20:00:00,29.5,77,9.4,22,0.0
2025-03-06 21:00:00,29.3,79,10.1,3,0.0
2025-03-06 22:00:00,28.8,82,6.2,9,0.0
2025-03-06 23:00:00,28.3,86,4.8,50,0.0
2025-03-07 00:00:00,27.7,90,0.9,75,0.0
2025-03-07 01:00:00,27.0,92,9.7,40,0.4
2025-03-07 02:00:00,27.0,91,6.4,41,0.0
2025-03-07 03:00:00,26.8,92,4.7,40,0.0
2025-03-07 04:00:00,26.6,94,2.5,28,0.0
2025-03-07 05:00:00,26.3,94,4.4,75,0.2
2025-03-07 06:00:00,26.8,89,5.1,20,0.1
2025-03-07 07:00:00,27.3,87,4.3,12,0.0
2025-03-07 08:00:00,28.9,77,3.0,3,0.0
2025-03-07 09:00:00,31.0,64,0.6,7,0.0
2025-03-07 10:00:00,32.5,55,5.6,14,0.0
2025-03-07 11:00:00,33.0,53,11.8,30,0.0
2025-03-07 12:00:00,32.3,58,15.7,34,0.1
2025-03-07 13:00:00,32.1,60,17.0,34,0.0
2025-03-07 14:00:00,32.0,62,19.3,39,0.0
2025-03-07 15:00:00,31.8,63,23.9,25,0.0
2025-03-07 16:00:00,31.0,67,25.2,16,0.0
2025-03-07 17:00:00,30.6,69,21.5,18,0.0
2025-03-07 18:00:00,29.9,73,20.1,15,0.0
