time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,21.1,75,1.4,0,0.0
2025-03-01 01:00:00,20.3,77,5.0,1,0.0
2025-03-01 02:00:00,19.9,78,4.1,0,0.0
2025-03-01 03:00:00,19.9,79,6.4,0,0.0
2025-03-01 04:00:00,19.6,79,9.0,0,0.0
2025-03-01 05:00:00,19.5,79,9.3,1,0.0
2025-03-01 06:00:00,20.0,74,15.5,2,0.0
2025-03-01 07:00:00,22.6,66,12.9,7,0.0
2025-03-01 08:00:00,25.3,58,2.4,2,0.0
2025-03-01 09:00:00,27.5,53,2.6,24,0.0
2025-03-01 10:00:00,29.4,48,2.3,37,0.0
2025-03-01 11:00:00,30.8,45,1.4,6,0.0
2025-03-01 12:00:00,32.0,41,6.2,7,0.0
2025-03-01 13:00:00,33.0,36,9.2,13,0.0
2025-03-01 14:00:00,33.0,33,29.5,71,0.3
2025-03-01 15:00:00,30.8,37,16.6,28,0.3
2025-03-01 16:00:00,30.9,34,28.2,41,0.1
2025-03-01 17:00:00,28.4,43,27.5,81,0.0
2025-03-01 18:00:00,26.8,57,5.9,5,0.0
2025-03-01 19:00:00,25.5,64,6.0,4,0.0
2025-03-01 20:00:00,24.8,66,10.0,96,0.0
2025-03-01 21:00:00,25.0,63,12.9,21,0.0
2025-03-01 22:00:00,23.4,65,16.4,10,0.0
2025-03-01 23:00:00,23.1,67,17.8,1,0.0
2025-03-02 00:00:00,22.0,73,15.0,0,0.0
2025-03-02 01:00:00,21.4,77,15.3,0,0.0
2025-03-02 02:00:00,20.5,81,14.2,0,0.0
2025-03-02 03:00:00,20.0,83,13.6,0,0.0
2025-03-02 04:00:00,19.4,85,14.3,0,0.0
2025-03-02 05:00:00,19.0,84,15.7,0,0.0
2025-03-02 06:00:00,21.0,77,22.2,0,0.0
2025-03-02 07:00:00,23.0,67,23.1,0,0.0
2025-03-02 08:00:00,25.5,56,16.2,0,0.0
2025-03-02 09:00:00,28.0,46,20.8,0,0.0
2025-03-02 10:00:00,29.7,41,24.1,0,0.0
2025-03-02 11:00:00,31.2,35,26.5,0,0.0
2025-03-02 12:00:00,32.0,32,29.6,0,0.0
2025-03-02 13:00:00,32.5,30,30.7,0,0.0
2025-03-02 14:00:00,32.3,29,32.7,0,0.0
2025-03-02 15:00:00,32.1,27,33.1,0,0.0
2025-03-02 16:00:00,30.9,31,29.8,0,0.0
2025-03-02 17:00:00,29.2,36,27.8,0,0.0
2025-03-02 18:00:00,28.3,37,31.6,1,0.0
2025-03-02 19:00:00,27.6,39,32.8,1,0.0
2025-03-02 20:00:00,27.2,40,34.7,0,0.0
2025-03-02 21:00:00,26.8,40,34.6,0,0.0
2025-03-02 22:00:00,26.5,41,38.0,0,0.0
2025-03-02 23:00:00,25.6,43,23.0,0,0.0
2025-03-03 00:00:00,23.7,49,18.6,0,0.0
2025-03-03 01:00:00,22.9,52,18.8,0,0.0
2025-03-03 02:00:00,21.1,59,11.1,0,0.0
2025-03-03 03:00:00,20.2,63,9.4,0,0.0
2025-03-03 04:00:00,19.9,66,10.4,0,0.0
2025-03-03 05:00:00,19.4,68,14.8,0,0.0
2025-03-03 06:00:00,20.3,70,18.6,0,0.0
2025-03-03 07:00:00,23.0,59,23.1,0,0.0
2025-03-03 08:00:00,25.9,49,16.2,0,0.0
2025-03-03 09:00:00,28.5,37,18.3,0,0.0
2025-03-03 10:00:00,30.2,28,23.1,0,0.0
2025-03-03 11:00:00,31.4,23,26.3,0,0.0
2025-03-03 12:00:00,32.0,25,29.4,19,0.0
2025-03-03 13:00:00,32.2,25,31.2,64,0.0
2025-03-03 14:00:00,32.0,24,31.4,55,0.0
2025-03-03 15:00:00,31.4,25,31.7,85,0.0
2025-03-03 16:00:00,30.2,27,30.9,67,0.0
2025-03-03 17:00:00,28.4,31,29.6,0,0.0
2025-03-03 18:00:00,26.8,37,31.7,1,0.0
2025-03-03 19:00:00,25.9,40,26.8,0,0.0
2025-03-03 20:00:00,24.4,45,23.1,1,0.0
2025-03-03 21:00:00,23.2,47,21.5,0,0.0
2025-03-03 22:00:00,22.3,49,19.6,0,0.0
2025-03-03 23:00:00,21.3,52,19.5,0,0.0
2025-03-04 00:00:00,21.0,53,21.8,0,0.0
2025-03-04 01:00:00,20.1,56,20.6,0,0.0
2025-03-04 02:00:00,18.6,62,15.8,0,0.0
2025-03-04 03:00:00,17.9,64,12.2,0,0.0
2025-03-04 04:00:00,17.5,64,13.9,0,0.0
2025-03-04 05:00:00,17.4,64,16.7,0,0.0
2025-03-04 06:00:00,18.0,67,16.5,0,0.0
2025-03-04 07:00:00,21.1,54,19.5,0,0.0
2025-03-04 08:00:00,24.4,43,13.7,0,0.0
2025-03-04 09:00:00,26.6,37,13.9,0,0.0
2025-03-04 10:00:00,28.5,33,16.4,0,0.0
2025-03-04 11:00:00,30.0,30,17.8,0,0.0
2025-03-04 12:00:00,31.2,26,20.4,0,0.0
