time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.0,59,23.5,44,0.0
2025-03-01 01:00:00,22.3,64,21.2,36,0.0
2025-03-01 02:00:00,21.5,69,20.1,99,0.0
2025-03-01 03:00:00,21.1,73,19.2,86,0.0
2025-03-01 04:00:00,20.6,78,19.0,52,0.0
2025-03-01 05:00:00,20.1,81,20.1,47,0.0
2025-03-01 06:00:00,20.1,84,20.1,63,0.0
2025-03-01 07:00:00,20.0,83,18.5,64,0.0
2025-03-01 08:00:00,22.0,76,17.4,13,0.0
2025-03-01 09:00:00,24.6,61,12.8,0,0.0
2025-03-01 10:00:00,27.0,50,15.0,0,0.0
2025-03-01 11:00:00,28.9,42,16.6,0,0.0
2025-03-01 12:00:00,30.4,34,17.2,0,0.0
2025-03-01 13:00:00,31.4,30,18.3,0,0.0
2025-03-01 14:00:00,31.8,28,17.4,0,0.0
2025-03-01 15:00:00,32.0,28,15.9,35,0.0
2025-03-01 16:00:00,31.8,28,13.8,68,0.0
2025-03-01 17:00:00,30.7,35,12.1,15,0.0
2025-03-01 18:00:00,27.5,44,16.6,0,0.0
2025-03-01 19:00:00,26.5,42,21.7,0,0.0
2025-03-01 20:00:00,25.9,39,24.6,0,0.0
2025-03-01 21:00:00,25.2,38,23.9,0,0.0
2025-03-01 22:00:00,23.6,43,20.4,0,0.0
2025-03-01 23:00:00,22.2,49,19.2,0,0.0
2025-03-02 00:00:00,21.5,53,19.6,0,0.0
2025-03-02 01:00:00,21.0,57,19.3,0,0.0
2025-03-02 02:00:00,20.6,58,19.5,0,0.0
2025-03-02 03:00:00,20.3,59,21.0,0,0.0
2025-03-02 04:00:00,19.5,60,19.0,0,0.0
2025-03-02 05:00:00,18.5,65,13.5,0,0.0
2025-03-02 06:00:00,19.4,67,16.6,0,0.0
2025-03-02 07:00:00,19.2,69,14.7,0,0.0
2025-03-02 08:00:00,21.9,61,16.4,0,0.0
2025-03-02 09:00:00,24.9,52,9.9,0,0.0
2025-03-02 10:00:00,27.5,45,7.7,0,0.0
2025-03-02 11:00:00,29.7,37,8.7,0,0.0
2025-03-02 12:00:00,30.8,30,10.8,0,0.0
2025-03-02 13:00:00,31.0,29,12.6,0,0.0
2025-03-02 14:00:00,31.1,28,12.1,0,0.0
2025-03-02 15:00:00,31.2,27,11.5,0,0.0
2025-03-02 16:00:00,31.0,28,12.0,0,0.0
2025-03-02 17:00:00,30.0,35,11.7,0,0.0
2025-03-02 18:00:00,27.5,44,10.8,0,0.0
2025-03-02 19:00:00,25.2,42,16.0,0,0.0
2025-03-02 20:00:00,24.1,42,15.5,0,0.0
2025-03-02 21:00:00,22.5,47,11.0,0,0.0
2025-03-02 22:00:00,22.1,51,16.2,0,0.0
2025-03-02 23:00:00,22.4,49,20.9,0,0.0
2025-03-03 00:00:00,22.5,49,25.0,0,0.0
2025-03-03 01:00:00,21.8,52,23.3,0,0.0
2025-03-03 02:00:00,21.1,54,23.2,0,0.0
2025-03-03 03:00:00,20.8,56,23.8,1,0.0
2025-03-03 04:00:00,20.4,58,23.7,4,0.0
2025-03-03 05:00:00,20.1,60,24.6,19,0.0
2025-03-03 06:00:00,20.4,60,22.1,12,0.0
2025-03-03 07:00:00,20.1,62,19.3,14,0.0
2025-03-03 08:00:00,22.5,59,15.2,0,0.0
2025-03-03 09:00:00,25.2,51,7.3,0,0.0
2025-03-03 10:00:00,27.5,45,7.4,1,0.0
2025-03-03 11:00:00,29.3,41,8.1,0,0.0
2025-03-03 12:00:00,30.6,37,10.9,1,0.0
2025-03-03 13:00:00,31.6,34,13.5,0,0.0
2025-03-03 14:00:00,32.3,30,13.7,11,0.0
2025-03-03 15:00:00,32.5,27,13.4,68,0.0
2025-03-03 16:00:00,32.3,26,12.7,51,0.0
2025-03-03 17:00:00,31.0,35,11.1,90,0.0
2025-03-03 18:00:00,27.8,41,13.6,41,0.0
2025-03-03 19:00:00,25.8,41,14.2,38,0.0
2025-03-03 20:00:00,24.5,44,16.8,43,0.0
2025-03-03 21:00:00,24.0,43,21.6,29,0.0
2025-03-03 22:00:00,24.1,40,23.9,9,0.0
2025-03-03 23:00:00,23.0,43,19.4,4,0.0
2025-03-04 00:00:00,22.1,47,21.4,19,0.0
2025-03-04 01:00:00,22.5,44,28.2,20,0.0
2025-03-04 02:00:00,22.0,48,29.4,49,0.0
2025-03-04 03:00:00,21.5,55,29.4,18,0.0
2025-03-04 04:00:00,21.2,62,29.0,24,0.0
2025-03-04 05:00:00,21.1,60,29.0,54,0.0
2025-03-04 06:00:00,21.1,59,25.8,52,0.0
2025-03-04 07:00:00,20.6,56,24.0,48,0.0
2025-03-04 08:00:00,22.5,50,24.1,0,0.0
2025-03-04 09:00:00,25.2,39,18.6,0,0.0
2025-03-04 10:00:00,27.8,29,20.7,0,0.0
2025-03-04 11:00:00,29.5,24,21.1,0,0.0
2025-03-04 12:00:00,30.6,21,21.5,0,0.0
2025-03-04 13:00:00,31.3,20,22.1,0,0.0
2025-03-04 14:00:00,31.5,18,22.8,11,0.0
2025-03-04 15:00:00,31.2,16,23.2,0,0.0
2025-03-04 16:00:00,30.7,14,25.7,0,0.0
2025-03-04 17:00:00,29.1,16,26.9,0,0.0
2025-03-04 18:00:00,26.6,20,26.0,0,0.0
2025-03-04 19:00:00,24.7,19,27.7,0,0.0
2025-03-04 20:00:00,23.4,19,28.3,0,0.0
2025-03-04 21:00:00,22.3,17,29.2,0,0.0
2025-03-04 22:00:00,21.5,15,31.0,0,0.0
2025-03-04 23:00:00,21.0,13,33.4,0,0.0
2025-03-05 00:00:00,20.4,12,31.1,0,0.0
2025-03-05 01:00:00,19.1,14,28.3,0,0.0
2025-03-05 02:00:00,17.9,15,27.7,0,0.0
2025-03-05 03:00:00,16.9,16,28.1,0,0.0
2025-03-05 04:00:00,16.4,17,29.8,0,0.0
2025-03-05 05:00:00,15.9,17,30.1,0,0.0
2025-03-05 06:00:00,16.5,24,30.0,0,0.0
