time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,17.4,86,8.2,5,0.0
2025-03-01 01:00:00,17.4,85,9.3,10,0.0
2025-03-01 02:00:00,17.4,84,8.7,9,0.0
2025-03-01 03:00:00,17.1,84,8.0,8,0.0
2025-03-01 04:00:00,16.7,85,1.3,7,0.0
2025-03-01 05:00:00,16.5,83,8.5,20,0.0
2025-03-01 06:00:00,17.8,84,6.8,41,0.0
2025-03-01 07:00:00,19.9,75,1.5,30,0.0
2025-03-01 08:00:00,21.5,71,4.0,62,0.0
2025-03-01 09:00:00,22.1,71,5.8,32,0.2
2025-03-01 10:00:00,22.8,69,5.8,6,0.0
2025-03-01 11:00:00,24.5,64,6.1,3,0.0
2025-03-01 12:00:00,25.2,62,7.2,10,0.0
2025-03-01 13:00:00,26.1,60,3.8,21,0.0
2025-03-01 14:00:00,26.4,60,5.9,21,0.0
2025-03-01 15:00:00,25.2,64,10.5,48,0.0
2025-03-01 16:00:00,22.8,75,19.9,55,0.1
2025-03-01 17:00:00,21.4,77,16.1,74,0.6
2025-03-01 18:00:00,21.5,78,21.4,68,0.0
2025-03-01 19:00:00,19.6,84,21.6,88,1.2
2025-03-01 20:00:00,18.5,93,20.7,42,0.2
2025-03-01 21:00:00,17.8,96,10.2,3,0.0
2025-03-01 22:00:00,17.4,96,17.3,1,0.0
2025-03-01 23:00:00,16.8,97,16.7,74,1.1
2025-03-02 00:00:00,17.0,96,17.2,30,0.0
2025-03-02 01:00:00,16.6,96,18.0,39,0.0
2025-03-02 02:00:00,16.1,98,12.3,30,0.0
2025-03-02 03:00:00,15.6,99,12.9,8,0.0
2025-03-02 04:00:00,15.2,100,14.4,63,0.0
2025-03-02 05:00:00,14.8,100,13.3,100,0.0
2025-03-02 06:00:00,16.6,99,7.5,12,0.0
2025-03-02 07:00:00,18.2,94,4.6,19,0.0
2025-03-02 08:00:00,20.8,82,2.4,13,0.0
2025-03-02 09:00:00,22.8,73,5.4,17,0.0
2025-03-02 10:00:00,24.1,70,9.7,14,0.0
2025-03-02 11:00:00,25.8,65,10.5,9,0.0
2025-03-02 12:00:00,27.4,61,10.6,3,0.0
2025-03-02 13:00:00,28.3,56,12.6,2,0.0
2025-03-02 14:00:00,30.7,25,27.5,6,0.0
2025-03-02 15:00:00,28.8,32,28.1,3,0.0
2025-03-02 16:00:00,26.0,42,24.3,3,0.0
2025-03-02 17:00:00,23.1,58,16.2,1,0.0
2025-03-02 18:00:00,22.0,69,15.3,34,0.0
2025-03-02 19:00:00,22.2,70,12.7,34,0.0
2025-03-02 20:00:00,20.5,79,8.4,31,0.0
2025-03-02 21:00:00,18.9,88,8.0,34,0.0
2025-03-02 22:00:00,18.4,87,8.2,9,0.0
2025-03-02 23:00:00,17.9,86,14.8,13,0.0
2025-03-03 00:00:00,17.9,94,16.9,9,0.0
2025-03-03 01:00:00,17.3,96,13.5,28,0.0
2025-03-03 02:00:00,16.7,97,10.7,0,0.0
2025-03-03 03:00:00,15.6,98,7.8,0,0.0
2025-03-03 04:00:00,15.1,99,9.4,15,0.0
2025-03-03 05:00:00,14.8,99,9.9,55,0.0
2025-03-03 06:00:00,16.5,94,3.4,6,0.0
2025-03-03 07:00:00,18.2,89,8.8,37,0.0
2025-03-03 08:00:00,19.5,90,8.2,80,0.0
2025-03-03 09:00:00,21.6,82,8.5,16,0.0
2025-03-03 10:00:00,24.0,71,9.7,2,0.0
2025-03-03 11:00:00,25.6,64,8.9,2,0.0
2025-03-03 12:00:00,26.5,59,5.4,2,0.0
2025-03-03 13:00:00,27.2,56,9.4,1,0.0
2025-03-03 14:00:00,27.3,55,9.0,0,0.0
2025-03-03 15:00:00,26.6,57,9.2,0,0.0
2025-03-03 16:00:00,25.2,72,6.0,0,0.0
2025-03-03 17:00:00,23.3,72,2.4,0,0.0
2025-03-03 18:00:00,22.8,64,17.6,20,0.0
2025-03-03 19:00:00,21.6,67,11.4,14,0.0
2025-03-03 20:00:00,20.3,70,10.1,8,0.0
2025-03-03 21:00:00,18.8,83,8.1,0,0.0
2025-03-03 22:00:00,17.6,90,4.7,0,0.0
2025-03-03 23:00:00,17.0,90,2.4,0,0.0
2025-03-04 00:00:00,16.5,89,5.3,0,0.0
2025-03-04 01:00:00,15.8,86,7.5,0,0.0
2025-03-04 02:00:00,15.0,83,7.4,0,0.0
2025-03-04 03:00:00,14.2,81,5.6,0,0.0
2025-03-04 04:00:00,13.8,80,6.1,0,0.0
2025-03-04 05:00:00,13.6,79,7.2,7,0.0
2025-03-04 06:00:00,14.9,81,4.4,2,0.0
2025-03-04 07:00:00,17.0,73,2.8,9,0.0
2025-03-04 08:00:00,20.0,66,4.0,9,0.0
2025-03-04 09:00:00,22.2,70,7.3,0,0.0
2025-03-04 10:00:00,24.0,63,8.7,0,0.0
2025-03-04 11:00:00,25.1,55,11.9,0,0.0
2025-03-04 12:00:00,26.1,51,12.0,0,0.0
