time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.4,53,23.0,96,0.0
2025-03-01 01:00:00,24.2,61,21.2,95,0.0
2025-03-01 02:00:00,23.5,61,20.3,18,0.0
2025-03-01 03:00:00,22.9,61,18.6,0,0.0
2025-03-01 04:00:00,22.3,62,17.7,0,0.0
2025-03-01 05:00:00,21.8,63,18.2,3,0.0
2025-03-01 06:00:00,21.5,71,16.9,0,0.0
2025-03-01 07:00:00,21.8,71,17.4,0,0.0
2025-03-01 08:00:00,23.5,61,11.1,0,0.0
2025-03-01 09:00:00,26.2,44,12.1,0,0.0
2025-03-01 10:00:00,28.8,33,14.1,0,0.0
2025-03-01 11:00:00,30.5,29,14.5,0,0.0
2025-03-01 12:00:00,31.6,27,14.0,0,0.0
2025-03-01 13:00:00,32.4,25,12.8,0,0.0
2025-03-01 14:00:00,32.8,23,12.2,0,0.0
2025-03-01 15:00:00,32.8,23,12.3,0,0.0
2025-03-01 16:00:00,32.2,24,12.5,0,0.0
2025-03-01 17:00:00,31.2,26,14.5,0,0.0
2025-03-01 18:00:00,30.2,30,15.7,38,0.0
2025-03-01 19:00:00,29.2,35,15.1,0,0.0
2025-03-01 20:00:00,28.4,38,15.0,0,0.0
2025-03-01 21:00:00,27.7,39,13.0,0,0.0
2025-03-01 22:00:00,26.8,42,16.0,82,0.0
2025-03-01 23:00:00,26.0,45,15.7,91,0.0
2025-03-02 00:00:00,25.2,48,15.2,98,0.0
2025-03-02 01:00:00,24.6,49,12.6,99,0.0
2025-03-02 02:00:00,24.0,51,14.8,98,0.0
2025-03-02 03:00:00,23.6,51,14.4,100,0.0
2025-03-02 04:00:00,23.2,53,11.1,100,0.0
2025-03-02 05:00:00,22.6,55,10.6,100,0.0
2025-03-02 06:00:00,22.5,61,11.8,100,0.0
2025-03-02 07:00:00,22.7,62,13.0,100,0.0
2025-03-02 08:00:00,24.5,58,10.4,94,0.0
2025-03-02 09:00:00,27.8,44,7.6,6,0.0
2025-03-02 10:00:00,30.6,31,8.7,43,0.0
2025-03-02 11:00:00,32.7,22,9.3,37,0.0
2025-03-02 12:00:00,33.8,20,8.0,90,0.0
2025-03-02 13:00:00,34.4,19,9.6,100,0.0
2025-03-02 14:00:00,34.5,19,12.2,100,0.0
2025-03-02 15:00:00,34.2,19,15.0,100,0.0
2025-03-02 16:00:00,33.7,20,16.6,96,0.0
2025-03-02 17:00:00,32.8,22,16.7,24,0.0
2025-03-02 18:00:00,31.5,24,16.6,9,0.0
2025-03-02 19:00:00,30.6,27,16.1,99,0.0
2025-03-02 20:00:00,29.8,29,16.0,21,0.0
2025-03-02 21:00:00,28.9,30,15.9,17,0.0
2025-03-02 22:00:00,28.0,31,11.2,3,0.0
2025-03-02 23:00:00,27.2,32,12.2,1,0.0
2025-03-03 00:00:00,27.0,31,10.6,0,0.0
2025-03-03 01:00:00,26.5,32,13.1,1,0.0
2025-03-03 02:00:00,26.1,33,9.3,1,0.0
2025-03-03 03:00:00,25.0,36,12.1,0,0.0
2025-03-03 04:00:00,24.0,38,11.0,3,0.0
2025-03-03 05:00:00,23.5,39,9.4,0,0.0
2025-03-03 06:00:00,23.6,51,7.5,3,0.0
2025-03-03 07:00:00,23.6,53,9.8,11,0.0
2025-03-03 08:00:00,26.0,44,10.8,26,0.0
2025-03-03 09:00:00,29.6,32,5.2,54,0.0
2025-03-03 10:00:00,32.0,26,2.6,60,0.0
2025-03-03 11:00:00,33.7,22,6.7,95,0.0
2025-03-03 12:00:00,34.8,19,9.8,36,0.0
2025-03-03 13:00:00,35.5,17,12.7,20,0.0
