time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,13.6,85,1.0,7,0.0
2025-03-01 01:00:00,13.4,85,1.4,69,0.0
2025-03-01 02:00:00,14.2,80,3.6,31,0.0
2025-03-01 03:00:00,13.4,85,1.5,15,0.0
2025-03-01 04:00:00,13.4,85,3.0,47,0.0
2025-03-01 05:00:00,13.6,83,1.9,29,0.0
2025-03-01 06:00:00,15.0,81,1.5,37,0.0
2025-03-01 07:00:00,17.1,74,2.5,36,0.2
2025-03-01 08:00:00,19.9,65,6.5,35,0.0
2025-03-01 09:00:00,22.3,58,18.6,30,0.1
2025-03-01 10:00:00,24.2,48,26.7,22,0.1
2025-03-01 11:00:00,24.8,45,31.9,13,0.0
2025-03-01 12:00:00,25.4,41,31.8,9,0.0
2025-03-01 13:00:00,26.1,35,29.1,15,0.0
2025-03-01 14:00:00,25.5,37,28.8,27,0.0
2025-03-01 15:00:00,24.0,47,26.9,18,0.0
2025-03-01 16:00:00,22.9,52,23.3,11,0.0
2025-03-01 17:00:00,21.0,59,11.8,14,0.0
2025-03-01 18:00:00,20.9,59,5.9,40,0.0
2025-03-01 19:00:00,19.8,64,4.4,29,0.0
2025-03-01 20:00:00,18.0,73,5.4,73,0.0
2025-03-01 21:00:00,17.1,81,7.8,95,0.4
2025-03-01 22:00:00,17.1,92,11.7,22,0.2
2025-03-01 23:00:00,15.6,97,5.3,54,0.0
2025-03-02 00:00:00,15.2,100,1.4,54,0.0
2025-03-02 01:00:00,14.8,99,6.7,53,0.0
2025-03-02 02:00:00,14.1,96,9.3,76,0.1
2025-03-02 03:00:00,13.9,100,5.2,71,0.0
2025-03-02 04:00:00,13.4,97,3.4,49,0.2
2025-03-02 05:00:00,13.6,98,8.2,64,0.1
2025-03-02 06:00:00,15.4,97,3.6,77,0.0
2025-03-02 07:00:00,17.0,88,4.4,81,0.2
2025-03-02 08:00:00,18.1,78,3.4,82,0.1
2025-03-02 09:00:00,19.9,64,8.5,78,0.1
2025-03-02 10:00:00,20.1,60,16.1,88,0.0
2025-03-02 11:00:00,21.0,60,13.2,74,0.0
2025-03-02 12:00:00,22.8,53,26.4,43,0.0
2025-03-02 13:00:00,21.4,51,18.0,57,0.0
2025-03-02 14:00:00,21.6,60,14.3,22,0.0
2025-03-02 15:00:00,21.9,65,16.0,42,0.0
2025-03-02 16:00:00,21.2,70,12.8,15,0.0
2025-03-02 17:00:00,19.6,78,11.2,27,0.0
2025-03-02 18:00:00,18.0,80,6.5,56,0.0
2025-03-02 19:00:00,17.0,87,6.4,22,0.0
2025-03-02 20:00:00,16.1,93,4.9,41,0.0
2025-03-02 21:00:00,16.0,93,5.9,50,0.0
2025-03-02 22:00:00,16.0,93,11.7,62,0.1
2025-03-02 23:00:00,15.2,97,2.8,36,0.0
2025-03-03 00:00:00,14.4,100,5.9,97,0.0
2025-03-03 01:00:00,13.9,100,8.1,99,0.0
2025-03-03 02:00:00,13.6,100,10.4,100,0.0
2025-03-03 03:00:00,13.4,100,8.3,100,0.0
2025-03-03 04:00:00,13.2,100,5.9,100,0.0
2025-03-03 05:00:00,13.4,99,5.8,100,0.0
2025-03-03 06:00:00,14.1,96,9.0,46,0.0
2025-03-03 07:00:00,16.4,84,6.5,15,0.0
2025-03-03 08:00:00,19.3,71,4.5,14,0.0
2025-03-03 09:00:00,22.0,59,5.6,30,0.0
2025-03-03 10:00:00,24.7,46,13.3,31,0.0
2025-03-03 11:00:00,26.3,34,24.5,11,0.0
2025-03-03 12:00:00,27.0,31,25.4,22,0.0
2025-03-03 13:00:00,27.1,29,27.8,73,0.0
2025-03-03 14:00:00,26.2,32,29.8,62,0.0
2025-03-03 15:00:00,24.6,40,24.5,53,0.0
2025-03-03 16:00:00,23.7,46,18.4,57,0.0
2025-03-03 17:00:00,21.9,51,13.5,33,0.0
2025-03-03 18:00:00,20.4,56,12.1,22,0.0
2025-03-03 19:00:00,19.4,59,13.5,12,0.0
2025-03-03 20:00:00,18.1,64,12.8,3,0.0
2025-03-03 21:00:00,16.9,70,13.0,8,0.0
2025-03-03 22:00:00,15.9,75,9.3,5,0.0
2025-03-03 23:00:00,14.6,82,7.7,11,0.0
2025-03-04 00:00:00,13.9,85,5.0,23,0.0
2025-03-04 01:00:00,13.7,84,2.7,15,0.0
2025-03-04 02:00:00,12.9,85,3.9,9,0.0
2025-03-04 03:00:00,12.4,85,8.3,3,0.0
2025-03-04 04:00:00,12.1,84,10.3,18,0.0
2025-03-04 05:00:00,12.1,83,9.8,21,0.0
2025-03-04 06:00:00,14.1,77,7.2,1,0.0
2025-03-04 07:00:00,17.5,64,5.8,0,0.0
2025-03-04 08:00:00,20.3,55,5.0,0,0.0
2025-03-04 09:00:00,23.0,43,7.8,3,0.0
2025-03-04 10:00:00,25.4,28,19.0,5,0.0
2025-03-04 11:00:00,25.5,30,23.9,2,0.0
2025-03-04 12:00:00,26.2,28,21.7,1,0.0
2025-03-04 13:00:00,26.2,26,25.1,9,0.0
2025-03-04 14:00:00,25.5,30,25.1,16,0.0
2025-03-04 15:00:00,24.7,32,23.7,1,0.0
2025-03-04 16:00:00,24.0,32,21.0,1,0.0
2025-03-04 17:00:00,21.8,39,15.1,2,0.0
2025-03-04 18:00:00,20.3,45,5.9,7,0.0
2025-03-04 19:00:00,19.3,48,6.6,11,0.0
2025-03-04 20:00:00,17.7,55,9.2,2,0.0
2025-03-04 21:00:00,16.3,62,9.5,8,0.0
2025-03-04 22:00:00,15.6,67,8.6,0,0.0
2025-03-04 23:00:00,14.2,74,6.9,0,0.0
2025-03-05 00:00:00,13.2,80,3.5,0,0.0
2025-03-05 01:00:00,12.6,83,1.1,0,0.0
2025-03-05 02:00:00,11.9,86,3.2,0,0.0
2025-03-05 03:00:00,11.6,87,5.9,3,0.0
2025-03-05 04:00:00,11.4,85,8.5,0,0.0
2025-03-05 05:00:00,11.3,85,8.9,0,0.0
2025-03-05 06:00:00,13.7,76,5.4,0,0.0
2025-03-05 07:00:00,17.5,60,6.5,0,0.0
2025-03-05 08:00:00,20.5,50,4.7,10,0.0
2025-03-05 09:00:00,23.5,39,17.7,31,0.0
2025-03-05 10:00:00,24.2,37,26.9,40,0.0
2025-03-05 11:00:00,24.9,34,27.4,100,0.0
2025-03-05 12:00:00,24.8,33,25.1,33,0.0
2025-03-05 13:00:00,25.6,31,29.5,66,0.0
2025-03-05 14:00:00,25.0,32,31.4,33,0.0
2025-03-05 15:00:00,24.3,34,28.5,24,0.0
2025-03-05 16:00:00,23.0,39,22.4,5,0.0
2025-03-05 17:00:00,20.6,47,11.1,4,0.0
2025-03-05 18:00:00,19.5,52,1.4,9,0.0
2025-03-05 19:00:00,18.0,57,2.7,2,0.0
2025-03-05 20:00:00,17.0,63,6.5,0,0.0
2025-03-05 21:00:00,15.1,73,1.9,8,0.0
2025-03-05 22:00:00,14.4,77,1.5,42,0.0
2025-03-05 23:00:00,14.4,77,3.7,42,0.0
2025-03-06 00:00:00,14.1,78,3.0,42,0.0
2025-03-06 01:00:00,13.8,80,3.0,32,0.0
2025-03-06 02:00:00,13.2,83,4.1,19,0.0
2025-03-06 03:00:00,12.3,88,2.3,15,0.0
2025-03-06 04:00:00,11.9,89,3.3,21,0.0
2025-03-06 05:00:00,11.8,89,5.6,11,0.0
2025-03-06 06:00:00,13.7,80,5.2,4,0.0
2025-03-06 07:00:00,17.3,63,7.2,1,0.0
2025-03-06 08:00:00,20.0,53,5.2,0,0.0
2025-03-06 09:00:00,22.5,41,2.1,2,0.0
2025-03-06 10:00:00,24.2,32,3.6,1,0.0
2025-03-06 11:00:00,25.5,26,7.3,0,0.0
2025-03-06 12:00:00,26.2,22,11.5,7,0.0
2025-03-06 13:00:00,26.1,22,15.2,1,0.0
2025-03-06 14:00:00,25.8,23,15.4,0,0.0
2025-03-06 15:00:00,25.4,22,13.8,0,0.0
2025-03-06 16:00:00,24.2,24,15.3,0,0.0
2025-03-06 17:00:00,21.8,30,16.6,0,0.0
2025-03-06 18:00:00,19.5,37,9.3,0,0.0
2025-03-06 19:00:00,17.5,45,6.5,5,0.0
2025-03-06 20:00:00,16.5,50,0.5,1,0.0
2025-03-06 21:00:00,15.6,55,2.1,2,0.0
2025-03-06 22:00:00,14.6,62,5.2,1,0.0
2025-03-06 23:00:00,14.1,66,7.4,1,0.0
2025-03-07 00:00:00,13.7,65,9.4,1,0.0
2025-03-07 01:00:00,13.2,66,9.8,2,0.0
2025-03-07 02:00:00,12.8,67,9.3,3,0.0
2025-03-07 03:00:00,12.4,68,8.8,2,0.0
2025-03-07 04:00:00,12.1,70,9.1,0,0.0
2025-03-07 05:00:00,11.8,71,9.3,1,0.0
2025-03-07 06:00:00,13.7,63,7.8,0,0.0
2025-03-07 07:00:00,17.5,48,5.7,0,0.0
2025-03-07 08:00:00,20.4,39,2.6,0,0.0
2025-03-07 09:00:00,22.5,37,5.2,0,0.0
2025-03-07 10:00:00,24.0,35,9.6,46,0.0
2025-03-07 11:00:00,25.2,32,10.8,2,0.0
2025-03-07 12:00:00,26.8,25,11.6,1,0.0
2025-03-07 13:00:00,27.4,22,18.6,0,0.0
2025-03-07 14:00:00,26.5,27,23.6,0,0.0
2025-03-07 15:00:00,25.2,32,23.5,0,0.0
2025-03-07 16:00:00,23.9,37,22.9,0,0.0
2025-03-07 17:00:00,22.0,42,21.4,0,0.0
2025-03-07 18:00:00,20.7,48,16.0,0,0.0
2025-03-07 19:00:00,19.6,52,19.3,0,0.0
2025-03-07 20:00:00,18.1,58,17.4,0,0.0
2025-03-07 21:00:00,16.4,65,13.9,0,0.0
2025-03-07 22:00:00,14.6,73,8.6,0,0.0
2025-03-07 23:00:00,13.4,79,6.5,0,0.0
2025-03-08 00:00:00,12.4,82,3.7,0,0.0
2025-03-08 01:00:00,11.6,84,2.0,0,0.0
2025-03-08 02:00:00,11.4,83,3.1,0,0.0
2025-03-08 03:00:00,11.2,81,5.7,0,0.0
2025-03-08 04:00:00,11.1,80,4.9,0,0.0
2025-03-08 05:00:00,10.9,79,7.8,0,0.0
2025-03-08 06:00:00,13.4,68,6.5,0,0.0
2025-03-08 07:00:00,16.8,57,7.6,0,0.0
2025-03-08 08:00:00,19.7,47,3.4,0,0.0
2025-03-08 09:00:00,21.7,38,5.6,0,0.0
2025-03-08 10:00:00,23.6,34,10.6,3,0.0
2025-03-08 11:00:00,25.4,26,17.3,0,0.0
2025-03-08 12:00:00,25.4,25,24.4,2,0.0
2025-03-08 13:00:00,25.4,24,23.4,2,0.0
2025-03-08 14:00:00,25.1,24,24.9,0,0.0
2025-03-08 15:00:00,24.2,27,25.4,21,0.0
2025-03-08 16:00:00,23.9,27,18.9,7,0.0
2025-03-08 17:00:00,21.6,33,12.6,1,0.0
2025-03-08 18:00:00,19.1,41,5.1,5,0.0
2025-03-08 19:00:00,17.0,52,5.4,1,0.0
2025-03-08 20:00:00,15.4,62,5.5,1,0.0
2025-03-08 21:00:00,14.3,69,8.5,0,0.0
2025-03-08 22:00:00,13.6,71,11.6,0,0.0
2025-03-08 23:00:00,13.1,73,10.2,2,0.0
2025-03-09 00:00:00,12.5,75,7.2,2,0.0
2025-03-09 01:00:00,12.0,76,9.7,5,0.0
2025-03-09 02:00:00,11.8,76,7.5,5,0.0
2025-03-09 03:00:00,11.5,76,6.2,2,0.0
2025-03-09 04:00:00,11.1,77,5.9,1,0.0
2025-03-09 05:00:00,11.0,76,9.2,0,0.0
2025-03-09 06:00:00,13.9,67,8.7,2,0.0
2025-03-09 07:00:00,17.9,52,9.7,0,0.0
2025-03-09 08:00:00,21.2,42,6.9,0,0.0
2025-03-09 09:00:00,23.4,38,4.6,10,0.0
2025-03-09 10:00:00,24.8,35,6.2,22,0.0
2025-03-09 11:00:00,25.6,31,11.2,14,0.0
2025-03-09 12:00:00,26.5,25,12.6,23,0.0
2025-03-09 13:00:00,26.8,24,12.1,20,0.0
2025-03-09 14:00:00,27.0,22,14.1,42,0.0
2025-03-09 15:00:00,26.3,23,18.5,28,0.0
2025-03-09 16:00:00,24.7,25,22.4,7,0.0
2025-03-09 17:00:00,22.6,30,19.6,4,0.0
2025-03-09 18:00:00,20.6,36,13.8,8,0.0
2025-03-09 19:00:00,18.0,47,7.5,2,0.0
