time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.0,35,20.6,36,0.0
2025-03-01 01:00:00,24.1,36,18.6,38,0.0
2025-03-01 02:00:00,23.5,36,16.5,56,0.0
2025-03-01 03:00:00,22.9,37,16.0,2,0.0
2025-03-01 04:00:00,22.5,37,15.9,51,0.0
2025-03-01 05:00:00,21.9,38,15.0,19,0.0
2025-03-01 06:00:00,21.5,41,16.8,0,0.0
2025-03-01 07:00:00,21.5,40,15.9,24,0.0
2025-03-01 08:00:00,24.0,36,14.3,19,0.0
2025-03-01 09:00:00,27.0,31,9.7,10,0.0
2025-03-01 10:00:00,29.5,27,12.1,0,0.0
2025-03-01 11:00:00,31.2,24,11.1,0,0.0
2025-03-01 12:00:00,32.5,21,13.2,32,0.0
2025-03-01 13:00:00,32.4,22,15.5,23,0.0
2025-03-01 14:00:00,33.1,21,17.2,36,0.0
2025-03-01 15:00:00,32.8,21,22.9,15,0.0
2025-03-01 16:00:00,32.1,22,24.4,21,0.0
2025-03-01 17:00:00,31.2,24,22.4,2,0.0
2025-03-01 18:00:00,30.0,25,16.4,0,0.0
2025-03-01 19:00:00,29.2,27,14.1,0,0.0
2025-03-01 20:00:00,27.8,30,18.0,0,0.0
2025-03-01 21:00:00,26.6,31,21.6,0,0.0
2025-03-01 22:00:00,25.6,33,18.5,0,0.0
2025-03-01 23:00:00,24.6,34,17.1,0,0.0
2025-03-02 00:00:00,23.6,35,19.4,0,0.0
2025-03-02 01:00:00,22.7,35,22.9,0,0.0
2025-03-02 02:00:00,21.9,36,22.2,0,0.0
2025-03-02 03:00:00,21.2,38,20.4,0,0.0
2025-03-02 04:00:00,20.6,41,20.4,0,0.0
2025-03-02 05:00:00,20.3,42,21.1,0,0.0
2025-03-02 06:00:00,20.2,46,19.0,0,0.0
2025-03-02 07:00:00,20.3,46,15.3,0,0.0
2025-03-02 08:00:00,22.6,41,12.5,0,0.0
2025-03-02 09:00:00,25.6,34,7.6,0,0.0
2025-03-02 10:00:00,28.1,28,9.3,0,0.0
2025-03-02 11:00:00,29.7,24,7.7,0,0.0
2025-03-02 12:00:00,31.0,22,8.1,6,0.0
2025-03-02 13:00:00,31.8,20,12.8,0,0.0
2025-03-02 14:00:00,32.2,19,14.6,92,0.0
2025-03-02 15:00:00,32.5,17,15.1,17,0.0
2025-03-02 16:00:00,32.2,17,15.0,4,0.0
2025-03-02 17:00:00,31.5,16,15.4,16,0.0
2025-03-02 18:00:00,29.1,20,17.9,30,0.0
2025-03-02 19:00:00,27.5,22,17.6,0,0.0
2025-03-02 20:00:00,26.4,23,12.5,0,0.0
2025-03-02 21:00:00,25.3,25,9.6,0,0.0
2025-03-02 22:00:00,24.8,26,12.3,0,0.0
2025-03-02 23:00:00,23.8,29,16.7,0,0.0
2025-03-03 00:00:00,22.8,32,19.3,0,0.0
2025-03-03 01:00:00,21.8,35,19.7,0,0.0
2025-03-03 02:00:00,21.2,38,17.9,0,0.0
2025-03-03 03:00:00,20.5,41,16.6,0,0.0
2025-03-03 04:00:00,19.8,43,13.9,0,0.0
2025-03-03 05:00:00,18.9,47,12.0,70,0.0
2025-03-03 06:00:00,18.6,48,9.1,0,0.0
2025-03-03 07:00:00,19.6,47,7.3,51,0.0
2025-03-03 08:00:00,22.6,38,4.4,95,0.0
2025-03-03 09:00:00,25.6,33,2.9,52,0.0
2025-03-03 10:00:00,28.0,28,3.8,36,0.0
2025-03-03 11:00:00,29.9,24,2.3,8,0.0
2025-03-03 12:00:00,31.4,21,3.2,47,0.0
2025-03-03 13:00:00,32.7,18,5.3,49,0.0
2025-03-03 14:00:00,33.5,16,7.4,74,0.0
2025-03-03 15:00:00,33.5,16,11.0,77,0.0
2025-03-03 16:00:00,33.1,17,13.9,47,0.0
2025-03-03 17:00:00,32.2,18,15.9,2,0.0
2025-03-03 18:00:00,30.6,20,17.6,1,0.0
2025-03-03 19:00:00,28.9,23,11.3,5,0.0
2025-03-03 20:00:00,27.5,26,12.5,11,0.0
2025-03-03 21:00:00,26.6,29,12.9,1,0.0
2025-03-03 22:00:00,25.7,31,14.6,0,0.0
2025-03-03 23:00:00,25.0,33,17.9,1,0.0
2025-03-04 00:00:00,24.0,36,21.3,17,0.0
2025-03-04 01:00:00,23.3,39,24.3,0,0.0
2025-03-04 02:00:00,22.5,40,23.9,8,0.0
2025-03-04 03:00:00,22.0,40,22.8,0,0.0
2025-03-04 04:00:00,21.4,40,22.5,16,0.0
2025-03-04 05:00:00,20.8,41,21.4,93,0.0
2025-03-04 06:00:00,20.2,45,19.5,7,0.0
2025-03-04 07:00:00,20.5,44,16.8,18,0.0
2025-03-04 08:00:00,23.0,38,16.5,42,0.0
2025-03-04 09:00:00,25.5,33,17.1,34,0.0
2025-03-04 10:00:00,27.6,26,18.8,2,0.0
2025-03-04 11:00:00,29.3,23,18.5,23,0.0
2025-03-04 12:00:00,30.4,21,16.9,40,0.0
2025-03-04 13:00:00,31.0,20,15.7,0,0.0
2025-03-04 14:00:00,31.4,19,16.0,0,0.0
2025-03-04 15:00:00,31.4,19,17.1,0,0.0
2025-03-04 16:00:00,31.0,18,18.2,0,0.0
2025-03-04 17:00:00,29.8,19,17.9,0,0.0
2025-03-04 18:00:00,28.0,21,17.6,0,0.0
2025-03-04 19:00:00,26.5,23,19.7,0,0.0
2025-03-04 20:00:00,25.2,24,24.1,0,0.0
2025-03-04 21:00:00,24.1,25,24.2,0,0.0
2025-03-04 22:00:00,22.7,27,24.3,0,0.0
2025-03-04 23:00:00,21.4,26,24.1,0,0.0
2025-03-05 00:00:00,20.2,25,21.5,0,0.0
2025-03-05 01:00:00,19.3,23,21.7,0,0.0
2025-03-05 02:00:00,18.5,22,23.9,0,0.0
2025-03-05 03:00:00,17.7,21,26.6,0,0.0
2025-03-05 04:00:00,16.8,20,28.7,0,0.0
2025-03-05 05:00:00,16.0,19,29.6,0,0.0
2025-03-05 06:00:00,15.1,28,30.7,0,0.0
2025-03-05 07:00:00,15.2,32,30.5,0,0.0
2025-03-05 08:00:00,17.3,31,23.6,0,0.0
2025-03-05 09:00:00,19.8,27,23.6,0,0.0
2025-03-05 10:00:00,22.4,21,20.6,0,0.0
2025-03-05 11:00:00,25.0,16,21.7,0,0.0
2025-03-05 12:00:00,26.8,12,23.1,0,0.0
2025-03-05 13:00:00,28.0,11,23.0,0,0.0
2025-03-05 14:00:00,29.0,8,22.1,0,0.0
2025-03-05 15:00:00,29.0,8,20.8,0,0.0
2025-03-05 16:00:00,28.5,9,19.5,0,0.0
2025-03-05 17:00:00,27.2,10,18.8,0,0.0
2025-03-05 18:00:00,25.4,15,18.8,0,0.0
2025-03-05 19:00:00,24.0,17,18.8,0,0.0
2025-03-05 20:00:00,23.0,18,17.2,0,0.0
2025-03-05 21:00:00,21.8,19,14.3,0,0.0
2025-03-05 22:00:00,20.5,21,13.6,0,0.0
2025-03-05 23:00:00,19.6,21,14.5,0,0.0
2025-03-06 00:00:00,18.8,22,17.1,0,0.0
2025-03-06 01:00:00,18.0,22,17.1,0,0.0
2025-03-06 02:00:00,17.4,24,16.7,0,0.0
2025-03-06 03:00:00,16.6,25,15.2,0,0.0
2025-03-06 04:00:00,16.5,26,15.3,0,0.0
2025-03-06 05:00:00,16.2,27,14.6,0,0.0
2025-03-06 06:00:00,15.9,31,11.0,0,0.0
2025-03-06 07:00:00,16.5,31,5.9,0,0.0
2025-03-06 08:00:00,20.1,25,3.1,0,0.0
2025-03-06 09:00:00,23.8,17,3.3,0,0.0
2025-03-06 10:00:00,26.0,13,4.1,0,0.0
2025-03-06 11:00:00,28.0,10,2.0,0,0.0
2025-03-06 12:00:00,29.5,9,5.7,0,0.0
2025-03-06 13:00:00,30.8,7,8.3,0,0.0
