time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,19.3,60,18.5,100,0.0
2025-03-01 01:00:00,18.9,63,15.0,100,0.0
2025-03-01 02:00:00,18.4,66,8.5,98,0.0
2025-03-01 03:00:00,17.9,71,5.1,99,0.0
2025-03-01 04:00:00,17.5,77,2.5,100,0.0
2025-03-01 05:00:00,17.5,77,4.1,99,0.0
2025-03-01 06:00:00,17.5,81,15.2,100,0.5
2025-03-01 07:00:00,17.9,93,8.7,100,0.7
2025-03-01 08:00:00,17.1,98,10.7,100,0.8
2025-03-01 09:00:00,17.7,92,9.0,80,1.0
2025-03-01 10:00:00,18.5,89,5.0,86,0.9
2025-03-01 11:00:00,19.9,75,6.7,81,0.1
2025-03-01 12:00:00,21.4,64,9.0,72,0.2
2025-03-01 13:00:00,19.7,76,8.5,84,1.3
2025-03-01 14:00:00,19.2,78,12.0,100,1.6
2025-03-01 15:00:00,18.0,93,13.9,68,2.5
2025-03-01 16:00:00,17.0,93,14.2,68,0.0
2025-03-01 17:00:00,16.2,95,13.8,75,1.7
2025-03-01 18:00:00,15.9,85,23.2,67,0.5
2025-03-01 19:00:00,15.6,82,16.2,71,0.4
2025-03-01 20:00:00,14.8,93,15.3,85,4.1
2025-03-01 21:00:00,14.9,94,11.1,85,4.2
2025-03-01 22:00:00,14.9,95,13.0,81,3.2
2025-03-01 23:00:00,14.8,96,13.0,83,0.9
2025-03-02 00:00:00,14.9,96,12.0,95,0.7
2025-03-02 01:00:00,14.9,95,12.0,40,0.1
2025-03-02 02:00:00,14.9,94,6.8,67,0.2
2025-03-02 03:00:00,14.8,95,8.5,48,0.4
2025-03-02 04:00:00,14.7,94,8.1,100,0.0
2025-03-02 05:00:00,15.1,93,8.7,100,0.0
2025-03-02 06:00:00,16.0,96,4.1,78,0.2
2025-03-02 07:00:00,16.5,97,5.9,58,0.4
2025-03-02 08:00:00,17.2,95,3.6,84,0.1
2025-03-02 09:00:00,19.3,77,6.5,71,0.0
2025-03-02 10:00:00,21.5,68,3.8,40,0.0
2025-03-02 11:00:00,23.4,58,10.7,42,0.3
2025-03-02 12:00:00,23.7,58,12.1,46,0.6
2025-03-02 13:00:00,23.4,58,6.8,54,0.3
2025-03-02 14:00:00,22.6,65,10.1,20,0.1
2025-03-02 15:00:00,21.5,70,18.4,5,0.0
2025-03-02 16:00:00,20.0,74,22.9,11,0.0
2025-03-02 17:00:00,18.1,81,22.8,4,0.0
2025-03-02 18:00:00,18.5,84,23.9,27,0.0
2025-03-02 19:00:00,18.0,84,24.1,41,0.0
2025-03-02 20:00:00,17.7,84,14.5,65,0.5
2025-03-02 21:00:00,16.6,92,15.6,37,1.1
2025-03-02 22:00:00,16.0,97,11.9,99,0.7
2025-03-02 23:00:00,15.7,97,15.6,95,0.3
2025-03-03 00:00:00,15.1,99,2.5,82,1.3
2025-03-03 01:00:00,15.3,97,7.2,98,0.2
2025-03-03 02:00:00,14.6,99,5.6,81,0.1
2025-03-03 03:00:00,14.4,98,6.1,94,0.1
2025-03-03 04:00:00,14.5,99,13.5,95,0.7
2025-03-03 05:00:00,14.4,99,14.2,70,0.2
2025-03-03 06:00:00,15.8,98,15.0,90,2.1
2025-03-03 07:00:00,16.9,98,14.9,88,0.6
2025-03-03 08:00:00,17.4,98,12.5,100,0.8
2025-03-03 09:00:00,17.1,97,17.6,86,3.3
2025-03-03 10:00:00,19.1,81,19.9,56,0.2
2025-03-03 11:00:00,20.2,71,20.2,49,0.1
2025-03-03 12:00:00,21.6,62,16.4,35,0.2
2025-03-03 13:00:00,22.0,60,17.0,24,0.0
2025-03-03 14:00:00,22.0,59,16.9,23,0.0
2025-03-03 15:00:00,21.0,63,18.0,15,0.0
2025-03-03 16:00:00,19.8,70,19.3,10,0.0
2025-03-03 17:00:00,18.3,77,19.9,3,0.0
2025-03-03 18:00:00,17.8,80,16.9,12,0.0
2025-03-03 19:00:00,16.1,86,10.4,44,0.1
2025-03-03 20:00:00,16.0,87,13.6,25,0.1
2025-03-03 21:00:00,16.3,85,11.4,22,0.0
2025-03-03 22:00:00,16.4,80,12.5,49,0.1
2025-03-03 23:00:00,16.5,79,7.8,100,0.2
2025-03-04 00:00:00,15.7,94,2.9,100,0.7
2025-03-04 01:00:00,15.6,95,8.7,61,0.7
2025-03-04 02:00:00,15.0,89,8.0,82,0.0
2025-03-04 03:00:00,14.8,87,4.0,100,0.0
2025-03-04 04:00:00,15.6,84,4.7,100,0.0
2025-03-04 05:00:00,15.4,93,7.7,100,0.8
2025-03-04 06:00:00,16.5,92,12.2,100,0.5
2025-03-04 07:00:00,17.3,88,12.1,100,0.2
2025-03-04 08:00:00,18.0,90,9.0,98,0.1
2025-03-04 09:00:00,18.2,97,8.0,100,0.6
2025-03-04 10:00:00,18.9,85,11.4,87,0.2
2025-03-04 11:00:00,20.5,70,12.0,61,0.0
2025-03-04 12:00:00,22.3,62,11.4,46,0.0
2025-03-04 13:00:00,22.8,61,11.5,18,0.1
2025-03-04 14:00:00,22.6,61,12.3,13,0.0
2025-03-04 15:00:00,21.9,62,16.1,5,0.0
2025-03-04 16:00:00,19.9,70,21.3,0,0.0
2025-03-04 17:00:00,18.0,77,18.2,7,0.0
2025-03-04 18:00:00,18.0,75,20.9,35,0.0
2025-03-04 19:00:00,18.0,73,18.9,27,0.0
2025-03-04 20:00:00,17.4,75,15.4,46,0.0
2025-03-04 21:00:00,17.4,74,15.2,45,0.0
2025-03-04 22:00:00,17.1,73,17.9,46,0.0
2025-03-04 23:00:00,17.0,72,16.0,35,0.0
2025-03-05 00:00:00,16.4,75,14.8,38,0.1
2025-03-05 01:00:00,16.2,79,13.1,69,0.2
2025-03-05 02:00:00,15.4,86,14.2,98,0.0
2025-03-05 03:00:00,15.3,88,13.1,90,0.1
2025-03-05 04:00:00,14.4,97,12.0,100,0.1
2025-03-05 05:00:00,14.2,97,8.2,79,0.1
2025-03-05 06:00:00,15.4,99,9.6,98,2.0
2025-03-05 07:00:00,16.4,98,9.3,87,0.7
2025-03-05 08:00:00,16.8,93,11.1,61,4.0
2025-03-05 09:00:00,17.9,84,10.0,95,1.8
2025-03-05 10:00:00,19.0,78,8.8,97,1.2
2025-03-05 11:00:00,20.4,75,5.2,80,0.8
2025-03-05 12:00:00,20.8,73,6.5,48,0.1
2025-03-05 13:00:00,21.2,71,7.5,33,0.0
2025-03-05 14:00:00,21.6,68,10.1,20,0.1
2025-03-05 15:00:00,20.1,73,15.7,24,0.0
2025-03-05 16:00:00,18.5,81,17.3,56,0.0
2025-03-05 17:00:00,16.8,89,19.3,46,0.0
2025-03-05 18:00:00,16.6,90,20.5,52,0.1
2025-03-05 19:00:00,15.9,91,15.0,64,1.8
2025-03-05 20:00:00,15.9,90,11.9,60,0.0
2025-03-05 21:00:00,15.7,88,14.1,63,0.0
2025-03-05 22:00:00,15.2,88,12.4,37,0.0
2025-03-05 23:00:00,14.8,87,13.4,100,0.0
2025-03-06 00:00:00,14.6,94,13.4,100,0.4
2025-03-06 01:00:00,14.6,93,17.2,38,0.7
2025-03-06 02:00:00,14.1,95,19.2,56,0.0
2025-03-06 03:00:00,14.1,95,17.0,48,0.0
2025-03-06 04:00:00,14.1,95,22.2,100,0.0
2025-03-06 05:00:00,14.6,90,17.9,100,0.0
2025-03-06 06:00:00,15.4,88,17.8,74,0.0
2025-03-06 07:00:00,16.4,82,15.3,97,0.0
2025-03-06 08:00:00,18.7,69,14.8,23,0.0
2025-03-06 09:00:00,20.6,58,19.3,11,0.0
2025-03-06 10:00:00,22.0,52,17.9,24,0.0
2025-03-06 11:00:00,23.0,48,18.6,23,0.0
2025-03-06 12:00:00,23.6,46,14.4,25,0.0
2025-03-06 13:00:00,23.8,43,13.8,52,0.0
2025-03-06 14:00:00,24.0,42,11.0,47,0.0
2025-03-06 15:00:00,23.3,45,10.0,32,0.0
2025-03-06 16:00:00,21.2,56,13.1,10,0.0
2025-03-06 17:00:00,19.0,63,13.6,3,0.0
2025-03-06 18:00:00,17.9,68,14.4,0,0.0
2025-03-06 19:00:00,16.5,71,14.2,0,0.0
2025-03-06 20:00:00,16.5,69,18.5,0,0.0
2025-03-06 21:00:00,16.4,70,17.7,1,0.0
2025-03-06 22:00:00,15.1,75,13.2,6,0.0
2025-03-06 23:00:00,14.1,78,15.7,15,0.0
2025-03-07 00:00:00,12.8,83,10.0,15,0.0
2025-03-07 01:00:00,12.2,83,9.1,27,0.0
2025-03-07 02:00:00,11.5,85,6.7,30,0.0
2025-03-07 03:00:00,11.2,85,3.7,28,0.0
2025-03-07 04:00:00,11.6,82,5.5,18,0.0
2025-03-07 05:00:00,11.4,82,6.5,13,0.0
2025-03-07 06:00:00,14.2,76,7.4,0,0.0
2025-03-07 07:00:00,18.2,73,5.3,6,0.0
2025-03-07 08:00:00,21.3,55,5.4,18,0.0
2025-03-07 09:00:00,22.6,52,7.7,36,0.0
2025-03-07 10:00:00,23.5,49,8.0,73,0.0
2025-03-07 11:00:00,24.0,45,9.0,54,0.0
2025-03-07 12:00:00,25.0,39,8.2,41,0.0
2025-03-07 13:00:00,25.1,39,7.1,20,0.0
2025-03-07 14:00:00,25.1,39,10.1,27,0.0
2025-03-07 15:00:00,24.3,41,14.8,13,0.0
2025-03-07 16:00:00,22.1,52,16.2,13,0.0
2025-03-07 17:00:00,20.6,53,21.3,74,0.0
2025-03-07 18:00:00,18.5,62,17.5,100,0.0
2025-03-07 19:00:00,17.9,65,17.6,100,0.0
2025-03-07 20:00:00,18.3,64,11.9,100,0.0
2025-03-07 21:00:00,18.0,66,13.0,100,0.0
2025-03-07 22:00:00,18.2,65,9.8,100,0.0
2025-03-07 23:00:00,18.4,61,6.7,100,0.3
2025-03-08 00:00:00,15.4,96,7.0,100,0.9
2025-03-08 01:00:00,15.1,98,15.9,100,1.8
2025-03-08 02:00:00,14.5,100,17.7,99,2.7
2025-03-08 03:00:00,14.0,97,20.8,100,2.9
2025-03-08 04:00:00,14.1,99,16.7,99,1.8
