time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.2,41,14.3,33,0.0
2025-03-01 01:00:00,21.9,41,17.0,40,0.0
2025-03-01 02:00:00,22.3,41,26.4,27,0.0
2025-03-01 03:00:00,21.8,44,21.3,62,0.0
2025-03-01 04:00:00,20.4,50,16.9,57,0.0
2025-03-01 05:00:00,19.9,54,14.0,14,0.0
2025-03-01 06:00:00,19.6,58,14.7,25,0.0
2025-03-01 07:00:00,22.0,50,16.6,16,0.0
2025-03-01 08:00:00,26.0,39,14.1,11,0.0
2025-03-01 09:00:00,29.0,31,10.4,4,0.0
2025-03-01 10:00:00,31.1,27,13.7,4,0.0
2025-03-01 11:00:00,32.8,25,18.6,4,0.0
2025-03-01 12:00:00,34.0,22,22.7,10,0.0
2025-03-01 13:00:00,34.7,19,25.0,5,0.0
2025-03-01 14:00:00,34.8,19,26.5,10,0.0
2025-03-01 15:00:00,34.3,19,27.6,24,0.0
2025-03-01 16:00:00,33.2,19,27.5,24,0.0
2025-03-01 17:00:00,32.2,22,22.4,31,0.0
2025-03-01 18:00:00,29.6,26,20.7,1,0.0
2025-03-01 19:00:00,28.7,28,25.2,3,0.0
2025-03-01 20:00:00,27.5,32,24.5,2,0.0
2025-03-01 21:00:00,26.5,35,24.3,1,0.0
2025-03-01 22:00:00,25.2,39,21.0,0,0.0
2025-03-01 23:00:00,23.4,41,16.6,0,0.0
2025-03-02 00:00:00,22.4,44,15.1,0,0.0
2025-03-02 01:00:00,21.5,47,13.7,0,0.0
2025-03-02 02:00:00,20.8,50,11.9,0,0.0
2025-03-02 03:00:00,20.0,53,12.0,0,0.0
2025-03-02 04:00:00,19.1,57,13.0,0,0.0
2025-03-02 05:00:00,18.9,59,10.3,0,0.0
2025-03-02 06:00:00,19.9,65,6.2,0,0.0
2025-03-02 07:00:00,21.2,60,3.6,0,0.0
2025-03-02 08:00:00,24.2,49,2.8,0,0.0
2025-03-02 09:00:00,27.7,40,2.7,0,0.0
2025-03-02 10:00:00,30.2,33,3.7,0,0.0
2025-03-02 11:00:00,31.9,28,7.1,0,0.0
2025-03-02 12:00:00,33.1,26,11.5,5,0.0
2025-03-02 13:00:00,34.0,22,18.0,2,0.0
2025-03-02 14:00:00,33.7,21,24.3,42,0.0
