time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,18.9,73,5.3,95,0.0
2025-03-01 01:00:00,18.5,78,3.7,61,0.0
2025-03-01 02:00:00,18.8,75,4.0,95,0.0
2025-03-01 03:00:00,18.7,71,1.5,100,0.0
2025-03-01 04:00:00,18.0,73,9.9,100,0.0
2025-03-01 05:00:00,17.0,76,14.9,77,0.0
2025-03-01 06:00:00,18.4,75,9.4,92,0.0
2025-03-01 07:00:00,18.8,72,7.6,67,0.0
2025-03-01 08:00:00,19.8,71,19.6,67,0.0
2025-03-01 09:00:00,21.8,70,12.5,65,0.0
2025-03-01 10:00:00,23.4,65,14.1,77,0.0
2025-03-01 11:00:00,24.9,56,9.6,62,0.0
2025-03-01 12:00:00,26.1,51,8.8,2,0.0
2025-03-01 13:00:00,27.0,46,6.7,73,0.0
2025-03-01 14:00:00,27.5,45,7.9,51,0.0
2025-03-01 15:00:00,27.2,44,11.1,83,0.0
2025-03-01 16:00:00,27.4,40,6.7,61,0.0
2025-03-01 17:00:00,26.7,44,8.4,25,0.0
2025-03-01 18:00:00,24.6,51,14.7,11,0.0
2025-03-01 19:00:00,23.6,55,13.7,10,0.0
2025-03-01 20:00:00,22.5,60,20.3,2,0.0
2025-03-01 21:00:00,21.1,65,25.5,4,0.0
2025-03-01 22:00:00,20.5,65,27.8,1,0.0
2025-03-01 23:00:00,19.8,70,25.1,0,0.0
2025-03-02 00:00:00,19.0,75,22.1,0,0.0
2025-03-02 01:00:00,18.4,81,23.4,0,0.0
2025-03-02 02:00:00,17.9,85,24.0,0,0.0
2025-03-02 03:00:00,17.5,88,25.8,0,0.0
2025-03-02 04:00:00,17.1,91,25.0,0,0.0
2025-03-02 05:00:00,16.8,92,21.8,0,0.0
2025-03-02 06:00:00,17.5,94,21.3,10,0.0
2025-03-02 07:00:00,17.5,94,21.6,73,0.0
2025-03-02 08:00:00,18.8,86,17.9,31,0.0
2025-03-02 09:00:00,21.1,73,16.2,3,0.0
2025-03-02 10:00:00,23.6,59,14.3,0,0.0
2025-03-02 11:00:00,25.5,48,9.8,24,0.0
2025-03-02 12:00:00,26.6,41,6.8,6,0.0
2025-03-02 13:00:00,27.9,35,5.7,15,0.0
2025-03-02 14:00:00,28.4,31,6.1,6,0.0
2025-03-02 15:00:00,28.5,28,6.4,19,0.0
2025-03-02 16:00:00,28.1,27,7.7,26,0.0
2025-03-02 17:00:00,27.3,27,9.2,28,0.0
2025-03-02 18:00:00,24.6,39,3.9,25,0.0
2025-03-02 19:00:00,23.2,42,11.6,6,0.0
2025-03-02 20:00:00,21.7,40,20.2,0,0.0
2025-03-02 21:00:00,20.4,43,18.8,0,0.0
2025-03-02 22:00:00,19.5,45,16.9,0,0.0
2025-03-02 23:00:00,18.7,46,14.6,0,0.0
2025-03-03 00:00:00,18.2,47,13.4,0,0.0
2025-03-03 01:00:00,17.9,49,9.4,0,0.0
2025-03-03 02:00:00,17.4,51,7.6,0,0.0
2025-03-03 03:00:00,17.1,50,7.0,0,0.0
2025-03-03 04:00:00,16.6,51,8.4,0,0.0
2025-03-03 05:00:00,15.9,58,9.5,0,0.0
2025-03-03 06:00:00,16.0,60,9.3,0,0.0
2025-03-03 07:00:00,16.5,54,12.2,0,0.0
2025-03-03 08:00:00,18.7,48,15.3,0,0.0
2025-03-03 09:00:00,21.2,43,10.8,0,0.0
2025-03-03 10:00:00,23.5,39,12.0,0,0.0
2025-03-03 11:00:00,25.5,38,13.9,0,0.0
2025-03-03 12:00:00,27.1,36,14.8,0,0.0
2025-03-03 13:00:00,28.3,33,14.8,42,0.0
2025-03-03 14:00:00,28.5,34,18.0,14,0.0
2025-03-03 15:00:00,30.1,26,18.0,7,0.0
2025-03-03 16:00:00,30.4,23,28.9,0,0.0
2025-03-03 17:00:00,29.6,22,25.3,0,0.0
2025-03-03 18:00:00,27.7,28,16.2,0,0.0
2025-03-03 19:00:00,25.5,36,17.4,0,0.0
