time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.1,60,21.3,91,0.0
2025-03-01 01:00:00,21.6,59,21.9,98,0.0
2025-03-01 02:00:00,20.7,62,19.5,97,0.0
2025-03-01 03:00:00,19.6,66,13.0,72,0.0
2025-03-01 04:00:00,18.8,72,5.5,92,0.0
2025-03-01 05:00:00,18.1,74,7.8,68,0.0
2025-03-01 06:00:00,18.6,86,11.4,20,0.0
2025-03-01 07:00:00,18.6,82,17.6,73,0.0
2025-03-01 08:00:00,19.7,74,15.5,70,0.0
2025-03-01 09:00:00,21.4,63,13.2,92,0.0
2025-03-01 10:00:00,24.0,50,18.9,37,0.0
2025-03-01 11:00:00,26.1,41,19.2,27,0.0
2025-03-01 12:00:00,27.6,37,15.3,63,0.0
2025-03-01 13:00:00,28.5,34,11.7,86,0.0
2025-03-01 14:00:00,29.2,31,9.4,76,0.0
2025-03-01 15:00:00,29.5,29,7.7,34,0.0
2025-03-01 16:00:00,29.4,29,9.5,37,0.0
2025-03-01 17:00:00,28.6,30,12.8,24,0.0
2025-03-01 18:00:00,26.0,38,24.4,5,0.0
2025-03-01 19:00:00,24.5,42,24.0,0,0.0
2025-03-01 20:00:00,23.5,44,24.6,0,0.0
2025-03-01 21:00:00,22.6,47,22.9,0,0.0
2025-03-01 22:00:00,22.0,49,24.3,0,0.0
2025-03-01 23:00:00,20.9,54,21.7,0,0.0
2025-03-02 00:00:00,19.8,56,22.2,0,0.0
2025-03-02 01:00:00,19.0,53,22.3,0,0.0
2025-03-02 02:00:00,18.5,47,22.3,1,0.0
2025-03-02 03:00:00,17.9,46,22.2,1,0.0
2025-03-02 04:00:00,17.3,47,20.6,0,0.0
2025-03-02 05:00:00,16.8,49,21.4,0,0.0
2025-03-02 06:00:00,17.4,62,20.7,0,0.0
2025-03-02 07:00:00,17.1,66,20.0,0,0.0
2025-03-02 08:00:00,18.5,63,19.9,0,0.0
2025-03-02 09:00:00,20.7,58,13.8,0,0.0
2025-03-02 10:00:00,23.1,52,11.5,0,0.0
2025-03-02 11:00:00,25.8,45,10.5,0,0.0
2025-03-02 12:00:00,27.9,33,8.8,0,0.0
2025-03-02 13:00:00,28.9,27,5.9,0,0.0
2025-03-02 14:00:00,29.4,25,4.0,0,0.0
2025-03-02 15:00:00,29.6,23,3.8,0,0.0
2025-03-02 16:00:00,29.6,22,3.7,0,0.0
2025-03-02 17:00:00,29.3,22,5.2,0,0.0
2025-03-02 18:00:00,27.0,25,11.4,4,0.0
2025-03-02 19:00:00,24.9,30,13.1,2,0.0
2025-03-02 20:00:00,23.4,37,10.0,0,0.0
2025-03-02 21:00:00,22.6,40,7.1,2,0.0
2025-03-02 22:00:00,22.0,34,12.7,0,0.0
2025-03-02 23:00:00,21.8,34,20.9,0,0.0
2025-03-03 00:00:00,21.6,39,18.1,0,0.0
2025-03-03 01:00:00,20.8,43,15.4,0,0.0
2025-03-03 02:00:00,20.4,46,19.9,0,0.0
2025-03-03 03:00:00,20.7,46,27.6,0,0.0
2025-03-03 04:00:00,20.8,48,29.2,0,0.0
2025-03-03 05:00:00,20.4,49,29.8,0,0.0
2025-03-03 06:00:00,20.0,53,28.7,0,0.0
2025-03-03 07:00:00,19.5,52,28.8,0,0.0
2025-03-03 08:00:00,21.1,45,27.9,0,0.0
2025-03-03 09:00:00,23.5,38,22.0,0,0.0
2025-03-03 10:00:00,25.8,31,23.1,0,0.0
2025-03-03 11:00:00,27.5,26,27.0,0,0.0
2025-03-03 12:00:00,28.6,25,27.3,0,0.0
2025-03-03 13:00:00,29.3,25,26.4,0,0.0
2025-03-03 14:00:00,29.6,25,24.9,0,0.0
2025-03-03 15:00:00,29.7,23,26.6,0,0.0
2025-03-03 16:00:00,29.1,22,30.9,1,0.0
2025-03-03 17:00:00,27.9,23,31.4,2,0.0
2025-03-03 18:00:00,26.8,24,25.5,4,0.0
2025-03-03 19:00:00,25.0,25,27.6,1,0.0
2025-03-03 20:00:00,23.8,23,31.7,0,0.0
2025-03-03 21:00:00,22.6,20,32.2,0,0.0
2025-03-03 22:00:00,21.9,19,29.5,28,0.0
2025-03-03 23:00:00,21.0,21,26.7,9,0.0
2025-03-04 00:00:00,20.1,21,29.4,0,0.0
2025-03-04 01:00:00,19.5,20,31.4,0,0.0
2025-03-04 02:00:00,18.7,19,32.1,0,0.0
2025-03-04 03:00:00,17.7,20,28.2,0,0.0
2025-03-04 04:00:00,17.0,19,32.9,0,0.0
2025-03-04 05:00:00,16.2,15,34.1,0,0.0
2025-03-04 06:00:00,15.6,20,24.0,0,0.0
2025-03-04 07:00:00,14.8,20,26.4,0,0.0
2025-03-04 08:00:00,16.1,13,30.0,0,0.0
2025-03-04 09:00:00,17.9,8,22.9,0,0.0
2025-03-04 10:00:00,19.7,7,22.9,0,0.0
2025-03-04 11:00:00,21.8,6,19.2,0,0.0
2025-03-04 12:00:00,23.5,5,21.5,0,0.0
2025-03-04 13:00:00,24.5,5,20.9,0,0.0
2025-03-04 14:00:00,25.1,5,19.3,0,0.0
2025-03-04 15:00:00,25.4,6,17.4,0,0.0
2025-03-04 16:00:00,25.2,6,16.0,0,0.0
2025-03-04 17:00:00,24.6,7,15.1,0,0.0
2025-03-04 18:00:00,23.0,9,15.3,0,0.0
2025-03-04 19:00:00,20.9,12,17.6,0,0.0
2025-03-04 20:00:00,19.6,13,18.4,0,0.0
2025-03-04 21:00:00,18.1,17,16.5,0,0.0
2025-03-04 22:00:00,16.9,23,14.5,0,0.0
2025-03-04 23:00:00,16.2,25,13.8,0,0.0
2025-03-05 00:00:00,15.5,27,12.9,0,0.0
2025-03-05 01:00:00,15.0,28,11.6,0,0.0
2025-03-05 02:00:00,14.8,28,12.4,0,0.0
2025-03-05 03:00:00,14.1,29,13.8,0,0.0
2025-03-05 04:00:00,13.6,30,14.6,0,0.0
2025-03-05 05:00:00,12.9,30,15.6,0,0.0
2025-03-05 06:00:00,11.6,33,15.4,0,0.0
2025-03-05 07:00:00,11.8,32,13.9,0,0.0
2025-03-05 08:00:00,13.9,29,12.8,0,0.0
2025-03-05 09:00:00,18.1,22,11.2,0,0.0
2025-03-05 10:00:00,21.3,17,6.1,0,0.0
2025-03-05 11:00:00,23.5,11,5.5,0,0.0
2025-03-05 12:00:00,25.4,9,4.6,0,0.0
2025-03-05 13:00:00,26.6,7,4.2,0,0.0
2025-03-05 14:00:00,27.6,6,7.6,0,0.0
2025-03-05 15:00:00,28.0,6,10.4,0,0.0
2025-03-05 16:00:00,28.0,6,11.2,0,0.0
2025-03-05 17:00:00,27.4,6,12.5,20,0.0
2025-03-05 18:00:00,25.2,8,17.3,12,0.0
2025-03-05 19:00:00,22.9,11,21.6,9,0.0
2025-03-05 20:00:00,21.8,11,20.0,0,0.0
2025-03-05 21:00:00,20.8,13,15.9,0,0.0
2025-03-05 22:00:00,20.1,13,14.5,0,0.0
2025-03-05 23:00:00,19.1,14,16.9,0,0.0
2025-03-06 00:00:00,18.4,15,19.8,0,0.0
2025-03-06 01:00:00,18.0,17,20.4,0,0.0
2025-03-06 02:00:00,17.8,18,20.8,0,0.0
2025-03-06 03:00:00,17.4,19,21.5,0,0.0
2025-03-06 04:00:00,17.2,20,21.2,0,0.0
2025-03-06 05:00:00,17.2,20,24.9,0,0.0
2025-03-06 06:00:00,16.5,21,24.3,0,0.0
2025-03-06 07:00:00,16.6,21,25.2,0,0.0
2025-03-06 08:00:00,19.0,18,24.4,0,0.0
2025-03-06 09:00:00,23.0,15,25.7,0,0.0
2025-03-06 10:00:00,26.4,11,17.7,0,0.0
2025-03-06 11:00:00,28.8,9,16.1,0,0.0
2025-03-06 12:00:00,30.4,10,16.9,0,0.0
2025-03-06 13:00:00,31.4,11,20.2,0,0.0
2025-03-06 14:00:00,32.1,12,23.0,0,0.0
2025-03-06 15:00:00,32.2,12,23.8,0,0.0
2025-03-06 16:00:00,31.9,12,20.5,0,0.0
2025-03-06 17:00:00,31.1,13,16.3,0,0.0
2025-03-06 18:00:00,29.2,15,15.0,0,0.0
2025-03-06 19:00:00,27.5,17,17.7,0,0.0
2025-03-06 20:00:00,25.8,18,19.5,0,0.0
2025-03-06 21:00:00,24.5,19,21.5,0,0.0
2025-03-06 22:00:00,23.5,20,20.4,0,0.0
2025-03-06 23:00:00,22.6,22,18.5,0,0.0
2025-03-07 00:00:00,21.9,24,19.7,0,0.0
2025-03-07 01:00:00,21.0,26,16.5,0,0.0
2025-03-07 02:00:00,20.6,28,14.9,0,0.0
2025-03-07 03:00:00,20.9,28,14.2,0,0.0
2025-03-07 04:00:00,20.1,29,13.9,0,0.0
2025-03-07 05:00:00,19.2,31,15.4,0,0.0
2025-03-07 06:00:00,19.0,34,7.9,0,0.0
2025-03-07 07:00:00,19.1,33,5.3,0,0.0
2025-03-07 08:00:00,21.9,27,6.1,0,0.0
