time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.7,41,11.2,78,0.0
2025-03-01 01:00:00,22.3,46,10.1,76,0.0
2025-03-01 02:00:00,21.6,46,10.3,31,0.0
2025-03-01 03:00:00,21.3,45,15.0,94,0.0
2025-03-01 04:00:00,20.8,47,18.2,66,0.0
2025-03-01 05:00:00,20.5,48,21.2,69,0.0
2025-03-01 06:00:00,20.5,57,23.1,69,0.0
2025-03-01 07:00:00,19.9,60,20.4,42,0.0
2025-03-01 08:00:00,21.2,56,18.7,49,0.0
2025-03-01 09:00:00,23.4,50,12.4,21,0.0
2025-03-01 10:00:00,25.2,45,11.5,36,0.0
2025-03-01 11:00:00,27.2,39,10.3,56,0.0
2025-03-01 12:00:00,29.0,31,13.2,16,0.0
2025-03-01 13:00:00,30.2,25,15.8,1,0.0
2025-03-01 14:00:00,30.9,21,16.3,1,0.0
2025-03-01 15:00:00,31.0,20,17.2,0,0.0
2025-03-01 16:00:00,30.6,20,16.9,0,0.0
2025-03-01 17:00:00,29.9,22,14.7,1,0.0
2025-03-01 18:00:00,29.0,26,13.7,6,0.0
2025-03-01 19:00:00,27.5,30,14.0,5,0.0
2025-03-01 20:00:00,26.4,33,20.4,11,0.0
2025-03-01 21:00:00,25.0,37,15.5,20,0.0
2025-03-01 22:00:00,24.9,37,29.2,0,0.0
2025-03-01 23:00:00,23.6,40,27.8,0,0.0
2025-03-02 00:00:00,22.7,43,27.0,0,0.0
2025-03-02 01:00:00,21.8,47,27.2,0,0.0
2025-03-02 02:00:00,21.1,50,28.1,0,0.0
2025-03-02 03:00:00,20.5,54,27.0,0,0.0
2025-03-02 04:00:00,19.8,59,25.8,0,0.0
2025-03-02 05:00:00,19.2,63,25.2,0,0.0
2025-03-02 06:00:00,20.0,69,24.7,11,0.0
2025-03-02 07:00:00,19.9,72,25.7,8,0.0
2025-03-02 08:00:00,21.0,71,21.3,23,0.0
2025-03-02 09:00:00,22.9,66,18.5,0,0.0
2025-03-02 10:00:00,25.2,57,17.3,0,0.0
2025-03-02 11:00:00,27.4,47,14.4,19,0.0
2025-03-02 12:00:00,28.8,36,11.2,16,0.0
2025-03-02 13:00:00,29.9,32,8.4,9,0.0
2025-03-02 14:00:00,30.4,29,7.5,5,0.0
2025-03-02 15:00:00,30.2,27,6.8,12,0.0
2025-03-02 16:00:00,30.0,26,5.8,14,0.0
2025-03-02 17:00:00,29.7,27,4.3,7,0.0
2025-03-02 18:00:00,28.5,26,11.7,9,0.0
2025-03-02 19:00:00,27.8,26,12.2,9,0.0
2025-03-02 20:00:00,26.5,30,11.2,1,0.0
2025-03-02 21:00:00,25.5,35,10.4,0,0.0
2025-03-02 22:00:00,24.8,41,7.4,0,0.0
2025-03-02 23:00:00,23.9,39,3.4,0,0.0
2025-03-03 00:00:00,22.8,41,6.6,0,0.0
2025-03-03 01:00:00,21.5,46,8.0,0,0.0
2025-03-03 02:00:00,20.6,51,7.1,0,0.0
2025-03-03 03:00:00,20.3,52,13.9,0,0.0
2025-03-03 04:00:00,20.1,52,15.1,0,0.0
2025-03-03 05:00:00,20.0,52,18.5,0,0.0
2025-03-03 06:00:00,19.6,57,19.4,0,0.0
2025-03-03 07:00:00,19.4,57,17.6,0,0.0
2025-03-03 08:00:00,21.4,49,15.8,0,0.0
2025-03-03 09:00:00,24.5,39,9.8,0,0.0
2025-03-03 10:00:00,27.1,33,11.9,0,0.0
2025-03-03 11:00:00,29.2,26,16.6,0,0.0
2025-03-03 12:00:00,30.7,21,22.3,0,0.0
2025-03-03 13:00:00,31.6,20,23.8,0,0.0
2025-03-03 14:00:00,32.7,14,27.9,0,0.0
2025-03-03 15:00:00,32.5,12,33.4,0,0.0
2025-03-03 16:00:00,32.1,12,32.6,0,0.0
2025-03-03 17:00:00,30.8,14,30.8,0,0.0
2025-03-03 18:00:00,29.8,17,23.8,0,0.0
2025-03-03 19:00:00,27.9,20,22.9,3,0.0
2025-03-03 20:00:00,26.2,22,20.2,4,0.0
2025-03-03 21:00:00,25.2,25,20.7,0,0.0
2025-03-03 22:00:00,24.6,28,25.0,0,0.0
2025-03-03 23:00:00,23.8,32,30.9,0,0.0
2025-03-04 00:00:00,23.0,30,31.0,0,0.0
2025-03-04 01:00:00,22.4,24,29.2,0,0.0
2025-03-04 02:00:00,22.0,18,29.1,1,0.0
2025-03-04 03:00:00,21.4,17,30.5,0,0.0
2025-03-04 04:00:00,20.5,16,32.3,2,0.0
2025-03-04 05:00:00,19.6,16,33.3,4,0.0
2025-03-04 06:00:00,19.0,17,29.3,0,0.0
2025-03-04 07:00:00,18.4,16,25.9,0,0.0
2025-03-04 08:00:00,19.0,14,18.4,0,0.0
2025-03-04 09:00:00,20.5,9,20.2,0,0.0
2025-03-04 10:00:00,22.2,8,20.6,0,0.0
2025-03-04 11:00:00,23.9,6,18.7,0,0.0
2025-03-04 12:00:00,25.2,5,18.0,0,0.0
2025-03-04 13:00:00,26.2,5,17.1,0,0.0
2025-03-04 14:00:00,26.9,5,17.5,0,0.0
2025-03-04 15:00:00,26.8,5,18.8,0,0.0
2025-03-04 16:00:00,26.4,6,18.1,0,0.0
2025-03-04 17:00:00,25.5,6,18.1,0,0.0
2025-03-04 18:00:00,24.4,9,15.7,0,0.0
2025-03-04 19:00:00,22.5,12,18.1,0,0.0
2025-03-04 20:00:00,21.2,15,21.0,0,0.0
2025-03-04 21:00:00,20.5,16,22.5,0,0.0
2025-03-04 22:00:00,19.7,18,22.8,0,0.0
2025-03-04 23:00:00,19.0,21,22.3,0,0.0
2025-03-05 00:00:00,18.1,23,23.6,0,0.0
2025-03-05 01:00:00,17.2,26,24.6,0,0.0
2025-03-05 02:00:00,16.2,29,24.9,0,0.0
2025-03-05 03:00:00,15.5,32,24.9,0,0.0
2025-03-05 04:00:00,14.9,35,25.5,0,0.0
2025-03-05 05:00:00,14.2,37,24.6,0,0.0
2025-03-05 06:00:00,13.9,40,25.8,0,0.0
2025-03-05 07:00:00,13.6,40,23.8,0,0.0
2025-03-05 08:00:00,15.1,37,22.7,0,0.0
2025-03-05 09:00:00,18.0,31,10.4,0,0.0
2025-03-05 10:00:00,21.0,23,10.1,0,0.0
2025-03-05 11:00:00,23.5,17,8.5,0,0.0
2025-03-05 12:00:00,25.6,13,7.7,0,0.0
2025-03-05 13:00:00,27.1,10,8.4,0,0.0
2025-03-05 14:00:00,28.0,9,7.9,0,0.0
2025-03-05 15:00:00,28.6,7,6.9,0,0.0
2025-03-05 16:00:00,28.8,6,10.3,0,0.0
2025-03-05 17:00:00,28.1,6,14.6,0,0.0
2025-03-05 18:00:00,27.0,7,16.0,0,0.0
2025-03-05 19:00:00,25.5,8,24.3,0,0.0
2025-03-05 20:00:00,24.5,9,26.1,0,0.0
2025-03-05 21:00:00,23.7,10,24.4,0,0.0
2025-03-05 22:00:00,23.0,11,19.2,0,0.0
2025-03-05 23:00:00,21.2,13,16.2,0,0.0
2025-03-06 00:00:00,20.0,17,11.6,0,0.0
2025-03-06 01:00:00,18.5,17,3.9,0,0.0
2025-03-06 02:00:00,17.1,21,3.1,0,0.0
2025-03-06 03:00:00,16.4,22,8.3,0,0.0
2025-03-06 04:00:00,16.2,25,10.3,0,0.0
2025-03-06 05:00:00,16.1,24,11.2,0,0.0
2025-03-06 06:00:00,15.4,27,11.1,0,0.0
2025-03-06 07:00:00,15.8,23,13.8,0,0.0
2025-03-06 08:00:00,18.8,19,14.2,0,0.0
2025-03-06 09:00:00,22.5,14,11.7,0,0.0
2025-03-06 10:00:00,25.5,10,9.5,0,0.0
2025-03-06 11:00:00,27.8,8,15.4,0,0.0
2025-03-06 12:00:00,29.3,7,17.6,0,0.0
2025-03-06 13:00:00,30.5,7,16.6,0,0.0
2025-03-06 14:00:00,31.5,8,15.7,0,0.0
2025-03-06 15:00:00,32.0,8,15.2,0,0.0
2025-03-06 16:00:00,32.2,10,15.8,0,0.0
2025-03-06 17:00:00,31.5,11,16.8,0,0.0
2025-03-06 18:00:00,30.3,13,15.8,0,0.0
2025-03-06 19:00:00,28.2,14,20.5,0,0.0
2025-03-06 20:00:00,26.6,15,17.2,0,0.0
2025-03-06 21:00:00,26.0,15,19.0,0,0.0
2025-03-06 22:00:00,25.3,15,16.9,0,0.0
2025-03-06 23:00:00,23.9,17,12.2,0,0.0
2025-03-07 00:00:00,22.6,20,10.3,0,0.0
2025-03-07 01:00:00,22.8,22,15.5,0,0.0
2025-03-07 02:00:00,22.2,25,19.1,0,0.0
2025-03-07 03:00:00,21.3,28,16.6,0,0.0
2025-03-07 04:00:00,21.2,28,16.7,0,0.0
2025-03-07 05:00:00,20.6,30,16.2,0,0.0
2025-03-07 06:00:00,17.5,40,6.2,0,0.0
2025-03-07 07:00:00,17.0,42,2.9,0,0.0
2025-03-07 08:00:00,19.4,37,3.0,0,0.0
2025-03-07 09:00:00,23.6,27,5.8,0,0.0
2025-03-07 10:00:00,27.4,21,6.7,0,0.0
2025-03-07 11:00:00,30.1,17,9.7,0,0.0
2025-03-07 12:00:00,32.0,15,11.4,0,0.0
2025-03-07 13:00:00,33.2,13,14.5,0,0.0
2025-03-07 14:00:00,33.8,13,17.5,0,0.0
2025-03-07 15:00:00,34.3,12,19.8,0,0.0
2025-03-07 16:00:00,34.8,11,21.4,0,0.0
2025-03-07 17:00:00,34.0,11,25.0,0,0.0
2025-03-07 18:00:00,32.6,13,20.6,0,0.0
2025-03-07 19:00:00,30.7,15,25.3,0,0.0
2025-03-07 20:00:00,30.0,16,31.5,0,0.0
2025-03-07 21:00:00,28.5,17,21.6,0,0.0
2025-03-07 22:00:00,27.2,19,19.1,0,0.0
2025-03-07 23:00:00,26.7,20,22.2,0,0.0
2025-03-08 00:00:00,25.8,21,23.1,2,0.0
2025-03-08 01:00:00,25.1,22,19.3,5,0.0
2025-03-08 02:00:00,23.0,28,11.8,8,0.0
2025-03-08 03:00:00,21.5,32,1.9,0,0.0
2025-03-08 04:00:00,21.0,39,3.9,0,0.0
2025-03-08 05:00:00,20.2,34,3.7,0,0.0
2025-03-08 06:00:00,20.3,36,3.7,0,0.0
2025-03-08 07:00:00,20.2,35,1.6,0,0.0
2025-03-08 08:00:00,22.3,32,1.3,0,0.0
2025-03-08 09:00:00,26.6,23,2.5,0,0.0
2025-03-08 10:00:00,30.1,19,2.9,0,0.0
2025-03-08 11:00:00,32.2,17,3.9,0,0.0
2025-03-08 12:00:00,33.5,16,6.0,0,0.0
2025-03-08 13:00:00,34.3,15,7.6,0,0.0
2025-03-08 14:00:00,34.8,14,8.4,0,0.0
2025-03-08 15:00:00,34.8,14,10.9,0,0.0
2025-03-08 16:00:00,34.2,15,11.0,0,0.0
2025-03-08 17:00:00,33.5,16,8.5,0,0.0
2025-03-08 18:00:00,32.2,17,23.4,0,0.0
2025-03-08 19:00:00,31.1,18,20.6,0,0.0
