time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.0,86,34.1,100,0.0
2025-03-01 01:00:00,24.8,87,34.0,100,0.0
2025-03-01 02:00:00,24.7,89,34.2,100,0.1
2025-03-01 03:00:00,24.5,91,32.2,100,0.1
2025-03-01 04:00:00,24.2,93,32.5,100,0.1
2025-03-01 05:00:00,24.3,92,33.0,100,0.1
2025-03-01 06:00:00,24.0,92,31.2,100,0.2
2025-03-01 07:00:00,23.5,96,33.0,100,0.5
2025-03-01 08:00:00,24.2,89,28.1,100,0.4
2025-03-01 09:00:00,24.0,86,26.1,100,0.4
2025-03-01 10:00:00,25.1,84,24.0,100,0.4
2025-03-01 11:00:00,27.1,71,31.1,100,0.2
2025-03-01 12:00:00,27.2,73,32.6,100,0.0
2025-03-01 13:00:00,28.8,67,39.2,100,0.0
2025-03-01 14:00:00,30.1,61,41.0,100,0.0
2025-03-01 15:00:00,30.4,59,39.2,81,0.0
2025-03-01 16:00:00,29.8,61,36.3,53,0.1
2025-03-01 17:00:00,27.6,72,27.1,95,0.2
2025-03-01 18:00:00,27.4,74,25.3,81,0.0
2025-03-01 19:00:00,26.3,78,26.2,84,0.0
2025-03-01 20:00:00,25.9,77,25.4,100,0.0
2025-03-01 21:00:00,24.3,89,31.1,100,0.5
2025-03-01 22:00:00,23.8,92,26.7,100,0.1
2025-03-01 23:00:00,23.9,91,28.3,100,0.1
2025-03-02 00:00:00,24.0,91,31.9,100,0.0
2025-03-02 01:00:00,24.0,92,26.0,100,0.0
2025-03-02 02:00:00,24.1,91,26.5,100,0.1
2025-03-02 03:00:00,23.5,94,27.2,100,0.2
2025-03-02 04:00:00,23.2,94,26.8,100,0.1
2025-03-02 05:00:00,23.5,92,29.8,100,0.2
2025-03-02 06:00:00,24.0,92,27.1,100,0.0
2025-03-02 07:00:00,24.9,87,24.9,81,0.0
2025-03-02 08:00:00,26.1,81,24.4,94,0.1
2025-03-02 09:00:00,27.3,76,27.0,100,0.1
2025-03-02 10:00:00,28.8,68,23.4,76,0.0
2025-03-02 11:00:00,31.0,59,22.1,100,0.0
2025-03-02 12:00:00,29.3,63,27.7,78,1.0
2025-03-02 13:00:00,29.9,63,19.3,11,0.4
2025-03-02 14:00:00,32.0,55,20.4,94,0.0
2025-03-02 15:00:00,30.2,60,19.2,83,0.4
2025-03-02 16:00:00,29.3,65,15.1,10,0.5
2025-03-02 17:00:00,27.7,72,18.1,73,0.3
2025-03-02 18:00:00,27.3,74,10.6,26,0.0
2025-03-02 19:00:00,26.2,80,13.8,31,0.0
2025-03-02 20:00:00,25.6,83,13.0,78,0.0
2025-03-02 21:00:00,24.9,87,6.6,98,0.0
2025-03-02 22:00:00,24.9,88,0.6,78,0.0
2025-03-02 23:00:00,24.3,93,11.1,100,0.0
2025-03-03 00:00:00,23.7,96,13.9,83,0.0
2025-03-03 01:00:00,23.2,98,12.9,92,0.0
2025-03-03 02:00:00,23.0,98,15.4,51,0.0
2025-03-03 03:00:00,23.0,98,16.6,19,0.1
2025-03-03 04:00:00,23.0,97,14.2,52,0.0
2025-03-03 05:00:00,22.7,97,16.7,100,0.0
2025-03-03 06:00:00,24.0,92,19.9,52,0.0
2025-03-03 07:00:00,25.0,84,25.2,100,0.0
2025-03-03 08:00:00,28.1,68,23.3,96,0.0
2025-03-03 09:00:00,30.0,59,24.5,100,0.0
2025-03-03 10:00:00,31.0,56,26.7,100,0.0
2025-03-03 11:00:00,31.8,52,29.2,100,0.0
2025-03-03 12:00:00,32.5,49,29.8,100,0.0
2025-03-03 13:00:00,33.5,45,29.0,100,0.0
2025-03-03 14:00:00,33.2,46,27.5,92,0.0
2025-03-03 15:00:00,32.6,49,25.7,100,0.0
2025-03-03 16:00:00,31.8,53,23.5,100,0.0
2025-03-03 17:00:00,30.3,59,20.9,100,0.0
2025-03-03 18:00:00,29.0,64,22.1,100,0.0
2025-03-03 19:00:00,27.5,72,20.5,100,0.0
2025-03-03 20:00:00,26.7,76,18.9,100,0.0
2025-03-03 21:00:00,26.0,80,17.3,100,0.0
2025-03-03 22:00:00,25.5,82,17.5,97,0.0
2025-03-03 23:00:00,24.9,84,17.8,100,0.0
2025-03-04 00:00:00,24.9,82,17.7,100,0.0
2025-03-04 01:00:00,25.1,78,19.6,100,0.0
2025-03-04 02:00:00,25.2,74,21.8,100,0.0
2025-03-04 03:00:00,25.1,74,21.4,100,0.0
2025-03-04 04:00:00,24.9,74,22.0,100,0.0
2025-03-04 05:00:00,24.5,76,24.4,98,0.0
2025-03-04 06:00:00,24.5,78,22.0,100,0.0
2025-03-04 07:00:00,25.8,73,22.5,93,0.0
2025-03-04 08:00:00,28.4,64,22.4,98,0.0
2025-03-04 09:00:00,29.6,57,25.3,100,0.0
2025-03-04 10:00:00,31.3,48,25.2,92,0.0
2025-03-04 11:00:00,32.8,41,25.0,100,0.0
2025-03-04 12:00:00,33.8,38,26.6,100,0.0
2025-03-04 13:00:00,34.3,37,24.5,100,0.0
2025-03-04 14:00:00,35.0,35,23.7,100,0.0
2025-03-04 15:00:00,34.6,35,23.2,100,0.0
2025-03-04 16:00:00,33.5,39,23.4,100,0.0
2025-03-04 17:00:00,31.1,54,22.5,100,0.0
2025-03-04 18:00:00,29.1,63,20.7,100,0.0
2025-03-04 19:00:00,27.8,73,17.0,100,0.0
2025-03-04 20:00:00,26.6,79,14.5,100,0.0
2025-03-04 21:00:00,25.9,83,14.7,99,0.0
2025-03-04 22:00:00,25.6,82,16.4,99,0.0
2025-03-04 23:00:00,25.5,74,17.0,98,0.0
2025-03-05 00:00:00,25.2,67,16.9,99,0.0
2025-03-05 01:00:00,25.0,64,15.1,99,0.0
2025-03-05 02:00:00,24.2,64,13.5,8,0.0
2025-03-05 03:00:00,23.4,66,9.9,26,0.0
2025-03-05 04:00:00,23.0,68,7.7,66,0.0
2025-03-05 05:00:00,22.8,68,9.9,12,0.0
2025-03-05 06:00:00,24.1,64,12.0,89,0.0
2025-03-05 07:00:00,26.2,57,13.9,85,0.0
2025-03-05 08:00:00,29.0,53,11.4,76,0.0
2025-03-05 09:00:00,31.0,46,15.2,59,0.0
2025-03-05 10:00:00,32.7,39,17.3,67,0.0
2025-03-05 11:00:00,34.0,34,19.8,66,0.0
2025-03-05 12:00:00,35.0,31,20.5,68,0.0
2025-03-05 13:00:00,35.5,30,20.1,1,0.0
2025-03-05 14:00:00,35.8,28,20.5,0,0.0
2025-03-05 15:00:00,35.5,27,20.9,0,0.0
2025-03-05 16:00:00,34.1,34,19.4,0,0.0
2025-03-05 17:00:00,31.9,50,19.6,0,0.0
2025-03-05 18:00:00,29.1,72,13.7,3,0.0
2025-03-05 19:00:00,27.5,80,2.1,3,0.0
2025-03-05 20:00:00,26.9,81,9.1,15,0.0
2025-03-05 21:00:00,26.5,86,12.8,17,0.0
2025-03-05 22:00:00,26.0,91,15.3,40,0.0
2025-03-05 23:00:00,25.2,94,14.4,59,0.0
2025-03-06 00:00:00,24.7,96,14.7,37,0.0
2025-03-06 01:00:00,24.1,96,16.1,41,0.0
2025-03-06 02:00:00,23.5,96,13.3,100,0.0
2025-03-06 03:00:00,23.1,96,11.6,88,0.0
2025-03-06 04:00:00,22.5,95,8.7,100,0.0
2025-03-06 05:00:00,22.1,93,7.9,22,0.0
2025-03-06 06:00:00,23.2,92,4.9,57,0.0
2025-03-06 07:00:00,25.6,80,5.6,54,0.0
