time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,9.2,97,1.9,30,0.0
2025-03-01 01:00:00,8.8,97,2.3,47,0.0
2025-03-01 02:00:00,9.1,96,3.9,48,0.0
2025-03-01 03:00:00,9.4,97,4.4,39,0.0
2025-03-01 04:00:00,9.6,97,5.2,44,0.0
2025-03-01 05:00:00,9.5,97,4.8,15,0.1
2025-03-01 06:00:00,10.9,92,6.7,43,0.0
2025-03-01 07:00:00,15.2,77,4.5,15,0.0
2025-03-01 08:00:00,17.6,64,8.4,18,0.0
2025-03-01 09:00:00,19.2,56,11.9,17,0.0
2025-03-01 10:00:00,20.6,48,17.8,24,0.0
2025-03-01 11:00:00,19.9,54,22.6,14,0.2
2025-03-01 12:00:00,20.3,55,24.5,22,0.5
2025-03-01 13:00:00,20.2,55,21.3,38,0.1
2025-03-01 14:00:00,20.0,55,15.3,34,0.0
2025-03-01 15:00:00,18.8,60,13.0,47,0.1
2025-03-01 16:00:00,16.3,77,5.9,73,0.2
2025-03-01 17:00:00,13.9,91,9.8,66,1.7
2025-03-01 18:00:00,13.6,82,9.2,35,0.0
2025-03-01 19:00:00,12.2,89,10.3,42,0.0
2025-03-01 20:00:00,11.6,90,13.2,90,0.0
2025-03-01 21:00:00,11.9,88,8.3,43,0.0
2025-03-01 22:00:00,11.7,87,12.3,69,0.0
2025-03-01 23:00:00,11.5,90,14.9,66,0.4
2025-03-02 00:00:00,11.6,91,17.3,82,0.0
2025-03-02 01:00:00,11.6,88,17.1,96,0.0
2025-03-02 02:00:00,11.4,87,10.4,57,0.2
2025-03-02 03:00:00,11.8,87,13.2,71,0.0
2025-03-02 04:00:00,11.7,87,10.9,70,0.0
2025-03-02 05:00:00,11.8,87,9.4,77,0.0
2025-03-02 06:00:00,12.6,86,12.8,90,0.0
2025-03-02 07:00:00,15.1,79,10.5,79,0.0
2025-03-02 08:00:00,17.8,69,5.8,32,0.3
2025-03-02 09:00:00,19.6,60,17.8,24,0.0
2025-03-02 10:00:00,21.7,44,21.7,31,0.1
2025-03-02 11:00:00,22.0,41,29.1,28,0.1
2025-03-02 12:00:00,22.2,41,25.4,33,0.1
2025-03-02 13:00:00,22.0,42,21.1,40,0.1
2025-03-02 14:00:00,21.7,41,17.3,33,0.0
2025-03-02 15:00:00,21.4,42,15.3,10,0.0
2025-03-02 16:00:00,19.7,56,6.3,13,0.0
2025-03-02 17:00:00,16.1,61,1.7,14,0.0
2025-03-02 18:00:00,14.6,63,3.7,61,0.0
2025-03-02 19:00:00,13.5,70,7.8,71,0.0
2025-03-02 20:00:00,12.6,78,6.8,62,0.0
2025-03-02 21:00:00,12.9,77,8.3,25,0.0
2025-03-02 22:00:00,11.1,85,4.1,9,0.0
2025-03-02 23:00:00,10.1,90,3.0,11,0.0
2025-03-03 00:00:00,8.6,97,5.2,17,0.0
2025-03-03 01:00:00,7.9,98,6.3,31,0.0
2025-03-03 02:00:00,7.7,96,7.0,42,0.0
2025-03-03 03:00:00,7.7,95,7.5,37,0.0
2025-03-03 04:00:00,7.4,95,7.3,32,0.0
2025-03-03 05:00:00,7.2,95,6.9,25,0.0
2025-03-03 06:00:00,9.4,88,6.0,0,0.0
2025-03-03 07:00:00,15.8,67,4.0,0,0.0
2025-03-03 08:00:00,19.4,47,7.3,0,0.0
2025-03-03 09:00:00,21.5,25,18.3,0,0.0
2025-03-03 10:00:00,22.3,26,21.8,7,0.0
2025-03-03 11:00:00,22.8,31,19.3,28,0.0
2025-03-03 12:00:00,23.0,32,17.4,22,0.0
2025-03-03 13:00:00,22.6,39,15.9,56,0.0
2025-03-03 14:00:00,21.3,47,12.8,37,0.1
2025-03-03 15:00:00,20.1,55,8.1,46,0.4
2025-03-03 16:00:00,17.4,77,5.9,23,0.9
2025-03-03 17:00:00,14.9,88,2.6,26,0.1
2025-03-03 18:00:00,13.5,84,4.6,53,0.1
2025-03-03 19:00:00,12.2,88,3.8,27,0.0
2025-03-03 20:00:00,11.9,89,6.0,30,0.0
2025-03-03 21:00:00,11.8,87,1.1,28,0.0
2025-03-03 22:00:00,10.9,89,1.3,8,0.0
2025-03-03 23:00:00,9.3,94,1.5,1,0.0
2025-03-04 00:00:00,7.9,96,2.2,4,0.0
2025-03-04 01:00:00,7.2,95,3.1,0,0.0
2025-03-04 02:00:00,6.8,94,5.1,0,0.0
2025-03-04 03:00:00,6.4,93,4.9,2,0.0
2025-03-04 04:00:00,6.4,94,5.0,7,0.0
2025-03-04 05:00:00,6.7,96,3.5,10,0.0
2025-03-04 06:00:00,8.6,87,5.0,4,0.0
2025-03-04 07:00:00,14.9,67,1.9,6,0.0
2025-03-04 08:00:00,17.8,53,5.6,7,0.0
2025-03-04 09:00:00,19.7,46,11.4,8,0.0
2025-03-04 10:00:00,21.2,32,12.1,0,0.0
2025-03-04 11:00:00,22.1,31,11.1,7,0.0
2025-03-04 12:00:00,22.3,35,12.2,0,0.0
2025-03-04 13:00:00,21.9,42,15.0,6,0.0
2025-03-04 14:00:00,21.2,44,14.8,10,0.0
2025-03-04 15:00:00,20.5,49,11.0,14,0.0
2025-03-04 16:00:00,18.4,65,7.1,13,0.0
2025-03-04 17:00:00,15.1,77,3.1,1,0.0
2025-03-04 18:00:00,12.9,70,0.9,0,0.0
2025-03-04 19:00:00,11.8,66,2.6,2,0.0
2025-03-04 20:00:00,9.8,75,1.5,20,0.0
2025-03-04 21:00:00,8.6,85,0.9,13,0.0
2025-03-04 22:00:00,7.7,93,1.5,1,0.0
2025-03-04 23:00:00,7.3,96,2.4,0,0.0
2025-03-05 00:00:00,7.1,94,2.8,0,0.0
2025-03-05 01:00:00,6.8,90,3.8,0,0.0
2025-03-05 02:00:00,6.7,88,3.8,16,0.0
2025-03-05 03:00:00,6.9,88,3.7,8,0.0
2025-03-05 04:00:00,6.9,89,4.4,13,0.0
2025-03-05 05:00:00,6.8,92,5.1,4,0.0
2025-03-05 06:00:00,10.0,81,7.5,5,0.0
2025-03-05 07:00:00,15.9,63,4.6,1,0.0
2025-03-05 08:00:00,18.8,38,15.2,0,0.0
2025-03-05 09:00:00,20.1,34,18.3,7,0.0
2025-03-05 10:00:00,21.2,33,17.3,44,0.0
2025-03-05 11:00:00,21.5,33,17.9,32,0.0
2025-03-05 12:00:00,22.1,29,18.5,29,0.0
2025-03-05 13:00:00,22.2,31,18.6,24,0.0
2025-03-05 14:00:00,21.5,33,16.6,30,0.0
2025-03-05 15:00:00,20.4,37,10.5,16,0.0
2025-03-05 16:00:00,18.8,54,6.1,5,0.0
2025-03-05 17:00:00,15.3,52,3.1,6,0.0
2025-03-05 18:00:00,14.0,63,1.1,22,0.0
2025-03-05 19:00:00,11.9,72,3.5,25,0.1
2025-03-05 20:00:00,10.9,90,4.9,35,0.5
2025-03-05 21:00:00,10.1,96,3.1,59,1.5
2025-03-05 22:00:00,9.8,97,4.6,46,1.1
2025-03-05 23:00:00,9.4,97,4.8,65,0.3
2025-03-06 00:00:00,8.6,100,2.6,76,0.3
2025-03-06 01:00:00,8.8,98,0.9,75,0.5
2025-03-06 02:00:00,8.6,97,1.7,47,0.4
2025-03-06 03:00:00,8.4,96,2.4,31,0.3
2025-03-06 04:00:00,7.9,96,1.7,26,0.1
2025-03-06 05:00:00,7.7,95,1.3,22,0.0
2025-03-06 06:00:00,11.6,77,2.3,18,0.0
2025-03-06 07:00:00,13.6,78,2.7,5,0.0
2025-03-06 08:00:00,16.1,62,2.6,8,0.1
2025-03-06 09:00:00,18.3,47,8.5,6,0.0
2025-03-06 10:00:00,19.6,41,12.0,6,0.0
2025-03-06 11:00:00,20.5,38,13.3,44,0.0
2025-03-06 12:00:00,20.1,40,18.9,31,0.0
2025-03-06 13:00:00,18.9,43,17.1,32,0.0
2025-03-06 14:00:00,19.0,45,10.4,11,0.0
2025-03-06 15:00:00,18.5,47,10.6,12,0.0
2025-03-06 16:00:00,16.8,52,9.9,2,0.0
2025-03-06 17:00:00,14.2,60,2.6,2,0.0
2025-03-06 18:00:00,12.6,62,2.7,2,0.0
2025-03-06 19:00:00,12.0,67,6.7,0,0.0
2025-03-06 20:00:00,10.2,79,4.4,0,0.0
2025-03-06 21:00:00,8.8,88,3.8,61,0.0
2025-03-06 22:00:00,9.2,86,3.0,38,0.0
2025-03-06 23:00:00,9.4,84,2.2,25,0.0
2025-03-07 00:00:00,9.6,78,3.2,76,0.0
2025-03-07 01:00:00,10.5,71,2.9,66,0.0
2025-03-07 02:00:00,10.4,71,1.1,18,0.0
2025-03-07 03:00:00,9.6,74,2.1,18,0.0
2025-03-07 04:00:00,9.1,77,2.7,12,0.0
2025-03-07 05:00:00,8.6,80,3.1,6,0.0
2025-03-07 06:00:00,11.0,74,4.4,10,0.0
2025-03-07 07:00:00,16.1,56,1.5,0,0.0
2025-03-07 08:00:00,18.4,45,4.5,28,0.0
2025-03-07 09:00:00,20.0,37,6.9,26,0.0
2025-03-07 10:00:00,21.1,32,4.1,24,0.0
2025-03-07 11:00:00,22.1,28,8.1,28,0.0
2025-03-07 12:00:00,21.0,41,14.8,23,0.1
2025-03-07 13:00:00,20.0,47,14.4,18,0.2
2025-03-07 14:00:00,19.4,52,13.2,13,0.2
2025-03-07 15:00:00,19.1,52,11.5,4,0.1
2025-03-07 16:00:00,17.5,58,10.5,6,0.1
2025-03-07 17:00:00,14.6,70,5.1,14,0.1
2025-03-07 18:00:00,12.9,76,1.7,1,0.0
2025-03-07 19:00:00,12.4,71,1.9,0,0.0
2025-03-07 20:00:00,10.8,70,1.3,0,0.0
2025-03-07 21:00:00,8.9,76,2.3,0,0.0
2025-03-07 22:00:00,8.1,82,2.6,16,0.0
2025-03-07 23:00:00,7.9,83,2.7,21,0.0
2025-03-08 00:00:00,7.7,83,3.7,4,0.0
2025-03-08 01:00:00,7.3,82,3.3,0,0.0
2025-03-08 02:00:00,7.2,78,4.8,0,0.0
2025-03-08 03:00:00,7.1,76,4.6,0,0.0
2025-03-08 04:00:00,6.9,75,3.9,0,0.0
2025-03-08 05:00:00,6.8,74,4.6,0,0.0
2025-03-08 06:00:00,9.4,73,4.5,0,0.0
2025-03-08 07:00:00,15.0,52,4.0,0,0.0
2025-03-08 08:00:00,17.4,43,2.4,0,0.0
2025-03-08 09:00:00,19.1,39,4.4,0,0.0
2025-03-08 10:00:00,20.8,35,10.6,11,0.0
2025-03-08 11:00:00,21.0,37,16.9,36,0.0
2025-03-08 12:00:00,20.9,40,15.4,21,0.0
