time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.7,92,15.8,6,0.0
2025-03-01 01:00:00,22.5,94,17.3,1,0.0
2025-03-01 02:00:00,22.3,95,16.7,0,0.0
2025-03-01 03:00:00,22.1,95,16.2,0,0.0
2025-03-01 04:00:00,21.8,96,14.4,2,0.0
2025-03-01 05:00:00,21.5,96,15.9,0,0.0
2025-03-01 06:00:00,22.7,97,17.9,0,0.0
2025-03-01 07:00:00,24.5,90,14.0,3,0.0
2025-03-01 08:00:00,26.8,78,16.5,1,0.0
2025-03-01 09:00:00,29.3,60,18.7,0,0.0
2025-03-01 10:00:00,31.2,50,20.2,0,0.0
2025-03-01 11:00:00,32.5,45,19.5,0,0.0
2025-03-01 12:00:00,33.5,41,19.0,0,0.0
2025-03-01 13:00:00,34.2,37,19.0,2,0.0
2025-03-01 14:00:00,34.3,36,18.7,2,0.0
2025-03-01 15:00:00,33.8,38,17.7,19,0.0
2025-03-01 16:00:00,32.8,41,14.5,17,0.0
2025-03-01 17:00:00,31.2,49,16.3,5,0.0
2025-03-01 18:00:00,28.6,60,21.4,3,0.0
2025-03-01 19:00:00,27.5,66,24.0,1,0.0
2025-03-01 20:00:00,26.8,70,23.2,1,0.0
2025-03-01 21:00:00,26.0,73,26.5,0,0.0
2025-03-01 22:00:00,25.6,73,25.4,0,0.0
2025-03-01 23:00:00,25.3,73,22.2,0,0.0
2025-03-02 00:00:00,24.1,79,14.1,0,0.0
2025-03-02 01:00:00,24.1,77,18.2,0,0.0
2025-03-02 02:00:00,23.9,75,20.9,0,0.0
2025-03-02 03:00:00,23.6,71,20.0,0,0.0
2025-03-02 04:00:00,23.1,69,18.2,0,0.0
2025-03-02 05:00:00,22.5,69,17.6,0,0.0
2025-03-02 06:00:00,23.5,72,17.0,0,0.0
2025-03-02 07:00:00,25.0,67,16.0,0,0.0
2025-03-02 08:00:00,27.1,59,9.2,0,0.0
2025-03-02 09:00:00,29.3,52,9.2,0,0.0
2025-03-02 10:00:00,31.1,50,8.3,0,0.0
2025-03-02 11:00:00,32.7,44,9.1,0,0.0
2025-03-02 12:00:00,33.8,39,10.3,0,0.0
2025-03-02 13:00:00,34.2,37,12.3,0,0.0
