time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.5,41,3.1,23,0.0
2025-03-01 01:00:00,21.9,43,3.3,7,0.0
2025-03-01 02:00:00,20.6,46,10.3,2,0.0
2025-03-01 03:00:00,20.4,47,5.0,0,0.0
2025-03-01 04:00:00,19.5,52,5.9,16,0.0
2025-03-01 05:00:00,19.3,52,6.7,6,0.0
2025-03-01 06:00:00,19.8,55,6.7,1,0.0
2025-03-01 07:00:00,21.6,49,10.1,0,0.0
2025-03-01 08:00:00,25.6,39,10.1,0,0.0
2025-03-01 09:00:00,29.3,31,6.9,0,0.0
2025-03-01 10:00:00,31.9,26,9.2,0,0.0
2025-03-01 11:00:00,34.0,22,14.0,0,0.0
2025-03-01 12:00:00,35.5,18,17.0,0,0.0
2025-03-01 13:00:00,36.2,16,16.6,3,0.0
2025-03-01 14:00:00,36.5,16,16.6,6,0.0
2025-03-01 15:00:00,36.2,16,18.2,5,0.0
2025-03-01 16:00:00,35.4,17,19.7,9,0.0
2025-03-01 17:00:00,33.8,20,18.0,19,0.0
2025-03-01 18:00:00,31.1,23,21.7,2,0.0
2025-03-01 19:00:00,30.1,25,24.5,0,0.0
2025-03-01 20:00:00,28.6,28,23.1,0,0.0
2025-03-01 21:00:00,26.4,33,10.2,0,0.0
2025-03-01 22:00:00,24.9,37,9.7,2,0.0
2025-03-01 23:00:00,24.6,38,10.5,16,0.0
2025-03-02 00:00:00,23.6,41,19.0,15,0.0
2025-03-02 01:00:00,23.0,46,24.6,0,0.0
2025-03-02 02:00:00,23.1,46,27.7,0,0.0
2025-03-02 03:00:00,22.5,50,24.9,0,0.0
2025-03-02 04:00:00,21.9,55,25.5,0,0.0
2025-03-02 05:00:00,21.3,58,25.4,0,0.0
2025-03-02 06:00:00,21.9,59,24.8,0,0.0
2025-03-02 07:00:00,23.1,56,26.2,0,0.0
2025-03-02 08:00:00,26.2,48,17.3,0,0.0
2025-03-02 09:00:00,30.0,38,14.0,0,0.0
2025-03-02 10:00:00,33.0,28,11.9,6,0.0
2025-03-02 11:00:00,34.1,24,10.6,34,0.0
2025-03-02 12:00:00,34.8,23,8.2,37,0.0
2025-03-02 13:00:00,35.8,20,16.4,70,0.0
2025-03-02 14:00:00,34.7,21,21.0,69,0.0
2025-03-02 15:00:00,35.2,20,15.8,99,0.0
2025-03-02 16:00:00,35.7,19,9.4,99,0.0
2025-03-02 17:00:00,33.9,21,15.7,98,0.0
2025-03-02 18:00:00,31.4,24,21.7,98,0.0
2025-03-02 19:00:00,29.8,28,19.8,69,0.0
2025-03-02 20:00:00,28.6,31,17.4,27,0.0
