time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,21.8,74,21.7,62,0.0
2025-03-01 01:00:00,21.5,76,23.5,24,0.0
2025-03-01 02:00:00,20.9,78,20.9,42,0.0
2025-03-01 03:00:00,20.2,81,18.5,6,0.0
2025-03-01 04:00:00,19.7,78,23.2,40,0.0
2025-03-01 05:00:00,19.1,79,21.2,42,0.0
2025-03-01 06:00:00,19.1,78,19.4,100,0.0
2025-03-01 07:00:00,19.8,75,20.8,100,0.0
2025-03-01 08:00:00,21.6,70,14.0,100,0.0
2025-03-01 09:00:00,22.1,64,25.0,100,0.0
2025-03-01 10:00:00,24.7,55,18.6,100,0.0
2025-03-01 11:00:00,25.0,55,25.2,90,0.0
2025-03-01 12:00:00,26.9,43,16.6,78,0.0
2025-03-01 13:00:00,28.2,37,14.6,82,0.0
2025-03-01 14:00:00,28.5,38,11.8,91,0.0
2025-03-01 15:00:00,28.3,39,9.4,71,0.0
2025-03-01 16:00:00,27.9,41,4.7,42,0.0
2025-03-01 17:00:00,27.2,43,4.6,11,0.0
2025-03-01 18:00:00,24.9,55,12.4,36,0.0
2025-03-01 19:00:00,23.8,64,8.0,11,0.0
2025-03-01 20:00:00,23.3,66,2.9,7,0.0
2025-03-01 21:00:00,22.5,65,7.0,3,0.0
2025-03-01 22:00:00,21.9,66,13.2,0,0.0
2025-03-01 23:00:00,20.7,71,14.4,1,0.0
2025-03-02 00:00:00,19.7,76,16.2,0,0.0
2025-03-02 01:00:00,19.1,79,15.9,0,0.0
2025-03-02 02:00:00,18.7,81,18.0,0,0.0
2025-03-02 03:00:00,18.4,84,18.9,0,0.0
2025-03-02 04:00:00,18.1,85,17.9,0,0.0
2025-03-02 05:00:00,17.5,87,12.8,0,0.0
2025-03-02 06:00:00,18.3,85,16.0,3,0.0
2025-03-02 07:00:00,18.8,83,13.2,0,0.0
2025-03-02 08:00:00,20.9,73,14.0,0,0.0
2025-03-02 09:00:00,23.8,62,11.7,0,0.0
2025-03-02 10:00:00,26.5,48,13.9,0,0.0
2025-03-02 11:00:00,28.3,37,18.3,0,0.0
2025-03-02 12:00:00,29.1,34,20.2,0,0.0
2025-03-02 13:00:00,29.6,33,21.6,0,0.0
2025-03-02 14:00:00,29.7,31,24.1,0,0.0
2025-03-02 15:00:00,29.4,31,24.9,0,0.0
2025-03-02 16:00:00,28.6,33,24.2,1,0.0
2025-03-02 17:00:00,27.4,36,21.3,0,0.0
2025-03-02 18:00:00,25.8,45,19.1,0,0.0
2025-03-02 19:00:00,24.5,51,19.4,0,0.0
2025-03-02 20:00:00,23.4,53,20.0,0,0.0
2025-03-02 21:00:00,22.4,52,20.0,0,0.0
2025-03-02 22:00:00,21.3,52,22.2,0,0.0
2025-03-02 23:00:00,20.5,53,25.3,0,0.0
2025-03-03 00:00:00,19.9,54,25.6,0,0.0
2025-03-03 01:00:00,19.0,56,24.4,0,0.0
2025-03-03 02:00:00,18.3,56,22.2,0,0.0
2025-03-03 03:00:00,17.5,57,21.7,0,0.0
2025-03-03 04:00:00,16.9,59,20.0,0,0.0
2025-03-03 05:00:00,16.0,61,18.2,0,0.0
2025-03-03 06:00:00,15.3,72,17.0,0,0.0
2025-03-03 07:00:00,15.6,71,14.7,0,0.0
2025-03-03 08:00:00,17.9,62,12.1,0,0.0
2025-03-03 09:00:00,20.6,52,11.0,0,0.0
2025-03-03 10:00:00,23.1,42,12.5,0,0.0
2025-03-03 11:00:00,25.4,34,14.3,0,0.0
2025-03-03 12:00:00,27.3,26,18.0,0,0.0
2025-03-03 13:00:00,28.6,21,22.5,0,0.0
2025-03-03 14:00:00,28.9,23,25.1,0,0.0
2025-03-03 15:00:00,28.8,24,25.9,0,0.0
2025-03-03 16:00:00,28.7,21,26.2,0,0.0
2025-03-03 17:00:00,27.1,26,22.8,0,0.0
2025-03-03 18:00:00,25.5,34,22.5,0,0.0
2025-03-03 19:00:00,23.8,40,24.0,1,0.0
2025-03-03 20:00:00,23.0,46,27.9,0,0.0
2025-03-03 21:00:00,22.9,46,29.8,25,0.0
2025-03-03 22:00:00,22.5,45,30.0,53,0.0
2025-03-03 23:00:00,22.0,47,29.0,60,0.0
2025-03-04 00:00:00,21.2,51,27.0,44,0.0
2025-03-04 01:00:00,20.5,56,23.5,3,0.0
2025-03-04 02:00:00,20.0,59,20.4,0,0.0
2025-03-04 03:00:00,19.5,61,19.3,2,0.0
2025-03-04 04:00:00,18.8,67,10.7,0,0.0
2025-03-04 05:00:00,18.1,67,11.6,0,0.0
2025-03-04 06:00:00,16.9,82,9.4,0,0.0
2025-03-04 07:00:00,18.4,74,16.9,16,0.0
2025-03-04 08:00:00,21.2,62,12.8,0,0.0
2025-03-04 09:00:00,24.2,51,4.7,1,0.0
2025-03-04 10:00:00,26.2,45,7.5,0,0.0
2025-03-04 11:00:00,27.6,43,13.4,0,0.0
2025-03-04 12:00:00,29.1,36,15.8,0,0.0
2025-03-04 13:00:00,30.0,26,22.0,0,0.0
2025-03-04 14:00:00,29.5,30,24.1,12,0.0
2025-03-04 15:00:00,29.4,31,24.0,1,0.0
2025-03-04 16:00:00,28.9,27,25.9,1,0.0
2025-03-04 17:00:00,27.5,31,24.1,0,0.0
2025-03-04 18:00:00,25.7,29,26.4,0,0.0
2025-03-04 19:00:00,23.8,33,26.2,0,0.0
2025-03-04 20:00:00,22.8,25,31.6,0,0.0
2025-03-04 21:00:00,22.0,23,30.4,0,0.0
2025-03-04 22:00:00,20.9,27,27.8,0,0.0
2025-03-04 23:00:00,20.0,32,29.0,0,0.0
2025-03-05 00:00:00,19.4,39,29.6,0,0.0
2025-03-05 01:00:00,18.9,48,27.8,0,0.0
2025-03-05 02:00:00,18.1,54,28.6,0,0.0
2025-03-05 03:00:00,17.5,56,29.2,0,0.0
2025-03-05 04:00:00,16.9,58,30.9,0,0.0
2025-03-05 05:00:00,16.4,58,32.9,0,0.0
2025-03-05 06:00:00,15.3,71,32.7,0,0.0
2025-03-05 07:00:00,15.6,68,33.3,0,0.0
2025-03-05 08:00:00,17.0,60,29.5,0,0.0
2025-03-05 09:00:00,18.5,53,30.2,0,0.0
2025-03-05 10:00:00,20.1,47,27.9,0,0.0
