time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,14.4,95,23.1,12,0.0
2025-03-01 01:00:00,13.9,96,21.3,1,0.0
2025-03-01 02:00:00,13.4,96,19.1,0,0.0
2025-03-01 03:00:00,13.1,95,17.6,0,0.0
2025-03-01 04:00:00,12.6,96,16.7,0,0.0
2025-03-01 05:00:00,11.8,96,13.1,0,0.0
2025-03-01 06:00:00,12.9,96,15.2,0,0.0
2025-03-01 07:00:00,12.6,97,9.9,0,0.0
2025-03-01 08:00:00,14.4,95,8.6,0,0.0
2025-03-01 09:00:00,16.4,90,6.8,14,0.0
2025-03-01 10:00:00,18.4,83,6.3,22,0.0
2025-03-01 11:00:00,20.5,73,10.2,26,0.0
2025-03-01 12:00:00,21.8,67,7.1,15,0.0
2025-03-01 13:00:00,22.5,64,4.2,11,0.0
2025-03-01 14:00:00,23.0,61,2.0,17,0.0
2025-03-01 15:00:00,23.0,60,5.3,16,0.0
2025-03-01 16:00:00,22.3,65,9.9,5,0.0
2025-03-01 17:00:00,21.1,72,15.1,5,0.0
2025-03-01 18:00:00,19.2,79,22.4,1,0.0
2025-03-01 19:00:00,18.0,84,20.1,2,0.0
2025-03-01 20:00:00,17.0,88,16.3,2,0.0
2025-03-01 21:00:00,16.0,90,14.4,0,0.0
2025-03-01 22:00:00,15.2,91,14.6,0,0.0
2025-03-01 23:00:00,14.6,92,14.0,0,0.0
2025-03-02 00:00:00,14.1,93,14.6,0,0.0
2025-03-02 01:00:00,13.5,94,15.7,0,0.0
2025-03-02 02:00:00,12.9,95,16.0,0,0.0
2025-03-02 03:00:00,12.4,95,15.9,0,0.0
2025-03-02 04:00:00,11.9,95,15.6,0,0.0
2025-03-02 05:00:00,11.4,95,15.7,0,0.0
2025-03-02 06:00:00,11.9,95,16.3,0,0.0
2025-03-02 07:00:00,11.8,93,15.8,0,0.0
2025-03-02 08:00:00,13.2,90,14.8,0,0.0
2025-03-02 09:00:00,15.5,81,14.1,0,0.0
2025-03-02 10:00:00,18.0,71,10.6,0,0.0
2025-03-02 11:00:00,19.9,61,12.4,0,0.0
2025-03-02 12:00:00,21.1,53,15.5,0,0.0
2025-03-02 13:00:00,21.6,47,18.5,0,0.0
2025-03-02 14:00:00,21.8,44,17.6,0,0.0
2025-03-02 15:00:00,21.6,44,16.2,0,0.0
2025-03-02 16:00:00,21.0,46,14.5,0,0.0
2025-03-02 17:00:00,19.7,59,14.3,0,0.0
2025-03-02 18:00:00,18.0,62,21.6,0,0.0
2025-03-02 19:00:00,16.6,68,21.8,0,0.0
2025-03-02 20:00:00,15.2,78,19.1,0,0.0
2025-03-02 21:00:00,14.6,81,17.1,0,0.0
2025-03-02 22:00:00,13.6,83,14.0,0,0.0
2025-03-02 23:00:00,13.0,83,10.1,0,0.0
2025-03-03 00:00:00,12.4,85,5.0,0,0.0
2025-03-03 01:00:00,11.1,91,5.6,0,0.0
2025-03-03 02:00:00,11.0,92,7.2,0,0.0
2025-03-03 03:00:00,10.1,95,4.8,0,0.0
2025-03-03 04:00:00,10.2,94,6.0,1,0.0
2025-03-03 05:00:00,10.0,93,8.4,8,0.0
2025-03-03 06:00:00,11.3,91,8.4,92,0.0
2025-03-03 07:00:00,12.1,89,9.5,75,0.0
2025-03-03 08:00:00,14.6,84,9.7,79,0.2
2025-03-03 09:00:00,16.0,80,18.3,97,0.0
2025-03-03 10:00:00,16.2,79,16.4,52,0.0
2025-03-03 11:00:00,18.6,64,11.1,54,0.0
2025-03-03 12:00:00,19.8,63,14.2,55,0.0
2025-03-03 13:00:00,20.4,59,17.2,57,0.0
2025-03-03 14:00:00,21.0,51,13.7,59,0.0
2025-03-03 15:00:00,21.1,50,12.3,8,0.0
2025-03-03 16:00:00,21.4,51,13.9,0,0.0
2025-03-03 17:00:00,20.4,60,15.1,0,0.0
2025-03-03 18:00:00,19.8,66,12.3,6,0.0
2025-03-03 19:00:00,18.5,70,13.3,18,0.0
2025-03-03 20:00:00,17.5,74,14.1,22,0.0
2025-03-03 21:00:00,16.8,71,19.3,63,0.0
2025-03-03 22:00:00,15.8,73,12.5,71,0.4
2025-03-03 23:00:00,14.5,87,6.4,64,0.5
2025-03-04 00:00:00,14.1,93,6.5,16,0.2
2025-03-04 01:00:00,13.6,92,18.8,41,0.1
2025-03-04 02:00:00,13.5,90,20.7,14,0.0
2025-03-04 03:00:00,12.9,92,20.8,13,0.0
2025-03-04 04:00:00,12.6,91,23.2,5,0.0
2025-03-04 05:00:00,11.6,91,14.6,4,0.0
2025-03-04 06:00:00,12.6,93,18.4,28,0.0
2025-03-04 07:00:00,12.6,93,11.5,36,0.0
2025-03-04 08:00:00,13.8,89,9.4,24,0.0
2025-03-04 09:00:00,16.0,80,5.1,0,0.0
2025-03-04 10:00:00,18.5,67,1.5,8,0.0
2025-03-04 11:00:00,20.0,61,4.1,2,0.0
2025-03-04 12:00:00,21.0,51,8.9,22,0.3
2025-03-04 13:00:00,21.5,44,16.8,21,0.0
2025-03-04 14:00:00,20.5,48,25.1,14,0.0
2025-03-04 15:00:00,20.1,49,24.4,8,0.0
2025-03-04 16:00:00,19.7,48,24.8,6,0.0
2025-03-04 17:00:00,18.5,58,23.3,2,0.0
2025-03-04 18:00:00,17.0,65,23.7,0,0.0
2025-03-04 19:00:00,15.6,71,25.5,0,0.0
2025-03-04 20:00:00,14.6,74,25.6,0,0.0
2025-03-04 21:00:00,13.8,77,26.2,0,0.0
2025-03-04 22:00:00,13.1,75,25.8,0,0.0
2025-03-04 23:00:00,12.2,76,26.6,0,0.0
2025-03-05 00:00:00,11.6,76,26.1,0,0.0
2025-03-05 01:00:00,10.9,76,27.2,0,0.0
2025-03-05 02:00:00,10.6,73,26.7,0,0.0
2025-03-05 03:00:00,10.1,72,25.8,0,0.0
2025-03-05 04:00:00,9.7,74,24.6,0,0.0
2025-03-05 05:00:00,9.2,75,24.5,0,0.0
2025-03-05 06:00:00,9.3,84,24.5,0,0.0
2025-03-05 07:00:00,9.5,82,25.1,0,0.0
2025-03-05 08:00:00,11.3,79,26.7,1,0.0
2025-03-05 09:00:00,13.6,68,18.4,0,0.0
2025-03-05 10:00:00,15.7,61,19.0,0,0.0
2025-03-05 11:00:00,17.5,56,18.5,0,0.0
2025-03-05 12:00:00,19.0,52,20.8,0,0.0
2025-03-05 13:00:00,20.2,47,24.7,0,0.0
2025-03-05 14:00:00,20.9,41,27.3,0,0.0
2025-03-05 15:00:00,20.9,42,26.6,0,0.0
2025-03-05 16:00:00,20.6,41,25.5,0,0.0
2025-03-05 17:00:00,19.2,51,23.7,0,0.0
2025-03-05 18:00:00,17.5,61,23.5,0,0.0
2025-03-05 19:00:00,16.1,67,25.7,0,0.0
2025-03-05 20:00:00,15.1,70,22.2,17,0.0
2025-03-05 21:00:00,14.4,73,19.9,2,0.0
2025-03-05 22:00:00,13.8,73,21.7,0,0.0
2025-03-05 23:00:00,13.1,70,21.7,0,0.0
2025-03-06 00:00:00,12.3,71,19.0,0,0.0
2025-03-06 01:00:00,11.6,74,17.3,0,0.0
2025-03-06 02:00:00,11.1,75,16.2,9,0.0
2025-03-06 03:00:00,10.3,75,17.5,10,0.0
2025-03-06 04:00:00,9.7,75,17.6,68,0.0
2025-03-06 05:00:00,9.4,76,19.3,87,0.0
2025-03-06 06:00:00,9.7,78,22.8,0,0.0
