time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.8,91,21.0,100,0.1
2025-03-01 01:00:00,24.6,91,20.5,97,0.0
2025-03-01 02:00:00,24.5,92,21.3,99,0.1
2025-03-01 03:00:00,24.2,91,21.2,86,0.1
2025-03-01 04:00:00,24.1,91,22.7,91,0.0
2025-03-01 05:00:00,23.9,92,18.6,100,0.3
2025-03-01 06:00:00,24.4,91,22.9,100,1.4
2025-03-01 07:00:00,24.8,89,25.7,100,0.3
2025-03-01 08:00:00,24.4,86,25.3,100,0.2
2025-03-01 09:00:00,26.1,77,24.5,100,0.1
2025-03-01 10:00:00,29.0,66,23.1,100,0.0
2025-03-01 11:00:00,30.9,58,24.7,100,0.0
2025-03-01 12:00:00,29.1,62,29.8,95,0.2
2025-03-01 13:00:00,30.0,63,21.7,100,0.8
2025-03-01 14:00:00,30.5,57,27.2,100,0.2
2025-03-01 15:00:00,29.7,64,20.6,100,0.3
2025-03-01 16:00:00,30.4,61,18.1,100,0.0
2025-03-01 17:00:00,29.5,63,21.5,96,0.0
2025-03-01 18:00:00,28.1,69,16.3,81,0.0
2025-03-01 19:00:00,27.1,75,15.3,83,0.0
2025-03-01 20:00:00,26.9,77,16.6,99,0.0
2025-03-01 21:00:00,26.6,80,16.9,100,0.0
2025-03-01 22:00:00,24.7,91,20.5,100,0.6
2025-03-01 23:00:00,24.0,93,15.1,97,1.6
2025-03-02 00:00:00,23.8,97,14.2,100,0.3
2025-03-02 01:00:00,23.3,96,12.5,100,0.5
2025-03-02 02:00:00,23.5,93,13.9,73,0.3
2025-03-02 03:00:00,23.3,95,13.0,100,0.0
2025-03-02 04:00:00,23.7,94,14.7,100,0.1
2025-03-02 05:00:00,23.9,92,15.3,97,0.0
2025-03-02 06:00:00,25.0,88,15.5,41,0.0
2025-03-02 07:00:00,25.5,86,13.2,97,0.0
2025-03-02 08:00:00,27.0,77,13.6,100,0.0
2025-03-02 09:00:00,27.4,73,15.4,100,0.7
2025-03-02 10:00:00,28.1,72,13.6,98,1.4
2025-03-02 11:00:00,29.9,64,10.4,65,0.1
2025-03-02 12:00:00,31.0,60,16.7,98,0.1
2025-03-02 13:00:00,30.0,61,11.4,15,0.6
2025-03-02 14:00:00,31.9,56,10.1,100,0.0
2025-03-02 15:00:00,31.5,56,11.1,90,0.0
2025-03-02 16:00:00,29.4,66,17.4,48,0.4
2025-03-02 17:00:00,29.0,67,9.1,42,0.0
2025-03-02 18:00:00,30.1,62,9.9,22,0.0
2025-03-02 19:00:00,26.9,79,15.4,52,0.5
2025-03-02 20:00:00,25.5,82,11.5,51,0.1
2025-03-02 21:00:00,25.6,83,10.4,73,0.0
2025-03-02 22:00:00,24.3,94,4.8,56,1.3
2025-03-02 23:00:00,24.0,95,3.9,28,0.3
2025-03-03 00:00:00,23.5,94,14.6,79,0.4
2025-03-03 01:00:00,23.6,93,7.4,96,0.0
2025-03-03 02:00:00,23.4,95,12.4,100,0.0
2025-03-03 03:00:00,23.1,95,12.8,78,0.0
2025-03-03 04:00:00,23.0,95,13.1,58,0.0
2025-03-03 05:00:00,22.9,95,13.2,81,0.0
2025-03-03 06:00:00,23.7,99,3.6,99,0.0
2025-03-03 07:00:00,25.0,94,5.3,85,0.0
2025-03-03 08:00:00,27.1,80,3.6,100,0.0
2025-03-03 09:00:00,28.0,75,7.6,100,0.2
2025-03-03 10:00:00,29.8,64,10.6,100,0.0
2025-03-03 11:00:00,31.6,54,13.3,100,0.0
2025-03-03 12:00:00,32.8,47,15.1,100,0.0
2025-03-03 13:00:00,33.2,45,17.6,60,0.0
2025-03-03 14:00:00,33.9,42,18.8,11,0.0
2025-03-03 15:00:00,34.0,40,20.0,100,0.0
2025-03-03 16:00:00,33.3,41,19.7,100,0.0
2025-03-03 17:00:00,32.5,45,15.3,81,0.0
2025-03-03 18:00:00,30.2,54,17.6,100,0.0
2025-03-03 19:00:00,28.2,70,18.2,100,0.0
2025-03-03 20:00:00,27.0,78,13.9,99,0.0
2025-03-03 21:00:00,25.7,84,10.4,100,0.0
2025-03-03 22:00:00,24.9,88,9.9,100,0.0
2025-03-03 23:00:00,24.2,91,8.2,100,0.0
2025-03-04 00:00:00,24.0,91,8.6,100,0.0
2025-03-04 01:00:00,23.5,92,6.3,100,0.0
2025-03-04 02:00:00,23.1,93,4.6,100,0.0
2025-03-04 03:00:00,22.9,94,3.8,100,0.0
2025-03-04 04:00:00,23.2,94,3.5,100,0.0
2025-03-04 05:00:00,23.4,93,2.3,100,0.0
2025-03-04 06:00:00,24.3,95,7.3,100,0.0
2025-03-04 07:00:00,25.5,86,8.0,100,0.0
2025-03-04 08:00:00,26.6,78,8.3,100,0.0
2025-03-04 09:00:00,28.4,69,7.0,79,0.0
2025-03-04 10:00:00,30.6,57,8.0,81,0.0
2025-03-04 11:00:00,32.6,45,11.4,100,0.0
2025-03-04 12:00:00,33.2,37,14.6,100,0.0
2025-03-04 13:00:00,34.2,34,14.8,19,0.0
2025-03-04 14:00:00,34.8,32,13.7,17,0.0
2025-03-04 15:00:00,34.8,31,13.1,99,0.0
2025-03-04 16:00:00,34.2,33,13.8,100,0.0
2025-03-04 17:00:00,33.0,37,12.1,100,0.0
2025-03-04 18:00:00,30.5,47,13.0,100,0.0
2025-03-04 19:00:00,28.4,57,10.4,100,0.0
2025-03-04 20:00:00,27.9,64,13.6,100,0.0
2025-03-04 21:00:00,26.7,69,15.2,100,0.0
2025-03-04 22:00:00,25.6,74,15.9,100,0.0
2025-03-04 23:00:00,25.4,76,18.4,100,0.0
2025-03-05 00:00:00,24.8,82,17.2,99,0.0
2025-03-05 01:00:00,24.0,87,15.3,88,0.0
2025-03-05 02:00:00,23.0,92,13.0,68,0.0
2025-03-05 03:00:00,22.4,94,10.2,92,0.0
2025-03-05 04:00:00,21.8,95,6.0,42,0.0
2025-03-05 05:00:00,21.2,96,2.9,32,0.0
2025-03-05 06:00:00,22.5,96,1.5,94,0.0
2025-03-05 07:00:00,24.0,91,2.7,100,0.0
2025-03-05 08:00:00,26.0,82,4.6,100,0.0
2025-03-05 09:00:00,28.0,72,5.4,95,0.0
2025-03-05 10:00:00,30.2,61,4.8,14,0.0
2025-03-05 11:00:00,32.4,51,4.5,30,0.0
2025-03-05 12:00:00,34.0,42,4.9,14,0.0
2025-03-05 13:00:00,35.0,34,5.7,9,0.0
2025-03-05 14:00:00,35.4,30,7.6,1,0.0
2025-03-05 15:00:00,35.3,29,9.7,2,0.0
2025-03-05 16:00:00,34.9,29,12.4,2,0.0
2025-03-05 17:00:00,34.0,32,9.7,1,0.0
2025-03-05 18:00:00,30.8,44,10.0,0,0.0
2025-03-05 19:00:00,29.1,53,2.7,0,0.0
2025-03-05 20:00:00,27.5,59,8.8,0,0.0
2025-03-05 21:00:00,26.8,62,15.9,2,0.0
2025-03-05 22:00:00,26.0,67,18.2,1,0.0
2025-03-05 23:00:00,24.6,75,10.9,0,0.0
2025-03-06 00:00:00,23.6,80,2.1,0,0.0
2025-03-06 01:00:00,23.6,77,8.7,0,0.0
2025-03-06 02:00:00,23.6,70,14.2,0,0.0
2025-03-06 03:00:00,23.0,71,10.1,0,0.0
2025-03-06 04:00:00,23.0,70,6.8,7,0.0
2025-03-06 05:00:00,22.8,70,5.4,68,0.0
2025-03-06 06:00:00,23.2,85,6.8,0,0.0
2025-03-06 07:00:00,24.9,77,6.7,2,0.0
2025-03-06 08:00:00,28.2,60,3.2,3,0.0
2025-03-06 09:00:00,30.5,53,3.3,0,0.0
2025-03-06 10:00:00,32.5,45,3.1,0,0.0
2025-03-06 11:00:00,34.3,36,1.9,0,0.0
2025-03-06 12:00:00,35.8,28,1.0,5,0.0
2025-03-06 13:00:00,36.5,26,5.8,69,0.0
2025-03-06 14:00:00,36.7,25,13.0,52,0.0
2025-03-06 15:00:00,36.5,26,15.2,20,0.0
2025-03-06 16:00:00,35.4,28,18.4,4,0.0
2025-03-06 17:00:00,34.3,29,19.2,25,0.0
2025-03-06 18:00:00,33.3,32,23.3,45,0.0
2025-03-06 19:00:00,31.1,39,22.8,43,0.0
2025-03-06 20:00:00,28.5,68,25.0,41,0.0
2025-03-06 21:00:00,27.5,78,12.5,2,0.0
2025-03-06 22:00:00,26.9,81,9.1,0,0.0
2025-03-06 23:00:00,26.4,84,9.0,37,0.0
2025-03-07 00:00:00,26.0,85,10.3,13,0.0
2025-03-07 01:00:00,25.3,87,9.7,0,0.0
2025-03-07 02:00:00,24.9,89,6.1,0,0.0
2025-03-07 03:00:00,24.1,92,5.3,0,0.0
2025-03-07 04:00:00,23.6,93,5.1,0,0.0
2025-03-07 05:00:00,23.2,94,3.9,0,0.0
2025-03-07 06:00:00,23.6,98,3.4,0,0.0
2025-03-07 07:00:00,25.5,88,4.1,0,0.0
2025-03-07 08:00:00,28.4,70,3.2,0,0.0
2025-03-07 09:00:00,31.3,46,2.5,0,0.0
2025-03-07 10:00:00,33.4,34,4.3,0,0.0
2025-03-07 11:00:00,34.9,29,6.0,31,0.0
2025-03-07 12:00:00,35.9,27,6.9,56,0.0
2025-03-07 13:00:00,36.5,25,8.7,39,0.0
2025-03-07 14:00:00,36.8,24,11.6,60,0.0
2025-03-07 15:00:00,36.4,24,13.2,0,0.0
2025-03-07 16:00:00,35.6,25,14.0,0,0.0
2025-03-07 17:00:00,35.0,27,15.0,0,0.0
2025-03-07 18:00:00,32.8,32,19.5,4,0.0
2025-03-07 19:00:00,31.0,36,20.2,3,0.0
2025-03-07 20:00:00,28.2,70,26.1,0,0.0
2025-03-07 21:00:00,27.6,73,13.2,0,0.0
2025-03-07 22:00:00,27.2,72,10.9,0,0.0
2025-03-07 23:00:00,26.6,73,11.6,0,0.0
2025-03-08 00:00:00,25.9,76,5.1,0,0.0
2025-03-08 01:00:00,25.4,79,3.0,0,0.0
2025-03-08 02:00:00,25.0,80,3.2,0,0.0
2025-03-08 03:00:00,24.3,83,0.2,0,0.0
2025-03-08 04:00:00,23.8,85,4.5,0,0.0
2025-03-08 05:00:00,23.2,89,3.9,0,0.0
2025-03-08 06:00:00,24.4,88,7.9,0,0.0
2025-03-08 07:00:00,26.0,79,7.7,1,0.0
2025-03-08 08:00:00,28.6,66,4.9,2,0.0
2025-03-08 09:00:00,31.1,50,5.1,4,0.0
2025-03-08 10:00:00,33.2,41,4.1,35,0.0
2025-03-08 11:00:00,34.7,37,5.2,13,0.0
2025-03-08 12:00:00,35.6,34,5.8,16,0.0
2025-03-08 13:00:00,36.7,30,6.6,24,0.0
2025-03-08 14:00:00,37.5,27,9.4,16,0.0
2025-03-08 15:00:00,37.3,27,14.7,21,0.0
2025-03-08 16:00:00,36.5,28,18.4,69,0.0
2025-03-08 17:00:00,35.3,31,20.2,16,0.0
2025-03-08 18:00:00,33.0,38,21.4,0,0.0
2025-03-08 19:00:00,30.5,52,26.6,0,0.0
2025-03-08 20:00:00,28.2,71,23.1,1,0.0
2025-03-08 21:00:00,27.5,74,9.9,0,0.0
2025-03-08 22:00:00,27.2,77,8.7,0,0.0
2025-03-08 23:00:00,27.0,79,8.7,0,0.0
2025-03-09 00:00:00,26.5,81,7.5,2,0.0
2025-03-09 01:00:00,26.1,83,7.7,6,0.0
2025-03-09 02:00:00,25.6,85,7.9,2,0.0
2025-03-09 03:00:00,25.0,88,6.7,0,0.0
2025-03-09 04:00:00,24.2,92,2.4,0,0.0
2025-03-09 05:00:00,23.4,95,1.8,0,0.0
2025-03-09 06:00:00,24.0,94,8.5,0,0.0
2025-03-09 07:00:00,25.7,84,9.9,0,0.0
2025-03-09 08:00:00,28.2,67,10.6,0,0.0
2025-03-09 09:00:00,30.2,50,11.5,3,0.0
2025-03-09 10:00:00,31.8,42,14.3,2,0.0
2025-03-09 11:00:00,33.2,35,16.7,0,0.0
2025-03-09 12:00:00,34.2,31,18.9,0,0.0
2025-03-09 13:00:00,34.8,31,19.9,0,0.0
2025-03-09 14:00:00,35.0,30,19.5,0,0.0
2025-03-09 15:00:00,34.8,31,19.2,0,0.0
2025-03-09 16:00:00,34.3,31,17.9,0,0.0
2025-03-09 17:00:00,33.3,33,16.8,0,0.0
2025-03-09 18:00:00,31.5,38,18.0,0,0.0
2025-03-09 19:00:00,29.4,51,23.9,0,0.0
2025-03-09 20:00:00,28.2,52,22.9,0,0.0
2025-03-09 21:00:00,27.0,58,19.4,0,0.0
2025-03-09 22:00:00,25.9,67,19.6,0,0.0
2025-03-09 23:00:00,25.1,72,20.9,0,0.0
2025-03-10 00:00:00,24.4,76,21.7,0,0.0
2025-03-10 01:00:00,23.8,79,21.9,0,0.0
2025-03-10 02:00:00,23.2,82,21.3,0,0.0
2025-03-10 03:00:00,22.9,83,20.1,0,0.0
2025-03-10 04:00:00,22.6,84,19.0,0,0.0
2025-03-10 05:00:00,22.4,84,19.3,0,0.0
2025-03-10 06:00:00,23.3,83,21.5,0,0.0
2025-03-10 07:00:00,25.0,74,15.8,2,0.0
2025-03-10 08:00:00,27.2,63,18.0,13,0.0
2025-03-10 09:00:00,29.2,53,18.5,40,0.0
2025-03-10 10:00:00,31.2,46,20.6,88,0.0
2025-03-10 11:00:00,32.5,42,22.9,33,0.0
2025-03-10 12:00:00,34.2,35,22.6,64,0.0
2025-03-10 13:00:00,34.5,34,25.0,71,0.0
2025-03-10 14:00:00,35.0,32,22.9,51,0.0
2025-03-10 15:00:00,35.1,32,22.0,56,0.0
2025-03-10 16:00:00,34.8,32,24.3,80,0.0
2025-03-10 17:00:00,33.7,34,24.6,45,0.0
2025-03-10 18:00:00,32.0,41,21.5,100,0.0
2025-03-10 19:00:00,30.9,46,27.7,100,0.0
2025-03-10 20:00:00,29.4,57,32.7,82,0.0
2025-03-10 21:00:00,28.3,63,29.3,100,0.0
2025-03-10 22:00:00,27.5,66,27.2,100,0.0
2025-03-10 23:00:00,27.0,68,26.4,100,0.0
2025-03-11 00:00:00,26.6,71,24.7,100,0.0
2025-03-11 01:00:00,26.2,74,24.0,100,0.0
2025-03-11 02:00:00,26.4,74,23.8,97,0.0
2025-03-11 03:00:00,26.3,75,24.9,72,0.0
2025-03-11 04:00:00,26.0,76,19.4,100,0.0
2025-03-11 05:00:00,25.9,76,23.0,100,0.0
2025-03-11 06:00:00,26.2,75,27.7,100,0.0
2025-03-11 07:00:00,26.8,72,20.8,100,0.0
2025-03-11 08:00:00,28.3,66,35.5,100,0.0
2025-03-11 09:00:00,28.6,65,33.0,100,0.0
2025-03-11 10:00:00,29.0,64,34.5,100,0.0
2025-03-11 11:00:00,29.5,66,33.2,100,0.7
2025-03-11 12:00:00,28.6,71,31.2,100,2.2
2025-03-11 13:00:00,26.5,79,30.0,100,1.1
2025-03-11 14:00:00,27.1,77,29.2,100,0.6
2025-03-11 15:00:00,25.7,83,29.8,100,2.3
2025-03-11 16:00:00,25.1,86,22.2,100,1.9
2025-03-11 17:00:00,25.6,84,29.2,100,0.1
