time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,27.7,37,16.9,96,0.0
2025-03-01 01:00:00,27.0,41,17.3,90,0.0
2025-03-01 02:00:00,26.5,42,24.0,69,0.0
2025-03-01 03:00:00,26.6,42,25.7,3,0.0
2025-03-01 04:00:00,26.4,44,25.9,0,0.0
2025-03-01 05:00:00,26.0,46,22.7,0,0.0
2025-03-01 06:00:00,25.6,49,15.2,0,0.0
2025-03-01 07:00:00,25.4,49,13.2,0,0.0
2025-03-01 08:00:00,26.6,43,9.8,0,0.0
2025-03-01 09:00:00,28.9,35,6.1,0,0.0
2025-03-01 10:00:00,31.6,28,7.7,0,0.0
2025-03-01 11:00:00,33.0,31,9.9,0,0.0
2025-03-01 12:00:00,33.1,41,14.1,0,0.0
2025-03-01 13:00:00,33.0,47,17.3,0,0.0
2025-03-01 14:00:00,33.3,41,21.5,0,0.0
2025-03-01 15:00:00,33.2,36,25.6,0,0.0
2025-03-01 16:00:00,32.3,37,27.8,0,0.0
2025-03-01 17:00:00,30.9,48,29.4,0,0.0
2025-03-01 18:00:00,29.4,53,31.5,5,0.0
2025-03-01 19:00:00,29.1,49,34.6,1,0.0
2025-03-01 20:00:00,29.6,36,30.3,8,0.0
2025-03-01 21:00:00,29.6,31,28.6,0,0.0
2025-03-01 22:00:00,29.4,29,25.2,51,0.0
2025-03-01 23:00:00,28.7,29,19.0,86,0.0
2025-03-02 00:00:00,27.7,31,14.9,90,0.0
2025-03-02 01:00:00,26.8,33,13.4,89,0.0
2025-03-02 02:00:00,26.4,35,15.4,100,0.0
2025-03-02 03:00:00,26.1,36,16.7,80,0.0
2025-03-02 04:00:00,25.9,37,18.2,31,0.0
2025-03-02 05:00:00,25.6,38,20.0,54,0.0
2025-03-02 06:00:00,25.3,47,24.5,95,0.0
2025-03-02 07:00:00,25.3,41,24.7,89,0.0
2025-03-02 08:00:00,26.6,36,24.0,100,0.0
2025-03-02 09:00:00,29.3,31,18.1,92,0.0
2025-03-02 10:00:00,32.4,26,13.5,92,0.0
2025-03-02 11:00:00,34.7,21,13.4,66,0.0
