time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.3,69,22.6,19,0.0
2025-03-01 01:00:00,22.6,74,22.1,48,0.0
2025-03-01 02:00:00,22.0,79,26.1,2,0.0
2025-03-01 03:00:00,21.2,86,24.4,75,0.0
2025-03-01 04:00:00,20.6,91,24.3,89,0.0
2025-03-01 05:00:00,20.0,96,22.4,100,0.0
2025-03-01 06:00:00,20.7,94,21.4,100,0.0
2025-03-01 07:00:00,21.1,90,21.4,100,0.0
2025-03-01 08:00:00,22.9,78,23.7,99,0.0
2025-03-01 09:00:00,25.1,64,22.8,100,0.0
2025-03-01 10:00:00,27.5,52,22.2,100,0.0
2025-03-01 11:00:00,29.5,45,21.8,100,0.0
2025-03-01 12:00:00,30.1,42,21.2,100,0.1
2025-03-01 13:00:00,30.8,41,20.6,100,0.0
2025-03-01 14:00:00,31.6,39,19.6,100,0.0
2025-03-01 15:00:00,32.2,37,20.0,8,0.0
2025-03-01 16:00:00,31.9,38,20.9,20,0.0
2025-03-01 17:00:00,31.1,39,22.7,32,0.0
2025-03-01 18:00:00,29.2,41,19.8,58,0.0
2025-03-01 19:00:00,28.2,44,18.1,3,0.0
2025-03-01 20:00:00,27.0,48,23.2,3,0.0
2025-03-01 21:00:00,26.1,55,26.9,13,0.0
2025-03-01 22:00:00,25.4,59,22.7,4,0.0
2025-03-01 23:00:00,24.6,63,25.4,0,0.0
2025-03-02 00:00:00,23.9,69,24.9,4,0.0
2025-03-02 01:00:00,23.0,74,22.9,0,0.0
2025-03-02 02:00:00,22.2,79,19.2,0,0.0
2025-03-02 03:00:00,21.4,85,16.4,1,0.0
2025-03-02 04:00:00,20.9,91,18.7,3,0.0
2025-03-02 05:00:00,20.4,95,20.7,9,0.0
2025-03-02 06:00:00,21.0,93,22.4,100,0.0
2025-03-02 07:00:00,21.6,87,19.7,100,0.0
2025-03-02 08:00:00,23.2,74,18.1,99,0.0
2025-03-02 09:00:00,25.2,63,18.0,99,0.0
2025-03-02 10:00:00,27.9,50,18.0,99,0.0
2025-03-02 11:00:00,30.0,39,17.1,100,0.0
2025-03-02 12:00:00,31.5,33,17.7,100,0.0
2025-03-02 13:00:00,32.6,28,16.9,100,0.0
2025-03-02 14:00:00,33.1,25,14.3,95,0.0
2025-03-02 15:00:00,33.0,24,14.7,41,0.0
2025-03-02 16:00:00,32.7,25,16.9,72,0.0
2025-03-02 17:00:00,32.1,26,14.4,86,0.0
2025-03-02 18:00:00,30.2,29,14.2,100,0.0
2025-03-02 19:00:00,29.2,29,18.1,91,0.0
2025-03-02 20:00:00,27.5,33,14.3,99,0.0
2025-03-02 21:00:00,26.6,36,14.8,94,0.0
2025-03-02 22:00:00,24.4,72,27.4,100,0.0
2025-03-02 23:00:00,23.2,84,24.6,100,0.0
2025-03-03 00:00:00,22.8,91,19.5,20,0.0
2025-03-03 01:00:00,22.2,93,11.5,8,0.0
2025-03-03 02:00:00,21.7,95,14.2,13,0.0
2025-03-03 03:00:00,21.2,97,12.6,23,0.0
2025-03-03 04:00:00,21.0,98,12.7,100,0.0
2025-03-03 05:00:00,21.7,93,10.1,100,0.0
2025-03-03 06:00:00,21.4,96,10.7,11,0.0
2025-03-03 07:00:00,22.4,85,12.3,91,0.0
2025-03-03 08:00:00,24.5,72,7.3,88,0.0
2025-03-03 09:00:00,26.9,61,7.9,69,0.0
2025-03-03 10:00:00,29.0,50,10.6,100,0.0
2025-03-03 11:00:00,31.2,38,13.8,100,0.0
2025-03-03 12:00:00,32.4,32,17.3,100,0.0
2025-03-03 13:00:00,33.2,28,17.2,100,0.0
2025-03-03 14:00:00,32.8,29,17.7,100,0.0
2025-03-03 15:00:00,33.3,28,14.4,37,0.0
2025-03-03 16:00:00,33.7,26,12.0,98,0.0
2025-03-03 17:00:00,33.0,26,13.4,100,0.0
2025-03-03 18:00:00,30.7,28,17.1,100,0.0
2025-03-03 19:00:00,29.5,29,19.6,100,0.0
2025-03-03 20:00:00,28.0,32,19.9,100,0.0
2025-03-03 21:00:00,26.6,37,16.6,100,0.0
2025-03-03 22:00:00,25.3,40,15.1,100,0.0
2025-03-03 23:00:00,24.8,41,16.0,100,0.0
2025-03-04 00:00:00,24.1,42,13.3,100,0.0
2025-03-04 01:00:00,23.6,43,14.8,99,0.0
2025-03-04 02:00:00,22.5,48,11.9,100,0.0
2025-03-04 03:00:00,22.5,49,11.0,90,0.0
2025-03-04 04:00:00,21.4,56,14.6,98,0.0
2025-03-04 05:00:00,20.9,61,12.7,100,0.0
2025-03-04 06:00:00,21.6,62,8.4,100,0.0
2025-03-04 07:00:00,22.4,59,9.0,100,0.0
2025-03-04 08:00:00,25.2,51,6.2,99,0.0
2025-03-04 09:00:00,27.9,43,8.7,100,0.0
2025-03-04 10:00:00,30.4,31,14.4,100,0.0
2025-03-04 11:00:00,31.8,27,22.4,99,0.0
2025-03-04 12:00:00,32.9,24,24.8,61,0.0
2025-03-04 13:00:00,34.0,21,24.2,8,0.0
2025-03-04 14:00:00,34.8,17,28.0,84,0.0
2025-03-04 15:00:00,34.3,18,27.9,97,0.0
2025-03-04 16:00:00,33.6,19,24.5,97,0.0
2025-03-04 17:00:00,32.8,21,22.7,100,0.0
2025-03-04 18:00:00,30.7,23,24.0,100,0.0
2025-03-04 19:00:00,28.9,27,25.1,98,0.0
2025-03-04 20:00:00,27.0,30,20.7,99,0.0
2025-03-04 21:00:00,26.2,32,20.7,100,0.0
2025-03-04 22:00:00,25.8,33,26.0,100,0.0
2025-03-04 23:00:00,24.8,36,21.5,100,0.0
2025-03-05 00:00:00,23.0,38,17.3,100,0.0
2025-03-05 01:00:00,22.9,37,14.8,100,0.0
2025-03-05 02:00:00,22.8,38,12.6,100,0.0
2025-03-05 03:00:00,22.3,40,10.8,100,0.0
2025-03-05 04:00:00,22.0,41,10.1,100,0.0
2025-03-05 05:00:00,21.2,44,10.6,85,0.0
2025-03-05 06:00:00,21.4,51,9.2,50,0.0
2025-03-05 07:00:00,22.9,49,10.3,100,0.0
2025-03-05 08:00:00,26.0,43,8.4,53,0.0
2025-03-05 09:00:00,28.9,33,10.6,45,0.0
2025-03-05 10:00:00,30.9,25,15.3,23,0.0
2025-03-05 11:00:00,32.4,21,18.7,56,0.0
2025-03-05 12:00:00,33.6,19,19.1,88,0.0
2025-03-05 13:00:00,34.0,18,20.4,97,0.0
2025-03-05 14:00:00,34.0,21,18.7,100,0.0
2025-03-05 15:00:00,33.6,21,17.4,100,0.0
2025-03-05 16:00:00,33.8,19,16.8,100,0.0
2025-03-05 17:00:00,33.0,20,18.4,98,0.0
2025-03-05 18:00:00,30.1,24,19.0,97,0.0
2025-03-05 19:00:00,28.6,26,21.6,100,0.0
2025-03-05 20:00:00,27.8,28,23.2,100,0.0
2025-03-05 21:00:00,26.2,33,9.5,99,0.0
2025-03-05 22:00:00,24.5,42,17.6,76,0.0
2025-03-05 23:00:00,23.1,69,23.5,83,0.0
