time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,27.2,28,19.7,12,0.0
2025-03-01 01:00:00,25.5,31,6.1,1,0.0
2025-03-01 02:00:00,25.0,32,13.8,0,0.0
2025-03-01 03:00:00,24.0,35,8.6,0,0.0
2025-03-01 04:00:00,23.0,38,8.1,0,0.0
2025-03-01 05:00:00,22.7,40,8.7,0,0.0
2025-03-01 06:00:00,22.6,44,9.9,0,0.0
2025-03-01 07:00:00,22.9,44,5.0,0,0.0
2025-03-01 08:00:00,25.9,37,7.1,43,0.0
2025-03-01 09:00:00,28.8,33,8.9,70,0.0
2025-03-01 10:00:00,31.0,32,13.0,37,0.0
2025-03-01 11:00:00,32.7,31,18.0,0,0.0
2025-03-01 12:00:00,34.3,26,17.2,7,0.0
2025-03-01 13:00:00,35.4,22,14.5,5,0.0
2025-03-01 14:00:00,35.8,20,14.5,11,0.0
2025-03-01 15:00:00,35.7,20,16.0,13,0.0
2025-03-01 16:00:00,35.4,20,15.5,16,0.0
2025-03-01 17:00:00,34.8,20,14.4,56,0.0
2025-03-01 18:00:00,33.3,23,14.1,17,0.0
2025-03-01 19:00:00,32.0,25,14.6,2,0.0
2025-03-01 20:00:00,30.5,29,19.8,3,0.0
2025-03-01 21:00:00,29.4,32,17.9,2,0.0
2025-03-01 22:00:00,28.4,34,15.7,0,0.0
2025-03-01 23:00:00,27.3,36,20.6,0,0.0
2025-03-02 00:00:00,26.5,36,12.7,0,0.0
2025-03-02 01:00:00,25.5,37,7.9,0,0.0
2025-03-02 02:00:00,25.0,39,5.2,0,0.0
2025-03-02 03:00:00,25.0,38,9.2,0,0.0
2025-03-02 04:00:00,23.8,43,6.9,0,0.0
2025-03-02 05:00:00,23.2,44,4.5,0,0.0
2025-03-02 06:00:00,23.6,46,8.6,0,0.0
2025-03-02 07:00:00,23.9,45,10.3,0,0.0
2025-03-02 08:00:00,26.0,41,7.5,63,0.0
2025-03-02 09:00:00,29.0,35,1.8,96,0.0
2025-03-02 10:00:00,31.5,30,1.4,100,0.0
2025-03-02 11:00:00,33.7,25,3.8,100,0.0
2025-03-02 12:00:00,35.0,22,5.2,100,0.0
2025-03-02 13:00:00,35.9,21,5.8,100,0.0
2025-03-02 14:00:00,36.8,18,10.6,100,0.0
2025-03-02 15:00:00,36.0,19,22.2,100,0.0
2025-03-02 16:00:00,35.5,18,23.9,99,0.0
2025-03-02 17:00:00,35.2,18,18.2,96,0.0
2025-03-02 18:00:00,33.3,21,9.0,46,0.0
2025-03-02 19:00:00,32.4,23,11.3,22,0.0
2025-03-02 20:00:00,31.5,26,15.4,52,0.0
2025-03-02 21:00:00,30.7,27,14.6,100,0.0
2025-03-02 22:00:00,29.1,30,26.8,0,0.0
2025-03-02 23:00:00,28.6,29,28.4,6,0.0
2025-03-03 00:00:00,27.3,30,22.1,0,0.0
2025-03-03 01:00:00,26.1,32,18.9,77,0.0
2025-03-03 02:00:00,25.5,32,16.9,63,0.0
2025-03-03 03:00:00,24.6,33,12.1,40,0.0
2025-03-03 04:00:00,23.6,36,9.0,27,0.0
2025-03-03 05:00:00,23.4,36,9.8,30,0.0
2025-03-03 06:00:00,22.6,41,9.8,40,0.0
2025-03-03 07:00:00,23.1,41,10.3,7,0.0
2025-03-03 08:00:00,25.7,35,8.0,10,0.0
2025-03-03 09:00:00,28.9,30,7.4,27,0.0
2025-03-03 10:00:00,31.5,25,8.1,47,0.0
2025-03-03 11:00:00,33.5,20,6.0,87,0.0
2025-03-03 12:00:00,34.7,18,7.7,92,0.0
2025-03-03 13:00:00,35.6,15,10.7,96,0.0
2025-03-03 14:00:00,35.8,14,14.1,87,0.0
2025-03-03 15:00:00,35.6,14,15.2,60,0.0
