time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,17.4,87,19.0,77,0.0
2025-03-01 01:00:00,16.8,87,18.0,19,0.0
2025-03-01 02:00:00,16.2,89,19.1,32,0.0
2025-03-01 03:00:00,15.9,90,17.1,53,0.0
2025-03-01 04:00:00,15.7,90,19.4,66,0.0
2025-03-01 05:00:00,15.5,89,21.8,100,0.2
2025-03-01 06:00:00,16.8,93,27.4,49,6.3
2025-03-01 07:00:00,16.6,91,28.6,82,0.3
2025-03-01 08:00:00,17.4,90,20.9,94,0.0
2025-03-01 09:00:00,18.5,83,13.2,100,0.0
2025-03-01 10:00:00,19.5,79,13.0,99,0.0
2025-03-01 11:00:00,21.1,75,5.7,51,0.0
2025-03-01 12:00:00,22.6,71,4.7,78,0.0
2025-03-01 13:00:00,23.6,67,6.0,58,0.0
2025-03-01 14:00:00,24.0,65,4.9,97,0.0
2025-03-01 15:00:00,24.0,66,3.7,54,0.1
2025-03-01 16:00:00,23.2,67,3.6,58,0.8
2025-03-01 17:00:00,22.6,70,5.2,9,0.0
2025-03-01 18:00:00,21.9,77,11.3,18,0.0
2025-03-01 19:00:00,21.0,81,14.2,13,0.0
2025-03-01 20:00:00,20.2,83,15.0,33,0.0
2025-03-01 21:00:00,20.0,84,18.9,4,0.0
2025-03-01 22:00:00,19.1,85,20.8,0,0.0
2025-03-01 23:00:00,18.4,86,19.6,0,0.0
2025-03-02 00:00:00,17.7,88,16.9,0,0.0
2025-03-02 01:00:00,17.1,89,16.2,0,0.0
2025-03-02 02:00:00,16.8,89,16.9,0,0.0
2025-03-02 03:00:00,16.5,88,18.6,0,0.0
2025-03-02 04:00:00,16.0,88,18.1,0,0.0
2025-03-02 05:00:00,15.4,89,16.6,0,0.0
2025-03-02 06:00:00,16.0,88,17.2,0,0.0
2025-03-02 07:00:00,16.0,87,15.7,0,0.0
2025-03-02 08:00:00,17.5,82,11.6,0,0.0
2025-03-02 09:00:00,19.2,74,9.6,0,0.0
2025-03-02 10:00:00,21.3,63,9.4,0,0.0
2025-03-02 11:00:00,23.2,44,12.9,0,0.0
2025-03-02 12:00:00,24.2,37,16.6,0,0.0
2025-03-02 13:00:00,24.5,35,18.6,0,0.0
2025-03-02 14:00:00,24.5,35,19.6,0,0.0
2025-03-02 15:00:00,24.0,37,19.1,0,0.0
2025-03-02 16:00:00,23.1,41,17.3,0,0.0
2025-03-02 17:00:00,21.9,48,16.4,0,0.0
2025-03-02 18:00:00,19.5,59,17.1,0,0.0
2025-03-02 19:00:00,18.3,65,17.0,0,0.0
2025-03-02 20:00:00,17.1,71,16.0,0,0.0
2025-03-02 21:00:00,16.4,73,15.7,0,0.0
2025-03-02 22:00:00,15.9,71,16.3,0,0.0
2025-03-02 23:00:00,15.4,69,17.3,0,0.0
2025-03-03 00:00:00,14.9,69,17.4,0,0.0
2025-03-03 01:00:00,14.3,70,16.7,0,0.0
2025-03-03 02:00:00,13.6,73,18.0,0,0.0
2025-03-03 03:00:00,13.3,73,20.2,0,0.0
2025-03-03 04:00:00,13.0,74,16.6,0,0.0
2025-03-03 05:00:00,12.8,75,15.0,0,0.0
2025-03-03 06:00:00,13.1,77,16.1,0,0.0
2025-03-03 07:00:00,13.8,78,13.6,0,0.0
2025-03-03 08:00:00,16.4,69,8.7,0,0.0
2025-03-03 09:00:00,19.4,60,2.3,0,0.0
2025-03-03 10:00:00,22.1,44,2.7,0,0.0
2025-03-03 11:00:00,24.2,34,3.7,0,0.0
2025-03-03 12:00:00,25.7,31,4.9,0,0.0
2025-03-03 13:00:00,26.5,34,7.7,2,0.0
2025-03-03 14:00:00,26.9,37,10.1,29,0.0
2025-03-03 15:00:00,26.2,40,11.1,19,0.0
2025-03-03 16:00:00,25.6,45,11.1,11,0.0
2025-03-03 17:00:00,24.3,54,12.7,14,0.0
2025-03-03 18:00:00,23.1,57,19.1,11,0.0
2025-03-03 19:00:00,22.2,60,20.2,8,0.0
2025-03-03 20:00:00,21.5,64,19.5,52,0.0
2025-03-03 21:00:00,21.2,63,21.3,40,0.0
2025-03-03 22:00:00,20.4,67,18.2,17,0.0
2025-03-03 23:00:00,19.6,69,17.0,9,0.0
2025-03-04 00:00:00,19.0,71,17.8,0,0.0
2025-03-04 01:00:00,18.5,72,18.8,1,0.0
2025-03-04 02:00:00,18.3,72,19.4,1,0.0
2025-03-04 03:00:00,17.0,78,9.9,1,0.0
2025-03-04 04:00:00,15.9,83,8.9,0,0.0
2025-03-04 05:00:00,15.6,83,15.3,0,0.0
2025-03-04 06:00:00,16.5,82,19.3,0,0.0
2025-03-04 07:00:00,16.9,80,22.5,0,0.0
2025-03-04 08:00:00,18.2,76,20.6,0,0.0
2025-03-04 09:00:00,19.8,67,16.9,0,0.0
2025-03-04 10:00:00,21.5,57,16.5,0,0.0
2025-03-04 11:00:00,22.9,53,15.5,0,0.0
2025-03-04 12:00:00,24.0,47,16.4,50,0.0
2025-03-04 13:00:00,24.4,42,17.9,41,0.0
2025-03-04 14:00:00,24.4,40,20.3,50,0.0
2025-03-04 15:00:00,24.4,41,21.5,22,0.0
2025-03-04 16:00:00,23.8,41,22.8,18,0.0
2025-03-04 17:00:00,22.5,45,27.6,19,0.0
2025-03-04 18:00:00,21.0,51,27.8,1,0.0
2025-03-04 19:00:00,20.1,52,26.1,0,0.0
2025-03-04 20:00:00,19.1,50,27.7,0,0.0
2025-03-04 21:00:00,18.0,51,26.5,0,0.0
2025-03-04 22:00:00,17.2,53,26.6,0,0.0
2025-03-04 23:00:00,16.5,55,26.5,0,0.0
2025-03-05 00:00:00,15.8,57,27.5,0,0.0
