time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,20.6,82,4.7,100,0.0
2025-03-01 01:00:00,20.4,83,7.3,95,0.0
2025-03-01 02:00:00,20.2,84,11.2,61,0.0
2025-03-01 03:00:00,20.1,82,11.9,70,0.0
2025-03-01 04:00:00,19.9,83,11.0,60,0.0
2025-03-01 05:00:00,19.5,83,25.6,54,0.0
2025-03-01 06:00:00,18.9,95,9.3,38,0.0
2025-03-01 07:00:00,20.0,89,9.6,99,0.0
2025-03-01 08:00:00,21.9,79,9.3,45,0.0
2025-03-01 09:00:00,25.6,56,5.2,47,0.0
2025-03-01 10:00:00,28.7,41,4.0,33,0.0
2025-03-01 11:00:00,29.7,38,23.2,85,0.0
2025-03-01 12:00:00,28.5,43,7.2,51,0.0
2025-03-01 13:00:00,30.4,38,17.4,88,0.0
2025-03-01 14:00:00,26.8,47,11.2,43,0.0
2025-03-01 15:00:00,27.5,41,12.1,44,0.0
2025-03-01 16:00:00,26.9,41,5.9,51,0.0
2025-03-01 17:00:00,26.2,45,7.1,77,0.0
2025-03-01 18:00:00,26.5,54,24.9,73,0.0
2025-03-01 19:00:00,24.5,53,21.1,2,0.0
2025-03-01 20:00:00,23.5,54,19.1,2,0.0
2025-03-01 21:00:00,22.6,58,18.0,1,0.0
2025-03-01 22:00:00,21.9,62,17.7,1,0.0
2025-03-01 23:00:00,21.3,65,20.6,4,0.0
2025-03-02 00:00:00,20.7,67,20.9,0,0.0
2025-03-02 01:00:00,20.1,69,21.1,0,0.0
2025-03-02 02:00:00,19.3,72,18.6,0,0.0
2025-03-02 03:00:00,18.9,75,15.5,0,0.0
2025-03-02 04:00:00,18.2,78,15.3,0,0.0
2025-03-02 05:00:00,17.6,81,16.4,0,0.0
2025-03-02 06:00:00,18.4,88,20.0,0,0.0
2025-03-02 07:00:00,19.6,81,20.5,0,0.0
2025-03-02 08:00:00,22.0,71,17.7,0,0.0
2025-03-02 09:00:00,24.5,61,17.2,0,0.0
2025-03-02 10:00:00,26.8,53,19.5,0,0.0
2025-03-02 11:00:00,28.3,46,22.4,0,0.0
2025-03-02 12:00:00,29.5,39,24.5,0,0.0
2025-03-02 13:00:00,30.1,36,26.7,0,0.0
2025-03-02 14:00:00,30.5,32,28.5,0,0.0
2025-03-02 15:00:00,30.2,30,28.2,0,0.0
2025-03-02 16:00:00,29.4,34,27.1,0,0.0
2025-03-02 17:00:00,27.5,42,26.5,0,0.0
2025-03-02 18:00:00,26.4,45,28.3,0,0.0
2025-03-02 19:00:00,25.6,47,26.1,0,0.0
2025-03-02 20:00:00,24.6,51,25.4,0,0.0
2025-03-02 21:00:00,24.7,47,31.7,0,0.0
2025-03-02 22:00:00,24.4,43,29.1,0,0.0
