time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,25.0,43,7.6,100,0.0
2025-03-01 01:00:00,24.1,47,7.2,100,0.0
2025-03-01 02:00:00,23.4,50,6.4,87,0.0
2025-03-01 03:00:00,23.0,52,3.4,31,0.0
2025-03-01 04:00:00,22.6,53,4.9,33,0.0
2025-03-01 05:00:00,22.4,60,4.9,9,0.0
2025-03-01 06:00:00,21.6,58,5.8,0,0.0
2025-03-01 07:00:00,21.8,54,9.1,0,0.0
2025-03-01 08:00:00,24.0,44,6.0,0,0.0
2025-03-01 09:00:00,27.5,35,2.7,0,0.0
2025-03-01 10:00:00,30.9,28,3.4,0,0.0
2025-03-01 11:00:00,33.0,23,4.3,0,0.0
2025-03-01 12:00:00,34.5,19,1.9,0,0.0
2025-03-01 13:00:00,35.5,18,0.4,1,0.0
2025-03-01 14:00:00,36.2,17,5.5,1,0.0
2025-03-01 15:00:00,36.6,14,11.7,96,0.0
2025-03-01 16:00:00,35.7,15,13.3,33,0.0
2025-03-01 17:00:00,34.7,15,12.4,21,0.0
2025-03-01 18:00:00,32.8,16,8.0,67,0.0
2025-03-01 19:00:00,30.0,30,21.8,32,0.0
2025-03-01 20:00:00,28.6,35,14.1,53,0.0
2025-03-01 21:00:00,27.6,37,16.2,80,0.0
2025-03-01 22:00:00,26.6,39,12.2,93,0.0
2025-03-01 23:00:00,26.0,41,6.7,95,0.0
2025-03-02 00:00:00,25.1,44,7.1,97,0.0
2025-03-02 01:00:00,24.2,47,3.0,86,0.0
2025-03-02 02:00:00,23.7,49,1.8,99,0.0
2025-03-02 03:00:00,23.1,52,0.5,99,0.0
2025-03-02 04:00:00,22.7,54,0.4,98,0.0
2025-03-02 05:00:00,22.1,55,0.2,47,0.0
2025-03-02 06:00:00,21.6,60,1.5,81,0.0
2025-03-02 07:00:00,21.9,61,1.2,85,0.0
2025-03-02 08:00:00,24.2,49,5.1,81,0.0
2025-03-02 09:00:00,27.5,39,5.5,98,0.0
2025-03-02 10:00:00,30.2,29,9.6,90,0.0
2025-03-02 11:00:00,32.0,26,11.2,93,0.0
2025-03-02 12:00:00,33.5,23,7.2,99,0.0
2025-03-02 13:00:00,34.7,21,2.3,97,0.0
2025-03-02 14:00:00,35.0,20,3.5,64,0.0
2025-03-02 15:00:00,34.8,19,8.2,34,0.0
2025-03-02 16:00:00,34.6,18,6.5,76,0.0
2025-03-02 17:00:00,34.5,17,10.7,96,0.0
2025-03-02 18:00:00,33.2,18,12.2,73,0.0
2025-03-02 19:00:00,31.3,19,22.2,90,0.0
2025-03-02 20:00:00,29.6,22,15.9,94,0.0
2025-03-02 21:00:00,28.1,29,19.4,92,0.0
2025-03-02 22:00:00,27.0,32,17.7,67,0.0
2025-03-02 23:00:00,26.4,33,12.3,93,0.0
2025-03-03 00:00:00,25.3,35,6.1,97,0.0
2025-03-03 01:00:00,24.7,36,6.9,100,0.0
2025-03-03 02:00:00,24.0,37,8.7,100,0.0
2025-03-03 03:00:00,23.8,37,7.2,100,0.0
2025-03-03 04:00:00,23.4,37,5.7,100,0.0
2025-03-03 05:00:00,23.0,37,7.9,98,0.0
2025-03-03 06:00:00,21.8,52,0.9,97,0.0
2025-03-03 07:00:00,22.1,52,3.1,100,0.0
2025-03-03 08:00:00,24.7,41,3.6,58,0.0
2025-03-03 09:00:00,28.0,32,3.3,56,0.0
2025-03-03 10:00:00,31.0,23,4.6,55,0.0
2025-03-03 11:00:00,33.3,17,5.9,30,0.0
2025-03-03 12:00:00,34.8,16,4.9,43,0.0
2025-03-03 13:00:00,35.8,14,3.8,83,0.0
2025-03-03 14:00:00,36.2,13,3.6,85,0.0
2025-03-03 15:00:00,36.5,13,0.7,100,0.0
2025-03-03 16:00:00,36.3,12,9.9,98,0.0
2025-03-03 17:00:00,34.9,14,24.1,71,0.0
2025-03-03 18:00:00,33.4,16,26.3,92,0.0
2025-03-03 19:00:00,31.9,17,29.7,12,0.0
2025-03-03 20:00:00,30.6,18,26.3,0,0.0
2025-03-03 21:00:00,29.4,20,18.2,8,0.0
2025-03-03 22:00:00,28.0,22,13.7,0,0.0
2025-03-03 23:00:00,26.8,24,14.3,0,0.0
2025-03-04 00:00:00,26.2,26,14.5,0,0.0
2025-03-04 01:00:00,25.5,30,10.5,0,0.0
2025-03-04 02:00:00,24.7,33,6.0,1,0.0
2025-03-04 03:00:00,24.0,33,6.5,0,0.0
2025-03-04 04:00:00,23.5,35,7.3,0,0.0
2025-03-04 05:00:00,23.0,38,6.9,0,0.0
2025-03-04 06:00:00,21.8,42,6.2,5,0.0
2025-03-04 07:00:00,21.8,45,6.0,1,0.0
2025-03-04 08:00:00,24.1,37,3.4,4,0.0
2025-03-04 09:00:00,26.9,32,3.4,31,0.0
2025-03-04 10:00:00,29.7,26,7.4,32,0.0
2025-03-04 11:00:00,32.0,23,9.7,90,0.0
2025-03-04 12:00:00,34.0,18,8.6,83,0.0
2025-03-04 13:00:00,35.1,16,6.9,82,0.0
2025-03-04 14:00:00,35.8,14,6.9,72,0.0
2025-03-04 15:00:00,36.2,14,7.2,59,0.0
2025-03-04 16:00:00,36.0,14,8.9,82,0.0
2025-03-04 17:00:00,35.2,14,14.1,93,0.0
2025-03-04 18:00:00,33.8,15,7.7,71,0.0
2025-03-04 19:00:00,31.5,18,11.0,3,0.0
2025-03-04 20:00:00,30.5,17,17.0,5,0.0
2025-03-04 21:00:00,28.8,23,8.9,40,0.0
2025-03-04 22:00:00,27.8,23,8.4,96,0.0
2025-03-04 23:00:00,27.0,24,19.9,49,0.0
2025-03-05 00:00:00,25.8,32,16.9,17,0.0
2025-03-05 01:00:00,24.4,37,9.2,11,0.0
2025-03-05 02:00:00,23.5,39,10.0,68,0.0
2025-03-05 03:00:00,23.0,40,10.4,0,0.0
2025-03-05 04:00:00,22.4,42,10.1,33,0.0
2025-03-05 05:00:00,21.9,44,10.9,47,0.0
2025-03-05 06:00:00,20.8,50,10.4,9,0.0
2025-03-05 07:00:00,21.4,48,8.7,0,0.0
2025-03-05 08:00:00,23.5,40,7.1,0,0.0
2025-03-05 09:00:00,25.6,33,8.5,0,0.0
2025-03-05 10:00:00,28.1,28,10.2,0,0.0
2025-03-05 11:00:00,30.6,23,13.3,0,0.0
2025-03-05 12:00:00,32.5,20,12.4,0,0.0
2025-03-05 13:00:00,33.8,18,9.1,0,0.0
2025-03-05 14:00:00,34.5,15,5.9,0,0.0
2025-03-05 15:00:00,34.8,13,4.2,0,0.0
2025-03-05 16:00:00,34.6,13,3.6,0,0.0
2025-03-05 17:00:00,34.2,13,6.7,0,0.0
2025-03-05 18:00:00,33.0,12,10.7,0,0.0
2025-03-05 19:00:00,31.0,14,10.0,0,0.0
2025-03-05 20:00:00,29.5,20,22.1,0,0.0
2025-03-05 21:00:00,27.5,22,11.1,0,0.0
2025-03-05 22:00:00,26.4,25,3.8,0,0.0
2025-03-05 23:00:00,25.5,25,8.3,0,0.0
2025-03-06 00:00:00,24.6,22,10.2,0,0.0
2025-03-06 01:00:00,23.3,23,10.1,0,0.0
2025-03-06 02:00:00,22.2,25,9.8,0,0.0
2025-03-06 03:00:00,21.3,28,9.1,0,0.0
2025-03-06 04:00:00,20.6,29,8.9,0,0.0
2025-03-06 05:00:00,20.1,30,8.7,0,0.0
2025-03-06 06:00:00,18.5,40,6.0,0,0.0
2025-03-06 07:00:00,19.0,40,5.2,0,0.0
2025-03-06 08:00:00,21.6,30,5.2,0,0.0
2025-03-06 09:00:00,24.5,23,6.2,0,0.0
2025-03-06 10:00:00,27.5,17,8.2,0,0.0
2025-03-06 11:00:00,30.0,14,9.4,0,0.0
2025-03-06 12:00:00,32.2,13,7.5,0,0.0
2025-03-06 13:00:00,33.9,9,5.5,0,0.0
2025-03-06 14:00:00,34.8,7,8.5,0,0.0
2025-03-06 15:00:00,35.0,6,7.9,0,0.0
2025-03-06 16:00:00,35.0,8,6.8,0,0.0
2025-03-06 17:00:00,34.2,8,6.9,0,0.0
2025-03-06 18:00:00,32.5,9,4.8,0,0.0
2025-03-06 19:00:00,30.6,18,3.5,0,0.0
2025-03-06 20:00:00,28.8,13,14.9,0,0.0
2025-03-06 21:00:00,26.9,17,11.7,0,0.0
2025-03-06 22:00:00,25.5,22,6.1,0,0.0
2025-03-06 23:00:00,24.5,25,6.6,0,0.0
2025-03-07 00:00:00,23.8,25,7.0,0,0.0
2025-03-07 01:00:00,23.0,26,9.0,0,0.0
2025-03-07 02:00:00,22.0,25,10.1,0,0.0
2025-03-07 03:00:00,21.4,24,7.1,0,0.0
2025-03-07 04:00:00,20.8,25,4.8,0,0.0
2025-03-07 05:00:00,20.4,31,5.3,0,0.0
2025-03-07 06:00:00,19.1,38,5.0,0,0.0
2025-03-07 07:00:00,19.4,42,5.2,0,0.0
2025-03-07 08:00:00,22.0,26,5.5,0,0.0
2025-03-07 09:00:00,25.5,18,5.7,0,0.0
2025-03-07 10:00:00,28.6,14,9.1,0,0.0
2025-03-07 11:00:00,31.2,11,11.3,0,0.0
2025-03-07 12:00:00,32.8,10,10.1,0,0.0
2025-03-07 13:00:00,33.8,10,8.3,0,0.0
2025-03-07 14:00:00,34.5,10,7.9,0,0.0
2025-03-07 15:00:00,34.9,10,7.8,0,0.0
2025-03-07 16:00:00,34.7,10,8.1,0,0.0
2025-03-07 17:00:00,34.3,10,9.7,0,0.0
2025-03-07 18:00:00,32.7,11,6.8,0,0.0
2025-03-07 19:00:00,30.5,13,4.9,0,0.0
2025-03-07 20:00:00,29.2,14,4.9,0,0.0
2025-03-07 21:00:00,27.2,19,16.0,0,0.0
2025-03-07 22:00:00,25.7,25,8.7,0,0.0
2025-03-07 23:00:00,25.1,27,6.1,0,0.0
2025-03-08 00:00:00,24.1,30,4.0,0,0.0
2025-03-08 01:00:00,23.1,33,4.8,0,0.0
2025-03-08 02:00:00,21.8,38,4.1,0,0.0
2025-03-08 03:00:00,21.0,40,6.2,0,0.0
2025-03-08 04:00:00,20.5,42,5.9,0,0.0
2025-03-08 05:00:00,20.0,44,6.3,0,0.0
2025-03-08 06:00:00,18.8,47,6.3,0,0.0
2025-03-08 07:00:00,19.8,44,4.4,0,0.0
2025-03-08 08:00:00,23.0,35,3.1,0,0.0
2025-03-08 09:00:00,27.2,26,2.8,0,0.0
2025-03-08 10:00:00,30.6,19,4.0,0,0.0
2025-03-08 11:00:00,33.2,14,2.5,0,0.0
2025-03-08 12:00:00,34.8,11,3.1,0,0.0
2025-03-08 13:00:00,35.8,10,5.4,0,0.0
2025-03-08 14:00:00,36.5,9,7.3,0,0.0
2025-03-08 15:00:00,36.7,9,10.0,0,0.0
2025-03-08 16:00:00,36.5,9,13.5,0,0.0
2025-03-08 17:00:00,35.3,9,20.2,0,0.0
2025-03-08 18:00:00,33.2,11,25.3,0,0.0
2025-03-08 19:00:00,30.3,21,26.6,0,0.0
2025-03-08 20:00:00,28.5,26,21.4,0,0.0
2025-03-08 21:00:00,27.3,28,15.8,0,0.0
2025-03-08 22:00:00,26.4,30,13.3,0,0.0
2025-03-08 23:00:00,25.4,33,9.2,0,0.0
2025-03-09 00:00:00,24.8,33,6.5,0,0.0
2025-03-09 01:00:00,23.8,37,6.1,0,0.0
2025-03-09 02:00:00,23.2,38,7.4,0,0.0
2025-03-09 03:00:00,22.7,39,6.5,0,0.0
2025-03-09 04:00:00,22.0,40,3.5,0,0.0
2025-03-09 05:00:00,21.4,41,5.6,13,0.0
2025-03-09 06:00:00,21.0,47,4.9,0,0.0
2025-03-09 07:00:00,21.8,44,5.3,0,0.0
2025-03-09 08:00:00,25.0,33,7.2,0,0.0
2025-03-09 09:00:00,28.2,24,7.5,0,0.0
2025-03-09 10:00:00,30.9,19,12.4,0,0.0
2025-03-09 11:00:00,33.0,16,15.1,0,0.0
2025-03-09 12:00:00,34.3,14,12.3,0,0.0
2025-03-09 13:00:00,35.3,12,9.3,0,0.0
2025-03-09 14:00:00,35.8,11,7.9,0,0.0
2025-03-09 15:00:00,35.8,11,7.5,0,0.0
2025-03-09 16:00:00,35.5,12,7.6,0,0.0
2025-03-09 17:00:00,35.0,13,9.6,0,0.0
2025-03-09 18:00:00,33.2,15,9.2,0,0.0
2025-03-09 19:00:00,31.3,18,9.4,0,0.0
2025-03-09 20:00:00,30.5,18,18.8,0,0.0
2025-03-09 21:00:00,28.6,27,20.1,0,0.0
2025-03-09 22:00:00,27.4,31,13.6,0,0.0
2025-03-09 23:00:00,26.5,32,6.0,0,0.0
2025-03-10 00:00:00,25.5,34,5.5,0,0.0
2025-03-10 01:00:00,24.6,37,4.1,0,0.0
2025-03-10 02:00:00,24.1,40,6.2,0,0.0
2025-03-10 03:00:00,23.8,44,6.9,0,0.0
2025-03-10 04:00:00,23.0,38,10.9,0,0.0
2025-03-10 05:00:00,22.3,38,13.3,0,0.0
2025-03-10 06:00:00,21.2,44,12.6,0,0.0
2025-03-10 07:00:00,21.6,45,7.8,0,0.0
2025-03-10 08:00:00,24.2,37,6.9,0,0.0
2025-03-10 09:00:00,28.0,28,7.1,0,0.0
2025-03-10 10:00:00,31.8,27,12.7,0,0.0
2025-03-10 11:00:00,34.0,23,15.5,0,0.0
2025-03-10 12:00:00,35.2,20,13.5,0,0.0
2025-03-10 13:00:00,36.0,18,14.8,0,0.0
2025-03-10 14:00:00,36.4,18,18.7,0,0.0
2025-03-10 15:00:00,36.1,17,20.0,0,0.0
2025-03-10 16:00:00,35.5,17,19.8,0,0.0
