time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.2,37,21.8,9,0.0
2025-03-01 01:00:00,23.1,39,17.2,7,0.0
2025-03-01 02:00:00,22.4,42,19.6,1,0.0
2025-03-01 03:00:00,21.9,42,17.8,0,0.0
2025-03-01 04:00:00,21.6,43,21.6,0,0.0
2025-03-01 05:00:00,21.4,42,18.4,0,0.0
2025-03-01 06:00:00,21.2,49,15.5,0,0.0
2025-03-01 07:00:00,22.6,45,10.7,0,0.0
2025-03-01 08:00:00,25.3,40,9.6,0,0.0
2025-03-01 09:00:00,28.5,34,11.3,0,0.0
2025-03-01 10:00:00,31.4,29,13.8,0,0.0
2025-03-01 11:00:00,33.7,26,15.6,0,0.0
2025-03-01 12:00:00,35.2,22,15.6,0,0.0
2025-03-01 13:00:00,35.9,19,14.5,0,0.0
2025-03-01 14:00:00,36.2,18,14.0,25,0.0
2025-03-01 15:00:00,36.0,18,14.3,57,0.0
2025-03-01 16:00:00,35.2,19,15.7,5,0.0
2025-03-01 17:00:00,34.0,20,14.0,1,0.0
2025-03-01 18:00:00,32.2,23,12.5,2,0.0
2025-03-01 19:00:00,30.9,26,12.6,0,0.0
2025-03-01 20:00:00,30.0,29,8.8,0,0.0
2025-03-01 21:00:00,29.8,28,20.0,0,0.0
2025-03-01 22:00:00,28.8,30,20.5,0,0.0
2025-03-01 23:00:00,28.7,30,20.4,0,0.0
2025-03-02 00:00:00,27.8,32,19.3,0,0.0
2025-03-02 01:00:00,26.8,33,17.4,0,0.0
2025-03-02 02:00:00,26.2,34,15.1,0,0.0
2025-03-02 03:00:00,23.7,40,14.3,0,0.0
2025-03-02 04:00:00,22.8,44,5.0,0,0.0
2025-03-02 05:00:00,21.5,49,3.6,0,0.0
2025-03-02 06:00:00,22.4,51,1.4,0,0.0
2025-03-02 07:00:00,23.6,48,4.8,0,0.0
2025-03-02 08:00:00,27.1,39,5.8,0,0.0
2025-03-02 09:00:00,30.2,32,4.6,14,0.0
2025-03-02 10:00:00,32.7,27,6.7,82,0.0
2025-03-02 11:00:00,34.2,24,11.2,100,0.0
2025-03-02 12:00:00,35.3,22,14.7,100,0.0
2025-03-02 13:00:00,36.0,21,17.0,100,0.0
2025-03-02 14:00:00,36.3,20,17.1,97,0.0
2025-03-02 15:00:00,35.7,20,18.6,99,0.0
2025-03-02 16:00:00,35.2,20,21.1,99,0.0
2025-03-02 17:00:00,34.7,20,21.9,97,0.0
2025-03-02 18:00:00,33.2,22,23.4,74,0.0
2025-03-02 19:00:00,32.1,26,24.2,29,0.0
2025-03-02 20:00:00,30.4,28,22.8,2,0.0
2025-03-02 21:00:00,29.8,28,24.8,4,0.0
2025-03-02 22:00:00,29.2,28,21.5,4,0.0
2025-03-02 23:00:00,29.0,29,22.0,2,0.0
2025-03-03 00:00:00,28.5,30,21.4,1,0.0
2025-03-03 01:00:00,26.4,36,28.1,8,0.0
2025-03-03 02:00:00,25.9,35,25.2,17,0.0
2025-03-03 03:00:00,25.1,36,20.3,4,0.0
2025-03-03 04:00:00,24.0,39,14.5,21,0.0
2025-03-03 05:00:00,23.5,40,4.8,14,0.0
2025-03-03 06:00:00,23.9,40,14.6,51,0.0
2025-03-03 07:00:00,24.5,39,4.7,16,0.0
2025-03-03 08:00:00,27.0,34,4.6,6,0.0
2025-03-03 09:00:00,29.5,33,7.7,24,0.0
2025-03-03 10:00:00,31.7,30,9.7,32,0.0
2025-03-03 11:00:00,33.2,26,8.7,41,0.0
2025-03-03 12:00:00,34.4,23,5.8,79,0.0
2025-03-03 13:00:00,35.4,20,8.3,94,0.0
2025-03-03 14:00:00,35.5,18,17.6,98,0.0
2025-03-03 15:00:00,34.5,21,16.0,97,0.0
2025-03-03 16:00:00,35.0,20,4.5,71,0.0
2025-03-03 17:00:00,34.2,20,10.8,15,0.0
2025-03-03 18:00:00,31.6,26,13.5,44,0.0
2025-03-03 19:00:00,29.9,32,9.2,88,0.0
2025-03-03 20:00:00,28.5,36,11.5,70,0.0
2025-03-03 21:00:00,27.1,45,3.0,5,0.0
2025-03-03 22:00:00,26.4,40,10.4,0,0.0
2025-03-03 23:00:00,25.9,40,21.1,0,0.0
2025-03-04 00:00:00,25.1,38,19.3,0,0.0
2025-03-04 01:00:00,24.5,37,17.8,0,0.0
2025-03-04 02:00:00,24.0,37,18.4,0,0.0
2025-03-04 03:00:00,23.2,38,19.3,3,0.0
2025-03-04 04:00:00,22.5,39,16.4,2,0.0
2025-03-04 05:00:00,21.6,42,14.5,23,0.0
2025-03-04 06:00:00,21.5,46,13.8,0,0.0
2025-03-04 07:00:00,22.6,45,12.6,0,0.0
2025-03-04 08:00:00,25.5,38,5.7,0,0.0
2025-03-04 09:00:00,28.6,32,4.7,18,0.0
2025-03-04 10:00:00,31.5,27,4.5,1,0.0
2025-03-04 11:00:00,33.6,23,2.6,8,0.0
2025-03-04 12:00:00,35.0,19,0.9,88,0.0
2025-03-04 13:00:00,35.9,17,6.3,66,0.0
2025-03-04 14:00:00,36.4,17,13.4,80,0.0
2025-03-04 15:00:00,35.8,18,17.4,62,0.0
2025-03-04 16:00:00,35.2,18,13.0,73,0.0
2025-03-04 17:00:00,34.2,20,17.4,57,0.0
2025-03-04 18:00:00,32.2,24,17.3,40,0.0
2025-03-04 19:00:00,30.9,27,18.4,19,0.0
2025-03-04 20:00:00,30.1,27,17.7,36,0.0
2025-03-04 21:00:00,28.4,30,14.8,2,0.0
2025-03-04 22:00:00,28.4,27,24.6,0,0.0
2025-03-04 23:00:00,27.3,28,20.7,0,0.0
2025-03-05 00:00:00,26.3,29,25.5,0,0.0
2025-03-05 01:00:00,25.3,32,24.3,0,0.0
2025-03-05 02:00:00,24.2,36,19.9,0,0.0
2025-03-05 03:00:00,23.2,40,17.2,0,0.0
2025-03-05 04:00:00,22.4,43,13.3,0,0.0
2025-03-05 05:00:00,21.9,45,16.0,0,0.0
2025-03-05 06:00:00,21.5,52,17.0,0,0.0
2025-03-05 07:00:00,22.4,49,18.3,0,0.0
2025-03-05 08:00:00,24.8,40,15.7,0,0.0
2025-03-05 09:00:00,26.4,30,17.9,0,0.0
2025-03-05 10:00:00,28.0,23,16.3,0,0.0
2025-03-05 11:00:00,30.0,15,12.6,0,0.0
2025-03-05 12:00:00,31.1,12,12.2,0,0.0
2025-03-05 13:00:00,31.4,13,11.8,0,0.0
2025-03-05 14:00:00,31.5,14,12.9,0,0.0
2025-03-05 15:00:00,31.4,15,15.7,0,0.0
2025-03-05 16:00:00,31.2,13,15.7,0,0.0
2025-03-05 17:00:00,31.0,11,13.9,0,0.0
2025-03-05 18:00:00,29.1,13,17.3,0,0.0
2025-03-05 19:00:00,27.9,14,28.9,0,0.0
2025-03-05 20:00:00,26.2,15,26.9,0,0.0
2025-03-05 21:00:00,24.8,17,28.0,0,0.0
2025-03-05 22:00:00,23.8,19,29.9,0,0.0
2025-03-05 23:00:00,23.1,18,31.1,0,0.0
2025-03-06 00:00:00,22.1,18,29.4,0,0.0
2025-03-06 01:00:00,21.4,18,29.4,0,0.0
2025-03-06 02:00:00,20.9,17,30.3,0,0.0
2025-03-06 03:00:00,20.1,18,28.6,0,0.0
2025-03-06 04:00:00,19.5,19,27.4,0,0.0
2025-03-06 05:00:00,18.8,21,24.8,0,0.0
2025-03-06 06:00:00,18.3,26,21.2,0,0.0
2025-03-06 07:00:00,19.5,26,17.1,0,0.0
2025-03-06 08:00:00,22.6,22,10.5,0,0.0
2025-03-06 09:00:00,25.2,16,13.0,0,0.0
2025-03-06 10:00:00,26.9,14,12.1,0,0.0
2025-03-06 11:00:00,28.5,13,9.8,0,0.0
2025-03-06 12:00:00,29.9,11,7.4,0,0.0
2025-03-06 13:00:00,31.0,10,5.5,0,0.0
2025-03-06 14:00:00,31.6,9,6.6,0,0.0
2025-03-06 15:00:00,31.6,10,8.6,0,0.0
2025-03-06 16:00:00,31.1,11,9.3,0,0.0
2025-03-06 17:00:00,30.0,13,9.3,0,0.0
2025-03-06 18:00:00,28.1,18,5.2,0,0.0
2025-03-06 19:00:00,26.2,20,9.5,0,0.0
2025-03-06 20:00:00,24.7,24,14.0,0,0.0
2025-03-06 21:00:00,23.7,26,10.3,0,0.0
2025-03-06 22:00:00,22.2,29,7.1,0,0.0
2025-03-06 23:00:00,21.6,30,7.6,0,0.0
2025-03-07 00:00:00,21.2,31,15.7,0,0.0
2025-03-07 01:00:00,20.3,33,14.3,0,0.0
2025-03-07 02:00:00,19.4,34,15.8,0,0.0
2025-03-07 03:00:00,19.0,31,16.8,0,0.0
2025-03-07 04:00:00,18.5,28,21.2,0,0.0
2025-03-07 05:00:00,18.0,28,21.4,0,0.0
2025-03-07 06:00:00,17.2,38,18.8,0,0.0
2025-03-07 07:00:00,18.5,40,15.9,0,0.0
2025-03-07 08:00:00,22.0,32,10.0,0,0.0
2025-03-07 09:00:00,25.4,23,7.1,0,0.0
2025-03-07 10:00:00,28.1,18,5.2,0,0.0
2025-03-07 11:00:00,30.2,14,3.0,0,0.0
2025-03-07 12:00:00,31.6,11,2.2,0,0.0
2025-03-07 13:00:00,32.6,10,4.2,0,0.0
2025-03-07 14:00:00,33.2,10,6.0,0,0.0
2025-03-07 15:00:00,33.2,11,7.8,0,0.0
2025-03-07 16:00:00,32.9,12,7.2,0,0.0
2025-03-07 17:00:00,31.8,13,5.5,0,0.0
2025-03-07 18:00:00,29.1,16,15.8,0,0.0
2025-03-07 19:00:00,27.6,20,17.2,0,0.0
2025-03-07 20:00:00,26.6,21,13.1,0,0.0
2025-03-07 21:00:00,25.3,23,12.1,0,0.0
2025-03-07 22:00:00,24.6,24,15.7,0,0.0
2025-03-07 23:00:00,23.4,26,18.4,0,0.0
2025-03-08 00:00:00,22.2,27,19.5,0,0.0
2025-03-08 01:00:00,21.2,30,14.2,0,0.0
2025-03-08 02:00:00,20.6,32,14.1,0,0.0
2025-03-08 03:00:00,19.6,36,15.0,0,0.0
2025-03-08 04:00:00,18.9,40,16.6,0,0.0
2025-03-08 05:00:00,17.9,43,12.6,0,0.0
2025-03-08 06:00:00,17.9,45,10.4,0,0.0
2025-03-08 07:00:00,19.7,41,5.8,0,0.0
2025-03-08 08:00:00,23.8,31,3.6,0,0.0
2025-03-08 09:00:00,27.9,23,1.0,0,0.0
2025-03-08 10:00:00,31.2,17,2.2,0,0.0
2025-03-08 11:00:00,33.1,13,2.6,0,0.0
2025-03-08 12:00:00,34.5,12,4.5,0,0.0
2025-03-08 13:00:00,35.3,11,9.2,0,0.0
2025-03-08 14:00:00,35.5,11,13.5,0,0.0
2025-03-08 15:00:00,35.0,13,14.8,0,0.0
2025-03-08 16:00:00,34.3,14,10.3,0,0.0
2025-03-08 17:00:00,33.6,14,11.1,0,0.0
2025-03-08 18:00:00,30.2,20,11.5,0,0.0
2025-03-08 19:00:00,28.5,26,19.2,0,0.0
2025-03-08 20:00:00,28.4,25,19.6,0,0.0
2025-03-08 21:00:00,28.0,23,20.2,0,0.0
2025-03-08 22:00:00,26.2,25,14.9,0,0.0
2025-03-08 23:00:00,24.6,28,12.7,0,0.0
2025-03-09 00:00:00,23.0,32,11.2,0,0.0
2025-03-09 01:00:00,22.5,37,8.3,0,0.0
2025-03-09 02:00:00,22.0,36,9.3,0,0.0
2025-03-09 03:00:00,21.5,37,18.9,0,0.0
2025-03-09 04:00:00,20.9,38,18.1,0,0.0
2025-03-09 05:00:00,20.0,40,14.5,0,0.0
2025-03-09 06:00:00,20.1,43,16.1,0,0.0
2025-03-09 07:00:00,22.0,38,22.7,0,0.0
2025-03-09 08:00:00,25.1,32,8.8,0,0.0
2025-03-09 09:00:00,28.5,27,4.5,0,0.0
2025-03-09 10:00:00,31.3,23,4.7,0,0.0
2025-03-09 11:00:00,33.3,19,4.7,0,0.0
2025-03-09 12:00:00,34.7,16,5.4,0,0.0
2025-03-09 13:00:00,35.4,15,5.4,0,0.0
2025-03-09 14:00:00,35.8,14,5.2,0,0.0
2025-03-09 15:00:00,35.8,14,5.8,0,0.0
2025-03-09 16:00:00,35.5,14,4.8,0,0.0
2025-03-09 17:00:00,33.9,16,6.8,0,0.0
2025-03-09 18:00:00,31.0,21,7.8,0,0.0
2025-03-09 19:00:00,30.2,23,9.7,0,0.0
2025-03-09 20:00:00,28.5,26,4.1,0,0.0
2025-03-09 21:00:00,27.5,28,13.7,0,0.0
2025-03-09 22:00:00,26.5,30,22.3,0,0.0
2025-03-09 23:00:00,25.7,33,17.7,0,0.0
2025-03-10 00:00:00,25.0,34,16.0,0,0.0
2025-03-10 01:00:00,23.8,36,17.4,0,0.0
2025-03-10 02:00:00,22.8,39,18.2,0,0.0
2025-03-10 03:00:00,22.4,40,22.3,0,0.0
2025-03-10 04:00:00,21.8,38,21.3,0,0.0
2025-03-10 05:00:00,21.2,38,20.7,0,0.0
2025-03-10 06:00:00,21.5,39,18.6,0,0.0
2025-03-10 07:00:00,22.5,37,13.6,0,0.0
2025-03-10 08:00:00,25.1,35,6.0,0,0.0
2025-03-10 09:00:00,28.0,35,3.6,0,0.0
2025-03-10 10:00:00,30.6,31,2.3,0,0.0
2025-03-10 11:00:00,33.0,27,1.3,0,0.0
2025-03-10 12:00:00,34.6,24,1.7,0,0.0
2025-03-10 13:00:00,35.7,20,3.0,0,0.0
2025-03-10 14:00:00,36.2,18,2.4,0,0.0
2025-03-10 15:00:00,36.0,18,3.0,0,0.0
2025-03-10 16:00:00,35.3,19,7.5,0,0.0
2025-03-10 17:00:00,34.1,21,7.7,0,0.0
2025-03-10 18:00:00,31.4,28,6.6,0,0.0
2025-03-10 19:00:00,30.1,32,15.4,0,0.0
2025-03-10 20:00:00,29.4,32,11.6,0,0.0
2025-03-10 21:00:00,28.1,34,5.0,0,0.0
2025-03-10 22:00:00,27.1,39,3.0,0,0.0
2025-03-10 23:00:00,26.3,38,11.4,0,0.0
2025-03-11 00:00:00,25.5,42,22.7,0,0.0
2025-03-11 01:00:00,25.5,35,28.3,0,0.0
2025-03-11 02:00:00,25.2,25,27.9,0,0.0
2025-03-11 03:00:00,24.4,24,24.5,0,0.0
2025-03-11 04:00:00,23.3,26,19.8,0,0.0
2025-03-11 05:00:00,22.2,28,18.9,0,0.0
2025-03-11 06:00:00,21.9,33,16.1,0,0.0
2025-03-11 07:00:00,23.1,32,14.7,0,0.0
2025-03-11 08:00:00,26.2,26,7.1,0,0.0
2025-03-11 09:00:00,29.2,23,6.5,0,0.0
2025-03-11 10:00:00,31.9,20,8.3,0,0.0
2025-03-11 11:00:00,33.8,17,6.8,0,0.0
2025-03-11 12:00:00,35.1,16,4.7,0,0.0
2025-03-11 13:00:00,36.2,14,6.4,0,0.0
2025-03-11 14:00:00,36.7,13,14.1,0,0.0
2025-03-11 15:00:00,35.7,14,19.8,0,0.0
2025-03-11 16:00:00,35.0,16,14.6,0,0.0
2025-03-11 17:00:00,34.2,17,4.5,0,0.0
2025-03-11 18:00:00,31.0,24,16.4,0,0.0
2025-03-11 19:00:00,29.7,26,6.6,0,0.0
2025-03-11 20:00:00,28.1,29,12.8,0,0.0
2025-03-11 21:00:00,27.2,32,17.1,0,0.0
2025-03-11 22:00:00,27.1,30,13.8,0,0.0
2025-03-11 23:00:00,26.4,32,12.3,0,0.0
2025-03-12 00:00:00,25.3,34,16.0,0,0.0
2025-03-12 01:00:00,24.8,34,16.2,0,0.0
2025-03-12 02:00:00,23.5,39,12.1,0,0.0
2025-03-12 03:00:00,22.4,43,5.8,0,0.0
2025-03-12 04:00:00,21.5,46,3.6,0,0.0
2025-03-12 05:00:00,20.9,48,6.3,0,0.0
2025-03-12 06:00:00,21.5,47,9.0,0,0.0
2025-03-12 07:00:00,23.5,41,11.3,0,0.0
2025-03-12 08:00:00,27.2,33,14.8,0,0.0
2025-03-12 09:00:00,30.5,27,13.0,0,0.0
2025-03-12 10:00:00,33.5,21,14.1,0,0.0
2025-03-12 11:00:00,35.4,18,15.6,0,0.0
2025-03-12 12:00:00,36.6,16,15.3,0,0.0
2025-03-12 13:00:00,37.4,14,14.3,0,0.0
2025-03-12 14:00:00,37.6,15,12.1,0,0.0
2025-03-12 15:00:00,37.5,15,10.4,0,0.0
2025-03-12 16:00:00,37.3,15,12.5,0,0.0
2025-03-12 17:00:00,35.8,17,23.5,0,0.0
2025-03-12 18:00:00,33.2,20,27.0,0,0.0
2025-03-12 19:00:00,32.5,21,27.6,0,0.0
2025-03-12 20:00:00,30.9,23,23.1,0,0.0
2025-03-12 21:00:00,29.2,26,21.2,0,0.0
2025-03-12 22:00:00,28.1,27,17.8,0,0.0
2025-03-12 23:00:00,27.0,30,15.3,0,0.0
2025-03-13 00:00:00,27.0,31,17.3,0,0.0
2025-03-13 01:00:00,26.3,31,17.7,0,0.0
2025-03-13 02:00:00,25.6,32,21.7,0,0.0
2025-03-13 03:00:00,25.8,31,21.4,0,0.0
