time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,19.5,59,18.3,0,0.0
2025-03-01 01:00:00,19.7,58,22.4,2,0.0
2025-03-01 02:00:00,19.7,55,24.6,0,0.0
2025-03-01 03:00:00,19.7,53,27.4,0,0.0
2025-03-01 04:00:00,19.3,56,29.3,7,0.0
2025-03-01 05:00:00,19.1,59,30.6,16,0.0
2025-03-01 06:00:00,19.1,60,31.1,32,0.0
2025-03-01 07:00:00,21.2,54,31.2,6,0.0
2025-03-01 08:00:00,24.5,46,27.9,30,0.0
2025-03-01 09:00:00,27.1,39,25.6,21,0.0
2025-03-01 10:00:00,29.1,33,29.1,4,0.0
2025-03-01 11:00:00,30.7,27,29.4,5,0.0
2025-03-01 12:00:00,31.4,24,27.4,6,0.0
2025-03-01 13:00:00,32.1,23,27.4,28,0.0
2025-03-01 14:00:00,31.8,23,29.5,39,0.0
2025-03-01 15:00:00,31.4,23,30.4,69,0.0
2025-03-01 16:00:00,30.6,24,23.0,100,0.0
2025-03-01 17:00:00,26.6,47,5.5,59,0.3
2025-03-01 18:00:00,25.5,37,18.7,40,0.0
2025-03-01 19:00:00,24.1,38,20.5,9,0.0
2025-03-01 20:00:00,22.8,42,19.1,30,0.0
2025-03-01 21:00:00,22.0,44,15.7,13,0.0
2025-03-01 22:00:00,21.2,46,19.4,11,0.0
2025-03-01 23:00:00,21.1,44,25.2,2,0.0
2025-03-02 00:00:00,20.7,48,22.8,0,0.0
2025-03-02 01:00:00,20.0,54,22.6,0,0.0
2025-03-02 02:00:00,19.4,61,22.8,0,0.0
2025-03-02 03:00:00,19.5,62,24.8,0,0.0
2025-03-02 04:00:00,19.6,61,26.0,1,0.0
2025-03-02 05:00:00,19.8,60,25.4,0,0.0
2025-03-02 06:00:00,20.2,63,25.7,0,0.0
2025-03-02 07:00:00,22.5,56,24.0,0,0.0
2025-03-02 08:00:00,25.6,45,19.2,0,0.0
2025-03-02 09:00:00,27.6,33,22.0,0,0.0
2025-03-02 10:00:00,29.1,30,22.2,0,0.0
2025-03-02 11:00:00,30.4,26,25.5,0,0.0
2025-03-02 12:00:00,30.9,25,29.1,7,0.0
2025-03-02 13:00:00,30.9,26,29.1,21,0.0
2025-03-02 14:00:00,30.6,26,26.7,18,0.0
2025-03-02 15:00:00,30.5,24,26.8,17,0.0
2025-03-02 16:00:00,29.2,28,29.3,11,0.0
2025-03-02 17:00:00,27.9,29,26.8,2,0.0
2025-03-02 18:00:00,24.3,43,25.1,4,0.0
2025-03-02 19:00:00,23.1,47,25.8,0,0.0
2025-03-02 20:00:00,22.3,49,23.2,0,0.0
2025-03-02 21:00:00,21.8,50,25.6,40,0.0
2025-03-02 22:00:00,20.5,54,21.9,8,0.0
2025-03-02 23:00:00,19.9,59,22.0,0,0.0
2025-03-03 00:00:00,19.7,61,21.2,0,0.0
2025-03-03 01:00:00,19.2,63,19.6,10,0.0
2025-03-03 02:00:00,19.2,63,20.7,41,0.0
2025-03-03 03:00:00,19.0,64,20.5,28,0.0
2025-03-03 04:00:00,18.5,66,20.7,12,0.0
2025-03-03 05:00:00,17.9,68,19.2,2,0.0
2025-03-03 06:00:00,18.1,70,22.8,12,0.0
