time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.0,53,14.7,1,0.0
2025-03-01 01:00:00,22.7,56,16.3,9,0.0
2025-03-01 02:00:00,22.2,64,9.5,10,0.0
2025-03-01 03:00:00,22.0,65,8.3,0,0.0
2025-03-01 04:00:00,21.2,67,13.0,0,0.0
2025-03-01 05:00:00,20.1,72,15.2,6,0.0
2025-03-01 06:00:00,19.9,75,10.2,0,0.0
2025-03-01 07:00:00,21.6,70,8.6,2,0.0
2025-03-01 08:00:00,24.6,61,4.1,0,0.0
2025-03-01 09:00:00,27.6,51,4.1,0,0.0
2025-03-01 10:00:00,30.1,43,5.8,0,0.0
2025-03-01 11:00:00,32.0,39,6.8,0,0.0
2025-03-01 12:00:00,34.0,31,9.7,10,0.0
2025-03-01 13:00:00,35.2,24,14.8,9,0.0
2025-03-01 14:00:00,35.3,22,18.9,4,0.0
2025-03-01 15:00:00,35.0,21,20.2,4,0.0
2025-03-01 16:00:00,34.4,21,20.0,2,0.0
2025-03-01 17:00:00,32.8,26,13.3,3,0.0
2025-03-01 18:00:00,30.2,31,9.5,0,0.0
2025-03-01 19:00:00,29.4,33,19.4,0,0.0
2025-03-01 20:00:00,27.4,37,21.6,0,0.0
2025-03-01 21:00:00,25.9,45,20.5,0,0.0
2025-03-01 22:00:00,25.1,49,20.4,0,0.0
2025-03-01 23:00:00,23.4,56,10.5,0,0.0
2025-03-02 00:00:00,23.0,56,12.3,0,0.0
2025-03-02 01:00:00,21.8,60,11.3,0,0.0
2025-03-02 02:00:00,21.5,60,14.1,0,0.0
2025-03-02 03:00:00,20.9,68,6.0,0,0.0
2025-03-02 04:00:00,19.8,69,1.8,0,0.0
2025-03-02 05:00:00,19.0,73,4.7,0,0.0
2025-03-02 06:00:00,20.8,76,2.8,0,0.0
2025-03-02 07:00:00,22.5,67,3.6,0,0.0
2025-03-02 08:00:00,25.3,57,2.3,0,0.0
2025-03-02 09:00:00,28.4,46,3.0,0,0.0
2025-03-02 10:00:00,31.1,36,2.7,0,0.0
2025-03-02 11:00:00,33.2,30,2.3,0,0.0
2025-03-02 12:00:00,34.5,26,5.9,17,0.0
2025-03-02 13:00:00,35.0,24,13.1,21,0.0
2025-03-02 14:00:00,34.8,23,22.0,30,0.0
2025-03-02 15:00:00,34.8,23,20.7,66,0.0
2025-03-02 16:00:00,34.2,24,22.2,88,0.0
2025-03-02 17:00:00,32.6,26,21.9,69,0.0
2025-03-02 18:00:00,31.4,30,15.4,60,0.0
2025-03-02 19:00:00,29.9,34,22.2,100,0.0
2025-03-02 20:00:00,28.7,36,20.9,18,0.0
2025-03-02 21:00:00,26.4,43,11.9,12,0.0
2025-03-02 22:00:00,25.2,48,12.1,0,0.0
2025-03-02 23:00:00,25.0,50,7.8,2,0.0
2025-03-03 00:00:00,24.0,49,21.8,0,0.0
2025-03-03 01:00:00,23.0,52,22.9,1,0.0
2025-03-03 02:00:00,22.6,53,19.7,0,0.0
2025-03-03 03:00:00,22.0,55,19.3,0,0.0
2025-03-03 04:00:00,21.2,59,19.1,2,0.0
2025-03-03 05:00:00,20.9,61,18.1,3,0.0
2025-03-03 06:00:00,21.4,64,19.7,29,0.0
2025-03-03 07:00:00,23.0,60,19.6,86,0.0
2025-03-03 08:00:00,25.8,52,10.6,55,0.0
2025-03-03 09:00:00,28.7,43,12.1,31,0.0
2025-03-03 10:00:00,30.9,36,12.9,39,0.0
2025-03-03 11:00:00,32.5,32,9.4,51,0.0
2025-03-03 12:00:00,33.5,29,4.5,63,0.0
2025-03-03 13:00:00,34.3,27,6.4,92,0.0
2025-03-03 14:00:00,34.3,27,9.3,56,0.0
2025-03-03 15:00:00,34.0,27,13.6,20,0.0
2025-03-03 16:00:00,33.3,27,16.1,30,0.0
2025-03-03 17:00:00,32.7,27,10.3,19,0.0
2025-03-03 18:00:00,31.0,33,20.8,65,0.0
2025-03-03 19:00:00,29.1,36,12.6,69,0.0
2025-03-03 20:00:00,27.5,42,15.7,38,0.0
2025-03-03 21:00:00,25.8,46,13.4,20,0.0
2025-03-03 22:00:00,24.4,43,15.9,6,0.0
2025-03-03 23:00:00,23.2,41,12.7,0,0.0
2025-03-04 00:00:00,23.0,39,14.7,0,0.0
2025-03-04 01:00:00,21.6,44,12.0,0,0.0
2025-03-04 02:00:00,20.4,50,8.6,0,0.0
2025-03-04 03:00:00,19.1,57,8.6,0,0.0
2025-03-04 04:00:00,18.2,62,9.3,0,0.0
2025-03-04 05:00:00,17.8,64,11.0,0,0.0
2025-03-04 06:00:00,18.2,68,14.5,0,0.0
2025-03-04 07:00:00,20.3,60,13.9,0,0.0
2025-03-04 08:00:00,23.8,48,7.6,0,0.0
2025-03-04 09:00:00,27.1,37,8.0,0,0.0
2025-03-04 10:00:00,29.8,29,7.3,0,0.0
2025-03-04 11:00:00,31.9,24,5.4,0,0.0
2025-03-04 12:00:00,32.8,24,6.0,0,0.0
2025-03-04 13:00:00,33.2,24,3.4,1,0.0
2025-03-04 14:00:00,33.4,24,11.5,3,0.0
2025-03-04 15:00:00,33.2,24,12.2,64,0.0
2025-03-04 16:00:00,34.3,20,12.9,28,0.0
2025-03-04 17:00:00,31.4,28,10.0,56,0.0
2025-03-04 18:00:00,28.8,32,11.7,1,0.0
2025-03-04 19:00:00,28.1,34,12.3,0,0.0
2025-03-04 20:00:00,27.7,34,16.5,0,0.0
2025-03-04 21:00:00,25.4,43,10.6,0,0.0
2025-03-04 22:00:00,25.1,37,15.8,37,0.0
2025-03-04 23:00:00,24.2,41,8.0,95,0.0
2025-03-05 00:00:00,22.4,44,12.3,0,0.0
2025-03-05 01:00:00,21.5,46,15.5,0,0.0
2025-03-05 02:00:00,21.3,47,16.3,0,0.0
2025-03-05 03:00:00,20.6,49,13.1,0,0.0
2025-03-05 04:00:00,19.6,53,11.4,0,0.0
2025-03-05 05:00:00,19.0,58,11.2,0,0.0
2025-03-05 06:00:00,19.4,64,9.7,0,0.0
2025-03-05 07:00:00,21.1,59,9.7,0,0.0
2025-03-05 08:00:00,24.1,50,5.8,0,0.0
