time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,26.7,37,4.7,14,0.0
2025-03-01 01:00:00,25.4,39,1.9,21,0.0
2025-03-01 02:00:00,24.7,43,1.5,59,0.0
2025-03-01 03:00:00,24.2,44,1.2,100,0.0
2025-03-01 04:00:00,23.7,46,0.7,94,0.0
2025-03-01 05:00:00,23.5,48,1.7,79,0.0
2025-03-01 06:00:00,23.6,46,6.1,67,0.0
2025-03-01 07:00:00,22.9,56,6.8,77,0.0
2025-03-01 08:00:00,25.1,46,6.4,40,0.0
2025-03-01 09:00:00,27.2,43,5.4,13,0.0
2025-03-01 10:00:00,29.2,42,7.1,0,0.0
2025-03-01 11:00:00,31.2,40,9.0,0,0.0
2025-03-01 12:00:00,32.8,35,10.3,0,0.0
2025-03-01 13:00:00,33.9,30,11.2,0,0.0
2025-03-01 14:00:00,34.6,27,11.8,5,0.0
2025-03-01 15:00:00,34.7,26,13.6,46,0.0
2025-03-01 16:00:00,34.4,26,14.8,11,0.0
2025-03-01 17:00:00,33.4,25,14.3,5,0.0
2025-03-01 18:00:00,30.9,31,17.6,9,0.0
2025-03-01 19:00:00,29.3,34,21.3,0,0.0
2025-03-01 20:00:00,27.5,38,17.2,0,0.0
2025-03-01 21:00:00,26.9,40,11.5,0,0.0
2025-03-01 22:00:00,26.4,40,5.5,0,0.0
2025-03-01 23:00:00,25.6,43,4.0,0,0.0
2025-03-02 00:00:00,25.3,44,4.3,0,0.0
2025-03-02 01:00:00,25.0,44,5.6,0,0.0
2025-03-02 02:00:00,24.0,49,5.3,0,0.0
2025-03-02 03:00:00,23.6,53,6.4,0,0.0
2025-03-02 04:00:00,23.1,56,7.4,0,0.0
2025-03-02 05:00:00,22.3,60,5.1,0,0.0
2025-03-02 06:00:00,22.4,59,3.9,0,0.0
2025-03-02 07:00:00,22.4,67,4.4,0,0.0
2025-03-02 08:00:00,26.1,51,3.4,0,0.0
2025-03-02 09:00:00,28.7,36,3.3,0,0.0
2025-03-02 10:00:00,30.3,33,6.4,0,0.0
2025-03-02 11:00:00,31.8,30,5.9,8,0.0
2025-03-02 12:00:00,33.0,27,6.6,54,0.0
2025-03-02 13:00:00,34.0,25,11.5,26,0.0
2025-03-02 14:00:00,34.4,22,17.0,10,0.0
2025-03-02 15:00:00,34.2,20,17.2,0,0.0
2025-03-02 16:00:00,33.7,21,14.7,0,0.0
2025-03-02 17:00:00,32.7,23,13.9,0,0.0
2025-03-02 18:00:00,29.5,32,14.5,0,0.0
2025-03-02 19:00:00,28.0,35,17.2,28,0.0
2025-03-02 20:00:00,27.2,38,16.8,45,0.0
2025-03-02 21:00:00,26.1,42,14.9,0,0.0
2025-03-02 22:00:00,25.1,45,11.1,0,0.0
2025-03-02 23:00:00,24.8,46,8.9,0,0.0
2025-03-03 00:00:00,24.7,46,9.4,0,0.0
2025-03-03 01:00:00,24.8,45,8.3,0,0.0
2025-03-03 02:00:00,24.5,45,5.0,0,0.0
2025-03-03 03:00:00,23.8,48,3.3,0,0.0
2025-03-03 04:00:00,23.2,53,3.8,0,0.0
