time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,10.9,92,9.7,0,0.0
2025-03-01 01:00:00,10.4,93,12.4,10,0.0
2025-03-01 02:00:00,10.0,94,15.5,14,0.0
2025-03-01 03:00:00,10.0,94,17.7,5,0.0
2025-03-01 04:00:00,10.3,92,20.1,0,0.0
2025-03-01 05:00:00,10.6,91,22.1,0,0.0
2025-03-01 06:00:00,11.7,92,25.7,12,0.0
2025-03-01 07:00:00,14.7,80,23.0,8,0.0
2025-03-01 08:00:00,17.8,58,22.6,7,0.0
2025-03-01 09:00:00,20.0,42,33.1,35,0.0
2025-03-01 10:00:00,21.6,34,31.7,13,0.0
2025-03-01 11:00:00,22.8,28,32.9,23,0.0
2025-03-01 12:00:00,22.5,31,32.4,38,0.0
2025-03-01 13:00:00,21.6,38,32.0,27,0.3
2025-03-01 14:00:00,21.1,42,31.3,26,0.2
2025-03-01 15:00:00,20.1,47,30.2,23,0.0
2025-03-01 16:00:00,18.6,56,26.1,33,0.0
2025-03-01 17:00:00,16.6,66,30.6,34,0.0
2025-03-01 18:00:00,15.4,68,34.5,35,0.0
2025-03-01 19:00:00,15.1,76,37.7,93,0.0
2025-03-01 20:00:00,15.7,65,35.2,30,0.0
2025-03-01 21:00:00,15.4,68,37.3,25,0.0
2025-03-01 22:00:00,15.1,76,37.4,8,0.0
2025-03-01 23:00:00,15.5,74,42.2,0,0.0
2025-03-02 00:00:00,15.6,72,41.4,0,0.0
2025-03-02 01:00:00,15.4,71,41.4,0,0.0
2025-03-02 02:00:00,15.3,75,41.9,53,0.0
2025-03-02 03:00:00,15.6,73,43.8,46,0.0
2025-03-02 04:00:00,15.2,79,40.0,52,0.0
2025-03-02 05:00:00,15.2,78,37.2,54,0.0
2025-03-02 06:00:00,15.7,67,43.9,13,0.0
2025-03-02 07:00:00,17.8,59,35.3,24,0.0
2025-03-02 08:00:00,19.5,48,36.8,17,0.0
2025-03-02 09:00:00,21.0,38,37.6,1,0.0
2025-03-02 10:00:00,22.3,32,39.5,4,0.0
2025-03-02 11:00:00,22.9,28,40.0,17,0.0
2025-03-02 12:00:00,22.6,30,38.7,14,0.0
2025-03-02 13:00:00,22.2,33,36.1,11,0.0
2025-03-02 14:00:00,21.1,39,31.3,16,0.0
2025-03-02 15:00:00,20.1,46,30.0,5,0.0
2025-03-02 16:00:00,18.0,60,24.9,4,0.0
2025-03-02 17:00:00,15.9,72,26.6,0,0.0
2025-03-02 18:00:00,14.4,84,27.5,2,0.0
2025-03-02 19:00:00,13.9,80,25.8,5,0.0
2025-03-02 20:00:00,13.3,80,23.9,2,0.0
2025-03-02 21:00:00,12.8,83,23.6,1,0.0
2025-03-02 22:00:00,12.5,84,26.2,3,0.0
2025-03-02 23:00:00,13.0,83,29.0,4,0.0
2025-03-03 00:00:00,13.2,73,30.0,1,0.0
2025-03-03 01:00:00,12.4,72,26.3,0,0.0
2025-03-03 02:00:00,11.9,73,26.5,2,0.0
2025-03-03 03:00:00,11.3,72,27.0,1,0.0
2025-03-03 04:00:00,11.3,64,29.3,0,0.0
2025-03-03 05:00:00,11.5,61,29.2,0,0.0
2025-03-03 06:00:00,12.8,61,26.9,0,0.0
2025-03-03 07:00:00,16.3,49,22.7,0,0.0
2025-03-03 08:00:00,18.9,38,18.6,0,0.0
2025-03-03 09:00:00,21.1,27,22.6,0,0.0
2025-03-03 10:00:00,22.5,22,31.4,0,0.0
2025-03-03 11:00:00,22.9,24,31.2,0,0.0
2025-03-03 12:00:00,22.9,27,31.7,0,0.0
2025-03-03 13:00:00,22.4,29,32.0,2,0.0
2025-03-03 14:00:00,21.7,33,31.7,17,0.0
2025-03-03 15:00:00,20.3,40,29.0,33,0.0
2025-03-03 16:00:00,18.7,48,23.6,4,0.0
2025-03-03 17:00:00,15.8,65,17.2,0,0.0
2025-03-03 18:00:00,13.9,82,18.5,1,0.0
2025-03-03 19:00:00,12.6,87,18.6,0,0.0
2025-03-03 20:00:00,11.8,84,23.8,0,0.0
2025-03-03 21:00:00,12.4,58,28.2,0,0.0
2025-03-03 22:00:00,12.2,61,27.9,0,0.0
2025-03-03 23:00:00,12.2,63,27.3,0,0.0
2025-03-04 00:00:00,11.8,65,24.9,0,0.0
2025-03-04 01:00:00,11.4,67,23.4,0,0.0
2025-03-04 02:00:00,11.1,66,23.5,0,0.0
2025-03-04 03:00:00,10.7,62,22.9,0,0.0
2025-03-04 04:00:00,10.1,59,20.7,0,0.0
2025-03-04 05:00:00,9.6,56,19.1,0,0.0
2025-03-04 06:00:00,10.5,63,17.8,0,0.0
2025-03-04 07:00:00,14.7,44,15.1,0,0.0
2025-03-04 08:00:00,17.7,29,11.0,0,0.0
2025-03-04 09:00:00,19.7,22,12.2,0,0.0
2025-03-04 10:00:00,21.2,21,14.6,0,0.0
2025-03-04 11:00:00,22.1,22,15.3,3,0.0
2025-03-04 12:00:00,22.6,23,15.3,29,0.0
2025-03-04 13:00:00,22.5,25,15.3,49,0.0
2025-03-04 14:00:00,21.5,28,15.8,0,0.0
2025-03-04 15:00:00,19.9,34,16.5,14,0.0
2025-03-04 16:00:00,17.9,41,16.1,0,0.0
2025-03-04 17:00:00,14.9,52,17.0,0,0.0
2025-03-04 18:00:00,12.9,57,16.3,0,0.0
2025-03-04 19:00:00,11.6,66,15.5,0,0.0
2025-03-04 20:00:00,11.1,72,22.5,0,0.0
2025-03-04 21:00:00,12.2,63,29.2,0,0.0
2025-03-04 22:00:00,13.2,62,31.7,0,0.0
2025-03-04 23:00:00,13.5,66,32.6,1,0.0
2025-03-05 00:00:00,13.0,71,31.1,4,0.0
2025-03-05 01:00:00,12.3,77,30.8,5,0.0
2025-03-05 02:00:00,12.5,76,32.2,5,0.0
2025-03-05 03:00:00,12.2,71,32.0,0,0.0
2025-03-05 04:00:00,12.0,73,31.5,0,0.0
2025-03-05 05:00:00,12.2,69,33.0,0,0.0
2025-03-05 06:00:00,13.0,68,31.9,0,0.0
2025-03-05 07:00:00,14.9,66,23.4,16,0.0
2025-03-05 08:00:00,16.9,52,22.7,0,0.0
2025-03-05 09:00:00,18.9,37,28.2,1,0.0
2025-03-05 10:00:00,19.8,34,28.3,1,0.0
2025-03-05 11:00:00,20.4,29,29.1,0,0.0
2025-03-05 12:00:00,20.6,27,29.7,0,0.0
2025-03-05 13:00:00,20.2,31,27.8,0,0.0
2025-03-05 14:00:00,19.6,32,27.5,0,0.0
2025-03-05 15:00:00,18.3,35,26.3,0,0.0
2025-03-05 16:00:00,16.3,41,22.6,0,0.0
2025-03-05 17:00:00,13.5,52,18.4,0,0.0
2025-03-05 18:00:00,12.5,58,21.3,0,0.0
2025-03-05 19:00:00,11.5,60,16.6,0,0.0
2025-03-05 20:00:00,10.7,63,19.7,0,0.0
2025-03-05 21:00:00,10.2,67,25.7,0,0.0
2025-03-05 22:00:00,10.6,66,23.5,0,0.0
2025-03-05 23:00:00,10.4,67,20.1,0,0.0
2025-03-06 00:00:00,10.1,67,21.4,0,0.0
2025-03-06 01:00:00,10.0,66,20.4,0,0.0
2025-03-06 02:00:00,9.6,68,18.7,0,0.0
2025-03-06 03:00:00,9.0,71,17.1,0,0.0
2025-03-06 04:00:00,8.3,75,16.1,0,0.0
2025-03-06 05:00:00,7.9,76,14.6,0,0.0
2025-03-06 06:00:00,9.6,74,7.2,0,0.0
2025-03-06 07:00:00,14.3,52,6.5,0,0.0
2025-03-06 08:00:00,16.4,40,7.5,0,0.0
2025-03-06 09:00:00,18.4,33,8.5,0,0.0
2025-03-06 10:00:00,20.1,30,9.0,0,0.0
2025-03-06 11:00:00,21.3,28,8.3,0,0.0
2025-03-06 12:00:00,22.4,24,5.8,0,0.0
2025-03-06 13:00:00,22.3,27,9.2,7,0.0
2025-03-06 14:00:00,21.1,38,13.3,97,0.0
2025-03-06 15:00:00,18.8,52,11.2,83,0.0
2025-03-06 16:00:00,17.0,59,8.7,55,0.0
2025-03-06 17:00:00,15.8,59,11.5,35,0.0
2025-03-06 18:00:00,13.4,65,6.8,6,0.0
2025-03-06 19:00:00,12.5,67,7.2,6,0.0
2025-03-06 20:00:00,11.9,72,7.9,0,0.0
2025-03-06 21:00:00,11.4,79,5.2,0,0.0
2025-03-06 22:00:00,10.7,79,4.1,0,0.0
2025-03-06 23:00:00,10.7,76,4.1,0,0.0
2025-03-07 00:00:00,10.6,73,5.4,0,0.0
2025-03-07 01:00:00,10.6,65,7.1,0,0.0
2025-03-07 02:00:00,9.9,61,6.8,0,0.0
2025-03-07 03:00:00,9.4,61,7.8,0,0.0
2025-03-07 04:00:00,8.9,63,10.1,0,0.0
2025-03-07 05:00:00,8.3,66,8.4,0,0.0
2025-03-07 06:00:00,10.0,68,11.6,0,0.0
2025-03-07 07:00:00,13.9,55,6.4,0,0.0
2025-03-07 08:00:00,15.9,48,9.1,0,0.0
2025-03-07 09:00:00,17.7,41,16.0,0,0.0
2025-03-07 10:00:00,18.7,40,16.6,0,0.0
2025-03-07 11:00:00,20.3,36,17.5,47,0.0
2025-03-07 12:00:00,21.1,34,14.7,84,0.0
2025-03-07 13:00:00,20.7,33,7.3,99,0.0
2025-03-07 14:00:00,19.9,35,4.8,96,0.0
2025-03-07 15:00:00,18.8,41,6.6,73,0.0
2025-03-07 16:00:00,17.4,44,3.7,57,0.0
2025-03-07 17:00:00,15.2,56,1.5,23,0.0
2025-03-07 18:00:00,14.6,59,7.7,25,0.0
2025-03-07 19:00:00,13.7,62,1.0,13,0.0
2025-03-07 20:00:00,12.4,71,3.9,3,0.0
2025-03-07 21:00:00,11.9,76,5.6,2,0.0
2025-03-07 22:00:00,11.5,77,5.6,12,0.0
2025-03-07 23:00:00,11.3,78,4.6,28,0.0
2025-03-08 00:00:00,11.4,78,4.1,45,0.0
2025-03-08 01:00:00,11.4,80,5.6,30,0.0
2025-03-08 02:00:00,11.5,82,7.7,90,0.0
2025-03-08 03:00:00,11.2,84,6.6,56,0.0
2025-03-08 04:00:00,10.3,87,7.3,25,0.0
