time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,2.8,98,8.2,36,0.1
2025-03-01 01:00:00,1.7,97,10.9,14,0.0
2025-03-01 02:00:00,0.6,97,9.3,2,0.0
2025-03-01 03:00:00,-0.3,99,9.2,13,0.0
2025-03-01 04:00:00,-0.8,99,8.0,51,0.0
2025-03-01 05:00:00,-1.2,99,6.8,65,0.0
2025-03-01 06:00:00,-0.2,96,10.4,22,0.0
2025-03-01 07:00:00,0.1,98,9.7,9,0.0
2025-03-01 08:00:00,5.7,85,6.4,1,0.0
2025-03-01 09:00:00,8.7,59,2.5,8,0.1
2025-03-01 10:00:00,10.3,43,4.7,59,0.1
2025-03-01 11:00:00,11.3,34,7.8,33,0.1
2025-03-01 12:00:00,11.7,33,10.6,32,0.6
2025-03-01 13:00:00,11.1,37,12.8,35,0.8
2025-03-01 14:00:00,10.6,43,14.2,26,0.4
2025-03-01 15:00:00,9.4,50,13.2,44,0.8
2025-03-01 16:00:00,8.3,58,10.6,52,0.3
2025-03-01 17:00:00,6.7,68,9.1,24,0.0
2025-03-01 18:00:00,4.2,87,4.8,25,0.0
2025-03-01 19:00:00,3.2,87,2.2,10,0.0
2025-03-01 20:00:00,2.6,88,5.0,10,0.0
2025-03-01 21:00:00,1.7,89,4.7,1,0.0
2025-03-01 22:00:00,1.4,87,4.6,0,0.0
2025-03-01 23:00:00,0.9,87,5.2,0,0.0
2025-03-02 00:00:00,0.4,88,5.2,0,0.0
2025-03-02 01:00:00,-0.0,88,5.3,0,0.0
2025-03-02 02:00:00,-0.1,86,4.5,0,0.0
2025-03-02 03:00:00,-0.1,83,5.9,0,0.0
2025-03-02 04:00:00,0.0,79,7.0,0,0.0
2025-03-02 05:00:00,0.0,76,7.1,0,0.0
2025-03-02 06:00:00,-1.4,92,5.4,0,0.0
2025-03-02 07:00:00,-0.7,90,5.3,0,0.0
2025-03-02 08:00:00,6.6,66,5.1,0,0.0
2025-03-02 09:00:00,10.1,34,3.3,0,0.0
2025-03-02 10:00:00,11.9,30,3.0,0,0.0
2025-03-02 11:00:00,13.0,31,9.7,0,0.0
2025-03-02 12:00:00,13.3,35,14.6,0,0.0
2025-03-02 13:00:00,13.1,42,16.9,33,0.0
2025-03-02 14:00:00,12.4,48,16.8,25,0.1
2025-03-02 15:00:00,11.9,50,16.7,20,0.0
2025-03-02 16:00:00,11.1,51,15.3,5,0.0
2025-03-02 17:00:00,9.5,57,14.2,1,0.0
2025-03-02 18:00:00,5.8,78,11.2,2,0.0
2025-03-02 19:00:00,4.3,83,3.2,0,0.0
2025-03-02 20:00:00,3.4,85,3.4,0,0.0
2025-03-02 21:00:00,3.8,81,4.7,0,0.0
2025-03-02 22:00:00,3.1,84,1.5,0,0.0
2025-03-02 23:00:00,2.6,84,2.7,0,0.0
2025-03-03 00:00:00,2.3,83,3.5,0,0.0
2025-03-03 01:00:00,1.4,85,5.8,0,0.0
2025-03-03 02:00:00,0.8,87,8.3,27,0.0
2025-03-03 03:00:00,0.8,86,6.9,6,0.0
2025-03-03 04:00:00,1.0,82,5.7,14,0.0
2025-03-03 05:00:00,1.2,79,6.7,0,0.0
2025-03-03 06:00:00,0.0,83,7.2,84,0.0
2025-03-03 07:00:00,0.1,88,9.9,81,0.0
2025-03-03 08:00:00,6.2,63,7.9,100,0.0
2025-03-03 09:00:00,8.0,57,5.8,99,0.0
2025-03-03 10:00:00,10.0,33,1.2,98,0.0
2025-03-03 11:00:00,10.3,28,2.3,100,0.0
2025-03-03 12:00:00,8.2,43,15.7,69,0.4
2025-03-03 13:00:00,10.2,33,10.3,96,0.0
2025-03-03 14:00:00,9.5,39,9.1,92,0.9
2025-03-03 15:00:00,8.5,50,6.3,83,0.8
2025-03-03 16:00:00,6.7,72,8.9,58,1.4
2025-03-03 17:00:00,5.5,71,9.9,53,0.0
2025-03-03 18:00:00,5.9,61,9.0,9,0.0
2025-03-03 19:00:00,4.6,68,9.4,15,0.0
2025-03-03 20:00:00,4.0,71,12.6,13,0.0
2025-03-03 21:00:00,4.1,69,18.9,36,0.0
2025-03-03 22:00:00,3.9,77,20.5,94,0.4
2025-03-03 23:00:00,2.7,87,20.9,96,0.6
2025-03-04 00:00:00,2.0,92,3.4,100,2.9
2025-03-04 01:00:00,0.8,89,10.7,95,4.6
2025-03-04 02:00:00,0.1,89,11.1,82,1.4
2025-03-04 03:00:00,-0.3,96,13.7,73,0.0
2025-03-04 04:00:00,0.1,95,12.3,67,0.0
2025-03-04 05:00:00,0.1,95,16.4,38,0.0
2025-03-04 06:00:00,0.6,94,18.8,39,0.0
2025-03-04 07:00:00,0.4,92,13.2,66,0.0
2025-03-04 08:00:00,3.6,78,11.5,36,0.1
2025-03-04 09:00:00,6.6,61,2.7,15,0.0
2025-03-04 10:00:00,8.0,55,1.6,28,0.1
2025-03-04 11:00:00,9.3,44,7.7,39,0.4
2025-03-04 12:00:00,10.3,32,14.0,57,0.2
2025-03-04 13:00:00,10.6,29,18.9,74,0.0
2025-03-04 14:00:00,8.5,41,20.7,97,0.1
2025-03-04 15:00:00,8.0,44,16.9,78,0.1
2025-03-04 16:00:00,7.4,46,17.0,100,0.0
2025-03-04 17:00:00,6.0,52,17.7,15,0.0
2025-03-04 18:00:00,3.6,70,20.3,2,0.0
2025-03-04 19:00:00,1.6,87,13.6,0,0.0
2025-03-04 20:00:00,1.4,90,12.3,0,0.0
2025-03-04 21:00:00,0.7,91,8.6,0,0.0
2025-03-04 22:00:00,0.4,90,8.6,0,0.0
2025-03-04 23:00:00,-0.0,86,9.3,0,0.0
2025-03-05 00:00:00,-0.5,82,8.5,0,0.0
2025-03-05 01:00:00,-0.6,77,9.5,0,0.0
2025-03-05 02:00:00,-0.3,72,10.7,0,0.0
2025-03-05 03:00:00,-0.1,71,11.7,0,0.0
2025-03-05 04:00:00,0.1,69,11.8,0,0.0
2025-03-05 05:00:00,0.3,67,11.2,0,0.0
2025-03-05 06:00:00,-0.7,74,10.3,0,0.0
2025-03-05 07:00:00,1.0,71,12.8,0,0.0
2025-03-05 08:00:00,5.1,55,12.5,0,0.0
2025-03-05 09:00:00,7.6,40,14.8,0,0.0
2025-03-05 10:00:00,9.4,28,23.2,0,0.0
2025-03-05 11:00:00,10.3,29,26.6,0,0.0
2025-03-05 12:00:00,10.8,27,28.6,0,0.0
2025-03-05 13:00:00,10.9,28,29.1,0,0.0
2025-03-05 14:00:00,10.5,29,28.5,0,0.0
2025-03-05 15:00:00,10.0,32,26.4,0,0.0
2025-03-05 16:00:00,8.9,39,24.1,0,0.0
2025-03-05 17:00:00,7.1,48,22.8,0,0.0
2025-03-05 18:00:00,4.0,61,20.6,0,0.0
2025-03-05 19:00:00,2.5,70,13.9,0,0.0
2025-03-05 20:00:00,2.0,71,10.9,0,0.0
2025-03-05 21:00:00,1.1,75,11.8,2,0.0
2025-03-05 22:00:00,1.0,73,13.0,20,0.0
2025-03-05 23:00:00,1.4,66,13.9,0,0.0
2025-03-06 00:00:00,1.4,62,12.1,0,0.0
2025-03-06 01:00:00,1.4,59,12.8,0,0.0
2025-03-06 02:00:00,2.1,53,14.6,0,0.0
2025-03-06 03:00:00,1.7,51,13.3,32,0.0
2025-03-06 04:00:00,1.6,47,11.7,92,0.0
2025-03-06 05:00:00,2.1,41,12.9,100,0.0
2025-03-06 06:00:00,2.2,40,12.8,52,0.0
2025-03-06 07:00:00,3.7,44,14.4,31,0.0
2025-03-06 08:00:00,9.2,35,11.8,20,0.0
2025-03-06 09:00:00,11.7,25,13.0,0,0.0
2025-03-06 10:00:00,13.4,21,14.9,0,0.0
2025-03-06 11:00:00,14.5,19,19.3,0,0.0
2025-03-06 12:00:00,14.8,18,22.4,0,0.0
2025-03-06 13:00:00,15.0,16,23.1,0,0.0
2025-03-06 14:00:00,14.4,21,24.1,0,0.0
2025-03-06 15:00:00,13.4,30,22.9,0,0.0
2025-03-06 16:00:00,12.2,34,20.3,0,0.0
2025-03-06 17:00:00,10.2,42,18.5,0,0.0
2025-03-06 18:00:00,5.9,64,15.3,0,0.0
2025-03-06 19:00:00,5.3,67,9.3,0,0.0
2025-03-06 20:00:00,4.6,68,7.2,0,0.0
2025-03-06 21:00:00,3.9,66,6.1,0,0.0
2025-03-06 22:00:00,3.5,61,6.9,0,0.0
2025-03-06 23:00:00,2.8,58,5.8,0,0.0
2025-03-07 00:00:00,2.6,54,5.9,0,0.0
2025-03-07 01:00:00,2.5,53,5.2,50,0.0
2025-03-07 02:00:00,2.2,55,3.6,0,0.0
2025-03-07 03:00:00,2.3,54,3.4,2,0.0
2025-03-07 04:00:00,2.7,51,5.3,2,0.0
2025-03-07 05:00:00,2.7,48,10.3,14,0.0
2025-03-07 06:00:00,1.9,55,9.2,56,0.0
2025-03-07 07:00:00,4.4,53,10.8,73,0.0
2025-03-07 08:00:00,9.4,37,12.1,8,0.0
2025-03-07 09:00:00,11.8,26,10.3,15,0.0
2025-03-07 10:00:00,13.9,20,8.9,1,0.0
2025-03-07 11:00:00,15.0,16,14.5,12,0.0
2025-03-07 12:00:00,15.3,17,18.9,12,0.0
2025-03-07 13:00:00,14.9,24,22.2,26,0.0
2025-03-07 14:00:00,14.0,29,22.5,100,0.0
2025-03-07 15:00:00,12.7,33,21.6,92,0.0
2025-03-07 16:00:00,11.5,38,18.8,65,0.0
2025-03-07 17:00:00,9.7,47,17.5,0,0.0
2025-03-07 18:00:00,6.1,72,18.7,0,0.0
2025-03-07 19:00:00,4.8,84,15.3,0,0.0
2025-03-07 20:00:00,4.0,84,7.7,0,0.0
2025-03-07 21:00:00,4.3,78,9.7,1,0.0
2025-03-07 22:00:00,3.5,78,9.6,0,0.0
2025-03-07 23:00:00,3.1,78,8.1,0,0.0
2025-03-08 00:00:00,2.6,74,9.2,0,0.0
2025-03-08 01:00:00,2.6,67,10.1,0,0.0
2025-03-08 02:00:00,2.8,64,12.3,0,0.0
2025-03-08 03:00:00,2.9,65,15.5,0,0.0
2025-03-08 04:00:00,3.3,63,15.6,0,0.0
2025-03-08 05:00:00,2.7,62,14.3,0,0.0
2025-03-08 06:00:00,2.0,68,14.9,0,0.0
2025-03-08 07:00:00,3.0,64,11.8,0,0.0
2025-03-08 08:00:00,8.8,51,8.1,0,0.0
2025-03-08 09:00:00,12.1,31,6.3,0,0.0
2025-03-08 10:00:00,13.3,26,14.4,0,0.0
2025-03-08 11:00:00,13.9,30,16.8,0,0.0
2025-03-08 12:00:00,14.3,33,19.7,0,0.0
2025-03-08 13:00:00,14.5,31,20.2,57,0.0
2025-03-08 14:00:00,14.5,30,19.8,68,0.0
2025-03-08 15:00:00,13.9,32,20.2,69,0.0
2025-03-08 16:00:00,12.6,38,18.8,0,0.0
2025-03-08 17:00:00,10.8,48,16.3,0,0.0
2025-03-08 18:00:00,6.7,71,13.1,100,0.0
2025-03-08 19:00:00,5.8,73,4.8,65,0.0
2025-03-08 20:00:00,4.4,78,5.2,0,0.0
2025-03-08 21:00:00,3.9,78,3.1,0,0.0
2025-03-08 22:00:00,3.6,78,4.7,0,0.0
2025-03-08 23:00:00,3.0,76,3.6,5,0.0
2025-03-09 00:00:00,3.1,74,6.3,17,0.0
2025-03-09 01:00:00,2.5,72,5.6,3,0.0
2025-03-09 02:00:00,2.2,67,2.8,0,0.0
2025-03-09 03:00:00,2.1,61,3.6,0,0.0
2025-03-09 04:00:00,1.9,57,3.1,0,0.0
2025-03-09 05:00:00,1.7,54,2.4,0,0.0
2025-03-09 06:00:00,1.6,69,3.8,0,0.0
2025-03-09 07:00:00,3.7,63,4.2,0,0.0
2025-03-09 08:00:00,10.2,53,3.7,0,0.0
2025-03-09 09:00:00,13.6,27,1.5,0,0.0
2025-03-09 10:00:00,15.3,20,5.9,0,0.0
2025-03-09 11:00:00,16.5,18,11.6,0,0.0
2025-03-09 12:00:00,16.7,21,15.1,0,0.0
