time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.8,41,9.8,36,0.0
2025-03-01 01:00:00,22.5,42,6.6,4,0.0
2025-03-01 02:00:00,21.9,43,6.4,12,0.0
2025-03-01 03:00:00,20.9,46,5.6,11,0.0
2025-03-01 04:00:00,20.0,48,1.6,5,0.0
2025-03-01 05:00:00,18.9,52,9.2,4,0.0
2025-03-01 06:00:00,20.0,54,5.6,2,0.0
2025-03-01 07:00:00,22.3,48,13.3,0,0.0
2025-03-01 08:00:00,25.9,39,7.8,0,0.0
2025-03-01 09:00:00,29.0,31,6.0,0,0.0
2025-03-01 10:00:00,31.6,26,9.3,0,0.0
2025-03-01 11:00:00,33.8,22,15.1,0,0.0
2025-03-01 12:00:00,35.2,19,18.2,4,0.0
2025-03-01 13:00:00,35.9,18,18.0,13,0.0
2025-03-01 14:00:00,36.2,17,17.6,21,0.0
2025-03-01 15:00:00,35.8,17,17.8,29,0.0
2025-03-01 16:00:00,35.3,18,16.6,26,0.0
2025-03-01 17:00:00,33.2,29,10.8,28,0.0
2025-03-01 18:00:00,30.5,27,8.8,6,0.0
2025-03-01 19:00:00,28.6,29,21.6,3,0.0
2025-03-01 20:00:00,27.2,32,20.9,0,0.0
2025-03-01 21:00:00,26.6,33,23.6,0,0.0
2025-03-01 22:00:00,25.4,37,17.6,2,0.0
2025-03-01 23:00:00,24.6,40,15.5,6,0.0
2025-03-02 00:00:00,23.9,41,17.2,3,0.0
2025-03-02 01:00:00,23.0,41,21.8,0,0.0
2025-03-02 02:00:00,22.8,41,22.2,0,0.0
2025-03-02 03:00:00,22.4,42,21.4,0,0.0
2025-03-02 04:00:00,21.5,45,19.5,0,0.0
2025-03-02 05:00:00,21.2,48,19.1,0,0.0
2025-03-02 06:00:00,22.0,52,18.4,1,0.0
2025-03-02 07:00:00,24.4,47,17.0,0,0.0
2025-03-02 08:00:00,27.5,41,6.1,0,0.0
2025-03-02 09:00:00,30.5,35,1.5,0,0.0
2025-03-02 10:00:00,32.8,28,2.5,0,0.0
2025-03-02 11:00:00,34.5,24,8.4,23,0.0
2025-03-02 12:00:00,35.4,22,15.6,34,0.0
2025-03-02 13:00:00,36.0,21,21.0,64,0.0
2025-03-02 14:00:00,35.8,20,25.0,89,0.0
2025-03-02 15:00:00,35.5,20,19.8,95,0.0
2025-03-02 16:00:00,35.6,19,16.4,100,0.0
2025-03-02 17:00:00,34.2,21,17.9,98,0.0
2025-03-02 18:00:00,31.2,28,29.4,94,0.0
2025-03-02 19:00:00,30.0,30,27.0,80,0.0
2025-03-02 20:00:00,30.3,29,28.8,99,0.0
2025-03-02 21:00:00,29.0,32,18.1,1,0.0
2025-03-02 22:00:00,26.4,38,10.3,2,0.0
2025-03-02 23:00:00,25.1,41,9.4,0,0.0
2025-03-03 00:00:00,24.0,43,18.4,0,0.0
2025-03-03 01:00:00,23.0,43,21.2,0,0.0
2025-03-03 02:00:00,22.6,43,20.2,36,0.0
2025-03-03 03:00:00,22.9,43,24.9,4,0.0
2025-03-03 04:00:00,22.5,45,25.9,4,0.0
2025-03-03 05:00:00,22.2,47,26.3,0,0.0
2025-03-03 06:00:00,22.5,54,26.6,10,0.0
2025-03-03 07:00:00,23.9,51,24.7,4,0.0
2025-03-03 08:00:00,26.8,44,15.7,10,0.0
2025-03-03 09:00:00,29.5,38,12.0,8,0.0
2025-03-03 10:00:00,31.5,32,8.9,0,0.0
2025-03-03 11:00:00,32.8,27,6.0,46,0.0
2025-03-03 12:00:00,34.0,24,6.6,88,0.0
2025-03-03 13:00:00,35.0,21,14.4,33,0.0
2025-03-03 14:00:00,34.8,22,13.5,51,0.0
2025-03-03 15:00:00,35.0,21,4.3,91,0.0
2025-03-03 16:00:00,35.2,19,7.3,31,0.0
2025-03-03 17:00:00,32.4,23,35.2,43,0.0
2025-03-03 18:00:00,30.5,26,26.7,75,0.0
2025-03-03 19:00:00,28.7,30,23.4,80,0.0
2025-03-03 20:00:00,26.6,32,19.5,19,0.0
2025-03-03 21:00:00,25.0,34,19.5,10,0.0
2025-03-03 22:00:00,24.5,32,19.3,16,0.0
2025-03-03 23:00:00,23.8,34,15.8,33,0.0
2025-03-04 00:00:00,23.0,36,14.8,3,0.0
2025-03-04 01:00:00,22.0,40,14.2,12,0.0
2025-03-04 02:00:00,21.3,43,14.3,5,0.0
2025-03-04 03:00:00,20.6,47,14.4,0,0.0
2025-03-04 04:00:00,20.1,50,13.9,16,0.0
2025-03-04 05:00:00,19.9,53,8.8,17,0.0
2025-03-04 06:00:00,19.4,58,5.7,0,0.0
2025-03-04 07:00:00,21.5,51,6.2,0,0.0
2025-03-04 08:00:00,25.0,43,1.1,0,0.0
2025-03-04 09:00:00,28.4,35,1.5,0,0.0
2025-03-04 10:00:00,31.2,29,1.7,0,0.0
2025-03-04 11:00:00,33.2,24,5.3,59,0.0
2025-03-04 12:00:00,34.5,21,9.6,64,0.0
2025-03-04 13:00:00,35.5,19,14.4,28,0.0
2025-03-04 14:00:00,35.7,19,16.7,7,0.0
2025-03-04 15:00:00,35.9,18,15.1,16,0.0
2025-03-04 16:00:00,35.8,16,19.2,26,0.0
2025-03-04 17:00:00,34.5,17,21.0,2,0.0
2025-03-04 18:00:00,32.0,17,26.7,1,0.0
2025-03-04 19:00:00,29.2,22,19.0,0,0.0
2025-03-04 20:00:00,28.1,24,12.3,0,0.0
2025-03-04 21:00:00,26.6,26,8.3,0,0.0
2025-03-04 22:00:00,26.0,32,25.4,0,0.0
2025-03-04 23:00:00,24.6,41,20.0,0,0.0
2025-03-05 00:00:00,23.2,46,14.5,0,0.0
2025-03-05 01:00:00,22.2,49,11.8,0,0.0
2025-03-05 02:00:00,21.3,51,13.6,0,0.0
2025-03-05 03:00:00,20.5,52,12.7,0,0.0
2025-03-05 04:00:00,19.8,51,19.3,0,0.0
2025-03-05 05:00:00,20.4,46,27.4,0,0.0
2025-03-05 06:00:00,20.7,47,28.7,0,0.0
2025-03-05 07:00:00,21.9,42,28.1,0,0.0
2025-03-05 08:00:00,23.7,35,26.3,0,0.0
2025-03-05 09:00:00,25.5,29,22.1,0,0.0
2025-03-05 10:00:00,27.0,23,18.2,0,0.0
2025-03-05 11:00:00,28.0,21,18.9,0,0.0
2025-03-05 12:00:00,29.0,20,15.4,0,0.0
