time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,-2.0,89,5.5,98,4.7
2025-03-01 01:00:00,-2.3,89,4.2,92,1.5
2025-03-01 02:00:00,-3.2,93,8.9,79,0.9
2025-03-01 03:00:00,-3.8,91,6.2,65,0.0
2025-03-01 04:00:00,-4.7,93,5.9,71,0.1
2025-03-01 05:00:00,-5.3,96,4.8,67,0.0
2025-03-01 06:00:00,-4.1,97,4.2,33,0.0
2025-03-01 07:00:00,-4.0,95,5.4,31,0.0
2025-03-01 08:00:00,-2.6,88,4.8,40,0.0
2025-03-01 09:00:00,-1.0,83,4.9,48,0.0
2025-03-01 10:00:00,-0.1,84,5.4,45,0.0
2025-03-01 11:00:00,2.3,72,5.6,8,0.0
2025-03-01 12:00:00,4.2,61,10.2,7,0.0
2025-03-01 13:00:00,5.5,55,10.8,10,0.0
2025-03-01 14:00:00,6.8,48,11.2,12,0.0
2025-03-01 15:00:00,7.2,45,11.6,15,0.0
2025-03-01 16:00:00,7.2,42,9.0,14,0.0
2025-03-01 17:00:00,5.6,45,6.8,7,0.0
2025-03-01 18:00:00,3.0,60,1.0,60,0.0
2025-03-01 19:00:00,2.4,63,0.0,14,0.0
2025-03-01 20:00:00,0.1,69,1.7,7,0.0
2025-03-01 21:00:00,-3.0,79,0.6,12,0.0
2025-03-01 22:00:00,-5.1,88,1.6,6,0.0
2025-03-01 23:00:00,-5.8,91,2.0,18,0.0
2025-03-02 00:00:00,-6.6,92,3.3,20,0.0
2025-03-02 01:00:00,-6.9,93,2.7,30,0.0
2025-03-02 02:00:00,-7.8,94,1.5,19,0.0
2025-03-02 03:00:00,-8.4,93,0.7,16,0.0
2025-03-02 04:00:00,-9.1,92,1.5,3,0.0
2025-03-02 05:00:00,-9.6,92,2.1,9,0.0
2025-03-02 06:00:00,-7.8,87,0.9,19,0.0
2025-03-02 07:00:00,-8.2,83,2.9,28,0.0
2025-03-02 08:00:00,-5.2,72,2.3,30,0.0
2025-03-02 09:00:00,-0.9,62,0.4,0,0.0
2025-03-02 10:00:00,2.0,61,7.2,0,0.0
2025-03-02 11:00:00,3.8,56,5.9,0,0.0
2025-03-02 12:00:00,6.2,46,5.3,0,0.0
2025-03-02 13:00:00,7.9,40,8.4,1,0.0
2025-03-02 14:00:00,8.9,35,9.1,4,0.0
2025-03-02 15:00:00,9.3,32,8.6,4,0.0
2025-03-02 16:00:00,9.1,33,9.7,9,0.0
2025-03-02 17:00:00,6.7,42,11.8,10,0.0
2025-03-02 18:00:00,3.3,62,7.9,1,0.0
2025-03-02 19:00:00,2.5,60,4.3,7,0.0
2025-03-02 20:00:00,2.0,58,6.1,56,0.0
2025-03-02 21:00:00,0.3,63,5.0,97,0.0
2025-03-02 22:00:00,-0.9,75,3.2,100,0.0
2025-03-02 23:00:00,-1.3,80,5.3,100,0.0
2025-03-03 00:00:00,-1.5,84,4.4,100,0.0
2025-03-03 01:00:00,-1.0,84,6.2,100,0.0
2025-03-03 02:00:00,-1.0,84,2.6,100,0.0
2025-03-03 03:00:00,-0.7,86,7.4,100,0.0
2025-03-03 04:00:00,-0.6,83,2.6,100,0.0
2025-03-03 05:00:00,-0.6,85,7.6,100,0.0
2025-03-03 06:00:00,1.6,83,6.3,100,0.5
2025-03-03 07:00:00,1.8,82,5.5,100,0.3
2025-03-03 08:00:00,1.8,90,20.6,100,0.7
2025-03-03 09:00:00,1.1,97,19.1,100,1.3
2025-03-03 10:00:00,1.0,97,14.9,100,2.5
2025-03-03 11:00:00,1.0,98,12.9,100,1.4
2025-03-03 12:00:00,1.8,93,9.0,95,1.3
2025-03-03 13:00:00,2.8,86,8.0,98,0.3
2025-03-03 14:00:00,3.2,82,19.5,99,0.1
2025-03-03 15:00:00,4.3,75,19.6,73,0.3
2025-03-03 16:00:00,3.6,82,23.5,99,0.0
2025-03-03 17:00:00,2.3,84,23.2,100,0.0
2025-03-03 18:00:00,1.5,91,9.0,100,0.0
2025-03-03 19:00:00,1.0,96,16.1,100,0.1
2025-03-03 20:00:00,0.7,100,9.7,90,0.1
2025-03-03 21:00:00,0.3,99,7.0,100,0.0
2025-03-03 22:00:00,0.2,95,8.4,100,0.0
2025-03-03 23:00:00,-0.1,95,19.7,97,1.3
2025-03-04 00:00:00,-0.4,96,23.3,97,4.0
2025-03-04 01:00:00,-0.9,96,11.6,100,6.5
2025-03-04 02:00:00,-1.5,91,6.0,98,7.8
2025-03-04 03:00:00,-1.6,95,10.5,100,0.7
2025-03-04 04:00:00,-0.9,94,6.8,100,1.7
2025-03-04 05:00:00,-0.8,98,10.0,100,1.0
2025-03-04 06:00:00,-0.6,89,4.1,100,0.1
2025-03-04 07:00:00,-1.3,100,10.2,97,0.0
2025-03-04 08:00:00,-1.5,97,9.9,54,3.3
2025-03-04 09:00:00,-0.3,83,17.5,57,3.8
2025-03-04 10:00:00,2.0,78,18.3,57,0.9
2025-03-04 11:00:00,3.5,70,15.1,29,0.0
2025-03-04 12:00:00,5.1,60,11.7,11,0.0
2025-03-04 13:00:00,5.8,54,9.1,37,0.0
2025-03-04 14:00:00,6.6,48,9.7,14,0.0
2025-03-04 15:00:00,6.4,46,10.4,27,0.0
2025-03-04 16:00:00,5.9,47,11.2,20,0.0
2025-03-04 17:00:00,3.8,51,7.3,57,0.0
2025-03-04 18:00:00,2.0,56,11.5,35,0.0
2025-03-04 19:00:00,1.5,62,6.9,83,0.1
2025-03-04 20:00:00,-0.5,73,3.8,80,0.0
2025-03-04 21:00:00,-2.0,81,0.5,79,0.0
2025-03-04 22:00:00,-4.1,88,7.1,70,0.0
2025-03-04 23:00:00,-5.1,91,2.9,90,0.0
2025-03-05 00:00:00,-5.0,89,5.2,89,0.0
2025-03-05 01:00:00,-6.0,91,4.2,76,0.0
2025-03-05 02:00:00,-8.1,93,3.3,11,0.0
2025-03-05 03:00:00,-9.2,90,3.6,7,0.0
2025-03-05 04:00:00,-10.2,88,3.6,9,0.0
2025-03-05 05:00:00,-10.9,87,3.1,11,0.0
2025-03-05 06:00:00,-9.1,84,1.1,21,0.0
2025-03-05 07:00:00,-9.4,81,1.2,29,0.0
2025-03-05 08:00:00,-5.8,69,5.6,28,0.0
2025-03-05 09:00:00,-1.0,61,3.6,14,0.0
2025-03-05 10:00:00,0.8,63,5.1,1,0.0
2025-03-05 11:00:00,3.0,56,1.5,1,0.0
2025-03-05 12:00:00,4.4,49,0.6,1,0.0
2025-03-05 13:00:00,5.2,46,4.4,0,0.0
2025-03-05 14:00:00,6.1,43,5.8,0,0.0
2025-03-05 15:00:00,6.6,40,5.7,0,0.0
2025-03-05 16:00:00,6.7,39,5.5,7,0.0
2025-03-05 17:00:00,4.7,44,5.1,1,0.0
2025-03-05 18:00:00,2.3,49,2.1,0,0.0
2025-03-05 19:00:00,1.6,52,2.7,24,0.0
2025-03-05 20:00:00,0.1,56,6.0,42,0.0
2025-03-05 21:00:00,-1.5,69,9.8,40,0.0
2025-03-05 22:00:00,-4.3,78,5.9,78,0.0
2025-03-05 23:00:00,-6.0,83,5.2,76,0.0
2025-03-06 00:00:00,-6.8,85,2.5,36,0.0
2025-03-06 01:00:00,-8.1,86,4.2,0,0.0
2025-03-06 02:00:00,-8.7,86,2.7,0,0.0
2025-03-06 03:00:00,-9.7,86,4.5,3,0.0
2025-03-06 04:00:00,-10.1,86,3.7,31,0.0
2025-03-06 05:00:00,-10.6,86,4.1,56,0.0
2025-03-06 06:00:00,-7.7,80,10.6,27,0.0
2025-03-06 07:00:00,-7.2,81,10.2,91,0.0
2025-03-06 08:00:00,-3.5,70,6.8,65,0.0
2025-03-06 09:00:00,0.6,61,5.0,1,0.0
2025-03-06 10:00:00,2.2,57,5.8,2,0.0
2025-03-06 11:00:00,4.4,48,8.1,0,0.0
2025-03-06 12:00:00,5.9,43,6.5,0,0.0
2025-03-06 13:00:00,7.4,37,7.6,0,0.0
2025-03-06 14:00:00,8.5,34,9.3,0,0.0
2025-03-06 15:00:00,9.4,31,8.2,0,0.0
2025-03-06 16:00:00,9.3,30,8.5,0,0.0
2025-03-06 17:00:00,7.4,34,7.5,0,0.0
2025-03-06 18:00:00,5.8,35,6.3,0,0.0
2025-03-06 19:00:00,4.8,45,2.1,0,0.0
2025-03-06 20:00:00,3.7,49,2.7,3,0.0
2025-03-06 21:00:00,1.3,54,3.2,9,0.0
2025-03-06 22:00:00,-1.1,62,5.6,34,0.0
2025-03-06 23:00:00,-3.0,69,2.2,18,0.0
2025-03-07 00:00:00,-4.8,77,1.0,31,0.0
2025-03-07 01:00:00,-5.7,83,1.3,51,0.0
2025-03-07 02:00:00,-6.7,86,2.2,76,0.0
2025-03-07 03:00:00,-7.0,87,2.0,100,0.0
2025-03-07 04:00:00,-6.8,86,0.6,36,0.0
2025-03-07 05:00:00,-8.0,89,6.7,100,0.0
2025-03-07 06:00:00,-7.1,89,5.8,87,0.0
2025-03-07 07:00:00,-6.8,86,8.0,100,0.0
2025-03-07 08:00:00,-3.2,74,7.7,98,0.0
2025-03-07 09:00:00,2.1,62,1.3,96,0.0
2025-03-07 10:00:00,3.5,58,5.4,94,0.0
2025-03-07 11:00:00,5.4,50,5.1,100,0.0
2025-03-07 12:00:00,7.4,43,5.9,99,0.0
2025-03-07 13:00:00,9.1,39,7.0,48,0.0
2025-03-07 14:00:00,10.1,35,8.4,0,0.0
2025-03-07 15:00:00,10.7,33,7.8,38,0.0
2025-03-07 16:00:00,10.9,32,4.5,2,0.0
2025-03-07 17:00:00,9.4,37,5.2,11,0.0
2025-03-07 18:00:00,6.6,43,6.0,9,0.0
2025-03-07 19:00:00,4.7,52,1.8,15,0.0
2025-03-07 20:00:00,2.5,59,4.1,9,0.0
2025-03-07 21:00:00,-0.5,71,2.8,7,0.0
2025-03-07 22:00:00,-1.8,73,1.4,5,0.0
2025-03-07 23:00:00,-2.5,74,0.5,3,0.0
2025-03-08 00:00:00,-3.7,77,1.3,2,0.0
2025-03-08 01:00:00,-4.4,79,2.7,0,0.0
2025-03-08 02:00:00,-5.7,83,2.2,0,0.0
2025-03-08 03:00:00,-6.8,87,5.0,0,0.0
2025-03-08 04:00:00,-7.1,87,5.2,0,0.0
2025-03-08 05:00:00,-6.8,84,6.5,0,0.0
2025-03-08 06:00:00,-6.8,83,4.2,0,0.0
2025-03-08 07:00:00,-6.3,79,2.6,0,0.0
2025-03-08 08:00:00,-2.3,67,5.7,0,0.0
2025-03-08 09:00:00,3.2,54,2.9,0,0.0
2025-03-08 10:00:00,5.7,47,4.5,0,0.0
2025-03-08 11:00:00,7.8,43,2.7,0,0.0
2025-03-08 12:00:00,9.4,38,1.5,0,0.0
2025-03-08 13:00:00,10.6,34,0.9,4,0.0
2025-03-08 14:00:00,11.4,31,0.6,0,0.0
2025-03-08 15:00:00,11.8,31,1.5,2,0.0
2025-03-08 16:00:00,11.6,31,3.3,85,0.0
2025-03-08 17:00:00,9.9,36,2.6,52,0.0
2025-03-08 18:00:00,6.5,44,4.5,100,0.0
2025-03-08 19:00:00,4.3,53,2.3,77,0.0
2025-03-08 20:00:00,2.2,61,6.1,0,0.0
2025-03-08 21:00:00,1.0,66,5.1,35,0.0
2025-03-08 22:00:00,-1.6,74,2.9,37,0.0
2025-03-08 23:00:00,-3.0,78,2.0,0,0.0
2025-03-09 00:00:00,-4.2,81,2.8,0,0.0
2025-03-09 01:00:00,-5.1,83,3.0,0,0.0
2025-03-09 02:00:00,-6.0,83,2.4,11,0.0
2025-03-09 03:00:00,-6.6,84,1.8,18,0.0
2025-03-09 04:00:00,-6.8,84,2.7,19,0.0
2025-03-09 05:00:00,-7.3,83,3.7,23,0.0
2025-03-09 06:00:00,-4.3,69,4.1,16,0.0
2025-03-09 07:00:00,-5.9,77,2.0,1,0.0
2025-03-09 08:00:00,-1.4,67,7.9,1,0.0
2025-03-09 09:00:00,3.8,54,2.1,36,0.0
2025-03-09 10:00:00,5.2,52,6.8,65,0.0
2025-03-09 11:00:00,7.3,45,6.3,96,0.0
2025-03-09 12:00:00,9.2,39,6.0,100,0.0
2025-03-09 13:00:00,10.5,35,6.9,100,0.0
2025-03-09 14:00:00,10.9,34,8.5,100,0.0
2025-03-09 15:00:00,11.2,32,2.3,100,0.0
2025-03-09 16:00:00,10.4,37,3.1,100,0.0
2025-03-09 17:00:00,9.0,45,3.5,100,0.0
2025-03-09 18:00:00,7.2,54,6.1,100,0.0
2025-03-09 19:00:00,7.3,52,5.9,100,0.0
2025-03-09 20:00:00,6.6,55,2.2,100,0.0
2025-03-09 21:00:00,5.3,61,5.9,100,0.0
2025-03-09 22:00:00,4.2,69,7.3,100,0.0
2025-03-09 23:00:00,3.3,76,1.4,100,0.0
2025-03-10 00:00:00,3.2,78,5.1,100,0.0
2025-03-10 01:00:00,2.6,83,3.7,100,0.0
2025-03-10 02:00:00,1.9,88,6.7,100,0.0
2025-03-10 03:00:00,2.0,85,7.9,100,0.0
2025-03-10 04:00:00,2.6,84,15.8,100,0.0
2025-03-10 05:00:00,2.4,86,12.5,100,0.0
2025-03-10 06:00:00,3.8,88,17.6,100,0.0
2025-03-10 07:00:00,4.0,87,18.9,100,0.1
