time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,24.8,58,16.7,0,0.0
2025-03-01 01:00:00,24.2,62,16.8,0,0.0
2025-03-01 02:00:00,23.5,65,12.0,8,0.0
2025-03-01 03:00:00,22.8,66,8.9,2,0.0
2025-03-01 04:00:00,22.0,69,6.3,0,0.0
2025-03-01 05:00:00,21.2,73,9.2,0,0.0
2025-03-01 06:00:00,21.2,76,15.0,82,0.0
2025-03-01 07:00:00,22.1,67,21.2,93,0.0
2025-03-01 08:00:00,24.5,59,21.3,42,0.0
2025-03-01 09:00:00,27.1,52,14.6,8,0.0
2025-03-01 10:00:00,30.1,42,13.5,1,0.0
2025-03-01 11:00:00,32.6,34,14.8,11,0.0
2025-03-01 12:00:00,34.2,30,14.5,0,0.0
2025-03-01 13:00:00,35.2,28,14.9,16,0.0
2025-03-01 14:00:00,35.5,26,16.1,22,0.0
2025-03-01 15:00:00,35.4,23,17.1,33,0.0
2025-03-01 16:00:00,35.0,20,16.9,17,0.0
2025-03-01 17:00:00,34.0,20,16.5,15,0.0
2025-03-01 18:00:00,32.2,23,15.4,14,0.0
2025-03-01 19:00:00,31.0,25,17.5,0,0.0
2025-03-01 20:00:00,30.0,27,15.9,0,0.0
2025-03-01 21:00:00,29.3,28,16.6,0,0.0
2025-03-01 22:00:00,28.2,30,18.0,0,0.0
2025-03-01 23:00:00,27.1,32,22.2,0,0.0
2025-03-02 00:00:00,26.0,36,18.4,0,0.0
2025-03-02 01:00:00,25.0,39,17.3,0,0.0
2025-03-02 02:00:00,24.4,41,18.7,0,0.0
2025-03-02 03:00:00,24.0,43,23.3,0,0.0
2025-03-02 04:00:00,23.5,46,20.8,0,0.0
2025-03-02 05:00:00,22.9,49,18.2,0,0.0
2025-03-02 06:00:00,22.6,58,18.6,0,0.0
2025-03-02 07:00:00,22.4,59,17.3,0,0.0
2025-03-02 08:00:00,24.6,52,18.3,0,0.0
2025-03-02 09:00:00,27.6,46,13.2,3,0.0
2025-03-02 10:00:00,30.4,39,11.9,93,0.0
2025-03-02 11:00:00,32.7,32,9.5,96,0.0
2025-03-02 12:00:00,34.2,28,8.6,72,0.0
2025-03-02 13:00:00,35.0,28,13.5,9,0.0
2025-03-02 14:00:00,35.2,23,15.5,0,0.0
2025-03-02 15:00:00,34.7,20,17.8,7,0.0
2025-03-02 16:00:00,34.1,20,18.3,0,0.0
2025-03-02 17:00:00,32.9,24,17.9,0,0.0
2025-03-02 18:00:00,31.0,29,14.7,0,0.0
2025-03-02 19:00:00,29.8,33,12.3,12,0.0
2025-03-02 20:00:00,28.9,36,10.7,0,0.0
2025-03-02 21:00:00,28.0,39,12.0,0,0.0
2025-03-02 22:00:00,26.1,53,18.6,0,0.0
2025-03-02 23:00:00,25.0,69,16.5,0,0.0
2025-03-03 00:00:00,24.4,74,14.1,0,0.0
2025-03-03 01:00:00,23.8,78,10.3,0,0.0
2025-03-03 02:00:00,23.0,85,7.6,0,0.0
2025-03-03 03:00:00,22.4,86,8.4,0,0.0
2025-03-03 04:00:00,22.0,87,9.3,10,0.0
2025-03-03 05:00:00,21.9,85,11.1,3,0.0
2025-03-03 06:00:00,20.9,96,8.8,14,0.0
2025-03-03 07:00:00,20.9,93,11.5,27,0.0
2025-03-03 08:00:00,24.4,72,12.6,12,0.0
2025-03-03 09:00:00,28.4,49,8.9,26,0.0
2025-03-03 10:00:00,31.5,33,12.6,21,0.0
2025-03-03 11:00:00,33.6,27,13.8,34,0.0
2025-03-03 12:00:00,35.2,22,13.9,73,0.0
2025-03-03 13:00:00,36.0,21,14.9,90,0.0
2025-03-03 14:00:00,36.0,22,15.7,27,0.0
2025-03-03 15:00:00,35.6,23,17.1,12,0.0
2025-03-03 16:00:00,34.6,23,19.4,26,0.0
2025-03-03 17:00:00,33.5,22,20.0,78,0.0
2025-03-03 18:00:00,31.9,25,18.8,48,0.0
2025-03-03 19:00:00,30.5,28,17.3,40,0.0
2025-03-03 20:00:00,29.5,31,12.8,46,0.0
2025-03-03 21:00:00,28.6,32,13.3,100,0.0
2025-03-03 22:00:00,28.4,32,17.0,11,0.0
2025-03-03 23:00:00,27.2,35,21.3,35,0.0
2025-03-04 00:00:00,26.1,37,18.4,54,0.0
2025-03-04 01:00:00,25.2,40,16.2,20,0.0
2025-03-04 02:00:00,24.7,41,17.8,6,0.0
2025-03-04 03:00:00,24.5,45,23.1,11,0.0
2025-03-04 04:00:00,24.1,52,26.1,99,0.0
2025-03-04 05:00:00,23.8,55,25.4,99,0.0
2025-03-04 06:00:00,23.0,63,25.2,22,0.0
2025-03-04 07:00:00,22.9,67,24.5,59,0.0
2025-03-04 08:00:00,24.8,61,20.3,33,0.0
2025-03-04 09:00:00,27.2,51,21.1,37,0.0
2025-03-04 10:00:00,29.9,39,20.7,0,0.0
2025-03-04 11:00:00,32.3,30,23.1,0,0.0
2025-03-04 12:00:00,34.0,26,21.1,6,0.0
2025-03-04 13:00:00,35.0,24,19.5,1,0.0
2025-03-04 14:00:00,35.3,23,19.3,0,0.0
2025-03-04 15:00:00,35.2,23,19.9,0,0.0
2025-03-04 16:00:00,34.8,22,20.1,0,0.0
2025-03-04 17:00:00,33.8,22,20.6,0,0.0
2025-03-04 18:00:00,31.7,26,20.8,0,0.0
2025-03-04 19:00:00,29.6,30,24.0,0,0.0
2025-03-04 20:00:00,28.7,27,29.3,0,0.0
2025-03-04 21:00:00,27.9,24,27.2,0,0.0
2025-03-04 22:00:00,26.8,23,28.1,0,0.0
2025-03-04 23:00:00,25.8,21,26.6,0,0.0
2025-03-05 00:00:00,24.6,20,27.1,0,0.0
2025-03-05 01:00:00,23.6,20,27.9,0,0.0
2025-03-05 02:00:00,22.7,19,29.3,0,0.0
2025-03-05 03:00:00,21.9,19,29.0,0,0.0
2025-03-05 04:00:00,21.5,21,29.8,0,0.0
2025-03-05 05:00:00,21.4,22,30.5,0,0.0
2025-03-05 06:00:00,20.9,26,31.4,0,0.0
2025-03-05 07:00:00,21.0,24,32.7,0,0.0
2025-03-05 08:00:00,23.0,20,33.7,0,0.0
2025-03-05 09:00:00,25.9,16,25.8,0,0.0
2025-03-05 10:00:00,29.1,13,22.5,0,0.0
2025-03-05 11:00:00,31.8,11,23.2,0,0.0
2025-03-05 12:00:00,33.6,9,22.9,0,0.0
2025-03-05 13:00:00,34.8,7,22.9,0,0.0
2025-03-05 14:00:00,35.3,6,23.1,0,0.0
2025-03-05 15:00:00,35.7,6,23.4,0,0.0
2025-03-05 16:00:00,35.3,6,24.3,0,0.0
2025-03-05 17:00:00,34.0,7,23.8,0,0.0
2025-03-05 18:00:00,31.8,10,22.6,0,0.0
2025-03-05 19:00:00,29.6,13,24.7,0,0.0
2025-03-05 20:00:00,28.0,15,27.2,0,0.0
2025-03-05 21:00:00,26.9,14,29.5,0,0.0
2025-03-05 22:00:00,25.6,15,27.7,0,0.0
2025-03-05 23:00:00,24.6,17,27.1,0,0.0
2025-03-06 00:00:00,23.8,18,26.9,0,0.0
2025-03-06 01:00:00,22.9,19,25.5,0,0.0
2025-03-06 02:00:00,21.9,22,24.6,0,0.0
2025-03-06 03:00:00,21.0,24,24.5,0,0.0
2025-03-06 04:00:00,20.3,25,25.4,0,0.0
2025-03-06 05:00:00,19.9,27,24.6,0,0.0
2025-03-06 06:00:00,18.6,33,21.6,0,0.0
2025-03-06 07:00:00,18.4,34,19.0,0,0.0
2025-03-06 08:00:00,21.1,29,17.4,0,0.0
2025-03-06 09:00:00,25.6,21,9.4,0,0.0
2025-03-06 10:00:00,30.3,14,8.1,0,0.0
2025-03-06 11:00:00,33.3,11,8.8,0,0.0
2025-03-06 12:00:00,35.0,9,10.0,0,0.0
2025-03-06 13:00:00,35.8,9,11.9,0,0.0
2025-03-06 14:00:00,36.1,10,14.1,0,0.0
2025-03-06 15:00:00,35.4,13,17.8,0,0.0
2025-03-06 16:00:00,33.7,16,21.2,0,0.0
2025-03-06 17:00:00,32.5,15,19.8,0,0.0
2025-03-06 18:00:00,31.0,14,20.6,0,0.0
2025-03-06 19:00:00,29.6,16,21.4,0,0.0
2025-03-06 20:00:00,28.9,17,20.2,0,0.0
2025-03-06 21:00:00,28.1,17,22.3,0,0.0
2025-03-06 22:00:00,27.1,18,21.6,0,0.0
2025-03-06 23:00:00,26.4,19,22.7,0,0.0
2025-03-07 00:00:00,25.5,20,22.6,0,0.0
2025-03-07 01:00:00,24.6,22,23.6,0,0.0
2025-03-07 02:00:00,23.6,27,23.6,0,0.0
2025-03-07 03:00:00,22.6,28,21.9,0,0.0
2025-03-07 04:00:00,21.9,28,22.0,0,0.0
2025-03-07 05:00:00,21.4,29,23.4,0,0.0
2025-03-07 06:00:00,20.5,34,20.7,0,0.0
2025-03-07 07:00:00,20.5,34,20.0,0,0.0
2025-03-07 08:00:00,23.4,29,18.9,0,0.0
2025-03-07 09:00:00,27.7,21,11.4,0,0.0
2025-03-07 10:00:00,31.6,15,11.0,0,0.0
2025-03-07 11:00:00,34.4,12,11.9,0,0.0
2025-03-07 12:00:00,36.3,10,11.5,0,0.0
2025-03-07 13:00:00,37.5,9,10.2,0,0.0
2025-03-07 14:00:00,37.8,9,10.8,0,0.0
2025-03-07 15:00:00,37.2,12,14.2,0,0.0
2025-03-07 16:00:00,35.8,16,18.5,0,0.0
2025-03-07 17:00:00,34.0,16,20.2,0,0.0
2025-03-07 18:00:00,31.8,18,17.6,0,0.0
2025-03-07 19:00:00,29.9,19,21.1,0,0.0
2025-03-07 20:00:00,29.1,19,19.5,0,0.0
2025-03-07 21:00:00,28.9,19,19.0,0,0.0
2025-03-07 22:00:00,27.9,20,16.0,0,0.0
2025-03-07 23:00:00,27.1,20,14.0,0,0.0
2025-03-08 00:00:00,26.2,24,14.4,0,0.0
2025-03-08 01:00:00,24.7,40,14.0,0,0.0
2025-03-08 02:00:00,24.0,47,9.9,0,0.0
2025-03-08 03:00:00,23.0,48,9.1,0,0.0
2025-03-08 04:00:00,22.5,49,9.5,0,0.0
2025-03-08 05:00:00,21.6,53,11.8,0,0.0
2025-03-08 06:00:00,20.5,57,11.9,0,0.0
2025-03-08 07:00:00,21.0,58,13.7,0,0.0
2025-03-08 08:00:00,25.0,44,13.5,0,0.0
2025-03-08 09:00:00,29.8,31,7.5,0,0.0
2025-03-08 10:00:00,33.2,22,8.3,0,0.0
2025-03-08 11:00:00,35.6,18,9.2,0,0.0
2025-03-08 12:00:00,37.3,15,10.4,0,0.0
2025-03-08 13:00:00,38.2,14,11.3,0,0.0
2025-03-08 14:00:00,38.5,13,12.1,0,0.0
2025-03-08 15:00:00,38.4,12,12.7,0,0.0
2025-03-08 16:00:00,37.8,11,12.5,0,0.0
2025-03-08 17:00:00,37.0,11,11.6,0,0.0
2025-03-08 18:00:00,35.0,14,9.7,0,0.0
2025-03-08 19:00:00,33.0,19,7.9,0,0.0
2025-03-08 20:00:00,29.4,34,24.2,0,0.0
2025-03-08 21:00:00,26.8,53,19.8,0,0.0
2025-03-08 22:00:00,26.5,54,20.9,0,0.0
2025-03-08 23:00:00,26.5,50,18.0,0,0.0
2025-03-09 00:00:00,25.6,53,16.4,0,0.0
2025-03-09 01:00:00,25.0,61,16.6,0,0.0
2025-03-09 02:00:00,23.9,70,8.3,0,0.0
2025-03-09 03:00:00,23.4,70,5.3,0,0.0
2025-03-09 04:00:00,22.5,72,6.2,0,0.0
2025-03-09 05:00:00,22.2,72,8.5,0,0.0
2025-03-09 06:00:00,21.5,83,10.6,0,0.0
2025-03-09 07:00:00,21.5,82,8.9,0,0.0
2025-03-09 08:00:00,25.1,65,9.5,0,0.0
2025-03-09 09:00:00,29.4,45,4.2,0,0.0
2025-03-09 10:00:00,32.8,33,2.4,0,0.0
2025-03-09 11:00:00,35.8,24,1.0,0,0.0
2025-03-09 12:00:00,37.7,19,2.0,0,0.0
2025-03-09 13:00:00,38.0,19,7.3,0,0.0
2025-03-09 14:00:00,37.6,24,13.1,0,0.0
2025-03-09 15:00:00,37.0,26,15.8,0,0.0
2025-03-09 16:00:00,36.7,23,16.0,0,0.0
2025-03-09 17:00:00,35.7,21,16.6,0,0.0
2025-03-09 18:00:00,33.3,28,17.7,0,0.0
2025-03-09 19:00:00,31.5,30,20.9,0,0.0
2025-03-09 20:00:00,30.4,29,21.4,0,0.0
2025-03-09 21:00:00,30.0,29,19.9,0,0.0
2025-03-09 22:00:00,29.6,28,16.6,0,0.0
2025-03-09 23:00:00,29.2,26,16.5,0,0.0
2025-03-10 00:00:00,28.6,25,17.7,0,0.0
2025-03-10 01:00:00,27.6,26,18.4,0,0.0
2025-03-10 02:00:00,27.0,30,19.9,0,0.0
2025-03-10 03:00:00,26.1,34,16.1,0,0.0
2025-03-10 04:00:00,25.3,36,14.8,0,0.0
2025-03-10 05:00:00,24.8,38,16.7,0,0.0
2025-03-10 06:00:00,24.2,43,17.3,0,0.0
2025-03-10 07:00:00,24.6,42,21.2,1,0.0
2025-03-10 08:00:00,27.9,36,20.6,0,0.0
2025-03-10 09:00:00,31.6,29,14.0,0,0.0
2025-03-10 10:00:00,35.8,20,13.2,0,0.0
2025-03-10 11:00:00,38.7,14,17.9,0,0.0
2025-03-10 12:00:00,40.4,12,17.5,0,0.0
2025-03-10 13:00:00,41.8,11,15.8,0,0.0
2025-03-10 14:00:00,42.0,11,10.9,0,0.0
2025-03-10 15:00:00,42.0,10,11.1,0,0.0
2025-03-10 16:00:00,41.0,11,12.9,0,0.0
2025-03-10 17:00:00,38.3,22,19.5,0,0.0
2025-03-10 18:00:00,35.3,30,23.5,0,0.0
2025-03-10 19:00:00,33.5,31,21.7,0,0.0
2025-03-10 20:00:00,32.7,31,16.4,0,0.0
2025-03-10 21:00:00,32.2,26,15.3,0,0.0
2025-03-10 22:00:00,31.3,23,15.4,0,0.0
2025-03-10 23:00:00,30.2,23,13.0,0,0.0
2025-03-11 00:00:00,29.5,24,12.8,0,0.0
2025-03-11 01:00:00,29.1,26,16.8,0,0.0
2025-03-11 02:00:00,28.9,31,19.1,0,0.0
2025-03-11 03:00:00,28.7,33,21.1,0,0.0
2025-03-11 04:00:00,27.9,35,18.6,0,0.0
2025-03-11 05:00:00,26.8,39,17.6,0,0.0
2025-03-11 06:00:00,26.5,42,15.5,0,0.0
2025-03-11 07:00:00,26.5,43,14.6,0,0.0
2025-03-11 08:00:00,29.4,37,17.5,0,0.0
2025-03-11 09:00:00,33.0,28,11.4,0,0.0
2025-03-11 10:00:00,36.3,21,10.8,0,0.0
2025-03-11 11:00:00,39.0,18,8.2,0,0.0
2025-03-11 12:00:00,40.8,16,7.6,0,0.0
2025-03-11 13:00:00,41.0,16,12.4,0,0.0
2025-03-11 14:00:00,40.8,16,15.5,0,0.0
2025-03-11 15:00:00,39.8,17,19.1,0,0.0
2025-03-11 16:00:00,38.2,18,19.8,0,0.0
2025-03-11 17:00:00,36.5,21,16.4,3,0.0
2025-03-11 18:00:00,33.8,28,17.9,0,0.0
2025-03-11 19:00:00,32.0,33,19.7,0,0.0
2025-03-11 20:00:00,31.2,35,19.7,0,0.0
2025-03-11 21:00:00,30.4,39,16.7,0,0.0
2025-03-11 22:00:00,29.4,44,14.1,0,0.0
2025-03-11 23:00:00,28.6,47,5.2,0,0.0
2025-03-12 00:00:00,27.6,48,13.8,0,0.0
2025-03-12 01:00:00,26.5,56,15.2,0,0.0
2025-03-12 02:00:00,25.6,66,11.1,0,0.0
2025-03-12 03:00:00,25.0,72,7.6,0,0.0
2025-03-12 04:00:00,24.4,77,7.8,0,0.0
2025-03-12 05:00:00,23.7,81,3.9,0,0.0
2025-03-12 06:00:00,23.8,82,7.2,0,0.0
2025-03-12 07:00:00,23.8,82,8.5,0,0.0
2025-03-12 08:00:00,27.5,64,11.7,0,0.0
2025-03-12 09:00:00,31.5,44,5.8,0,0.0
2025-03-12 10:00:00,35.2,31,2.3,0,0.0
2025-03-12 11:00:00,37.5,26,4.2,0,0.0
2025-03-12 12:00:00,38.3,26,8.6,0,0.0
2025-03-12 13:00:00,38.8,26,11.6,0,0.0
2025-03-12 14:00:00,39.2,24,13.5,0,0.0
2025-03-12 15:00:00,39.0,22,14.9,1,0.0
2025-03-12 16:00:00,38.3,21,14.1,0,0.0
2025-03-12 17:00:00,37.2,21,12.6,0,0.0
2025-03-12 18:00:00,35.0,26,14.2,0,0.0
2025-03-12 19:00:00,33.2,29,14.3,0,0.0
2025-03-12 20:00:00,32.2,32,4.4,1,0.0
2025-03-12 21:00:00,31.4,35,4.7,0,0.0
2025-03-12 22:00:00,29.1,47,26.9,0,0.0
2025-03-12 23:00:00,28.0,58,23.9,0,0.0
2025-03-13 00:00:00,27.5,62,18.9,0,0.0
2025-03-13 01:00:00,27.1,62,16.9,0,0.0
2025-03-13 02:00:00,26.3,65,10.1,0,0.0
2025-03-13 03:00:00,25.5,72,8.3,0,0.0
2025-03-13 04:00:00,24.9,78,11.3,0,0.0
2025-03-13 05:00:00,24.1,83,7.4,0,0.0
