time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,23.0,73,9.3,89,0.0
2025-03-01 01:00:00,21.8,81,9.7,18,0.0
2025-03-01 02:00:00,20.9,86,9.1,43,0.0
2025-03-01 03:00:00,20.4,89,8.7,32,0.0
2025-03-01 04:00:00,20.0,90,6.2,0,0.0
2025-03-01 05:00:00,19.6,92,6.4,8,0.0
2025-03-01 06:00:00,19.8,95,4.8,0,0.0
2025-03-01 07:00:00,22.0,85,4.1,0,0.0
2025-03-01 08:00:00,25.8,66,2.7,0,0.0
2025-03-01 09:00:00,28.6,51,0.6,0,0.0
2025-03-01 10:00:00,30.9,41,2.3,0,0.0
2025-03-01 11:00:00,32.8,35,4.2,0,0.0
2025-03-01 12:00:00,34.3,30,4.6,0,0.0
2025-03-01 13:00:00,35.2,28,3.6,0,0.0
2025-03-01 14:00:00,35.6,25,2.0,0,0.0
2025-03-01 15:00:00,35.5,24,2.4,0,0.0
2025-03-01 16:00:00,35.2,25,1.0,0,0.0
2025-03-01 17:00:00,31.4,39,11.7,0,0.0
2025-03-01 18:00:00,29.0,38,19.4,0,0.0
2025-03-01 19:00:00,28.9,36,26.1,0,0.0
2025-03-01 20:00:00,27.3,46,22.6,0,0.0
2025-03-01 21:00:00,25.5,53,18.6,0,0.0
2025-03-01 22:00:00,24.6,56,11.9,0,0.0
2025-03-01 23:00:00,23.2,62,8.3,0,0.0
2025-03-02 00:00:00,22.3,68,4.1,0,0.0
2025-03-02 01:00:00,21.2,72,2.0,0,0.0
2025-03-02 02:00:00,20.2,76,6.4,0,0.0
2025-03-02 03:00:00,20.5,74,7.8,0,0.0
2025-03-02 04:00:00,20.5,72,4.9,0,0.0
2025-03-02 05:00:00,19.2,75,7.5,0,0.0
2025-03-02 06:00:00,20.0,74,6.8,0,0.0
2025-03-02 07:00:00,22.2,68,9.5,0,0.0
2025-03-02 08:00:00,25.8,57,7.3,0,0.0
2025-03-02 09:00:00,29.4,43,5.5,0,0.0
2025-03-02 10:00:00,32.2,34,6.7,0,0.0
2025-03-02 11:00:00,34.4,30,9.6,2,0.0
2025-03-02 12:00:00,36.0,25,11.7,99,0.0
2025-03-02 13:00:00,36.6,22,11.8,99,0.0
2025-03-02 14:00:00,36.8,21,12.6,99,0.0
2025-03-02 15:00:00,36.7,20,15.6,100,0.0
2025-03-02 16:00:00,35.5,24,14.7,99,0.0
2025-03-02 17:00:00,32.7,29,23.7,98,0.0
2025-03-02 18:00:00,28.9,40,13.1,24,0.0
2025-03-02 19:00:00,27.4,46,13.5,8,0.0
2025-03-02 20:00:00,26.1,47,1.9,6,0.0
2025-03-02 21:00:00,25.1,48,8.4,5,0.0
2025-03-02 22:00:00,24.3,51,6.0,65,0.0
2025-03-02 23:00:00,23.6,51,13.4,34,0.0
2025-03-03 00:00:00,23.1,54,16.5,9,0.0
2025-03-03 01:00:00,22.7,58,12.4,12,0.0
2025-03-03 02:00:00,22.2,60,6.5,24,0.0
2025-03-03 03:00:00,20.5,69,4.4,48,0.0
2025-03-03 04:00:00,19.9,71,12.0,67,0.0
2025-03-03 05:00:00,19.6,79,11.8,68,0.0
2025-03-03 06:00:00,21.7,85,10.0,25,0.0
2025-03-03 07:00:00,24.1,76,11.8,14,0.0
2025-03-03 08:00:00,27.0,62,8.0,10,0.0
2025-03-03 09:00:00,30.0,49,6.6,5,0.0
2025-03-03 10:00:00,32.3,40,4.8,0,0.0
2025-03-03 11:00:00,33.9,34,6.1,0,0.0
2025-03-03 12:00:00,35.0,30,8.3,3,0.0
2025-03-03 13:00:00,35.7,26,12.2,14,0.0
2025-03-03 14:00:00,35.5,26,13.9,44,0.0
2025-03-03 15:00:00,35.5,25,12.2,78,0.0
2025-03-03 16:00:00,35.5,24,9.8,91,0.0
2025-03-03 17:00:00,32.2,35,17.9,3,0.0
2025-03-03 18:00:00,28.6,49,9.8,7,0.0
2025-03-03 19:00:00,27.8,52,4.3,0,0.0
2025-03-03 20:00:00,26.7,54,5.2,0,0.0
2025-03-03 21:00:00,25.8,56,4.9,0,0.0
2025-03-03 22:00:00,24.7,61,23.1,24,0.0
2025-03-03 23:00:00,23.9,70,17.5,2,0.0
2025-03-04 00:00:00,23.2,82,12.2,0,0.0
2025-03-04 01:00:00,22.7,89,3.8,0,0.0
2025-03-04 02:00:00,21.4,96,5.9,8,0.0
2025-03-04 03:00:00,20.8,98,8.7,97,0.0
2025-03-04 04:00:00,20.5,98,9.3,93,0.0
2025-03-04 05:00:00,20.5,99,11.3,94,0.0
2025-03-04 06:00:00,21.5,98,12.3,84,0.0
