time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,7.0,98,15.1,71,0.2
2025-03-01 01:00:00,6.5,98,16.3,67,0.0
2025-03-01 02:00:00,6.1,97,16.3,25,0.0
2025-03-01 03:00:00,5.5,95,14.3,9,0.0
2025-03-01 04:00:00,5.2,94,13.1,2,0.0
2025-03-01 05:00:00,4.5,94,11.1,7,0.0
2025-03-01 06:00:00,5.1,95,8.9,26,0.0
2025-03-01 07:00:00,5.8,95,9.3,14,0.0
2025-03-01 08:00:00,10.8,83,11.1,93,0.0
2025-03-01 09:00:00,12.2,63,5.5,89,0.0
2025-03-01 10:00:00,14.2,50,2.8,100,0.0
2025-03-01 11:00:00,13.4,56,7.4,64,0.0
2025-03-01 12:00:00,14.8,51,11.1,100,0.0
2025-03-01 13:00:00,14.2,53,14.5,100,0.0
2025-03-01 14:00:00,13.5,55,12.5,68,0.0
2025-03-01 15:00:00,14.7,50,11.8,2,0.0
2025-03-01 16:00:00,14.0,54,13.0,7,0.0
2025-03-01 17:00:00,12.5,63,9.4,5,0.0
2025-03-01 18:00:00,9.9,68,9.7,15,0.0
2025-03-01 19:00:00,8.6,72,12.5,11,0.0
2025-03-01 20:00:00,7.1,80,6.8,1,0.0
2025-03-01 21:00:00,6.7,81,4.8,0,0.0
2025-03-01 22:00:00,7.0,76,6.0,0,0.0
2025-03-01 23:00:00,6.8,75,7.7,0,0.0
2025-03-02 00:00:00,6.5,73,8.0,0,0.0
2025-03-02 01:00:00,6.3,71,7.4,0,0.0
2025-03-02 02:00:00,6.3,65,5.7,0,0.0
2025-03-02 03:00:00,6.4,60,4.8,0,0.0
2025-03-02 04:00:00,6.3,58,4.5,0,0.0
2025-03-02 05:00:00,6.0,59,4.3,0,0.0
2025-03-02 06:00:00,5.7,66,1.5,0,0.0
2025-03-02 07:00:00,8.0,58,3.4,0,0.0
2025-03-02 08:00:00,13.7,49,4.2,0,0.0
2025-03-02 09:00:00,15.2,29,3.5,0,0.0
2025-03-02 10:00:00,15.9,30,6.1,0,0.0
2025-03-02 11:00:00,16.7,33,10.0,0,0.0
2025-03-02 12:00:00,17.1,34,13.5,7,0.0
2025-03-02 13:00:00,17.3,32,15.9,0,0.0
2025-03-02 14:00:00,17.0,32,17.2,0,0.0
2025-03-02 15:00:00,16.3,37,17.2,0,0.0
2025-03-02 16:00:00,15.1,43,17.6,0,0.0
2025-03-02 17:00:00,13.2,52,14.1,0,0.0
2025-03-02 18:00:00,9.7,68,7.9,0,0.0
2025-03-02 19:00:00,8.5,74,5.1,0,0.0
2025-03-02 20:00:00,8.2,74,3.2,0,0.0
2025-03-02 21:00:00,8.2,72,4.5,0,0.0
2025-03-02 22:00:00,8.2,73,4.4,0,0.0
2025-03-02 23:00:00,7.3,76,1.8,0,0.0
2025-03-03 00:00:00,6.8,76,1.2,0,0.0
2025-03-03 01:00:00,6.4,74,3.1,0,0.0
2025-03-03 02:00:00,6.1,70,3.7,0,0.0
2025-03-03 03:00:00,5.9,68,4.5,0,0.0
2025-03-03 04:00:00,6.0,67,2.8,0,0.0
2025-03-03 05:00:00,6.3,63,1.0,0,0.0
2025-03-03 06:00:00,5.9,56,1.5,0,0.0
2025-03-03 07:00:00,8.9,50,0.9,0,0.0
2025-03-03 08:00:00,14.9,38,1.1,14,0.0
2025-03-03 09:00:00,16.7,26,3.5,0,0.0
2025-03-03 10:00:00,16.8,35,11.0,2,0.0
2025-03-03 11:00:00,17.7,28,11.1,0,0.0
2025-03-03 12:00:00,18.7,16,15.9,10,0.0
2025-03-03 13:00:00,18.7,17,16.4,11,0.0
2025-03-03 14:00:00,18.8,22,17.6,13,0.0
2025-03-03 15:00:00,18.1,28,17.1,9,0.0
2025-03-03 16:00:00,17.2,32,16.0,21,0.0
2025-03-03 17:00:00,14.9,48,9.3,14,0.0
2025-03-03 18:00:00,11.6,60,7.8,2,0.0
2025-03-03 19:00:00,9.7,64,4.4,2,0.0
2025-03-03 20:00:00,8.8,68,3.0,9,0.0
2025-03-03 21:00:00,8.4,71,3.0,19,0.0
2025-03-03 22:00:00,8.4,70,9.9,48,0.0
2025-03-03 23:00:00,8.3,76,18.8,53,0.1
2025-03-04 00:00:00,7.9,83,16.6,100,0.3
2025-03-04 01:00:00,7.8,83,16.7,100,0.1
2025-03-04 02:00:00,7.1,93,13.4,92,0.4
2025-03-04 03:00:00,6.5,90,20.1,94,0.1
2025-03-04 04:00:00,5.6,96,16.7,52,0.6
2025-03-04 05:00:00,5.3,96,16.2,35,0.4
2025-03-04 06:00:00,6.3,94,13.4,17,0.1
2025-03-04 07:00:00,7.1,93,16.5,100,0.1
2025-03-04 08:00:00,8.2,88,8.3,80,0.6
2025-03-04 09:00:00,9.6,89,9.0,44,0.4
2025-03-04 10:00:00,12.0,65,7.2,76,0.4
2025-03-04 11:00:00,12.6,59,5.2,95,0.0
2025-03-04 12:00:00,12.4,60,4.5,66,2.3
2025-03-04 13:00:00,14.8,46,4.2,21,0.1
2025-03-04 14:00:00,15.0,41,11.1,19,0.0
2025-03-04 15:00:00,14.5,41,16.2,57,0.0
2025-03-04 16:00:00,12.8,49,22.0,29,0.0
2025-03-04 17:00:00,11.5,53,21.2,7,0.0
2025-03-04 18:00:00,9.1,73,18.4,2,0.0
2025-03-04 19:00:00,7.4,83,14.0,0,0.0
2025-03-04 20:00:00,6.8,86,8.6,1,0.0
2025-03-04 21:00:00,5.8,89,4.6,0,0.0
2025-03-04 22:00:00,5.3,89,3.6,0,0.0
2025-03-04 23:00:00,5.1,85,3.3,0,0.0
2025-03-05 00:00:00,5.0,80,4.6,0,0.0
2025-03-05 01:00:00,5.1,76,4.4,0,0.0
2025-03-05 02:00:00,5.3,74,3.6,0,0.0
2025-03-05 03:00:00,5.4,74,3.0,0,0.0
2025-03-05 04:00:00,5.1,75,1.8,0,0.0
2025-03-05 05:00:00,5.6,70,1.2,0,0.0
2025-03-05 06:00:00,5.4,67,4.1,0,0.0
2025-03-05 07:00:00,7.8,64,2.6,0,0.0
2025-03-05 08:00:00,11.9,46,4.5,0,0.0
2025-03-05 09:00:00,13.5,40,3.6,0,0.0
2025-03-05 10:00:00,14.1,45,7.6,0,0.0
2025-03-05 11:00:00,14.1,52,11.6,0,0.0
2025-03-05 12:00:00,14.0,51,16.6,0,0.0
2025-03-05 13:00:00,14.4,49,20.0,0,0.0
2025-03-05 14:00:00,14.4,51,22.7,0,0.0
2025-03-05 15:00:00,13.8,54,17.8,0,0.0
2025-03-05 16:00:00,12.9,58,14.4,0,0.0
