time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,26.6,36,17.9,12,0.0
2025-03-01 01:00:00,25.6,39,17.4,21,0.0
2025-03-01 02:00:00,25.0,42,19.5,6,0.0
2025-03-01 03:00:00,24.0,45,23.1,20,0.0
2025-03-01 04:00:00,23.1,49,24.1,33,0.0
2025-03-01 05:00:00,22.5,53,22.6,68,0.0
2025-03-01 06:00:00,22.4,62,16.0,3,0.0
2025-03-01 07:00:00,22.2,66,11.9,0,0.0
2025-03-01 08:00:00,23.8,62,5.7,0,0.0
2025-03-01 09:00:00,26.1,54,7.0,0,0.0
2025-03-01 10:00:00,29.0,45,8.1,12,0.0
2025-03-01 11:00:00,31.6,34,11.4,11,0.0
2025-03-01 12:00:00,33.3,27,13.1,18,0.0
2025-03-01 13:00:00,34.2,24,14.0,68,0.0
2025-03-01 14:00:00,34.7,22,14.4,66,0.0
2025-03-01 15:00:00,34.5,21,15.3,80,0.0
2025-03-01 16:00:00,34.0,21,15.1,25,0.0
2025-03-01 17:00:00,33.1,22,14.9,46,0.0
2025-03-01 18:00:00,31.7,26,13.1,0,0.0
2025-03-01 19:00:00,30.6,28,13.7,0,0.0
2025-03-01 20:00:00,29.8,30,14.5,0,0.0
2025-03-01 21:00:00,28.8,32,14.3,0,0.0
2025-03-01 22:00:00,27.6,35,16.5,0,0.0
2025-03-01 23:00:00,26.4,38,16.7,0,0.0
2025-03-02 00:00:00,25.4,40,19.7,0,0.0
2025-03-02 01:00:00,25.0,40,19.8,0,0.0
2025-03-02 02:00:00,24.2,42,18.4,0,0.0
2025-03-02 03:00:00,23.5,44,18.7,0,0.0
2025-03-02 04:00:00,22.9,45,18.2,0,0.0
2025-03-02 05:00:00,22.4,46,16.0,0,0.0
2025-03-02 06:00:00,22.6,51,16.4,0,0.0
2025-03-02 07:00:00,22.4,52,17.1,0,0.0
2025-03-02 08:00:00,24.3,47,15.1,0,0.0
2025-03-02 09:00:00,27.1,40,7.1,0,0.0
2025-03-02 10:00:00,29.7,34,4.9,0,0.0
2025-03-02 11:00:00,31.9,28,4.9,0,0.0
2025-03-02 12:00:00,33.2,25,4.5,0,0.0
2025-03-02 13:00:00,34.0,23,8.0,95,0.0
2025-03-02 14:00:00,34.2,22,13.1,99,0.0
2025-03-02 15:00:00,34.0,21,15.7,0,0.0
2025-03-02 16:00:00,33.5,20,16.8,0,0.0
2025-03-02 17:00:00,32.3,23,17.7,0,0.0
2025-03-02 18:00:00,31.0,26,16.6,7,0.0
2025-03-02 19:00:00,30.0,30,14.3,0,0.0
2025-03-02 20:00:00,29.2,32,14.8,0,0.0
2025-03-02 21:00:00,28.2,34,15.3,0,0.0
2025-03-02 22:00:00,27.0,37,21.5,0,0.0
2025-03-02 23:00:00,26.5,38,22.6,0,0.0
2025-03-03 00:00:00,25.6,38,21.4,0,0.0
2025-03-03 01:00:00,24.9,40,21.2,0,0.0
2025-03-03 02:00:00,24.2,43,18.3,0,0.0
2025-03-03 03:00:00,23.4,46,14.3,2,0.0
2025-03-03 04:00:00,23.3,47,14.4,14,0.0
2025-03-03 05:00:00,22.6,50,11.9,52,0.0
2025-03-03 06:00:00,22.2,55,5.1,100,0.0
2025-03-03 07:00:00,22.3,56,3.5,99,0.0
2025-03-03 08:00:00,24.1,48,5.2,93,0.0
2025-03-03 09:00:00,26.9,40,5.3,64,0.0
2025-03-03 10:00:00,29.2,35,6.8,29,0.0
2025-03-03 11:00:00,31.5,30,7.2,19,0.0
2025-03-03 12:00:00,33.2,26,8.6,13,0.0
2025-03-03 13:00:00,34.2,23,10.8,56,0.0
2025-03-03 14:00:00,34.8,22,13.6,49,0.0
2025-03-03 15:00:00,34.8,22,14.7,92,0.0
2025-03-03 16:00:00,34.3,23,13.2,100,0.0
2025-03-03 17:00:00,33.5,25,14.4,64,0.0
2025-03-03 18:00:00,31.9,28,15.7,19,0.0
2025-03-03 19:00:00,31.0,30,15.8,85,0.0
2025-03-03 20:00:00,30.5,29,16.7,100,0.0
2025-03-03 21:00:00,29.4,30,18.8,97,0.0
2025-03-03 22:00:00,28.1,30,17.5,75,0.0
2025-03-03 23:00:00,27.1,32,13.5,73,0.0
2025-03-04 00:00:00,26.3,33,14.6,66,0.0
2025-03-04 01:00:00,25.9,34,16.1,4,0.0
2025-03-04 02:00:00,25.0,37,18.4,2,0.0
2025-03-04 03:00:00,24.0,41,22.8,8,0.0
2025-03-04 04:00:00,23.2,44,23.7,27,0.0
2025-03-04 05:00:00,22.6,48,23.0,84,0.0
2025-03-04 06:00:00,22.5,58,21.8,19,0.0
2025-03-04 07:00:00,22.5,61,21.5,52,0.0
2025-03-04 08:00:00,24.2,55,17.1,5,0.0
2025-03-04 09:00:00,27.0,44,14.0,0,0.0
2025-03-04 10:00:00,29.8,33,14.6,0,0.0
2025-03-04 11:00:00,32.0,26,18.4,0,0.0
2025-03-04 12:00:00,33.4,23,18.7,0,0.0
2025-03-04 13:00:00,34.2,20,18.3,0,0.0
2025-03-04 14:00:00,34.7,18,18.8,0,0.0
2025-03-04 15:00:00,34.5,16,20.0,0,0.0
2025-03-04 16:00:00,33.8,14,20.4,0,0.0
2025-03-04 17:00:00,32.9,14,21.2,0,0.0
2025-03-04 18:00:00,31.1,16,21.5,0,0.0
2025-03-04 19:00:00,29.1,19,25.5,0,0.0
2025-03-04 20:00:00,27.9,20,22.7,0,0.0
2025-03-04 21:00:00,26.5,22,30.2,0,0.0
2025-03-04 22:00:00,25.6,15,28.9,0,0.0
2025-03-04 23:00:00,24.5,16,28.0,0,0.0
2025-03-05 00:00:00,23.7,15,28.8,0,0.0
2025-03-05 01:00:00,23.1,15,29.6,0,0.0
2025-03-05 02:00:00,22.4,17,30.5,0,0.0
2025-03-05 03:00:00,21.6,16,31.4,0,0.0
2025-03-05 04:00:00,21.0,15,32.9,0,0.0
2025-03-05 05:00:00,20.4,14,34.3,0,0.0
2025-03-05 06:00:00,20.0,18,32.6,0,0.0
2025-03-05 07:00:00,19.6,20,29.4,0,0.0
2025-03-05 08:00:00,21.1,20,22.0,0,0.0
2025-03-05 09:00:00,23.5,18,22.4,0,0.0
2025-03-05 10:00:00,26.0,16,22.9,0,0.0
2025-03-05 11:00:00,28.6,12,22.1,0,0.0
2025-03-05 12:00:00,30.5,11,20.4,0,0.0
2025-03-05 13:00:00,32.1,9,19.7,0,0.0
2025-03-05 14:00:00,33.2,7,19.9,0,0.0
2025-03-05 15:00:00,33.3,6,21.1,0,0.0
2025-03-05 16:00:00,33.0,6,21.2,0,0.0
2025-03-05 17:00:00,32.0,7,20.5,0,0.0
2025-03-05 18:00:00,30.0,10,19.5,0,0.0
2025-03-05 19:00:00,28.2,13,23.0,0,0.0
2025-03-05 20:00:00,27.4,14,20.3,0,0.0
2025-03-05 21:00:00,26.6,15,17.6,0,0.0
2025-03-05 22:00:00,24.9,17,14.8,0,0.0
2025-03-05 23:00:00,24.0,18,11.5,0,0.0
2025-03-06 00:00:00,22.3,21,17.4,0,0.0
2025-03-06 01:00:00,21.4,23,17.5,0,0.0
2025-03-06 02:00:00,20.1,26,17.0,0,0.0
2025-03-06 03:00:00,19.1,28,16.8,0,0.0
2025-03-06 04:00:00,18.6,29,20.3,0,0.0
2025-03-06 05:00:00,18.4,29,21.4,0,0.0
2025-03-06 06:00:00,17.5,36,15.8,0,0.0
2025-03-06 07:00:00,17.6,35,15.3,0,0.0
2025-03-06 08:00:00,20.1,30,15.3,0,0.0
2025-03-06 09:00:00,24.4,22,13.4,0,0.0
