time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.9,66,21.2,96,0.0
2025-03-01 01:00:00,22.6,68,21.1,95,0.0
2025-03-01 02:00:00,22.2,70,20.7,58,0.0
2025-03-01 03:00:00,21.8,71,19.0,43,0.0
2025-03-01 04:00:00,20.5,78,37.4,77,0.0
2025-03-01 05:00:00,20.0,82,23.7,72,0.0
2025-03-01 06:00:00,19.8,88,25.6,61,0.0
2025-03-01 07:00:00,20.5,84,23.8,87,0.0
2025-03-01 08:00:00,21.5,79,18.9,88,0.0
2025-03-01 09:00:00,24.9,67,16.3,71,0.0
2025-03-01 10:00:00,27.5,56,12.2,45,0.0
2025-03-01 11:00:00,29.1,50,10.7,77,0.0
2025-03-01 12:00:00,29.5,48,10.5,42,0.0
2025-03-01 13:00:00,30.0,47,14.6,49,0.0
2025-03-01 14:00:00,29.6,45,14.3,61,0.0
2025-03-01 15:00:00,30.0,43,9.3,44,0.0
2025-03-01 16:00:00,29.4,45,8.6,41,0.0
2025-03-01 17:00:00,27.5,52,13.9,69,0.0
2025-03-01 18:00:00,26.8,54,21.3,5,0.0
2025-03-01 19:00:00,25.3,57,18.4,4,0.0
2025-03-01 20:00:00,24.2,61,18.6,0,0.0
2025-03-01 21:00:00,23.2,64,14.1,0,0.0
2025-03-01 22:00:00,22.1,71,10.2,2,0.0
2025-03-01 23:00:00,21.6,75,5.4,0,0.0
2025-03-02 00:00:00,20.7,77,2.5,0,0.0
2025-03-02 01:00:00,20.2,78,8.0,0,0.0
2025-03-02 02:00:00,19.6,81,11.0,0,0.0
2025-03-02 03:00:00,19.3,82,12.5,0,0.0
2025-03-02 04:00:00,18.8,84,11.8,0,0.0
2025-03-02 05:00:00,18.4,85,13.9,0,0.0
2025-03-02 06:00:00,18.7,89,14.2,0,0.0
2025-03-02 07:00:00,19.8,84,13.4,0,0.0
2025-03-02 08:00:00,22.5,72,9.5,0,0.0
2025-03-02 09:00:00,25.5,60,8.9,0,0.0
2025-03-02 10:00:00,27.9,50,13.3,0,0.0
2025-03-02 11:00:00,29.6,43,16.0,0,0.0
2025-03-02 12:00:00,31.1,35,18.4,0,0.0
2025-03-02 13:00:00,32.0,30,21.0,7,0.0
2025-03-02 14:00:00,32.1,28,21.6,4,0.0
2025-03-02 15:00:00,32.3,27,23.4,17,0.0
2025-03-02 16:00:00,31.8,27,25.7,13,0.0
