time,temperature,humidity,windspeed_100m,cloud_cover,rainfall
2025-03-01 00:00:00,22.9,90,5.9,89,0.0
2025-03-01 01:00:00,22.3,90,8.3,82,0.0
2025-03-01 02:00:00,21.9,89,8.8,97,0.0
2025-03-01 03:00:00,21.1,90,5.7,97,0.0
2025-03-01 04:00:00,20.7,92,1.5,61,0.0
2025-03-01 05:00:00,20.2,94,1.6,6,0.0
2025-03-01 06:00:00,20.8,95,4.8,0,0.0
2025-03-01 07:00:00,23.4,83,5.0,0,0.0
2025-03-01 08:00:00,26.8,66,3.2,0,0.0
2025-03-01 09:00:00,29.4,47,3.7,19,0.0
2025-03-01 10:00:00,31.6,36,4.6,74,0.0
2025-03-01 11:00:00,33.3,29,6.0,0,0.0
2025-03-01 12:00:00,34.2,28,9.4,3,0.0
2025-03-01 13:00:00,34.2,31,13.2,1,0.0
2025-03-01 14:00:00,33.8,29,15.5,0,0.0
2025-03-01 15:00:00,33.3,25,15.2,0,0.0
2025-03-01 16:00:00,31.9,29,14.9,0,0.0
2025-03-01 17:00:00,29.3,48,13.7,0,0.0
2025-03-01 18:00:00,27.2,68,14.0,0,0.0
2025-03-01 19:00:00,26.5,78,14.3,0,0.0
2025-03-01 20:00:00,25.8,83,13.9,0,0.0
2025-03-01 21:00:00,25.3,85,14.3,0,0.0
2025-03-01 22:00:00,24.6,88,13.7,0,0.0
2025-03-01 23:00:00,24.0,91,15.0,0,0.0
2025-03-02 00:00:00,23.2,94,14.8,0,0.0
2025-03-02 01:00:00,22.6,95,15.1,0,0.0
2025-03-02 02:00:00,22.4,95,16.4,0,0.0
2025-03-02 03:00:00,22.0,95,15.9,1,0.0
2025-03-02 04:00:00,21.5,96,15.7,1,0.0
2025-03-02 05:00:00,21.7,95,16.5,84,0.0
2025-03-02 06:00:00,21.9,97,14.3,99,0.0
2025-03-02 07:00:00,23.7,88,13.8,100,0.0
2025-03-02 08:00:00,26.4,72,11.4,100,0.0
2025-03-02 09:00:00,28.9,58,14.3,100,0.0
2025-03-02 10:00:00,30.9,49,14.8,100,0.0
2025-03-02 11:00:00,32.5,44,15.2,100,0.0
2025-03-02 12:00:00,33.0,45,17.5,44,0.0
2025-03-02 13:00:00,33.2,42,18.4,95,0.0
2025-03-02 14:00:00,33.0,39,19.0,87,0.0
2025-03-02 15:00:00,32.0,42,20.9,91,0.0
2025-03-02 16:00:00,30.1,51,20.3,8,0.0
2025-03-02 17:00:00,29.0,57,16.4,1,0.0
2025-03-02 18:00:00,27.6,69,16.0,73,0.0
2025-03-02 19:00:00,27.0,74,15.5,100,0.0
2025-03-02 20:00:00,26.6,78,14.6,84,0.0
2025-03-02 21:00:00,26.1,83,15.3,15,0.0
2025-03-02 22:00:00,25.7,87,17.2,0,0.0
2025-03-02 23:00:00,25.2,90,16.2,0,0.0
2025-03-03 00:00:00,24.6,93,15.5,1,0.0
2025-03-03 01:00:00,24.5,93,17.1,0,0.0
2025-03-03 02:00:00,24.5,93,18.0,0,0.0
2025-03-03 03:00:00,24.2,92,18.5,0,0.0
2025-03-03 04:00:00,23.9,87,18.9,0,0.0
2025-03-03 05:00:00,23.5,84,18.2,62,0.0
2025-03-03 06:00:00,23.1,88,15.7,0,0.0
2025-03-03 07:00:00,25.2,78,15.5,0,0.0
2025-03-03 08:00:00,27.8,66,12.2,0,0.0
2025-03-03 09:00:00,30.5,53,12.2,0,0.0
2025-03-03 10:00:00,32.7,46,12.6,0,0.0
2025-03-03 11:00:00,33.9,43,14.1,0,0.0
2025-03-03 12:00:00,34.3,41,17.7,4,0.0
2025-03-03 13:00:00,34.2,39,20.0,19,0.0
2025-03-03 14:00:00,33.4,43,20.8,25,0.0
2025-03-03 15:00:00,32.5,46,21.8,77,0.0
2025-03-03 16:00:00,31.1,53,20.0,56,0.0
2025-03-03 17:00:00,29.5,66,17.0,34,0.0
2025-03-03 18:00:00,28.0,81,16.2,16,0.0
2025-03-03 19:00:00,27.5,87,13.1,13,0.0
2025-03-03 20:00:00,27.1,90,12.2,2,0.0
2025-03-03 21:00:00,26.9,92,12.2,1,0.0
2025-03-03 22:00:00,26.4,94,14.0,0,0.0
2025-03-03 23:00:00,25.9,95,14.7,2,0.0
2025-03-04 00:00:00,25.1,96,12.0,7,0.0
2025-03-04 01:00:00,24.9,96,10.6,5,0.0
2025-03-04 02:00:00,24.4,97,11.3,0,0.0
2025-03-04 03:00:00,23.8,99,3.1,0,0.0
2025-03-04 04:00:00,23.6,99,1.3,0,0.0
2025-03-04 05:00:00,23.4,99,1.6,0,0.0
2025-03-04 06:00:00,24.4,98,4.2,3,0.0
2025-03-04 07:00:00,26.9,86,5.1,8,0.0
2025-03-04 08:00:00,29.8,71,3.3,8,0.0
